"","reason.4","reason.16","reason.17","reason.19","letter.7","letter.33","letter.34","letter.58","matrix.45","matrix.46","matrix.47","matrix.55","rotate.3","rotate.4","rotate.6","rotate.8"
"5",3,3,6,3,5,3,5,2,4,3,4,4,5,6,5,5
"6",3,3,4,4,6,2,4,2,4,1,4,6,6,5,6,1
"7",3,4,4,2,6,5,3,3,5,2,4,6,8,8,8,8
"8",4,0,6,1,5,1,4,1,2,0,6,2,1,7,1,6
"9",0,4,4,5,5,3,3,0,5,2,4,6,5,7,1,6
"10",4,4,4,6,6,3,4,4,5,2,2,2,3,2,6,4
"11",4,4,4,6,6,3,4,4,5,2,2,2,3,2,6,7
"12",1,4,5,2,4,1,1,2,4,2,2,3,5,2,1,1
"13",4,4,2,6,5,3,4,4,5,5,4,3,6,8,8,2
"14",4,4,4,6,2,1,4,3,5,2,6,6,8,0,4,8
"15",1,1,6,2,0,2,2,2,5,5,2,3,1,3,6,3
"16",4,4,4,5,6,3,4,4,5,2,2,2,4,4,4,4
"17",2,2,6,4,5,4,4,4,2,2,5,4,6,5,3,6
"18",4,4,4,6,6,3,4,1,5,2,2,6,4,7,8,2
"21",4,4,4,5,5,3,3,5,5,2,2,4,5,4,6,6
"22",4,4,4,6,6,1,1,4,5,2,2,4,7,7,1,2
"23",4,4,4,6,6,3,4,4,5,2,2,4,6,2,6,7
"24",4,4,4,6,6,3,1,4,5,2,2,4,3,2,6,7
"25",4,2,0,3,6,2,4,4,5,2,5,5,4,4,8,3
"26",4,4,4,6,6,3,1,4,5,2,2,3,6,2,6,7
"27",2,4,4,6,0,2,3,5,5,1,4,4,4,6,2,4
"30",4,4,4,6,6,3,4,4,1,2,2,4,3,4,6,6
"31",4,4,4,6,6,3,4,4,5,1,2,4,4,7,1,2
"32",4,3,4,5,4,3,4,4,5,2,2,4,4,4,6,2
"33",4,4,4,6,6,3,4,5,4,1,2,4,3,8,8,4
"34",4,1,4,5,4,5,3,5,2,2,4,3,4,7,6,3
"35",1,4,6,6,6,3,4,3,3,2,2,2,4,7,1,2
"36",4,4,4,6,6,2,5,4,3,2,2,4,7,7,1,1
"37",4,4,4,6,6,3,4,1,5,2,2,4,3,5,6,4
"38",3,4,4,6,6,2,4,2,5,4,2,4,1,8,4,4
"39",4,4,4,5,6,1,4,4,3,4,2,6,5,2,7,1
"40",4,4,4,2,6,3,4,4,4,5,2,4,5,8,5,1
"41",4,4,4,6,6,3,4,4,5,2,2,6,3,2,6,7
"42",4,4,4,6,6,3,4,4,2,2,2,6,4,7,1,6
"43",4,4,5,6,6,5,4,2,6,2,2,3,4,2,4,1
"44",4,4,4,6,0,3,4,4,5,4,4,2,3,4,6,3
"50",4,4,4,6,6,3,5,4,5,1,4,2,4,2,1,6
"51",4,4,0,2,6,3,4,4,3,2,2,3,4,4,1,2
"52",4,3,4,6,6,3,2,4,5,2,6,4,4,2,6,7
"55",3,4,4,6,6,4,4,4,5,2,2,3,3,5,3,2
"56",4,4,4,2,6,2,4,3,4,4,6,3,3,2,6,7
"57",4,4,4,6,6,3,4,4,3,4,1,6,4,7,2,5
"58",2,4,4,6,1,3,4,4,3,2,2,4,5,7,7,8
"59",2,1,4,5,5,2,3,5,6,4,2,3,5,7,1,6
"61",4,4,4,6,6,3,4,4,5,2,2,6,3,4,6,4
"62",2,4,4,5,6,3,4,1,4,2,2,3,4,4,6,4
"63",4,4,4,5,6,3,4,5,3,5,2,2,6,5,4,4
"64",1,4,4,3,5,3,4,2,5,1,2,6,8,8,8,8
"65",2,3,6,6,6,5,4,4,4,2,2,2,5,7,1,2
"66",3,4,4,6,6,3,4,4,5,2,2,4,4,4,1,4
"69",3,4,4,6,6,3,4,4,5,2,2,4,8,8,8,8
"74",4,4,4,6,6,3,4,2,5,2,2,4,2,3,3,3
"76",4,6,4,6,6,3,4,5,5,2,2,2,3,5,6,7
"77",NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,8
"78",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,4
"79",2,4,6,6,4,3,1,5,4,2,2,4,7,7,1,6
"80",4,4,4,6,5,2,4,4,3,2,2,4,8,8,6,7
"81",4,4,4,2,6,3,4,4,4,1,2,4,3,2,6,6
"84",4,0,0,0,6,3,0,0,0,2,6,0,0,2,0,0
"85",4,3,4,6,6,1,4,3,3,2,2,3,4,4,1,3
"86",4,4,4,6,4,0,4,4,5,0,2,6,0,8,8,4
"87",5,4,3,6,6,5,3,5,5,5,2,4,8,6,8,5
"88",4,2,4,4,6,5,4,3,4,1,4,6,3,4,6,4
"89",4,4,4,6,4,5,3,2,5,5,2,6,3,2,3,7
"90",4,2,4,6,4,3,3,5,5,2,2,4,3,2,4,4
"91",4,3,1,6,5,3,4,4,5,4,2,4,3,2,5,2
"92",4,4,4,6,6,3,4,4,3,2,2,3,3,6,6,7
"93",0,4,6,5,6,3,5,4,3,4,4,2,8,8,8,8
"95",4,4,4,6,6,3,4,4,5,2,2,4,3,2,5,7
"96",2,4,4,6,1,3,4,3,3,2,4,5,7,2,7,2
"97",4,4,4,5,6,3,4,4,4,1,2,6,4,7,1,2
"98",0,1,4,6,6,3,2,4,4,5,4,4,0,8,8,8
"100",4,4,4,6,6,3,4,4,5,2,2,4,3,2,6,7
"101",4,2,4,5,4,3,4,4,5,2,2,4,5,7,1,2
"102",2,4,2,2,4,5,1,5,1,5,4,1,8,8,0,8
"103",5,1,6,1,6,3,4,3,5,2,3,2,4,4,7,3
"104",2,3,6,5,5,2,2,3,4,2,4,5,7,7,1,5
"105",4,4,4,6,6,3,4,1,4,4,2,6,2,7,6,2
"106",4,4,4,1,6,3,3,4,5,2,2,4,4,7,1,4
"107",4,4,4,1,6,3,3,4,5,2,2,4,4,4,4,4
"108",4,4,4,6,6,3,4,4,5,2,2,4,4,2,6,7
"109",4,3,4,6,6,3,4,4,3,2,2,2,3,2,6,7
"110",4,4,4,1,6,2,4,4,3,2,2,4,4,4,7,4
