"","gender","education","age","ACT","SATV","SATQ"
"29442",2,3,19,24,500,500
"29457",2,3,23,35,600,500
"29498",2,3,20,21,480,470
"29503",1,4,27,26,550,520
"29504",1,2,33,31,600,550
"29518",1,5,26,28,640,640
"29527",2,5,30,36,610,500
"29529",1,3,19,22,520,560
"29543",2,4,23,22,400,600
"29547",2,5,40,35,730,800
"29578",1,3,23,32,760,710
"29592",2,4,34,29,710,600
"29617",1,4,32,21,600,600
"29619",2,4,41,35,780,725
"29633",2,3,20,27,640,630
"29671",2,4,24,27,640,590
"29676",2,3,19,33,640,650
"29685",2,4,24,32,700,620
"29710",1,4,35,28,640,580
"29711",2,4,46,32,610,680
"29728",2,2,55,28,620,450
"29762",2,4,25,30,600,500
"29780",1,0,18,31,750,700
"29788",1,4,50,30,600,600
"29821",1,4,35,31,460,540
"29846",1,3,21,30,680,650
"29855",2,2,34,30,700,700
"29871",2,4,37,21,375,385
"29901",2,5,27,28,450,450
"29906",2,5,29,33,600,500
"29914",1,0,18,28,500,500
"29916",1,3,23,24,500,710
"29953",1,3,22,27,520,710
"29984",1,4,23,31,620,570
"29990",1,4,54,33,660,580
"30007",2,3,20,29,600,600
"30018",1,2,41,28,500,600
"30030",2,5,52,24,630,570
"30044",2,3,18,27,630,540
"30052",1,5,35,31,710,690
"30054",1,4,27,28,530,610
"30065",2,4,23,29,800,610
"30082",2,5,39,30,700,700
"30129",2,5,30,36,660,610
"30136",1,5,53,36,560,740
"30145",2,3,17,26,770,540
"30149",1,4,27,33,660,650
"30168",1,4,30,27,800,600
"30175",2,4,34,23,440,440
"30176",2,5,27,33,800,690
"30197",1,4,35,35,670,780
"30215",2,4,24,28,680,600
"30228",2,4,23,28,610,590
"30229",2,5,27,33,600,760
"30255",2,4,23,34,800,740
"30274",1,4,28,26,550,700
"30302",2,4,24,36,650,650
"30324",2,3,20,28,800,640
"30348",2,5,32,18,429,450
"30350",2,3,19,34,800,760
"30358",1,5,48,34,700,700
"30378",1,5,43,32,550,750
"30392",2,3,33,36,600,650
"30402",1,4,35,34,600,760
"30403",1,0,18,21,550,550
"30412",2,4,31,31,560,680
"30444",1,0,17,22,490,530
"30446",2,4,23,29,650,610
"30455",2,4,29,29,600,600
"30462",2,3,21,24,550,550
"30466",1,2,19,26,450,450
"30477",1,3,19,29,520,740
"30510",2,5,27,28,680,530
"30525",1,4,40,32,650,750
"30534",2,5,35,32,650,700
"30543",2,4,24,27,565,565
"30566",2,3,30,28,680,590
"30574",2,3,17,32,540,590
"30591",2,2,27,15,375,375
"30610",2,5,40,21,600,550
"30621",1,4,36,26,500,500
"30660",1,5,30,25,600,500
"30669",1,5,25,31,700,760
"30677",2,5,29,26,580,580
"30682",2,5,38,28,600,590
"30705",2,5,32,33,650,700
"30732",2,5,47,24,520,530
"30740",2,3,19,32,600,550
"30753",1,4,23,31,700,700
"30755",2,3,38,30,450,250
