Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0006l1r,6,"Monday, November  7, 2011 04:01:39 UTC",-3.6329,149.6745,5.1,35.00,56,"Bismarck Sea"
ak,10349965,2,"Monday, November  7, 2011 03:31:58 UTC",59.8669,-151.9614,2.2,63.30,40,"Kenai Peninsula, Alaska"
ak,10349966,2,"Monday, November  7, 2011 03:31:20 UTC",63.3454,-145.0270,1.4,6.40,16,"Central Alaska"
nc,71676891,2,"Monday, November  7, 2011 03:28:07 UTC",37.3397,-119.8367,2.0,25.40,12,"Central California"
ak,10349964,2,"Monday, November  7, 2011 03:22:23 UTC",62.2548,-145.6884,1.3,19.40, 9,"Central Alaska"
nc,71676886,2,"Monday, November  7, 2011 03:18:22 UTC",37.7735,-121.9895,1.1,9.30,20,"San Francisco Bay area, California"
ak,10351779,2,"Monday, November  7, 2011 03:15:44 UTC",61.3685,-151.8951,1.6,96.20,25,"Southern Alaska"
nc,71676881,2,"Monday, November  7, 2011 03:13:49 UTC",38.8263,-122.7802,1.1,2.00,51,"Northern California"
nc,71676871,2,"Monday, November  7, 2011 02:48:02 UTC",38.9555,-123.1468,1.4,4.70,15,"Northern California"
ak,10351778,2,"Monday, November  7, 2011 02:37:18 UTC",59.3479,-152.7215,1.9,73.80,27,"Southern Alaska"
us,b0006l1e,3,"Monday, November  7, 2011 02:28:08 UTC",-3.2173,149.7179,4.7,35.00,16,"Bismarck Sea"
nc,71676866,2,"Monday, November  7, 2011 02:22:19 UTC",35.6388,-120.9457,1.0,7.10,23,"Central California"
nc,71676861,3,"Monday, November  7, 2011 02:17:57 UTC",38.8198,-122.7797,1.6,1.50,62,"Northern California"
pr,11311000,0,"Monday, November  7, 2011 02:13:44 UTC",18.8869,-64.2969,3.6,36.60,18,"Virgin Islands region"
ci,15073060,2,"Monday, November  7, 2011 01:51:08 UTC",32.6427,-115.7065,2.2,5.60,14,"Baja California, Mexico"
us,b0006l15,4,"Monday, November  7, 2011 01:46:36 UTC",45.9381,149.1358,5.1,158.40,57,"Kuril Islands"
ak,10349934,2,"Monday, November  7, 2011 01:45:57 UTC",61.3990,-152.0089,2.1,97.20,46,"Southern Alaska"
us,b0006l12,7,"Monday, November  7, 2011 01:43:38 UTC",-3.5557,149.5988,5.1,35.00,27,"Bismarck Sea"
ci,15073052,2,"Monday, November  7, 2011 01:42:56 UTC",34.0133,-116.7372,1.2,17.00,44,"Southern California"
ak,10349930,2,"Monday, November  7, 2011 01:42:11 UTC",61.0472,-151.3151,1.9,66.80,37,"Southern Alaska"
nc,71676846,2,"Monday, November  7, 2011 01:39:21 UTC",36.5630,-121.1603,1.2,6.20,21,"Central California"
ci,15073044,2,"Monday, November  7, 2011 01:35:36 UTC",33.0428,-116.4395,1.4,5.70,62,"Southern California"
nc,71676841,2,"Monday, November  7, 2011 01:33:53 UTC",36.5655,-121.1585,1.8,5.70,34,"Central California"
nc,71676836,2,"Monday, November  7, 2011 01:33:45 UTC",36.5632,-121.1598,1.2,6.90,24,"Central California"
us,b0006l0s,4,"Monday, November  7, 2011 01:26:31 UTC",35.5194,-96.7576,3.4,4.90,20,"Oklahoma"
ak,10349921,2,"Monday, November  7, 2011 01:19:49 UTC",54.2748,-162.5288,2.7,13.20,11,"Alaska Peninsula"
us,b0006l0p,5,"Monday, November  7, 2011 01:17:13 UTC",35.5252,-96.7729,3.3,5.00,21,"Oklahoma"
nc,71676831,2,"Monday, November  7, 2011 01:14:18 UTC",36.0833,-121.0462,1.4,13.20,12,"Central California"
ak,10349918,2,"Monday, November  7, 2011 01:07:00 UTC",58.8811,-152.3412,2.7,50.50,46,"Kodiak Island region, Alaska"
nc,71676826,2,"Monday, November  7, 2011 01:00:05 UTC",39.4828,-121.1898,1.8,12.70,18,"Northern California"
ci,15073028,2,"Monday, November  7, 2011 00:59:41 UTC",33.9660,-116.7420,1.0,18.40,41,"Southern California"
nc,71676821,2,"Monday, November  7, 2011 00:58:13 UTC",38.8305,-122.8007,1.0,2.10,33,"Northern California"
ak,10349912,2,"Monday, November  7, 2011 00:52:51 UTC",54.4503,-163.3783,2.7,77.90,17,"Unimak Island region, Alaska"
us,b0006l0k,6,"Monday, November  7, 2011 00:43:31 UTC",-3.5504,149.5621,4.7,35.20,17,"Bismarck Sea"
ak,10349905,2,"Monday, November  7, 2011 00:38:50 UTC",61.9881,-150.4303,2.1,4.40,50,"Southern Alaska"
nc,71676811,0,"Monday, November  7, 2011 00:33:51 UTC",38.8380,-122.8307,1.0,2.40,21,"Northern California"
ak,10349897,2,"Monday, November  7, 2011 00:32:59 UTC",59.8523,-152.5271,2.5,82.10,61,"Southern Alaska"
ak,10351769,2,"Monday, November  7, 2011 00:32:44 UTC",66.7983,-146.6573,1.7,13.70, 6,"northern Alaska"
ak,10351768,2,"Monday, November  7, 2011 00:22:50 UTC",62.3848,-149.0968,1.2,1.70,15,"Central Alaska"
nc,71676796,3,"Monday, November  7, 2011 00:22:05 UTC",36.9323,-121.4190,1.7,7.20,55,"Central California"
nc,71676791,3,"Monday, November  7, 2011 00:09:42 UTC",36.7903,-121.3563,2.4,5.30,83,"Central California"
ak,10349888,3,"Monday, November  7, 2011 00:05:03 UTC",51.9598,-173.6364,2.0,22.40, 8,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006l02,4,"Monday, November  7, 2011 00:03:51 UTC",35.4900,-96.7658,2.9,4.70,26,"Oklahoma"
nc,71676781,2,"Sunday, November  6, 2011 23:34:40 UTC",36.8592,-121.4265,1.0,5.60,24,"Central California"
ak,10349883,2,"Sunday, November  6, 2011 23:26:25 UTC",63.9307,-148.9219,2.1,0.00,17,"Central Alaska"
ak,10349878,3,"Sunday, November  6, 2011 23:22:49 UTC",59.7773,-152.5233,2.2,72.20,35,"Southern Alaska"
nc,71676771,3,"Sunday, November  6, 2011 23:18:58 UTC",40.1208,-122.7552,1.5,12.60, 9,"Northern California"
nc,71676761,3,"Sunday, November  6, 2011 23:15:08 UTC",40.1177,-122.7502,2.7,10.90,23,"Northern California"
uw,11062302,1,"Sunday, November  6, 2011 23:02:34 UTC",46.8798,-122.0274,1.1,7.30, 9,"Washington"
ak,10349875,2,"Sunday, November  6, 2011 23:00:41 UTC",63.2751,-151.4694,1.0,10.90,11,"Central Alaska"
ci,15072972,3,"Sunday, November  6, 2011 22:57:56 UTC",31.5168,-114.3295,3.6,10.00, 9,"Gulf of California"
nc,71676746,3,"Sunday, November  6, 2011 22:54:43 UTC",36.1963,-120.7623,2.1,8.50,82,"Central California"
hv,60281291,1,"Sunday, November  6, 2011 22:48:12 UTC",19.3455,-155.1292,1.7,7.40,32,"Island of Hawaii, Hawaii"
ak,10349866,2,"Sunday, November  6, 2011 22:31:20 UTC",62.8622,-151.9882,1.5,4.00,17,"Central Alaska"
uu,11062221,2,"Sunday, November  6, 2011 22:21:10 UTC",37.1417,-113.5352,1.4,7.00,11,"Utah"
ak,10349855,2,"Sunday, November  6, 2011 22:04:19 UTC",61.4592,-140.7075,2.2,3.00,22,"Southern Yukon Territory, Canada"
ak,10349849,2,"Sunday, November  6, 2011 21:59:10 UTC",61.4642,-140.7131,2.1,9.40,20,"Southern Yukon Territory, Canada"
nc,71676726,2,"Sunday, November  6, 2011 21:59:06 UTC",38.7978,-122.7888,1.0,0.50,29,"Northern California"
us,b0006kxt,5,"Sunday, November  6, 2011 21:57:29 UTC",30.1416,97.3748,4.9,44.60,34,"eastern Xizang"
nc,71676721,2,"Sunday, November  6, 2011 21:43:56 UTC",36.5243,-121.1070,1.2,2.70,19,"Central California"
nn,00354268,8,"Sunday, November  6, 2011 21:12:10 UTC",39.4185,-118.4768,1.4,6.10, 5,"Nevada"
us,b0006kx7,9,"Sunday, November  6, 2011 20:56:52 UTC",35.8695,25.6040,4.8,36.60,113,"Crete, Greece"
