Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10349643,2,"Sunday, November  6, 2011 08:12:20 UTC",54.2528,-162.6048,3.4,13.40,17,"Alaska Peninsula"
us,b0006kq1,9,"Sunday, November  6, 2011 08:08:14 UTC",54.1081,-162.5036,5.3,24.90, 0,"Alaska Peninsula"
us,b0006kpk,6,"Sunday, November  6, 2011 07:34:15 UTC",-23.1493,-175.3821,5.1,17.20,108,"Tonga region"
us,b0006kph,6,"Sunday, November  6, 2011 07:32:40 UTC",35.5435,-96.9007,3.2,4.90,19,"Oklahoma"
ak,10349622,2,"Sunday, November  6, 2011 07:25:44 UTC",59.3433,-138.7922,2.1,10.30,16,"Southeastern Alaska"
ak,10349615,2,"Sunday, November  6, 2011 07:20:49 UTC",60.1912,-153.1401,2.8,135.00,64,"Southern Alaska"
hv,60281211,1,"Sunday, November  6, 2011 06:58:36 UTC",19.5432,-155.6373,1.9,16.30,33,"Island of Hawaii, Hawaii"
us,b0006knw,6,"Sunday, November  6, 2011 06:31:10 UTC",35.5593,-96.8739,3.8,5.00,49,"Oklahoma"
nn,00354158,8,"Sunday, November  6, 2011 06:14:33 UTC",38.1673,-118.2420,1.7,13.80,11,"Nevada"
nc,71676386,3,"Sunday, November  6, 2011 06:11:19 UTC",38.7955,-122.8093,1.2,3.70,51,"Northern California"
nc,71676381,3,"Sunday, November  6, 2011 06:09:49 UTC",38.8318,-122.7982,1.0,2.00,43,"Northern California"
ak,10349604,2,"Sunday, November  6, 2011 06:06:17 UTC",61.3717,-140.3274,1.4,0.40,15,"Southern Yukon Territory, Canada"
nc,71676366,3,"Sunday, November  6, 2011 05:50:12 UTC",37.3332,-118.6642,1.0,11.20,17,"Central California"
nc,71676356,4,"Sunday, November  6, 2011 05:34:40 UTC",39.4432,-120.2822,1.5,6.40,23,"Northern California"
ci,15072828,2,"Sunday, November  6, 2011 05:25:09 UTC",32.8028,-116.1492,1.7,5.50,67,"Southern California"
ci,15072820,2,"Sunday, November  6, 2011 05:24:27 UTC",33.5258,-116.4080,1.0,9.20,48,"Southern California"
nc,71676346,3,"Sunday, November  6, 2011 05:07:15 UTC",36.2780,-120.8467,1.8,7.50,54,"Central California"
ak,10349578,2,"Sunday, November  6, 2011 04:55:43 UTC",62.8151,-150.9409,2.5,93.70,44,"Central Alaska"
us,b0006knm,5,"Sunday, November  6, 2011 04:54:00 UTC",35.5403,-96.6870,3.0,5.00,16,"Oklahoma"
ci,15072812,2,"Sunday, November  6, 2011 04:45:28 UTC",33.9865,-116.9872,1.0,18.50,55,"Southern California"
ak,10349572,3,"Sunday, November  6, 2011 04:43:41 UTC",61.3867,-140.6164,1.6,4.10,19,"Southern Yukon Territory, Canada"
ak,10350970,2,"Sunday, November  6, 2011 04:43:35 UTC",58.8538,-137.5725,2.9,7.20,11,"Southeastern Alaska"
us,b0006kms,7,"Sunday, November  6, 2011 04:41:56 UTC",-6.0574,106.3488,5.3,160.10,89,"Java, Indonesia"
uu,11060439,2,"Sunday, November  6, 2011 04:39:20 UTC",39.4375,-111.2393,1.7,2.40,11,"Utah"
ci,15072804,2,"Sunday, November  6, 2011 04:37:58 UTC",32.6540,-115.7217,1.8,5.00,28,"Southern California"
us,b0006kmi,B,"Sunday, November  6, 2011 04:31:49 UTC",35.5395,-96.7578,3.7,5.00,22,"Oklahoma"
ak,10349570,3,"Sunday, November  6, 2011 04:24:13 UTC",61.3267,-150.4162,1.4,49.10,17,"Southern Alaska"
ak,10349567,3,"Sunday, November  6, 2011 04:20:16 UTC",58.8698,-137.5631,2.3,9.10,16,"Southeastern Alaska"
pr,11310000,0,"Sunday, November  6, 2011 04:15:08 UTC",18.0300,-66.9589,2.5,8.30, 5,"Puerto Rico"
ak,10350967,2,"Sunday, November  6, 2011 04:15:04 UTC",62.4101,-150.3989,1.4,8.90,11,"Central Alaska"
us,b0006km5,B,"Sunday, November  6, 2011 04:03:41 UTC",35.5537,-96.7605,3.6,5.00,12,"Oklahoma"
us,b0006kmp,4,"Sunday, November  6, 2011 04:00:05 UTC",-17.5507,-178.7834,4.9,533.80,110,"Fiji region"
us,b0006klz,C,"Sunday, November  6, 2011 03:53:10 UTC",35.5373,-96.7466,5.6,5.00,189,"Oklahoma"
uu,11060352,2,"Sunday, November  6, 2011 03:52:52 UTC",37.8203,-112.4997,1.7,2.60,15,"Utah"
ak,10349552,2,"Sunday, November  6, 2011 03:50:21 UTC",60.8206,-146.8062,2.2,16.30,35,"Southern Alaska"
ak,10349549,2,"Sunday, November  6, 2011 03:46:46 UTC",60.6257,-142.6624,1.4,15.10,24,"Southern Alaska"
hv,60281166,1,"Sunday, November  6, 2011 03:43:30 UTC",19.3808,-155.2468,1.7,3.30,24,"Island of Hawaii, Hawaii"
hv,60281156,1,"Sunday, November  6, 2011 03:41:47 UTC",19.3870,-155.2552,2.1,0.00,19,"Island of Hawaii, Hawaii"
nc,71676331,2,"Sunday, November  6, 2011 03:40:12 UTC",38.8397,-122.8272,1.0,2.50,13,"Northern California"
nc,71676326,3,"Sunday, November  6, 2011 03:39:45 UTC",38.8368,-122.8285,2.1,2.60,69,"Northern California"
nc,71676321,3,"Sunday, November  6, 2011 03:32:44 UTC",38.5360,-119.4155,1.7,3.40,13,"Central California"
uu,11060325,2,"Sunday, November  6, 2011 03:25:52 UTC",44.7432,-111.0393,1.0,3.00,21,"Yellowstone National Park, Wyoming"
uu,11060318,2,"Sunday, November  6, 2011 03:18:22 UTC",37.8077,-112.4857,1.0,3.50,11,"Utah"
us,b0006kll,5,"Sunday, November  6, 2011 02:43:14 UTC",38.7721,43.5909,4.7,8.60,52,"eastern Turkey"
nc,71676311,2,"Sunday, November  6, 2011 02:37:55 UTC",36.6177,-121.2282,1.2,6.40,31,"Central California"
us,b0006klj,8,"Sunday, November  6, 2011 02:35:29 UTC",15.0438,-60.6451,4.8,58.90,139,"Martinique region, Windward Islands"
hv,60281136,1,"Sunday, November  6, 2011 02:34:31 UTC",19.8567,-155.5648,2.6,21.10,53,"Island of Hawaii, Hawaii"
ak,10350964,2,"Sunday, November  6, 2011 02:19:34 UTC",61.6616,-146.5532,1.3,12.90,18,"Southern Alaska"
ci,15072788,3,"Sunday, November  6, 2011 02:18:31 UTC",35.2270,-118.0705,2.8,8.90,67,"Southern California"
ak,10350963,2,"Sunday, November  6, 2011 02:11:16 UTC",64.1706,-152.4556,1.2,17.80, 6,"Central Alaska"
ak,10350962,2,"Sunday, November  6, 2011 02:08:25 UTC",62.2664,-151.2421,1.4,82.50,12,"Central Alaska"
ak,10350961,2,"Sunday, November  6, 2011 02:07:50 UTC",61.9824,-151.1954,1.3,67.80,14,"Southern Alaska"
ak,10349532,3,"Sunday, November  6, 2011 02:04:07 UTC",61.5825,-146.3435,1.4,32.20,20,"Southern Alaska"
ci,15072780,2,"Sunday, November  6, 2011 01:32:26 UTC",33.4140,-116.3772,1.0,9.50,46,"Southern California"
ak,10350959,2,"Sunday, November  6, 2011 01:22:20 UTC",59.8129,-153.4195,2.0,122.70,27,"Southern Alaska"
ak,10349524,2,"Sunday, November  6, 2011 01:06:52 UTC",62.3923,-151.2379,1.3,4.00,20,"Central Alaska"
ci,15072772,2,"Sunday, November  6, 2011 01:06:44 UTC",36.0205,-117.7703,1.2,3.00,29,"Central California"
ak,10350957,2,"Sunday, November  6, 2011 01:06:16 UTC",61.4122,-151.8830,1.4,85.80,14,"Southern Alaska"
us,b0006kkw,6,"Sunday, November  6, 2011 00:46:27 UTC",-8.3337,128.0305,5.0,34.80,47,"Timor Sea"
ci,15072756,4,"Sunday, November  6, 2011 00:28:13 UTC",31.7092,-116.0853,3.1,6.00,14,"Baja California, Mexico"
ak,10349514,2,"Sunday, November  6, 2011 00:09:25 UTC",63.4584,-147.9971,1.4,6.30,18,"Central Alaska"
ak,10350954,2,"Sunday, November  6, 2011 00:01:07 UTC",58.5136,-155.3676,2.4,141.20,30,"Alaska Peninsula"
uw,11052356,1,"Saturday, November  5, 2011 23:56:53 UTC",47.7425,-122.2676,1.7,20.80,19,"Seattle-Tacoma urban area, Washington"
uu,11052354,2,"Saturday, November  5, 2011 23:54:35 UTC",39.4337,-111.2342,1.4,5.80,16,"Utah"
ak,10349512,2,"Saturday, November  5, 2011 23:52:28 UTC",62.8737,-149.7101,1.3,83.60,11,"Central Alaska"
nc,71676296,2,"Saturday, November  5, 2011 23:43:26 UTC",37.8505,-122.2305,1.1,6.60,23,"San Francisco Bay area, California"
ak,10349510,3,"Saturday, November  5, 2011 23:39:00 UTC",58.8383,-153.0407,1.5,9.80,12,"Kodiak Island region, Alaska"
us,b0006kkk,6,"Saturday, November  5, 2011 23:28:01 UTC",6.6801,123.7844,4.9,562.50,77,"Moro Gulf, Mindanao, Philippines"
nc,71676276,3,"Saturday, November  5, 2011 22:44:41 UTC",38.8350,-122.8023,2.6,2.50,84,"Northern California"
ak,10349498,2,"Saturday, November  5, 2011 22:44:14 UTC",58.6137,-154.4058,2.4,1.00,15,"Alaska Peninsula"
nc,71676271,3,"Saturday, November  5, 2011 22:42:29 UTC",35.8615,-120.4068,1.6,5.30,56,"Central California"
ak,10351499,2,"Saturday, November  5, 2011 22:22:44 UTC",63.0091,-149.8009,1.3,75.70, 8,"Central Alaska"
ak,10351498,2,"Saturday, November  5, 2011 22:17:06 UTC",61.5068,-150.8221,1.2,63.80, 7,"Southern Alaska"
ak,10349485,3,"Saturday, November  5, 2011 22:14:32 UTC",58.1750,-143.0097,2.5,10.00,35,"Gulf of Alaska"
ak,10349473,2,"Saturday, November  5, 2011 22:02:05 UTC",60.8913,-145.5015,2.5,8.40,50,"Southern Alaska"
ak,10349472,1,"Saturday, November  5, 2011 22:00:05 UTC",63.3752,-149.8535,1.0,120.00, 5,"Central Alaska"
nc,71676251,6,"Saturday, November  5, 2011 21:52:18 UTC",37.8460,-122.2407,3.1,6.00,175,"San Francisco Bay area, California"
pr,11309005,0,"Saturday, November  5, 2011 21:43:34 UTC",18.2500,-68.3059,3.1,46.00, 4,"Mona Passage, Dominican Republic"
ak,10349467,3,"Saturday, November  5, 2011 21:42:32 UTC",62.8368,-147.3668,1.5,33.10,16,"Central Alaska"
nc,71676241,3,"Saturday, November  5, 2011 21:35:09 UTC",38.8205,-122.8002,1.1,3.20,46,"Northern California"
nc,71676236,2,"Saturday, November  5, 2011 21:25:31 UTC",36.7485,-121.2747,1.0,9.90,10,"Central California"
nc,71676226,3,"Saturday, November  5, 2011 21:14:06 UTC",38.7903,-122.7360,1.5,2.10,49,"Northern California"
us,b0006kiq,7,"Saturday, November  5, 2011 20:46:42 UTC",56.6542,-135.9669,4.3,1.80, 0,"Southeastern Alaska"
ak,10351493,2,"Saturday, November  5, 2011 20:45:38 UTC",63.2341,-150.7289,1.4,130.10,14,"Central Alaska"
us,b0006kj0,5,"Saturday, November  5, 2011 20:44:25 UTC",25.5550,105.8006,4.6,15.10,24,"Guizhou, China"
ci,15072724,2,"Saturday, November  5, 2011 20:33:21 UTC",33.8535,-118.2947,2.5,18.70,94,"Greater Los Angeles area, California"
ak,10349444,2,"Saturday, November  5, 2011 20:25:16 UTC",59.9611,-140.7120,1.5,3.20,24,"Southeastern Alaska"
ne,00001288,a,"Saturday, November  5, 2011 20:06:14 UTC",45.5008,-76.3521,1.0,5.00, 5,"southern Ontario, Canada"
pr,11309004,0,"Saturday, November  5, 2011 19:57:57 UTC",18.8789,-64.4960,3.0,33.50,10,"Virgin Islands region"
us,b0006khn,6,"Saturday, November  5, 2011 19:53:59 UTC",1.3600,123.2170,4.7,42.70,46,"Minahasa, Sulawesi, Indonesia"
ak,10351489,2,"Saturday, November  5, 2011 19:37:34 UTC",51.7324,-176.5458,2.6,57.70, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10349439,2,"Saturday, November  5, 2011 19:23:01 UTC",62.2993,-151.7842,1.6,97.50,29,"Central Alaska"
nc,71676196,3,"Saturday, November  5, 2011 19:21:07 UTC",38.8048,-122.8162,2.1,3.50,72,"Northern California"
us,b0006kha,7,"Saturday, November  5, 2011 19:19:16 UTC",38.6836,43.5705,4.4,6.20,41,"eastern Turkey"
ci,15072700,4,"Saturday, November  5, 2011 19:04:12 UTC",32.5835,-115.7235,1.6,5.60,19,"Baja California, Mexico"
nc,71676191,3,"Saturday, November  5, 2011 19:04:01 UTC",38.8435,-122.8267,1.3,2.40,48,"Northern California"
ci,15072708,3,"Saturday, November  5, 2011 19:02:07 UTC",35.0380,-117.6803,1.1,7.00, 9,"Southern California"
ci,15072692,2,"Saturday, November  5, 2011 19:00:25 UTC",32.5465,-115.7153,1.7,7.00,26,"Baja California, Mexico"
ci,15072684,3,"Saturday, November  5, 2011 18:52:54 UTC",31.9262,-115.8112,2.5,7.00, 9,"Baja California, Mexico"
ci,15072676,3,"Saturday, November  5, 2011 18:48:20 UTC",32.2197,-115.4245,2.6,7.00,17,"Baja California, Mexico"
nc,71676166,2,"Saturday, November  5, 2011 18:11:30 UTC",38.8045,-122.7397,1.3,2.50,43,"Northern California"
uu,11051750,2,"Saturday, November  5, 2011 17:50:14 UTC",39.4400,-111.2327,1.5,2.60, 9,"Utah"
ak,10351487,2,"Saturday, November  5, 2011 17:44:42 UTC",63.0067,-144.0603,1.2,1.00, 6,"Central Alaska"
nc,71676146,3,"Saturday, November  5, 2011 17:43:28 UTC",36.6182,-121.2262,2.5,5.90,86,"Central California"
ne,00001287,a,"Saturday, November  5, 2011 17:41:50 UTC",45.8360,-75.5190,1.3,6.90, 7,"Ontario-Quebec border region, Canada"
uu,11051713,2,"Saturday, November  5, 2011 17:13:54 UTC",39.4570,-111.2310,1.8,5.00, 6,"Utah"
us,b0006kf8,7,"Saturday, November  5, 2011 16:49:37 UTC",-28.8285,-176.9546,5.1,50.70,62,"Kermadec Islands region"
uu,11051634,2,"Saturday, November  5, 2011 16:34:17 UTC",39.4425,-111.2247,1.5,9.20, 7,"Utah"
uw,11051623,1,"Saturday, November  5, 2011 16:23:03 UTC",47.3293,-122.7160,1.6,31.70,27,"Puget Sound region, Washington"
pr,11309006,0,"Saturday, November  5, 2011 16:05:48 UTC",19.4540,-67.8130,3.0,44.00, 4,"Dominican Republic region"
ak,10351485,2,"Saturday, November  5, 2011 16:01:02 UTC",62.7813,-148.7823,1.3,4.70,12,"Central Alaska"
ak,10349409,3,"Saturday, November  5, 2011 15:24:46 UTC",51.8768,-170.8390,3.5,43.50,12,"Fox Islands, Aleutian Islands, Alaska"
uu,11051516,2,"Saturday, November  5, 2011 15:16:43 UTC",39.6315,-111.9450,1.1,3.00, 9,"Utah"
uw,11051512,1,"Saturday, November  5, 2011 15:12:08 UTC",47.3238,-122.6611,1.1,22.40, 8,"Seattle-Tacoma urban area, Washington"
ak,10351483,2,"Saturday, November  5, 2011 15:07:30 UTC",62.6014,-151.2064,1.4,88.40, 7,"Central Alaska"
ak,10349408,3,"Saturday, November  5, 2011 15:06:26 UTC",63.3023,-149.6544,1.2,99.80,14,"Central Alaska"
ak,10349403,2,"Saturday, November  5, 2011 14:59:40 UTC",52.7100,-168.7632,2.1,7.60, 5,"Fox Islands, Aleutian Islands, Alaska"
uu,11051458,2,"Saturday, November  5, 2011 14:58:26 UTC",39.4370,-111.2128,1.6,10.00, 6,"Utah"
us,b0006kdy,5,"Saturday, November  5, 2011 14:36:30 UTC",35.5843,-96.7893,3.6,4.90,25,"Oklahoma"
ci,15072636,2,"Saturday, November  5, 2011 14:03:32 UTC",33.4730,-116.5723,1.5,11.40,76,"Southern California"
nc,71676066,2,"Saturday, November  5, 2011 13:59:38 UTC",40.0868,-123.6818,2.0,21.00,32,"Northern California"
pr,11309002,0,"Saturday, November  5, 2011 13:52:01 UTC",19.1800,-68.0419,3.4,8.10, 8,"Dominican Republic region"
ak,10349386,3,"Saturday, November  5, 2011 13:51:48 UTC",60.2435,-152.5274,1.9,90.20,18,"Southern Alaska"
us,b0006kdk,D,"Saturday, November  5, 2011 13:42:26 UTC",35.5303,-96.7656,3.4,5.00, 0,"Oklahoma"
nc,71677876,2,"Saturday, November  5, 2011 13:33:24 UTC",40.7227,-121.4387,1.0,5.60,10,"Northern California"
ci,15072628,2,"Saturday, November  5, 2011 13:32:39 UTC",33.4902,-116.5763,1.2,8.10,73,"Southern California"
ak,10349377,2,"Saturday, November  5, 2011 13:28:13 UTC",63.1218,-150.3729,2.3,116.80,33,"Central Alaska"
pr,11309003,0,"Saturday, November  5, 2011 13:12:07 UTC",18.8260,-64.7819,2.9,5.50, 4,"Virgin Islands region"
nc,71676051,3,"Saturday, November  5, 2011 13:11:48 UTC",40.7298,-121.4485,1.0,8.10, 8,"Northern California"
nc,71677116,2,"Saturday, November  5, 2011 13:07:36 UTC",37.1685,-118.6610,1.3,8.20,23,"Central California"
ak,10349370,2,"Saturday, November  5, 2011 12:58:36 UTC",59.7332,-153.3110,2.5,126.30,37,"Southern Alaska"
uu,11051244,2,"Saturday, November  5, 2011 12:44:36 UTC",39.4368,-111.2357,1.6,4.10,13,"Utah"
us,b0006kd1,7,"Saturday, November  5, 2011 12:09:44 UTC",-4.6090,139.1049,4.8,43.80,39,"Papua, Indonesia"
ak,10349362,2,"Saturday, November  5, 2011 11:41:02 UTC",64.8343,-149.0326,1.6,8.80,10,"Central Alaska"
ak,10349356,2,"Saturday, November  5, 2011 11:37:36 UTC",62.5676,-151.1137,2.3,90.40,40,"Central Alaska"
us,b0006kcn,7,"Saturday, November  5, 2011 11:24:15 UTC",35.5214,-96.7778,3.3,5.00,26,"Oklahoma"
uu,11051118,2,"Saturday, November  5, 2011 11:18:31 UTC",38.2258,-112.2642,2.0,0.60,11,"Utah"
ci,15072612,3,"Saturday, November  5, 2011 11:16:43 UTC",33.3417,-116.4172,1.0,15.60,51,"Southern California"
nc,71676006,2,"Saturday, November  5, 2011 10:45:52 UTC",37.5353,-118.8628,1.2,8.80,26,"Central California"
ak,10349352,2,"Saturday, November  5, 2011 10:26:49 UTC",61.1067,-147.2392,1.1,17.90, 9,"Southern Alaska"
ci,15072604,2,"Saturday, November  5, 2011 10:11:48 UTC",34.0190,-117.0145,1.1,14.80,35,"Southern California"
ak,10351472,2,"Saturday, November  5, 2011 09:50:16 UTC",58.5492,-152.3081,2.0,25.00, 6,"Kodiak Island region, Alaska"
nc,71675991,3,"Saturday, November  5, 2011 09:48:54 UTC",39.5867,-120.3732,1.4,34.30,12,"Northern California"
ak,10349350,2,"Saturday, November  5, 2011 09:42:34 UTC",63.3383,-144.9731,1.6,6.10, 7,"Central Alaska"
mb,11243615,2,"Saturday, November  5, 2011 09:17:20 UTC",45.3763,-112.5980,1.6,10.00,17,"western Montana"
us,b0006kbv,6,"Saturday, November  5, 2011 09:12:11 UTC",35.5909,-96.7879,3.3,4.90,26,"Oklahoma"
ak,10351468,2,"Saturday, November  5, 2011 09:06:38 UTC",61.1123,-147.2704,1.1,14.70, 7,"Southern Alaska"
ak,10351467,2,"Saturday, November  5, 2011 09:03:37 UTC",61.1168,-147.2856,1.0,14.10, 7,"Southern Alaska"
us,b0006kbt,5,"Saturday, November  5, 2011 08:58:45 UTC",50.6819,97.8395,4.7,27.30,27,"southwestern Siberia, Russia"
uu,11050834,2,"Saturday, November  5, 2011 08:34:48 UTC",42.3818,-111.3870,2.4,2.10,17,"southern Idaho"
uu,11050833,2,"Saturday, November  5, 2011 08:33:05 UTC",37.9050,-113.3535,1.1,6.40, 6,"Utah"
mb,11717464,2,"Saturday, November  5, 2011 08:30:48 UTC",45.3738,-112.6031,1.6,10.10,14,"western Montana"
ci,15072580,4,"Saturday, November  5, 2011 08:25:26 UTC",33.5198,-116.4317,1.1,2.90,13,"Southern California"
ci,15072572,5,"Saturday, November  5, 2011 08:24:54 UTC",32.6158,-115.7167,2.2,1.70,39,"Baja California, Mexico"
nn,00353975,8,"Saturday, November  5, 2011 08:22:13 UTC",36.9627,-117.5355,1.0,7.00, 9,"Central California"
ci,15072564,2,"Saturday, November  5, 2011 08:14:34 UTC",32.9060,-116.2293,1.5,6.70,53,"Southern California"
ak,10351465,2,"Saturday, November  5, 2011 08:08:37 UTC",63.2465,-150.7266,1.5,126.70,12,"Central Alaska"
ci,15072548,2,"Saturday, November  5, 2011 07:57:52 UTC",35.3262,-118.5380,1.2,5.60,17,"Central California"
mb,11322851,2,"Saturday, November  5, 2011 07:57:45 UTC",45.4581,-111.7050,1.0,7.00,11,"western Montana"
us,b0006kax,8,"Saturday, November  5, 2011 07:56:54 UTC",39.6748,143.1649,4.8,41.10,60,"off the east coast of Honshu, Japan"
us,b0006kbh,3,"Saturday, November  5, 2011 07:50:42 UTC",35.5593,-96.7621,2.7,4.80,13,"Oklahoma"
us,b0006kat,3,"Saturday, November  5, 2011 07:44:34 UTC",35.4876,-96.7549,2.7,5.00,12,"Oklahoma"
uw,11050742,1,"Saturday, November  5, 2011 07:42:46 UTC",47.3100,-121.9573,2.6,18.10,55,"Puget Sound region, Washington"
us,b0006k9x,4,"Saturday, November  5, 2011 07:27:20 UTC",35.5660,-96.6980,3.4,5.00, 0,"Oklahoma"
ci,15072540,2,"Saturday, November  5, 2011 07:24:14 UTC",32.6527,-115.7252,2.0,4.30,29,"Southern California"
nc,71675951,3,"Saturday, November  5, 2011 07:14:58 UTC",37.8550,-122.2420,1.9,8.10,96,"San Francisco Bay area, California"
us,b0006k8n,6,"Saturday, November  5, 2011 07:13:57 UTC",-23.5293,-70.3998,5.7,27.30,205,"Antofagasta, Chile"
us,b0006k8b,C,"Saturday, November  5, 2011 07:12:45 UTC",35.5534,-96.7484,4.7,4.00,148,"Oklahoma"
ci,15072524,2,"Saturday, November  5, 2011 07:03:10 UTC",33.3382,-116.2325,1.5,11.60,57,"Southern California"
ak,10351464,2,"Saturday, November  5, 2011 06:56:01 UTC",61.1086,-146.9120,1.2,15.30, 8,"Southern Alaska"
nc,71675946,3,"Saturday, November  5, 2011 06:45:50 UTC",38.8167,-122.8130,1.2,3.30,44,"Northern California"
ak,10349319,3,"Saturday, November  5, 2011 06:43:47 UTC",52.7894,-169.6056,3.5,12.30,11,"Fox Islands, Aleutian Islands, Alaska"
nc,71675936,4,"Saturday, November  5, 2011 06:20:40 UTC",37.6813,-122.5127,1.2,11.70,22,"offshore Northern California"
nc,71675926,3,"Saturday, November  5, 2011 06:12:32 UTC",38.7870,-122.7370,1.5,2.00,43,"Northern California"
ci,15072516,2,"Saturday, November  5, 2011 06:04:26 UTC",34.0370,-117.2773,1.3,17.30,55,"Greater Los Angeles area, California"
nc,71675921,2,"Saturday, November  5, 2011 05:53:39 UTC",37.5333,-118.8647,1.3,7.90,31,"Central California"
nc,71675916,2,"Saturday, November  5, 2011 05:53:17 UTC",37.5362,-118.8640,1.5,8.20,36,"Central California"
nc,71675911,3,"Saturday, November  5, 2011 05:35:40 UTC",38.5465,-122.3055,1.3,3.80,17,"Northern California"
nc,71675906,3,"Saturday, November  5, 2011 05:31:10 UTC",38.5512,-122.3005,1.2,4.10,12,"Northern California"
ci,15072508,2,"Saturday, November  5, 2011 05:18:47 UTC",32.9158,-116.3463,1.3,11.70,42,"Southern California"
pr,11309001,0,"Saturday, November  5, 2011 05:18:04 UTC",18.8700,-67.6230,3.2,4.90, 7,"Puerto Rico region"
ak,10351462,2,"Saturday, November  5, 2011 05:17:59 UTC",61.5110,-150.0180,1.1,43.90, 8,"Southern Alaska"
pr,11309000,0,"Saturday, November  5, 2011 04:39:46 UTC",19.0839,-64.8249,2.8,17.10, 3,"Virgin Islands region"
nc,71675881,2,"Saturday, November  5, 2011 04:39:35 UTC",36.3850,-120.9592,1.7,1.10,32,"Central California"
nc,71675876,3,"Saturday, November  5, 2011 04:21:06 UTC",38.5477,-122.3063,1.3,3.30, 8,"Northern California"
nc,71675871,2,"Saturday, November  5, 2011 03:55:45 UTC",36.8002,-121.0448,1.2,2.60,19,"Central California"
ak,10349293,3,"Saturday, November  5, 2011 03:55:08 UTC",61.0668,-152.4033,1.9,117.90,23,"Southern Alaska"
ak,10349283,2,"Saturday, November  5, 2011 03:43:11 UTC",61.2659,-146.9699,2.2,1.00,28,"Southern Alaska"
ak,10349280,3,"Saturday, November  5, 2011 03:29:51 UTC",52.0970,179.5755,3.7,46.10,17,"Rat Islands, Aleutian Islands, Alaska"
us,b0006k6x,5,"Saturday, November  5, 2011 03:22:28 UTC",39.2326,71.7556,4.8,10.00,52,"Tajikistan"
ak,10349274,2,"Saturday, November  5, 2011 03:13:14 UTC",63.0355,-150.9451,2.1,128.60,17,"Central Alaska"
ak,10349263,2,"Saturday, November  5, 2011 02:57:58 UTC",62.2604,-151.0641,2.7,74.20,51,"Central Alaska"
ak,10349261,2,"Saturday, November  5, 2011 02:54:58 UTC",64.3503,-149.6245,1.8,16.10,14,"Central Alaska"
ak,10349258,3,"Saturday, November  5, 2011 02:53:53 UTC",59.8756,-141.1351,2.0,6.60,25,"Southeastern Alaska"
ak,10351454,2,"Saturday, November  5, 2011 02:37:49 UTC",60.7524,-140.4349,1.2,25.30, 7,"Southern Yukon Territory, Canada"
ak,10349257,3,"Saturday, November  5, 2011 02:37:48 UTC",61.7663,-151.1830,1.5,76.90, 8,"Southern Alaska"
hv,60280871,1,"Saturday, November  5, 2011 02:24:33 UTC",19.3023,-155.2143,1.7,3.60,30,"Island of Hawaii, Hawaii"
ak,10349251,2,"Saturday, November  5, 2011 02:17:11 UTC",60.2851,-152.5017,1.7,86.50,14,"Southern Alaska"
us,b0006k6c,4,"Saturday, November  5, 2011 02:01:38 UTC",38.6630,43.6979,4.3,7.40,36,"eastern Turkey"
mb,11796699,2,"Saturday, November  5, 2011 01:59:49 UTC",46.2070,-112.1401,1.0,2.40,13,"western Montana"
ci,15072500,2,"Saturday, November  5, 2011 01:51:13 UTC",33.1913,-115.6103,1.3,6.60,12,"Southern California"
us,b0006k69,B,"Saturday, November  5, 2011 01:49:19 UTC",-18.2929,168.3091,5.8,39.50,221,"Vanuatu"
ci,15072492,2,"Saturday, November  5, 2011 01:41:19 UTC",33.9775,-117.2450,1.1,17.20,17,"Greater Los Angeles area, California"
nn,00353956,8,"Saturday, November  5, 2011 01:32:12 UTC",39.9665,-118.7084,1.3,11.00, 6,"Nevada"
ci,15072484,2,"Saturday, November  5, 2011 01:30:58 UTC",33.0668,-118.0485,2.5,10.00,58,"Gulf of Santa Catalina, California"
nc,71675841,3,"Saturday, November  5, 2011 01:26:44 UTC",38.8200,-122.7853,1.7,2.50,49,"Northern California"
nc,71675831,3,"Saturday, November  5, 2011 01:11:46 UTC",38.7853,-122.7707,2.0,4.20,56,"Northern California"
ci,15072476,2,"Saturday, November  5, 2011 01:05:56 UTC",34.0567,-116.9812,1.8,15.10,78,"Southern California"
ak,10349212,3,"Saturday, November  5, 2011 00:57:21 UTC",59.4929,-153.4042,4.6,109.60,109,"Southern Alaska"
nc,71675826,0,"Saturday, November  5, 2011 00:50:23 UTC",38.8407,-122.8280,1.0,2.40,16,"Northern California"
ak,10349208,2,"Saturday, November  5, 2011 00:43:10 UTC",63.3025,-151.2406,1.4,17.40, 9,"Central Alaska"
ak,10351449,2,"Saturday, November  5, 2011 00:40:35 UTC",60.6214,-152.6443,1.9,135.20,13,"Southern Alaska"
ci,15072468,2,"Friday, November  4, 2011 23:51:05 UTC",33.1557,-115.6957,1.6,7.10,10,"Southern California"
ci,15072460,2,"Friday, November  4, 2011 23:48:51 UTC",33.1588,-115.7233,1.6,0.00,11,"Southern California"
nc,71675801,2,"Friday, November  4, 2011 23:42:02 UTC",38.8128,-122.7927,1.1,3.90,27,"Northern California"
ak,10349180,3,"Friday, November  4, 2011 23:31:41 UTC",51.5463,-176.6826,2.9,40.40,17,"Andreanof Islands, Aleutian Islands, Alaska"
