client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,product_count
64,Referrer_43,Brampton,L6P1R2,43.771062,-79.670396,2012-04-06,2
65,WALK-IN,Brampton,L6P0J6,43.791156,-79.712192,2013-04-04,1
66,WALK-IN,Brampton,L6P0J6,43.791156,-79.712192,2013-08-26,1
67,WALK-IN,Woodbridge,L4H2N8,43.824332,-79.619298,2012-04-05,1
68,WALK-IN,Brampton,L6P2Y1,43.782898,-79.682903,2014-07-10,1
69,WALK-IN,Brampton,L6P2Y1,43.782898,-79.682903,2012-04-24,2
69,WALK-IN,Brampton,L6P2Y1,43.782898,-79.682903,2014-08-03,1
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,2012-03-15,2
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,2013-07-19,1
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,2014-08-03,4
71,Referrer_16,Brampton,L6P2Y1,43.782898,-79.682903,2012-04-19,2
71,Referrer_16,Brampton,L6P2Y1,43.782898,-79.682903,2014-08-03,1
72,WALK-IN,Brampton,L6P2H1,43.77578,-79.677308,2012-09-24,1
73,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,2014-11-23,1
74,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,2014-11-22,0
75,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,2014-11-25,1
76,WALK-IN,Brampton,L6P2H1,43.77578,-79.677308,2013-01-17,1
77,WALK-IN,Brampton,L6X3R1,43.700069,-79.786896,2012-11-22,1
78,WALK-IN,Brampton,L6X3R1,43.700069,-79.786896,2012-11-16,1
79,WALK-IN,Woodbridge,L4H1G5,43.799573,-79.617487,2012-12-17,1
80,WALK-IN,Brampton,L6S3H7,43.745613,-79.725511,2012-05-14,2
81,WALK-IN,Brampton,L6S3H7,43.745613,-79.725511,2012-05-14,3
82,WALK-IN,Brampton,L6R2V9,43.750075,-79.772165,2013-06-25,2
83,WALK-IN,Brampton,L6R2V9,43.750075,-79.772165,2013-06-25,2
84,WALK-IN,Brampton,L6P0R1,43.779806,-79.708326,2012-04-24,1
85,WALK-IN,Brampton,L6X4C5,43.679093,-79.788679,2012-02-23,1
86,WALK-IN,Brampton,L6P2X1,43.779534,-79.721826,2012-11-20,0
87,WALK-IN,Brampton,L6P2X1,43.779534,-79.721826,2012-11-20,1
88,WALK-IN,Brampton,L6P2X1,43.779534,-79.721826,2012-03-12,1
89,WALK-IN,Brampton,L6R0Z4,43.776903,-79.751629,2012-05-28,1
90,WALK-IN,Brampton,L6R0H5,43.766917,-79.760425,2012-07-14,0
91,WALK-IN,Brampton,L6R0H5,43.766917,-79.760425,2012-07-20,1
92,WALK-IN,Brampton,L6X5C3,43.691887,-79.798429,2012-11-07,1
93,WALK-IN,Brampton,L6P2R8,43.768028,-79.663993,2012-11-07,0
94,WALK-IN,Brampton,L6S1T1,43.736282,-79.713091,2012-12-31,1
95,WALK-IN,Brampton,L6P3H5,43.788534,-79.678605,2014-03-03,1
96,WALK-IN,Brampton,L6P3H5,43.788534,-79.678605,2013-03-28,1
97,WALK-IN,Brampton,L6S1S5,43.720631,-79.725453,2014-09-29,1
98,MEDIA,Brampton,L6P2J6,43.768292,-79.714892,2013-03-23,2
98,WALK-IN,Brampton,L6P3S1,43.791223,-79.673024,2014-11-14,1
