CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type
"31","Azerbaijan","561","Y","Children under five mortality rate per 1,000 live births","94.5","","E","93.5","","E","92.6","","E","91.6","","E","87.7","","E","84.4","","E","80.8","","E","77.6","","E","74.5","","E","71.6","","E","68.6","","E","66.4","","E","63.3","","E","61","","E","59.1","","E","56.8","","E","54.4","","E","52.9","","E","50.2","","E","49.1","","E","46.4","","E","44.7","","E"," "," "," "," "," "," "
"44","Bahamas","561","Y","Children under five mortality rate per 1,000 live births","21.9","","E","21.1","","E","20.2","","E","19.3","","E","18.4","","E","17.9","","E","17.4","","E","17.2","","E","17.1","","E","17","","E","16.9","","E","16.7","","E","16.6","","E","16.4","","E","16.3","","E","16.4","","E","16.3","","E","16.3","","E","16.3","","E","16.2","","E","16.2","","E","16.2","","E"," "," "," "," "," "," "
"48","Bahrain","561","Y","Children under five mortality rate per 1,000 live births","20.5","","E","20","","E","19.3","","E","18.3","","E","17.1","","E","16","","E","15","","E","14.1","","E","13.4","","E","12.8","","E","12.4","","E","12.2","","E","11.9","","E","11.7","","E","11.4","","E","11.2","","E","10.9","","E","10.7","","E","10.5","","E","10.4","","E","10.2","","E","10","","E"," "," "," "," "," "," "
"50","Bangladesh","561","Y","Children under five mortality rate per 1,000 live births","138.8","","E","134","","E","128","","E","121.9","","E","116.5","","E","110.8","","E","104.5","","E","99.2","","E","93.9","","E","89.3","","E","84.4","","E","80","","E","75.7","","E","71.7","","E","67.7","","E","64.1","","E","60.7","","E","57.4","","E","54.3","","E","51.4","","E","48.7","","E","46","","E"," "," "," "," "," "," "
"52","Barbados","561","Y","Children under five mortality rate per 1,000 live births","17.9","","E","17.4","","E","16.9","","E","16.8","","E","16.5","","E","16.5","","E","16.6","","E","16.7","","E","16.9","","E","17","","E","17.2","","E","17.3","","E","17.5","","E","17.7","","E","17.9","","E","18.2","","E","18.3","","E","18.7","","E","19","","E","19.3","","E","19.3","","E","19.7","","E"," "," "," "," "," "," "
"112","Belarus","561","Y","Children under five mortality rate per 1,000 live births","17.2","","E","17","","E","17","","E","16.9","","E","16.9","","E","16.8","","E","16.5","","E","16","","E","15.4","","E","14.6","","E","13.7","","E","12.8","","E","11.9","","E","11","","E","10.1","","E","9.3","","E","8.6","","E","7.9","","E","7.3","","E","6.7","","E","6.1","","E","5.6","","E"," "," "," "," "," "," "
"56","Belgium","561","Y","Children under five mortality rate per 1,000 live births","10","","E","9.6","","E","9.1","","E","8.6","","E","8.1","","E","7.6","","E","7.1","","E","6.7","","E","6.4","","E","6.1","","E","5.8","","E","5.6","","E","5.4","","E","5.2","","E","5.1","","E","4.9","","E","4.8","","E","4.7","","E","4.6","","E","4.5","","E","4.4","","E","4.3","","E"," "," "," "," "," "," "
"84","Belize","561","Y","Children under five mortality rate per 1,000 live births","43.9","","E","41.8","","E","39.7","","E","37.6","","E","35.7","","E","33.7","","E","31.9","","E","30.3","","E","28.7","","E","27.5","","E","26.3","","E","25.2","","E","24.3","","E","23.2","","E","22.3","","E","21.4","","E","20.6","","E","19.8","","E","19","","E","18.4","","E","17.6","","E","16.9","","E"," "," "," "," "," "," "
"204","Benin","561","Y","Children under five mortality rate per 1,000 live births","177.3","","E","173.8","","E","170.2","","E","166.3","","E","162.3","","E","158.5","","E","154.5","","E","150.4","","E","146.8","","E","143.2","","E","139.7","","E","136.2","","E","133","","E","129.5","","E","126.4","","E","123.2","","E","120.2","","E","117.2","","E","114.5","","E","111.7","","E","108.8","","E","106","","E"," "," "," "," "," "," "
"64","Bhutan","561","Y","Children under five mortality rate per 1,000 live births","138.4","","E","132.7","","E","127","","E","121.9","","E","116.3","","E","111.6","","E","106.6","","E","102.1","","E","97.3","","E","93.1","","E","89.1","","E","85.2","","E","81.3","","E","77.7","","E","74.2","","E","70.8","","E","67.3","","E","64.3","","E","61.7","","E","59","","E","55.9","","E","53.7","","E"," "," "," "," "," "," "
