"","state","demVote","year","south"
"1","Alabama",84.76,1932,TRUE
"2","Arizona",67.03,1932,FALSE
"3","Arkansas",86.27,1932,TRUE
"4","California",58.41,1932,FALSE
"5","Colorado",54.81,1932,FALSE
"6","Connecticut",47.4,1932,FALSE
"7","Delaware",48.11,1932,FALSE
"8","Florida",74.49,1932,TRUE
"9","Georgia",91.6,1932,TRUE
"10","Idaho",58.7,1932,FALSE
"11","Illinois",55.23,1932,FALSE
"12","Indiana",54.67,1932,FALSE
"13","Iowa",57.69,1932,FALSE
"14","Kansas",53.56,1932,FALSE
"15","Kentucky",59.06,1932,FALSE
"16","Louisiana",92.79,1932,TRUE
"17","Maine",43.19,1932,FALSE
"18","Maryland",61.5,1932,FALSE
"19","Massachusetts",50.64,1932,FALSE
"20","Michigan",52.36,1932,FALSE
"21","Minnesota",59.91,1932,FALSE
"22","Mississippi",95.98,1932,TRUE
"23","Missouri",63.69,1932,FALSE
"24","Montana",58.8,1932,FALSE
"25","Nebraska",62.98,1932,FALSE
"26","Nevada",69.41,1932,FALSE
"27","New Hampshire",48.99,1932,FALSE
"28","New Jersey",49.48,1932,FALSE
"29","New Mexico",62.72,1932,FALSE
"30","New York",54.07,1932,FALSE
"31","North Carolina",69.93,1932,TRUE
"32","North Dakota",69.59,1932,FALSE
"33","Ohio",49.88,1932,FALSE
"34","Oklahoma",73.3,1932,FALSE
"35","Oregon",58,1932,FALSE
"36","Pennsylvania",45.33,1932,FALSE
"37","Rhode Island",55.08,1932,FALSE
"38","South Carolina",98.03,1932,TRUE
"39","South Dakota",63.62,1932,FALSE
"40","Tennessee",66.48,1932,TRUE
"41","Texas",88.19,1932,TRUE
"42","Utah",56.52,1932,FALSE
"43","Vermont",41.08,1932,FALSE
"44","Virginia",68.46,1932,TRUE
"45","Washington",57.46,1932,FALSE
"46","West Virginia",54.47,1932,FALSE
"47","Wisconsin",63.46,1932,FALSE
"48","Wyoming",56.07,1932,FALSE
"49","Alabama",86.38,1936,TRUE
"50","Arizona",69.85,1936,FALSE
"51","Arkansas",81.79,1936,TRUE
"52","California",66.95,1936,FALSE
"53","Colorado",60.37,1936,FALSE
"54","Connecticut",55.32,1936,FALSE
"55","Delaware",54.62,1936,FALSE
"56","Florida",76.08,1936,TRUE
"57","Georgia",87.1,1936,TRUE
"58","Idaho",62.96,1936,FALSE
"59","Illinois",57.7,1936,FALSE
"60","Indiana",56.63,1936,FALSE
"61","Iowa",54.41,1936,FALSE
"62","Kansas",53.67,1936,FALSE
"63","Kentucky",58.51,1936,FALSE
"64","Louisiana",88.82,1936,TRUE
"65","Maine",41.52,1936,FALSE
"66","Maryland",62.35,1936,FALSE
"67","Massachusetts",51.22,1936,FALSE
"68","Michigan",56.33,1936,FALSE
"69","Minnesota",61.84,1936,FALSE
"70","Mississippi",97.03,1936,TRUE
"71","Missouri",60.76,1936,FALSE
"72","Montana",69.28,1936,FALSE
"73","Nebraska",57.14,1936,FALSE
"74","Nevada",72.81,1936,FALSE
"75","New Hampshire",49.73,1936,FALSE
"76","New Jersey",59.54,1936,FALSE
"77","New Mexico",62.69,1936,FALSE
"78","New York",58.85,1936,FALSE
"79","North Carolina",73.4,1936,TRUE
"80","North Dakota",59.6,1936,FALSE
"81","Ohio",57.99,1936,FALSE
"82","Oklahoma",66.83,1936,FALSE
"83","Oregon",64.41,1936,FALSE
"84","Pennsylvania",56.88,1936,FALSE
"85","Rhode Island",52.96,1936,FALSE
"86","South Carolina",98.57,1936,TRUE
"87","South Dakota",54.02,1936,FALSE
"88","Tennessee",68.77,1936,TRUE
"89","Texas",87.08,1936,TRUE
"90","Utah",69.34,1936,FALSE
"91","Vermont",43.24,1936,FALSE
"92","Virginia",70.23,1936,TRUE
"93","Washington",66.38,1936,FALSE
"94","West Virginia",60.56,1936,FALSE
"95","Wisconsin",63.8,1936,FALSE
"96","Wyoming",60.58,1936,FALSE
"97","Alabama",85.22,1940,TRUE
"98","Arizona",63.49,1940,FALSE
"99","Arkansas",78.44,1940,TRUE
"100","California",57.44,1940,FALSE
"101","Colorado",48.37,1940,FALSE
"102","Connecticut",53.44,1940,FALSE
"103","Delaware",54.7,1940,FALSE
"104","Florida",73.99,1940,TRUE
"105","Georgia",84.81,1940,TRUE
"106","Idaho",54.36,1940,FALSE
"107","Illinois",50.97,1940,FALSE
"108","Indiana",49.03,1940,FALSE
"109","Iowa",47.62,1940,FALSE
"110","Kansas",42.4,1940,FALSE
"111","Kentucky",57.45,1940,FALSE
"112","Louisiana",85.88,1940,TRUE
"113","Maine",48.77,1940,FALSE
"114","Maryland",58.26,1940,FALSE
"115","Massachusetts",53.11,1940,FALSE
"116","Michigan",49.52,1940,FALSE
"117","Minnesota",51.49,1940,FALSE
"118","Mississippi",95.7,1940,TRUE
"119","Missouri",52.27,1940,FALSE
"120","Montana",58.78,1940,FALSE
"121","Nebraska",42.81,1940,FALSE
"122","Nevada",60.08,1940,FALSE
"123","New Hampshire",53.22,1940,FALSE
"124","New Jersey",51.55,1940,FALSE
"125","New Mexico",56.59,1940,FALSE
"126","New York",51.6,1940,FALSE
"127","North Carolina",74.03,1940,TRUE
"128","North Dakota",44.18,1940,FALSE
"129","Ohio",52.2,1940,FALSE
"130","Oklahoma",57.41,1940,FALSE
"131","Oregon",53.7,1940,FALSE
"132","Pennsylvania",53.23,1940,FALSE
"133","Rhode Island",56.73,1940,FALSE
"134","South Carolina",95.63,1940,TRUE
"135","South Dakota",42.59,1940,FALSE
"136","Tennessee",67.25,1940,TRUE
"137","Texas",80.93,1940,TRUE
"138","Utah",62.25,1940,FALSE
"139","Vermont",44.92,1940,FALSE
"140","Virginia",68.08,1940,TRUE
"141","Washington",58.22,1940,FALSE
"142","West Virginia",57.1,1940,FALSE
"143","Wisconsin",50.15,1940,FALSE
"144","Wyoming",52.82,1940,FALSE
"145","Alabama",81.28,1944,TRUE
"146","Arizona",58.8,1944,FALSE
"147","Arkansas",69.95,1944,TRUE
"148","California",56.48,1944,FALSE
"149","Colorado",46.4,1944,FALSE
"150","Connecticut",52.3,1944,FALSE
"151","Delaware",54.38,1944,FALSE
"152","Florida",70.29,1944,TRUE
"153","Georgia",81.73,1944,TRUE
"154","Idaho",51.55,1944,FALSE
"155","Illinois",51.52,1944,FALSE
"156","Indiana",46.73,1944,FALSE
"157","Iowa",47.49,1944,FALSE
"158","Kansas",39.18,1944,FALSE
"159","Kentucky",54.45,1944,FALSE
"160","Louisiana",80.59,1944,TRUE
"161","Maine",47.45,1944,FALSE
"162","Maryland",51.85,1944,FALSE
"163","Massachusetts",52.8,1944,FALSE
"164","Michigan",50.19,1944,FALSE
"165","Minnesota",52.41,1944,FALSE
"166","Mississippi",93.56,1944,TRUE
"167","Missouri",51.37,1944,FALSE
"168","Montana",54.28,1944,FALSE
"169","Nebraska",41.42,1944,FALSE
"170","Nevada",54.62,1944,FALSE
"171","New Hampshire",52.11,1944,FALSE
"172","New Jersey",50.31,1944,FALSE
"173","New Mexico",53.47,1944,FALSE
"174","New York",52.31,1944,FALSE
"175","North Carolina",66.71,1944,TRUE
"176","North Dakota",45.48,1944,FALSE
"177","Ohio",49.82,1944,FALSE
"178","Oklahoma",55.57,1944,FALSE
"179","Oregon",51.78,1944,FALSE
"180","Pennsylvania",51.14,1944,FALSE
"181","Rhode Island",58.59,1944,FALSE
"182","South Carolina",87.64,1944,TRUE
"183","South Dakota",41.67,1944,FALSE
"184","Tennessee",60.45,1944,TRUE
"185","Texas",71.42,1944,TRUE
"186","Utah",60.44,1944,FALSE
"187","Vermont",42.93,1944,FALSE
"188","Virginia",62.36,1944,TRUE
"189","Washington",56.84,1944,FALSE
"190","West Virginia",54.89,1944,FALSE
"191","Wisconsin",48.57,1944,FALSE
"192","Wyoming",48.77,1944,FALSE
"194","Arizona",53.79,1948,FALSE
"195","Arkansas",61.72,1948,TRUE
"196","California",47.57,1948,FALSE
"197","Colorado",51.88,1948,FALSE
"198","Connecticut",47.91,1948,FALSE
"199","Delaware",48.76,1948,FALSE
"200","Florida",48.82,1948,TRUE
"201","Georgia",60.8,1948,TRUE
"202","Idaho",49.98,1948,FALSE
"203","Illinois",50.07,1948,FALSE
"204","Indiana",48.78,1948,FALSE
"205","Iowa",50.31,1948,FALSE
"206","Kansas",44.61,1948,FALSE
"207","Kentucky",56.74,1948,FALSE
"208","Louisiana",32.75,1948,TRUE
"209","Maine",42.27,1948,FALSE
"210","Maryland",48.01,1948,FALSE
"211","Massachusetts",54.66,1948,FALSE
"212","Michigan",47.57,1948,FALSE
"213","Minnesota",57.16,1948,FALSE
"214","Mississippi",10.09,1948,TRUE
"215","Missouri",58.11,1948,FALSE
"216","Montana",53.09,1948,FALSE
"217","Nebraska",45.85,1948,FALSE
"218","Nevada",50.37,1948,FALSE
"219","New Hampshire",46.66,1948,FALSE
"220","New Jersey",45.93,1948,FALSE
"221","New Mexico",56.38,1948,FALSE
"222","New York",45.01,1948,FALSE
"223","North Carolina",58.02,1948,TRUE
"224","North Dakota",43.41,1948,FALSE
"225","Ohio",49.48,1948,FALSE
"226","Oklahoma",62.75,1948,FALSE
"227","Oregon",46.4,1948,FALSE
"228","Pennsylvania",46.91,1948,FALSE
"229","Rhode Island",57.59,1948,FALSE
"230","South Carolina",24.14,1948,TRUE
"231","South Dakota",47.04,1948,FALSE
"232","Tennessee",49.14,1948,TRUE
"233","Texas",65.96,1948,TRUE
"234","Utah",53.98,1948,FALSE
"235","Vermont",36.92,1948,FALSE
"236","Virginia",47.89,1948,TRUE
"237","Washington",52.61,1948,FALSE
"238","West Virginia",57.32,1948,FALSE
"239","Wisconsin",50.7,1948,FALSE
"240","Wyoming",51.62,1948,FALSE
"241","Alabama",64.55,1952,TRUE
"242","Arizona",41.65,1952,FALSE
"243","Arkansas",55.9,1952,TRUE
"244","California",42.74,1952,FALSE
"245","Colorado",38.96,1952,FALSE
"246","Connecticut",43.91,1952,FALSE
"247","Delaware",47.88,1952,FALSE
"248","Florida",44.97,1952,TRUE
"249","Georgia",69.66,1952,TRUE
"250","Idaho",34.42,1952,FALSE
"251","Illinois",44.94,1952,FALSE
"252","Indiana",40.99,1952,FALSE
"253","Iowa",35.59,1952,FALSE
"254","Kansas",30.5,1952,FALSE
"255","Kentucky",49.91,1952,FALSE
"256","Louisiana",52.92,1952,TRUE
"257","Maine",33.77,1952,FALSE
"258","Maryland",43.83,1952,FALSE
"259","Massachusetts",45.46,1952,FALSE
"260","Michigan",43.97,1952,FALSE
"261","Minnesota",44.11,1952,FALSE
"262","Mississippi",60.44,1952,TRUE
"263","Missouri",49.14,1952,FALSE
"264","Montana",40.07,1952,FALSE
"265","Nebraska",30.85,1952,FALSE
"266","Nevada",38.55,1952,FALSE
"267","New Hampshire",39.08,1952,FALSE
"268","New Jersey",42,1952,FALSE
"269","New Mexico",44.28,1952,FALSE
"270","New York",43.55,1952,FALSE
"271","North Carolina",53.91,1952,TRUE
"272","North Dakota",28.39,1952,FALSE
"273","Ohio",43.24,1952,FALSE
"274","Oklahoma",45.41,1952,FALSE
"275","Oregon",38.93,1952,FALSE
"276","Pennsylvania",46.85,1952,FALSE
"277","Rhode Island",49.05,1952,FALSE
"278","South Carolina",50.72,1952,TRUE
"279","South Dakota",30.73,1952,FALSE
"280","Tennessee",49.71,1952,TRUE
"281","Texas",46.69,1952,TRUE
"282","Utah",41.07,1952,FALSE
"283","Vermont",28.23,1952,FALSE
"284","Virginia",43.36,1952,TRUE
"285","Washington",44.69,1952,FALSE
"286","West Virginia",51.92,1952,FALSE
"287","Wisconsin",38.71,1952,FALSE
"288","Wyoming",37.09,1952,FALSE
"289","Alabama",56.52,1956,TRUE
"290","Arizona",38.9,1956,FALSE
"291","Arkansas",52.46,1956,TRUE
"292","California",44.27,1956,FALSE
"293","Colorado",39.26,1956,FALSE
"294","Connecticut",36.26,1956,FALSE
"295","Delaware",44.62,1956,FALSE
"296","Florida",42.67,1956,TRUE
"297","Georgia",66.41,1956,TRUE
"298","Idaho",38.78,1956,FALSE
"299","Illinois",40.29,1956,FALSE
"300","Indiana",39.7,1956,FALSE
"301","Iowa",40.65,1956,FALSE
"302","Kansas",34.21,1956,FALSE
"303","Kentucky",45.21,1956,FALSE
"304","Louisiana",39.51,1956,TRUE
"305","Maine",29.13,1956,FALSE
"306","Maryland",39.94,1956,FALSE
"307","Massachusetts",40.37,1956,FALSE
"308","Michigan",44.15,1956,FALSE
"309","Minnesota",46.08,1956,FALSE
"310","Mississippi",58.22,1956,TRUE
"311","Missouri",50.11,1956,FALSE
"312","Montana",42.87,1956,FALSE
"313","Nebraska",34.49,1956,FALSE
"314","Nevada",42.03,1956,FALSE
"315","New Hampshire",33.84,1956,FALSE
"316","New Jersey",34.23,1956,FALSE
"317","New Mexico",41.78,1956,FALSE
"318","New York",38.73,1956,FALSE
"319","North Carolina",50.66,1956,TRUE
"320","North Dakota",38.09,1956,FALSE
"321","Ohio",38.89,1956,FALSE
"322","Oklahoma",44.87,1956,FALSE
"323","Oregon",44.72,1956,FALSE
"324","Pennsylvania",43.3,1956,FALSE
"325","Rhode Island",41.74,1956,FALSE
"326","South Carolina",45.37,1956,TRUE
"327","South Dakota",41.61,1956,FALSE
"328","Tennessee",48.6,1956,TRUE
"329","Texas",43.98,1956,TRUE
"330","Utah",35.44,1956,FALSE
"331","Vermont",27.81,1956,FALSE
"332","Virginia",38.36,1956,TRUE
"333","Washington",45.44,1956,FALSE
"334","West Virginia",45.92,1956,FALSE
"335","Wisconsin",37.84,1956,FALSE
"336","Wyoming",39.92,1956,FALSE
"337","Alabama",56.83,1960,TRUE
"338","Alaska",49.06,1960,FALSE
"339","Arizona",44.36,1960,FALSE
"340","Arkansas",50.19,1960,TRUE
"341","California",49.55,1960,FALSE
"342","Colorado",44.91,1960,FALSE
"343","Connecticut",53.73,1960,FALSE
"344","Delaware",50.63,1960,FALSE
"345","Florida",48.49,1960,TRUE
"346","Georgia",62.54,1960,TRUE
"347","Hawaii",50.03,1960,FALSE
"348","Idaho",46.22,1960,FALSE
"349","Illinois",49.98,1960,FALSE
"350","Indiana",44.6,1960,FALSE
"351","Iowa",43.22,1960,FALSE
"352","Kansas",39.1,1960,FALSE
"353","Kentucky",46.41,1960,FALSE
"354","Louisiana",50.42,1960,TRUE
"355","Maine",42.95,1960,FALSE
"356","Maryland",53.61,1960,FALSE
"357","Massachusetts",60.22,1960,FALSE
"358","Michigan",50.85,1960,FALSE
"359","Minnesota",50.58,1960,FALSE
"360","Mississippi",36.34,1960,TRUE
"361","Missouri",50.26,1960,FALSE
"362","Montana",48.6,1960,FALSE
"363","Nebraska",37.93,1960,FALSE
"364","Nevada",51.16,1960,FALSE
"365","New Hampshire",46.58,1960,FALSE
"366","New Jersey",49.96,1960,FALSE
"367","New Mexico",50.15,1960,FALSE
"368","New York",52.53,1960,FALSE
"369","North Carolina",52.11,1960,TRUE
"370","North Dakota",44.52,1960,FALSE
"371","Ohio",46.72,1960,FALSE
"372","Oklahoma",40.98,1960,FALSE
"373","Oregon",47.32,1960,FALSE
"374","Pennsylvania",51.06,1960,FALSE
"375","Rhode Island",63.63,1960,FALSE
"376","South Carolina",51.24,1960,TRUE
"377","South Dakota",41.79,1960,FALSE
"378","Tennessee",45.77,1960,TRUE
"379","Texas",50.52,1960,TRUE
"380","Utah",45.17,1960,FALSE
"381","Vermont",41.35,1960,FALSE
"382","Virginia",46.97,1960,TRUE
"383","Washington",48.27,1960,FALSE
"384","West Virginia",52.73,1960,FALSE
"385","Wisconsin",48.05,1960,FALSE
"386","Wyoming",44.99,1960,FALSE
"388","Alaska",65.91,1964,FALSE
"389","Arizona",49.45,1964,FALSE
"390","Arkansas",56.06,1964,TRUE
"391","California",59.11,1964,FALSE
"392","Colorado",61.27,1964,FALSE
"393","Connecticut",67.81,1964,FALSE
"394","Delaware",60.95,1964,FALSE
"395","DC",85.5,1964,FALSE
"396","Florida",51.15,1964,TRUE
"397","Georgia",45.87,1964,TRUE
"398","Hawaii",78.76,1964,FALSE
"399","Idaho",50.92,1964,FALSE
"400","Illinois",59.47,1964,FALSE
