Cause,Number,Percent
Homicides,"1,937",40.84
Felonious Assault,205,4.32
Rape,912,19.22
Attempted Rape,288,6.07
Robbery and Theft,232,4.89
Insult to White Person,85,1.79
All Other Causes,"1,084",22.85
