"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Bhutan,4.389185,4.39097,4.392596,4.395428,4.39915,4.401044,4.404026,4.412035,4.418617,4.424981,4.431356,4.436739,4.442378,4.447206,4.449873,4.454279,4.458822,4.462894,4.467008,4.471862,4.476385,4.480345,4.483721,4.486407,4.487799,4.491093,4.492808,4.497338,4.503437
Bolivia,4.844832,4.839973,4.831378,4.82289,4.806698,4.784903,4.760369,4.737332,4.716874,4.6983,4.684135,4.671462,4.658796,4.650333,4.64658,4.642332,4.63926,4.634967,4.632668,4.627704,4.62138,4.614421,4.606631,4.600071,4.594123,4.591039,4.587154,4.582098,4.576594
Bosnia and Herzegovina,4.92838,4.925472,4.920978,4.917366,4.914223,4.91216,4.906024,4.895054,4.882168,4.863923,4.843844,4.810717,4.766521,4.711708,4.663593,4.630342,4.617823,4.617761,4.625267,4.636088,4.653244,4.668398,4.681182,4.684947,4.683374,4.680414,4.676528,4.676327,4.675499
Botswana,4.535484,4.530686,4.528971,4.529619,4.538636,4.5423,4.544823,4.547367,4.55132,4.560294,4.576956,4.590848,4.606302,4.613735,4.611408,4.611493,4.607832,4.60466,4.601849,4.594336,4.591959,4.59093,4.588541,4.585669,4.589264,4.594361,4.60004,4.602598,4.604517
Brazil,4.858314,4.861153,4.859378,4.854544,4.85098,4.847581,4.850695,4.852884,4.852326,4.853097,4.8529,4.853409,4.856416,4.858612,4.862508,4.870936,4.875238,4.879975,4.883475,4.882928,4.882792,4.880522,4.875647,4.867713,4.86208,4.854161,4.846544,4.839986,4.834578
British Virgin Islands,4.807664,4.80408,4.799653,4.794607,4.789481,4.780977,4.770553,4.76536,4.761496,4.757846,4.763144,4.777088,4.799376,4.828582,4.864064,4.903419,4.936719,4.966492,4.989646,5.009418,5.026683,5.037902,5.041538,5.037559,5.032543,5.028622,5.025424,5.02427,5.024314
Brunei,5.510794,5.493176,5.476901,5.457377,5.436532,5.412632,5.385768,5.365996,5.345174,5.31935,5.297647,5.282333,5.262267,5.243472,5.23276,5.221298,5.212399,5.198351,5.187984,5.183752,5.175766,5.163717,5.153958,5.143064,5.137569,5.129046,5.127188,5.128662,5.128779
Bulgaria,5.264144,5.27133,5.277013,5.282352,5.289771,5.294625,5.295781,5.295505,5.296343,5.29378,5.280305,5.264428,5.245474,5.228555,5.207119,5.187304,5.163681,5.138339,5.118707,5.09875,5.082261,5.066823,5.047228,5.027157,5.015432,5.006697,5.002624,4.998131,4.994091
Burkina Faso,4.107502,4.095814,4.082749,4.070621,4.058998,4.045814,4.028834,4.013905,3.999562,3.984848,3.968448,3.954459,3.939015,3.923556,3.907274,3.895158,3.886003,3.881036,3.878304,3.876604,3.877278,3.879446,3.881176,3.884649,3.888398,3.893285,3.897616,3.901014,3.903997
Burundi,4.021657,4.020997,4.021998,4.024388,4.029794,4.029092,4.026563,4.024297,4.025161,4.030535,4.030215,4.030079,4.029892,4.027281,4.024197,4.017485,4.003227,3.991602,3.982636,3.975745,3.968531,3.960051,3.954383,3.949852,3.948151,3.944918,3.946219,3.946841,3.948223
Cambodia,4.375669,4.359883,4.348233,4.337565,4.330467,4.325141,4.319524,4.310901,4.304636,4.299855,4.291534,4.284545,4.27932,4.274414,4.270318,4.266889,4.267574,4.26995,4.271853,4.276118,4.282379,4.290839,4.298664,4.306093,4.315327,4.326602,4.337991,4.349782,4.361526
Cameroon,4.197154,4.196453,4.198229,4.199553,4.205079,4.208484,4.210636,4.214219,4.213313,4.205749,4.195339,4.180423,4.161129,4.141186,4.119454,4.099658,4.082958,4.070117,4.060647,4.055061,4.051721,4.051968,4.053227,4.055424,4.057655,4.058519,4.060518,4.063623,4.065937
Canada,5.640598,5.617574,5.591285,5.568269,5.544965,5.524339,5.501749,5.479545,5.463727,5.450308,5.434407,5.414004,5.393355,5.371437,5.351969,5.334204,5.312799,5.289971,5.27206,5.254929,5.239426,5.224809,5.210621,5.193343,5.177506,5.158259,5.13854,5.116271,5.094217
Cape Verde,4.230469,4.220667,4.217215,4.21221,4.207019,4.205803,4.201343,4.185834,4.176317,4.172265,4.175105,4.179963,4.187163,4.192871,4.192713,4.198751,4.199725,4.204323,4.209039,4.215143,4.221495,4.227785,4.23046,4.230783,4.231815,4.233361,4.238217,4.243701,4.247794
