"TC male (mmol/L), age standardized mean",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
India,4.574924,4.577288,4.580125,4.580822,4.582053,4.584908,4.586489,4.587842,4.588726,4.587858,4.589303,4.586052,4.582194,4.578593,4.573298,4.566735,4.559178,4.549654,4.540961,4.53069,4.519105,4.505099,4.487415,4.465763,4.44323,4.41907,4.392942,4.366523,4.339796
Indonesia,4.590782,4.57946,4.566211,4.552278,4.540038,4.527398,4.515497,4.504817,4.49444,4.486216,4.484833,4.485375,4.486417,4.489064,4.491604,4.493244,4.498296,4.50487,4.502957,4.500056,4.498764,4.498477,4.499772,4.50156,4.503052,4.50527,4.507508,4.511614,4.516899
Iran,5.002445,4.986357,4.971738,4.961236,4.953815,4.94698,4.935482,4.926247,4.918601,4.912893,4.911782,4.916274,4.922033,4.926815,4.933177,4.940118,4.94947,4.955751,4.963377,4.967884,4.973267,4.975195,4.977045,4.976598,4.980965,4.983164,4.987514,4.991645,4.994966
Iraq,4.959649,4.960508,4.959193,4.956307,4.95087,4.94362,4.936502,4.936151,4.928253,4.91722,4.91054,4.867221,4.838832,4.822002,4.808391,4.790668,4.787889,4.778543,4.785452,4.799733,4.815302,4.832429,4.845733,4.839781,4.837055,4.833929,4.832111,4.830494,4.830298
Ireland,5.951304,5.926431,5.893816,5.862441,5.831316,5.800857,5.769217,5.744322,5.721333,5.693531,5.665582,5.65113,5.637974,5.620463,5.599755,5.58866,5.577642,5.573957,5.572906,5.571424,5.565008,5.561757,5.54975,5.5334,5.519347,5.500844,5.474546,5.450297,5.426346
Israel,5.831725,5.802999,5.770915,5.740325,5.714788,5.687419,5.653798,5.622223,5.592557,5.56006,5.52626,5.497567,5.467032,5.438415,5.415845,5.389392,5.35823,5.328576,5.302183,5.273469,5.250628,5.223206,5.193964,5.166445,5.137236,5.107382,5.082039,5.058851,5.036482
Italy,5.679641,5.6435,5.607043,5.573148,5.541769,5.512907,5.482962,5.455566,5.432189,5.411693,5.394359,5.376362,5.360833,5.348279,5.334868,5.32208,5.310144,5.299489,5.29049,5.28234,5.276382,5.274621,5.275505,5.27954,5.282265,5.288292,5.296207,5.309686,5.322905
Jamaica,4.781347,4.754794,4.732231,4.710333,4.684762,4.659835,4.640364,4.62881,4.619004,4.611351,4.60601,4.603588,4.599512,4.594037,4.585544,4.576405,4.567299,4.559396,4.550981,4.539375,4.528759,4.515723,4.505454,4.492495,4.478448,4.464021,4.44618,4.432552,4.417898
Japan,4.793447,4.818636,4.843151,4.867264,4.891871,4.917696,4.943924,4.971696,5.001588,5.029764,5.056957,5.082415,5.104663,5.12523,5.142805,5.157267,5.169395,5.176733,5.180431,5.18293,5.184511,5.184462,5.184811,5.185932,5.185494,5.184862,5.185897,5.18863,5.190055
Jordan,4.988453,5.007059,5.025304,5.039872,5.058163,5.07471,5.090532,5.100801,5.107231,5.1045,5.097661,5.092952,5.088925,5.091921,5.090846,5.087232,5.08411,5.081154,5.077031,5.073472,5.065909,5.055557,5.036953,5.021202,5.005272,4.987465,4.971193,4.958431,4.94515
Kazakhstan,5.25565,5.239928,5.224891,5.209079,5.192897,5.177237,5.161627,5.144363,5.129014,5.114778,5.099648,5.081172,5.059567,5.027951,4.990986,4.950861,4.914651,4.888297,4.869517,4.857907,4.848421,4.841814,4.838248,4.837938,4.84263,4.849431,4.855731,4.863753,4.86834
Kenya,4.400818,4.396916,4.394646,4.390482,4.389252,4.3847,4.381827,4.383072,4.386308,4.387004,4.389997,4.389469,4.385399,4.379359,4.370194,4.361084,4.351869,4.343151,4.332216,4.324546,4.316496,4.312037,4.306569,4.305695,4.304817,4.304781,4.306478,4.310206,4.313368
Kiribati,4.751415,4.71369,4.68091,4.647758,4.618431,4.59286,4.571681,4.552666,4.543909,4.536084,4.526829,4.519057,4.509719,4.501913,4.496958,4.492231,4.48964,4.489852,4.495046,4.504646,4.512375,4.519977,4.526916,4.531284,4.533216,4.532891,4.532033,4.528885,4.525357
"Korea, Dem. Rep.",4.656199,4.644667,4.636569,4.628184,4.618366,4.608527,4.59666,4.584621,4.572817,4.558492,4.540735,4.523646,4.503419,4.486334,4.459029,4.428327,4.396589,4.363471,4.335458,4.312504,4.292031,4.276171,4.264163,4.255719,4.248573,4.242375,4.237146,4.233504,4.229638
"Korea, Rep.",4.831907,4.823479,4.816444,4.814274,4.811892,4.811129,4.809116,4.811041,4.814144,4.816803,4.822818,4.829435,4.832453,4.833421,4.831602,4.830177,4.831997,4.829648,4.824895,4.82309,4.821698,4.819556,4.820286,4.820876,4.814998,4.807299,4.800569,4.794407,4.789007
Kuwait,5.60285,5.584384,5.563855,5.540702,5.52323,5.500177,5.481303,5.459005,5.431659,5.410047,5.382488,5.366541,5.355938,5.35995,5.370817,5.375555,5.376157,5.373659,5.363096,5.345662,5.325197,5.302204,5.275113,5.250002,5.230234,5.216116,5.193463,5.176835,5.161007
Kyrgyzstan,5.000724,4.983767,4.965761,4.94723,4.928801,4.910971,4.893507,4.875259,4.858716,4.84018,4.821542,4.796372,4.76476,4.732527,4.689701,4.647241,4.611741,4.578372,4.551739,4.524443,4.500739,4.481657,4.467058,4.45259,4.43987,4.424785,4.406781,4.39324,4.380893
Laos,4.401981,4.395315,4.387858,4.380642,4.37467,4.367735,4.36151,4.353477,4.344491,4.337069,4.328151,4.321103,4.315845,4.312803,4.311298,4.31233,4.31359,4.315951,4.317941,4.322922,4.324527,4.32784,4.331262,4.336555,4.342208,4.347812,4.355603,4.365464,4.376136
Latvia,5.553731,5.536616,5.519432,5.502619,5.485751,5.469143,5.452453,5.439451,5.430087,5.424763,5.418403,5.410377,5.389565,5.359777,5.327118,5.29924,5.261506,5.225256,5.195583,5.169728,5.151346,5.135682,5.128373,5.122198,5.121173,5.124074,5.133462,5.141681,5.144969
Lebanon,4.999495,5.000237,4.989264,4.980695,4.976201,4.971433,4.960035,4.938553,4.914168,4.873547,4.837436,4.81045,4.794084,4.783468,4.776075,4.76966,4.765521,4.763666,4.763227,4.764384,4.764859,4.761302,4.762278,4.760038,4.759703,4.760962,4.759401,4.756998,4.755566
Lesotho,4.253296,4.243768,4.234286,4.220748,4.207685,4.195227,4.18368,4.171471,4.158754,4.145951,4.132649,4.120615,4.11021,4.102718,4.094628,4.089997,4.086177,4.084868,4.083064,4.083179,4.083641,4.084273,4.084342,4.086627,4.08976,4.09212,4.096138,4.10253,4.108359
Liberia,4.268384,4.249656,4.229724,4.210961,4.194201,4.175605,4.156445,4.13727,4.116073,4.087905,4.057151,4.027965,3.994876,3.963086,3.934244,3.911359,3.891393,3.876933,3.866206,3.859956,3.856534,3.856701,3.858247,3.84477,3.833541,3.823429,3.816292,3.809965,3.80486
Libya,5.236561,5.230358,5.218576,5.206765,5.190779,5.170556,5.143994,5.113029,5.082376,5.051013,5.017809,4.989568,4.961287,4.933922,4.90653,4.88036,4.856189,4.835689,4.815481,4.793891,4.770337,4.748277,4.722425,4.697646,4.674017,4.651761,4.631526,4.61227,4.593913
Lithuania,5.7864,5.76801,5.749731,5.73179,5.713946,5.693615,5.672545,5.655595,5.638652,5.623533,5.60969,5.595709,5.571398,5.527835,5.484639,5.444281,5.392891,5.341546,5.294147,5.253322,5.21945,5.192525,5.171875,5.15942,5.157872,5.155229,5.149777,5.145109,5.138329
Luxembourg,6.243433,6.210845,6.178578,6.149704,6.122899,6.101067,6.080807,6.060806,6.036585,6.014038,5.990429,5.968503,5.940223,5.913616,5.88498,5.855477,5.821699,5.790214,5.768785,5.747668,5.723908,5.70224,5.678827,5.652709,5.629666,5.607367,5.586882,5.567448,5.546504
"Macao, China",5.14543,5.143249,5.139878,5.135146,5.130946,5.124001,5.117733,5.113486,5.109178,5.10444,5.101759,5.098151,5.098848,5.098217,5.097491,5.098122,5.094171,5.089507,5.082845,5.0732,5.064955,5.05683,5.053644,5.054185,5.062269,5.070593,5.081692,5.098118,5.115252
"Macedonia, FYR",5.303179,5.292413,5.281169,5.27112,5.257153,5.24512,5.23267,5.214049,5.193678,5.170032,5.143097,5.110799,5.073976,5.045139,5.019126,4.994047,4.967134,4.940282,4.916921,4.891727,4.869627,4.850503,4.841129,4.825837,4.809969,4.799207,4.788646,4.785193,4.781609
Madagascar,4.428649,4.416043,4.404348,4.390393,4.376218,4.36351,4.350888,4.339269,4.329697,4.321818,4.314979,4.307419,4.299981,4.292486,4.286262,4.279596,4.273786,4.268442,4.262582,4.257556,4.253269,4.24897,4.238943,4.232955,4.227726,4.224006,4.221125,4.219413,4.219625
Malawi,4.210003,4.206106,4.20022,4.198502,4.19674,4.195127,4.193827,4.191678,4.18702,4.184215,4.182394,4.183453,4.182099,4.182518,4.184027,4.187644,4.191734,4.195673,4.1989,4.200115,4.20193,4.200929,4.200094,4.20127,4.205002,4.208585,4.214348,4.221935,4.232875
Malaysia,4.859535,4.860886,4.859055,4.858044,4.856955,4.854465,4.85002,4.848819,4.849576,4.851071,4.857271,4.867319,4.878104,4.891322,4.906217,4.921712,4.936374,4.951061,4.956823,4.958107,4.96048,4.962399,4.963492,4.968351,4.971372,4.973498,4.975944,4.97716,4.980126
Maldives,4.451732,4.452742,4.449847,4.449726,4.455651,4.463552,4.472705,4.482094,4.490129,4.49329,4.503285,4.512084,4.519964,4.524783,4.527928,4.531385,4.535043,4.54009,4.546023,4.549957,4.556895,4.566518,4.577965,4.590937,4.602759,4.612195,4.617272,4.624375,4.630974
Mali,4.22526,4.216102,4.199705,4.184612,4.167468,4.14227,4.120461,4.099791,4.077017,4.060897,4.045505,4.029179,4.015111,4.002048,3.989642,3.98065,3.974053,3.968027,3.964472,3.962059,3.959516,3.960289,3.961812,3.963889,3.965456,3.968096,3.972059,3.975341,3.978563
Malta,5.922856,5.899323,5.872282,5.844082,5.813352,5.78644,5.75732,5.730299,5.703049,5.681242,5.653166,5.633539,5.616038,5.594661,5.57102,5.551136,5.531334,5.514797,5.498268,5.483065,5.463645,5.446131,5.424448,5.404736,5.384052,5.358681,5.338545,5.318555,5.299174
Marshall Islands,5.027787,5.01186,4.996271,4.984169,4.972565,4.95889,4.949585,4.946938,4.945176,4.941353,4.939714,4.936408,4.931761,4.92672,4.921,4.916157,4.901755,4.885803,4.870797,4.857244,4.845888,4.837566,4.830083,4.824752,4.819891,4.817326,4.814713,4.812362,4.80901
Mauritania,4.472805,4.457136,4.439914,4.421936,4.407745,4.394133,4.379083,4.360267,4.342339,4.324543,4.306969,4.289939,4.270359,4.249283,4.22849,4.209755,4.194431,4.179722,4.168826,4.161688,4.159831,4.159367,4.158672,4.159529,4.157925,4.155478,4.155519,4.15387,4.151228
Mauritius,4.850622,4.844988,4.840127,4.83397,4.829308,4.824218,4.821343,4.821776,4.829786,4.837365,4.845272,4.85517,4.863967,4.871716,4.877071,4.878776,4.880174,4.882886,4.886322,4.892793,4.899539,4.90685,4.913511,4.920136,4.924791,4.928039,4.930307,4.929847,4.931328
Mexico,4.912317,4.909185,4.904025,4.895772,4.892663,4.887263,4.878465,4.872122,4.867037,4.864114,4.86246,4.860554,4.86147,4.862863,4.866561,4.864041,4.861426,4.860836,4.86515,4.871275,4.879854,4.887095,4.893992,4.899126,4.904982,4.912261,4.919653,4.925809,4.930845
"Micronesia, Fed. Sts.",4.856183,4.856636,4.854836,4.854362,4.852435,4.853239,4.854965,4.857399,4.85923,4.863511,4.868045,4.873579,4.880503,4.889869,4.900769,4.912108,4.920462,4.924903,4.928391,4.930501,4.935072,4.938695,4.942969,4.945979,4.948684,4.951939,4.951713,4.95291,4.952738
Moldova,5.308165,5.291056,5.274988,5.259299,5.242802,5.22578,5.208507,5.188574,5.167324,5.143054,5.115183,5.076883,5.024549,4.965313,4.902641,4.847641,4.799057,4.755908,4.714242,4.674884,4.637633,4.612533,4.596791,4.582539,4.575847,4.570778,4.568669,4.574961,4.580884
Mongolia,5.066568,5.054874,5.042588,5.029159,5.015611,5.00129,4.989891,4.976513,4.962416,4.949573,4.938546,4.926135,4.905829,4.893534,4.881123,4.867046,4.841069,4.819895,4.805603,4.795064,4.780089,4.761088,4.739103,4.71732,4.702923,4.685984,4.667779,4.658613,4.656973
Montenegro,5.333959,5.324017,5.311216,5.30086,5.289172,5.277845,5.267212,5.255757,5.246431,5.238615,5.231624,5.22081,5.200994,5.159963,5.126706,5.103393,5.086739,5.072577,5.061239,5.048983,5.042432,5.03179,5.023643,5.009639,4.993103,4.980204,4.968051,4.955802,4.944456
Morocco,4.72144,4.715692,4.711424,4.703891,4.695769,4.687213,4.679301,4.671464,4.66664,4.661371,4.656237,4.652719,4.65315,4.652524,4.652354,4.649846,4.645042,4.637085,4.627878,4.620103,4.612651,4.603044,4.592728,4.582259,4.570927,4.562069,4.549175,4.54142,4.533779
Mozambique,4.337565,4.329534,4.320671,4.307419,4.293658,4.276071,4.261511,4.250095,4.241894,4.238498,4.234171,4.235647,4.234504,4.23656,4.240155,4.240644,4.240575,4.241419,4.245811,4.250598,4.256504,4.266655,4.277095,4.286183,4.296285,4.305614,4.312857,4.321022,4.328783
Myanmar,4.314118,4.306028,4.297071,4.288692,4.278666,4.270279,4.25879,4.244802,4.226579,4.213623,4.204084,4.195741,4.190454,4.185216,4.183041,4.181866,4.183064,4.184794,4.187743,4.193123,4.201911,4.212458,4.222789,4.237665,4.253304,4.270329,4.28927,4.308869,4.325687
Namibia,4.723027,4.704581,4.68503,4.663302,4.641719,4.621098,4.601999,4.582568,4.563274,4.546342,4.528418,4.516026,4.50446,4.490985,4.479188,4.467054,4.455102,4.449464,4.444541,4.444422,4.450256,4.449732,4.448348,4.448506,4.449497,4.450149,4.452186,4.454694,4.45634
Nauru,5.253414,5.24555,5.236157,5.22774,5.22026,5.211006,5.202718,5.19273,5.183871,5.171811,5.156438,5.137201,5.113968,5.089431,5.061827,5.031576,4.999841,4.968498,4.938248,4.91084,4.886468,4.865797,4.847719,4.832439,4.818559,4.802662,4.790773,4.779014,4.767775
Nepal,4.474001,4.464699,4.458659,4.447183,4.438068,4.429924,4.422396,4.410199,4.396949,4.382765,4.371041,4.358941,4.346862,4.336275,4.324647,4.313267,4.304605,4.295456,4.285769,4.275841,4.266684,4.256538,4.24465,4.229952,4.213412,4.196501,4.180228,4.164274,4.149549
Netherlands,5.912645,5.892612,5.869092,5.844133,5.822901,5.801983,5.780121,5.755447,5.731875,5.707253,5.685402,5.664596,5.638631,5.619569,5.596858,5.582225,5.564605,5.549321,5.537483,5.52336,5.508648,5.495179,5.477932,5.453834,5.431153,5.410759,5.389618,5.367015,5.347001
Netherlands Antilles,5.381292,5.389722,5.391792,5.384091,5.368519,5.345717,5.317307,5.293186,5.269733,5.248898,5.221924,5.199243,5.182523,5.171245,5.163454,5.161229,5.160093,5.160167,5.162012,5.163247,5.164402,5.158983,5.151577,5.140389,5.129838,5.128161,5.118543,5.109594,5.099209
New Zealand,6.134231,6.106232,6.075355,6.044647,6.022033,5.994096,5.968097,5.936686,5.90308,5.867974,5.831042,5.790475,5.744649,5.703489,5.65702,5.617066,5.576496,5.537922,5.493807,5.454409,5.416099,5.38538,5.354436,5.329744,5.302282,5.275222,5.24682,5.220968,5.192573
Nicaragua,4.825706,4.789275,4.762067,4.736633,4.710995,4.688088,4.665188,4.643957,4.614319,4.589293,4.567967,4.541111,4.517267,4.492387,4.470788,4.452532,4.43795,4.425251,4.413122,4.404522,4.398701,4.390766,4.381254,4.371693,4.364943,4.353627,4.343843,4.336219,4.328938
Niger,4.195324,4.185469,4.171835,4.160392,4.138693,4.119491,4.099671,4.075329,4.053703,4.031594,4.010726,3.994256,3.976861,3.961557,3.947279,3.931986,3.918884,3.908484,3.894795,3.880946,3.868629,3.861507,3.852942,3.845833,3.842619,3.834931,3.826085,3.811667,3.800843
Nigeria,4.18612,4.159997,4.13183,4.102555,4.070253,4.039345,4.005836,3.974423,3.945444,3.915829,3.888877,3.861934,3.836036,3.810201,3.788593,3.768941,3.755153,3.744728,3.737396,3.730613,3.7281,3.729295,3.73375,3.742306,3.751973,3.761727,3.771582,3.782228,3.793541
Norway,5.97409,5.948173,5.923429,5.897575,5.877077,5.85943,5.83752,5.811893,5.785655,5.760701,5.731724,5.711658,5.688197,5.666832,5.646629,5.62651,5.609376,5.592457,5.574112,5.552825,5.533216,5.515548,5.49593,5.474193,5.456786,5.438603,5.423542,5.405927,5.389466
Oman,4.961592,4.963994,4.967978,4.972406,4.981027,4.991016,4.998958,5.004388,5.008947,5.013634,5.017508,5.020169,5.024324,5.026805,5.028225,5.028263,5.027703,5.025889,5.021175,5.015004,5.006168,4.998597,4.989669,4.978515,4.968756,4.959515,4.951223,4.944022,4.937785
Pakistan,4.685099,4.681143,4.675797,4.670413,4.666059,4.663205,4.661553,4.659349,4.658238,4.651635,4.645185,4.640955,4.63534,4.626991,4.617944,4.60806,4.5976,4.586967,4.574391,4.561532,4.5481,4.534675,4.521875,4.509399,4.498281,4.486657,4.47809,4.466518,4.455734
Palau,5.37512,5.339944,5.306026,5.27451,5.247673,5.220194,5.196809,5.178498,5.166653,5.161963,5.159006,5.154907,5.150939,5.144271,5.138284,5.136731,5.138405,5.138359,5.136468,5.130982,5.126366,5.121499,5.119365,5.115118,5.113559,5.112341,5.115027,5.115916,5.117338
Panama,4.862924,4.862817,4.862494,4.860259,4.855837,4.849633,4.843341,4.836969,4.818737,4.803409,4.789646,4.783105,4.777732,4.774187,4.77207,4.764868,4.755907,4.753199,4.750772,4.749362,4.74748,4.742864,4.736033,4.729311,4.724435,4.721964,4.720385,4.720908,4.722064
Papua New Guinea,4.733245,4.728513,4.719857,4.71165,4.700541,4.692608,4.683401,4.676452,4.670674,4.664285,4.652691,4.646216,4.642835,4.647868,4.651359,4.652892,4.655872,4.655874,4.65255,4.6508,4.648191,4.642172,4.637928,4.633156,4.63001,4.626554,4.62356,4.621552,4.621482
Paraguay,4.747233,4.758806,4.764495,4.766135,4.766091,4.76221,4.756662,4.749602,4.746046,4.742698,4.741961,4.74943,4.759207,4.765056,4.768324,4.773043,4.772238,4.771209,4.767955,4.759552,4.744672,4.728518,4.714108,4.696988,4.678094,4.660546,4.646767,4.632742,4.6219
Peru,4.914022,4.913363,4.91181,4.905625,4.901994,4.900075,4.89843,4.898734,4.891818,4.876709,4.860707,4.844197,4.829689,4.814837,4.805807,4.798939,4.790212,4.782001,4.771186,4.761532,4.750676,4.73909,4.729167,4.716784,4.704864,4.691816,4.681002,4.672246,4.666838
Philippines,4.773631,4.764775,4.755459,4.750218,4.740667,4.726641,4.713622,4.703299,4.696039,4.691962,4.688588,4.685971,4.681539,4.679115,4.677252,4.676321,4.674145,4.674868,4.674986,4.674971,4.67925,4.682361,4.685691,4.688885,4.691627,4.692953,4.695925,4.697348,4.699187
Poland,5.303748,5.304207,5.296554,5.295468,5.29377,5.297373,5.303512,5.311251,5.319203,5.32683,5.328271,5.324554,5.318572,5.307804,5.296784,5.286116,5.277777,5.272584,5.271061,5.271657,5.272784,5.272187,5.273796,5.274403,5.273092,5.27003,5.268158,5.267575,5.266844
Portugal,5.471373,5.462619,5.449608,5.43358,5.41486,5.395765,5.374956,5.356693,5.343255,5.332981,5.323911,5.31642,5.31147,5.307154,5.303924,5.298718,5.292136,5.285711,5.279438,5.27574,5.269717,5.264028,5.255559,5.244455,5.229212,5.216079,5.204022,5.193933,5.181614
Puerto Rico,5.026441,5.015942,5.002748,4.991065,4.979134,4.969728,4.960908,4.954607,4.948235,4.943159,4.938821,4.93609,4.934,4.932549,4.932781,4.9326,4.931663,4.930415,4.928864,4.927644,4.927251,4.925016,4.920625,4.91712,4.910699,4.90504,4.896823,4.887701,4.879022
Qatar,5.555362,5.534754,5.509737,5.481531,5.454108,5.421891,5.391273,5.361723,5.33487,5.313491,5.293886,5.275558,5.263478,5.250516,5.238223,5.227612,5.21654,5.214198,5.213714,5.212454,5.210553,5.20644,5.200212,5.194592,5.191237,5.186021,5.181371,5.176304,5.169289
Romania,5.261573,5.259945,5.251629,5.241838,5.234485,5.231703,5.227692,5.223414,5.211809,5.194253,5.183008,5.170936,5.149748,5.123208,5.101207,5.082006,5.062301,5.040859,5.020224,4.995365,4.970472,4.949011,4.934442,4.919262,4.905453,4.894975,4.887525,4.887613,4.887807
Russia,5.612874,5.58756,5.55988,5.532395,5.504618,5.476264,5.449632,5.421054,5.394735,5.368324,5.340638,5.309902,5.274055,5.240241,5.201298,5.160632,5.115997,5.075307,5.03608,5.007843,4.980459,4.95904,4.94323,4.933708,4.928931,4.926272,4.924573,4.925307,4.925904
Rwanda,4.093782,4.097383,4.097137,4.096872,4.095364,4.090444,4.091684,4.090792,4.092361,4.08943,4.090816,4.090955,4.092881,4.086446,4.06134,4.052359,4.050579,4.047488,4.04635,4.047283,4.047556,4.051103,4.052908,4.060073,4.070602,4.079505,4.084381,4.088792,4.094491
Saint Kitts and Nevis,4.792431,4.789569,4.779742,4.77239,4.76476,4.762022,4.757681,4.756189,4.750676,4.745128,4.745527,4.743559,4.743112,4.743641,4.74683,4.751073,4.753457,4.756239,4.757342,4.759275,4.76266,4.761569,4.762483,4.759304,4.753875,4.746467,4.736457,4.722774,4.711867
Saint Lucia,4.665358,4.654186,4.642036,4.63306,4.631007,4.626834,4.631472,4.634352,4.637938,4.643954,4.653806,4.665077,4.673668,4.684342,4.685405,4.690554,4.683221,4.671141,4.666136,4.662187,4.652163,4.645071,4.631481,4.632192,4.623341,4.614459,4.602403,4.591863,4.580928
Saint Vincent and the Grenadines,4.577026,4.568429,4.564184,4.561166,4.562047,4.563285,4.564476,4.56655,4.568637,4.573998,4.579967,4.582973,4.589371,4.591157,4.59255,4.593048,4.592472,4.591474,4.58861,4.584843,4.579654,4.571576,4.565776,4.556499,4.549503,4.541497,4.539827,4.533432,4.527707
Samoa,4.711447,4.693155,4.67712,4.65801,4.638904,4.631986,4.621695,4.6165,4.605287,4.602449,4.5981,4.592566,4.596175,4.596999,4.59055,4.579045,4.568462,4.549546,4.532562,4.516016,4.506473,4.502106,4.497138,4.493405,4.489738,4.48858,4.486166,4.48198,4.476868
Sao Tome and Principe,4.307022,4.29206,4.282175,4.266207,4.241696,4.219584,4.199325,4.178342,4.161051,4.142502,4.124045,4.108442,4.090199,4.073938,4.05851,4.045548,4.033618,4.018616,4.004855,3.992661,3.980264,3.968728,3.959525,3.953793,3.949699,3.945895,3.942315,3.941326,3.941183
Saudi Arabia,5.299212,5.288783,5.269036,5.244067,5.21874,5.194284,5.172559,5.148985,5.122841,5.097084,5.072703,5.056527,5.036212,5.011987,4.988195,4.965937,4.946492,4.923539,4.898473,4.876603,4.851602,4.822413,4.791471,4.763487,4.735894,4.708865,4.680024,4.655874,4.631507
Senegal,4.351519,4.328184,4.311566,4.299116,4.280215,4.256652,4.238464,4.227846,4.217002,4.206036,4.194991,4.182092,4.17022,4.153881,4.140814,4.127787,4.118318,4.109797,4.102749,4.096394,4.092978,4.090664,4.08872,4.086909,4.085011,4.082999,4.08073,4.077943,4.075781
Serbia,5.11701,5.105745,5.091358,5.079346,5.066306,5.053845,5.042486,5.031319,5.023168,5.017283,5.013501,5.008726,4.994421,4.964064,4.943145,4.930759,4.919913,4.913907,4.912169,4.90531,4.90609,4.905432,4.908831,4.906442,4.903278,4.905337,4.908133,4.911013,4.91459
Seychelles,4.990515,5.003705,5.014361,5.025654,5.038105,5.053166,5.0635,5.076468,5.087398,5.101592,5.118293,5.131683,5.152175,5.168591,5.181205,5.192116,5.202446,5.212936,5.223927,5.232811,5.237047,5.24637,5.251868,5.255895,5.246992,5.242177,5.236907,5.234664,5.233129
Sierra Leone,4.202369,4.189468,4.176522,4.163555,4.151174,4.138267,4.122336,4.108234,4.092737,4.076195,4.060288,4.041726,4.018961,3.998283,3.977232,3.95625,3.932055,3.901449,3.874284,3.848848,3.82985,3.815679,3.809566,3.80557,3.803881,3.805224,3.8093,3.814292,3.818527
Singapore,5.839835,5.788972,5.738049,5.686873,5.63625,5.581384,5.528118,5.477432,5.429912,5.386371,5.343797,5.303766,5.265634,5.232663,5.204306,5.178526,5.155088,5.135952,5.119927,5.109931,5.10799,5.107435,5.109623,5.114777,5.12266,5.133095,5.143767,5.155172,5.16493
Slovak Republic,5.364343,5.358514,5.351752,5.343217,5.336379,5.32763,5.321273,5.313323,5.311055,5.308164,5.304763,5.295172,5.284167,5.27352,5.255949,5.241319,5.22543,5.215221,5.199667,5.185189,5.165546,5.149026,5.137808,5.122863,5.104256,5.091303,5.082011,5.07641,5.07032
Slovenia,5.435758,5.430198,5.422346,5.413941,5.406381,5.397228,5.38892,5.381994,5.376974,5.372694,5.367729,5.357954,5.345932,5.343213,5.339584,5.333552,5.323429,5.317962,5.303898,5.290627,5.275512,5.266795,5.25207,5.238154,5.221591,5.206767,5.194435,5.186037,5.176014
Solomon Islands,4.647798,4.644966,4.639843,4.62842,4.618733,4.608446,4.597487,4.586684,4.57502,4.566981,4.560271,4.555036,4.554348,4.555478,4.554799,4.553504,4.552917,4.549782,4.544764,4.538933,4.525663,4.507622,4.489866,4.474205,4.463092,4.454154,4.449531,4.44764,4.448524
Somalia,4.428255,4.41381,4.404302,4.388919,4.373368,4.358224,4.346716,4.338052,4.331236,4.322656,4.31768,4.311331,4.300931,4.294275,4.279555,4.269164,4.260584,4.249727,4.240017,4.234032,4.22711,4.223574,4.220293,4.219026,4.221005,4.219541,4.221567,4.221147,4.221673
South Africa,4.925735,4.898905,4.870951,4.841782,4.814386,4.784227,4.752287,4.720748,4.691575,4.663153,4.635286,4.605358,4.574706,4.544363,4.518648,4.495569,4.47748,4.463052,4.449952,4.439379,4.433934,4.429906,4.42983,4.431931,4.437314,4.444944,4.455276,4.466412,4.476749
Spain,5.620108,5.603287,5.584649,5.568449,5.551528,5.532634,5.51672,5.502667,5.491158,5.477823,5.465523,5.452902,5.437941,5.425757,5.414177,5.405181,5.390647,5.375015,5.363387,5.350691,5.338282,5.326324,5.313991,5.301184,5.285925,5.269714,5.253886,5.24098,5.224844
Sri Lanka,4.51004,4.502532,4.496751,4.488743,4.48263,4.481457,4.477652,4.476408,4.473145,4.47203,4.470577,4.467988,4.466788,4.467493,4.466339,4.467013,4.46777,4.468822,4.469565,4.468554,4.470271,4.469337,4.471319,4.473073,4.476375,4.477227,4.480991,4.485086,4.489837
Sudan,4.496607,4.495464,4.496773,4.493147,4.484151,4.473294,4.462223,4.453459,4.444746,4.441125,4.436702,4.432457,4.43125,4.430817,4.430641,4.430954,4.432486,4.435637,4.438226,4.440503,4.447106,4.45399,4.461005,4.471466,4.481479,4.492638,4.501915,4.510844,4.520373
Suriname,4.856658,4.845512,4.833148,4.818941,4.797957,4.78122,4.762044,4.733626,4.712418,4.696614,4.681664,4.666383,4.649092,4.62519,4.601437,4.577774,4.563077,4.556705,4.550364,4.54648,4.536999,4.533767,4.530742,4.528015,4.52487,4.521895,4.518633,4.514791,4.513049
Swaziland,4.60644,4.601087,4.593801,4.585835,4.571713,4.557775,4.54187,4.528191,4.511185,4.497301,4.482256,4.469905,4.459264,4.450052,4.441246,4.434901,4.42504,4.423648,4.42066,4.420542,4.424692,4.423307,4.41838,4.413425,4.412471,4.409926,4.404571,4.39938,4.396923
Sweden,6.031905,5.99212,5.95241,5.915209,5.881874,5.852351,5.825012,5.798013,5.771917,5.74605,5.714884,5.681258,5.645745,5.60945,5.57643,5.543549,5.509109,5.474131,5.441966,5.408652,5.377735,5.346652,5.31762,5.291124,5.263712,5.239003,5.211017,5.182493,5.154055
