GNI per capita (constant 2000 US$),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.4239612,623.4492642,707.2834747,785.2261583,913.8646344,1012.681614,913.9089026,1034.527518,1137.070534,1233.93961,1328.356013,1352.648116,1424.183882,1491.986581,1557.335305,1642.819673,1738.329863,1832.738787,1833.970388,1892.606705,1951.948995
Algeria,1149,905.6117332,1134.790471,1161.124691,1186.038329,1093.232317,1174.228515,1270.101733,1348.675128,1403.856472,1219.234238,1512.307262,1517.244253,1583.111742,1604.250898,1675.361225,1708.444275,1800.349986,1852.743046,1808.504477,1799.897784,1854.467113,1899.290509,1940.762674,1952.939126,1918.225859,1853.297944,1771.646146,1802.898329,1770.503272,1684.371324,1682.068453,1624.05982,1568.600687,1583.474858,1615.135322,1617.4462,1685.403245,1707.029071,1705.651218,1754.563927,1799.287152,1891.356938,1954.05068,1999.308671,2025.735284,2110.148627,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17539.442,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.9157212,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.097823,,,,,,,,,,,
Argentina,5594,5450.307172,5085.054252,5516.809428,6012.205489,5970.747132,5855.410992,5938.256651,6470.259496,6362.377217,6944.073112,6762.46286,6965.05849,7226.200609,7178.535716,6833.380553,7138.250229,6725.875123,7284.243767,7475.004449,6840.312412,6160.004334,6322.08025,6399.117568,5809.793453,6237.668045,6319.073016,6082.722146,5302.672822,5337.646043,6013.688737,6725.161088,7070.161342,7381.102274,7051.965753,7333.786055,7826.448957,8002.869728,7634.036814,7491.217375,7073.818275,5918.691833,6483.675363,7039.436926,7825.532802,8499.515572,9193.695875,9708.511959,9614.96191,10442.68438,11311.91698
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.50076,707.7192763,337.3879856,354.5173449,423.0260691,461.2919371,510.7225991,550.9990466,579.9528443,601.4505062,638.6219377,704.1014544,803.565956,913.6223857,1004.812467,1139.704469,1297.193125,1468.345836,1582.371246,1326.760784,1375.011884,1457.091939
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,10461.75107,10461.95228,10981.72924,11306.46543,11853.37423,12454.31313,12535.39454,12812.12151,12944.92108,13165.01782,13181.74583,13333.52013,13642.58332,13605.21341,14000.32915,14222.74206,14506.80656,14734.55745,14252.0846,14638.63936,15110.28299,15521.9984,15664.12318,16294.66299,16573.0668,16838.70049,16531.18622,16540.47218,17127.84972,17616.47306,17963.67646,18460.9509,19025.21509,19761.44212,20568.47488,21167.7931,21336.94853,21908.30378,22310.96966,22961.58949,23131.97902,23440.90562,23723.49091,24264.68905,24327.45226,24360.93469,
Austria,7748,7904.627601,8179.076609,8622.380408,8864.637065,9300.867158,9499.248659,9857.086181,10450.75526,11016.24455,11536.80883,12167.88535,12683.99278,13182.19144,13159.34285,13766.2043,14438.90333,14419.51607,15238.44597,15500.76032,15405.35679,15715.44369,16241.61873,16236.44315,16631.29291,16954.22271,17174.25037,17755.50405,18381.6019,19049.26517,19405.14894,19659.00228,19606.35879,19975.3286,20364.92008,21036.36125,21385.96599,22128.91052,22768.47252,23569.47175,23575.73682,24070.78518,24228.41095,24757.25555,25123.08949,25889.88694,26712.00955,27240.48177,25995.08204,26554.64635,27333.53603
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.6494933,485.4033954,480.1557895,511.0237632,556.5592235,588.8411524,619.6634942,673.766953,736.3994231,812.1306533,863.6371689,995.2914489,1280.761717,1500.991633,1743.996282,2038.503947,2169.29169,1969.693568
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19874.73798,19057.87131,17968.41929,17348.37998,16826.32967,17047.03496,20370.88894,22394.42045,18198.98648,19386.07204,20313.19797,20886.71743,21145.23865,21317.82292,20873.63769,20814.82716,21100.84469,21364.9293,21202.39127,20700.55609,19427.18229,18570.33587,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12138.98419,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,230.8424895,250.1819764,236.2048802,244.3131912,243.7673228,253.9058963,258.7029206,254.1614893,260.7443029,259.9435272,266.3321962,271.9301259,270.8109587,275.5187371,279.2416303,277.5969203,277.4461792,286.1413302,288.9306432,297.4481914,305.3826559,312.3166044,320.8061993,328.5792401,340.132729,350.9849259,361.6954527,377.0047804,388.9747248,403.1989905,420.8040304,439.4251463,458.3441058,488.8197923,518.7218173,550.4757394,577.3513818,606.8671223,633.3363608
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7921.208137,7601.408518,7593.922601,7914.998108,7981.180932,8107.905751,8638.797299,8946.948002,9101.620195,9258.871777,8724.277544,8353.676064,8521.370385,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.793143,1392.192441,1255.831716,1158.346793,1021.517898,916.6832396,946.9447853,1055.430033,1149.094317,1195.506449,1268.381458,1332.362766,1408.973607,1521.25005,1703.458823,1872.116726,2059.706113,2229.816928,2470.280893,2473.098209,2672.772337,2780.819159
Belgium,7879,8242.694404,8523.322666,9023.305114,9274.009802,9504.550304,9820.193897,10194.95511,10836.49289,11456.08024,11874.60368,12458.96395,13190.25508,13746.63018,13435.422,14173.55754,14205.91859,14579.14051,14838.15664,15441.77992,15412.2669,15437.90476,15478.86977,15893.85878,16197.38034,16498.90549,16916.8943,17656.47932,18147.18203,18683.97792,19028.45565,19236.85834,19169.4087,19883.3669,20263.46869,20563.8955,21303.15121,21626.22011,22378.05535,23215.49456,23167.01542,23322.24749,23450.21172,24010.15943,24190.02619,24731.94493,25305.0536,25450.04454,24047.68306,24946.1643,25148.2463
Belize,,,,,,,,,,,,,,,,,,,,1960.736136,1934.781799,1846.502929,1768.274209,1720.297048,1689.213346,1773.575763,1905.582072,2022.965538,2231.100451,2436.986373,2602.510017,2816.344402,2897.985703,2812.611241,2766.517598,2727.679615,2733.403153,2713.727877,2852.736197,3103.727897,3106.317298,3182.861913,3368.244331,3351.384285,3370.475203,3410.880528,3261.847979,3275.640199,,,
Benin,261,248.4077136,256.398073,269.3075345,279.0735268,284.9827008,282.8017517,287.4554516,289.197467,289.5058387,278.7862703,291.7935685,297.6449547,301.9646286,278.7068924,275.0232157,281.5909706,278.1729352,289.0154286,299.6010366,320.6090716,318.2158223,293.856763,303.426703,320.132689,318.7450982,305.966479,308.6083284,288.2520705,289.3548611,294.6923705,292.573856,295.2254375,296.7798415,300.7908026,308.6202941,320.7122711,328.8386782,334.5149291,344.0755775,349.1000529,353.3452713,354.5606909,354.6134842,354.8835811,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.8709177,,,,,,,,,,,
