Income share held by highest 10%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,22.8,,,,,22.38,,,25.87,,
Algeria,,,,,,,,,,,32.67,,,,,,,26.94,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,44.74,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,33.95,,,,,,33.93,,,,36.64,,37.23,,,,39.65,,,37.3,,
Armenia,,,,,,,,,,,,,,,,,,,35.22,,,29.57,,,29.86,28.94,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,23.04538597,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,26.83,,,,,,29.39,,,,17.49,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,22.21,,,,26.49,,,,26.03,,,,,26.62,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,19.2,,,,,18.98,,,,21.25,24.12,,24.22,,23.48,,,22.04,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,28.06096746,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,31.01,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,37.56,,,,
Bolivia,,,,,,,,,,,,,,31.88,,,,,,45.74,,42.06,,,47.06,,,44.14,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,22.84,,,27.41,,,
Botswana,,,,,,,,,42.93,,,,,,,,51.2,51.19,,,,,,,,,,,,
Brazil,,,,45.28,45.76,46.12,46.61,46.75,46.09,46.77,48.55,50.79,47.94,,44.98,47.79,,47.12,46.69,46.91,47.12,46.52,,46.69,46.34,45.65,,44.4,,43.03
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,19.93,,,,,20.93,,,22.71,,,,25.85,,23.77,,,,
Burkina Faso,,,,,,,,,,,,,,,,,42.1,,,,40.18,,,,,32.43,,,,
Burundi,,,,,,,,,,,,,,,26.59,,,,,,32.87,,,,,,,,28.04,
Cambodia,,,,,,,,,,,,,,,,,32.99,,,,,,,,,,34.87,,,34.23471747
Cameroon,,,,,,,,,,,,,,,,,,,38.68,,,,,35.51,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,24.78585623,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,40.64,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,47.73,,,,,,,,,,33.03,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,30.79,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,45.69,,,44.73,,,,44.41,,44.15,,44.7,,44.87,,,44.75,,,41.71,
