Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0.03246110233,0.06493274189,0.09741492211,0.1299076464,0.1624109182,0.1949247409,0.2274491179,0.2599840528,0.2925295488,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3250856094,0.3388517293,0.352619738,0.366389636,0.3801614233,0.3939351004,0.4077106674,0.4214881247,0.4352674724,0.4490487109,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.4628318403,0.5408386818,0.6595591949,1.036267503,1.020680728,0.9871052017,1.192962768,0.9485980073,1.251582435,1.281856506,1.37923736,1.12318754,0.9070396455,0.4412561483,0.3727539975,0.3473531345,-0.04132650783,0.1853747765,-0.05497718252,-0.2194809811,-0.4126732456,-1.021530711,-1.412459385,-0.5546802686,-0.2471843768,0.01444530237,0.3841019365,-0.6157304689,-0.2149202207,-0.3461488821,-0.278071204,1.488191814,2.828222911,2.345505274,1.879703378,1.287148151,1.755925889,0.8127866907,-0.7125650158,-0.7362509366,-1.321189786,-2.372118912,-4.012890109,-5.77565165,-6.637508788,-4.580642258,-4.989541086,-2.896121951,-1.630293566,-1.126041841,-0.6620094775,-1.687631497,1.132383344,3.458039748,4.864459064,3.800768729,3.691832957,4.468040695,4.189512255,5.579958058,6.226507451,7.80258651
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1038577565,0.1147498753,0.1256431793,0.1365376686,0.1474333433,0.1583302036,0.1692282494,0.1801274811,0.1910278988,0.2019295024,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.2128322923,0.3382665151,0.4638577413,0.5896061672,0.7155119897,0.8415754058,0.9677966128,1.094175808,1.220713189,1.347408955,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.463932604,1.453602956,1.443274361,1.432946817,1.422620324,1.412294883,1.401970493,1.391647154,1.381324865,1.371003628,1.365039826,1.359076375,1.353113274,1.347150525,1.341188126,1.335226078,1.32926438,1.323303034,1.317342038,1.311381393,1.308328525,1.305275748,1.302223064,1.254660275,1.207119817,1.15960168,1.112105854,1.064632327,1.01718109,0.9697521323,0.9253866798,0.8810407213,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.7901050685,0.7435174328,0.696951331,0.6504067533,0.6038836896,0.5573821299,0.5109020644,0.4644434832,0.4180063762,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.3715907336,0.75924039,0.7380159029,1.100616717,1.355916733,1.851739007,1.915889366,2.512921865,2.927483491,3.305214801,3.778190107,3.426116779,3.746826816,3.683576016,3.732804961,3.55997252,3.837901071,3.576856942,3.487678961,3.415857979,3.279835817,3.599678727,3.660237455,3.816545822,3.50602718,3.171672103,2.833697755,2.499183287,2.183339836,1.892178626,1.595187902,1.251941906,0.9191352729,0.4882520072,0.5079083331,0.5254148797,0.5489337007,0.5681250512,0.5854211548,0.6120755085,0.630757123,-2.802523285,-3.67294749,-2.91562807,-2.271742438,-1.159852978,-0.3999443917,-1.565833249,-0.4829971952,0.3563877936,0.9285319507,5.116622804,6.308027222,5.978433067,5.770858238,5.03371682,4.702898834,6.436251208,5.910078762,5.247037887,4.865377865,4.444402701
Algeria,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,-0.002464578362,0.0994163282,0.2014010345,0.3034896463,0.4056822695,0.50797901,0.610379974,0.7128852675,0.815494997,0.9182092687,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.032754717,1.044482606,1.056211856,1.067942467,1.079674441,1.091407776,1.103142473,1.114878532,1.126615954,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.067538334,0.996771515,0.9260542465,0.8553864937,0.784768222,0.7141993968,0.6436799833,0.5732099471,0.5027892536,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.4324178682,0.2573865144,0.427253577,0.3318821154,0.7777716594,0.7918679105,1.476026851,2.312708675,2.422258516,3.906872398,4.344656742,2.938719574,0.4081359416,2.591190662,2.31127904,2.608446002,1.056449184,0.747467837,1.411122358,0.5480250606,0.7460423574,1.060602111,5.069669745,2.916552799,3.002444354,3.037919694,4.220187864,4.223035176,4.320894444,4.249356459,3.431547915,4.586298758,3.225006527,3.388832549,3.314097438,3.126144219,2.38402255,1.469000964,0.07940790413,-0.4019242226,-0.6717731443,-0.9591462371,-1.333896719,-1.964296074,-2.48886333,-2.51801407,-1.953045444,-1.677158002,-0.8651925681,-0.7761894181,-0.2812638905,0.1864115636,0.5150945148,1.510721755,2.212330742,2.420342872,2.242953454,2.488041981,2.184098959,2.032265848,2.138921853,2.111355072
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0.03242706451,0.06486464417,0.09731274238,0.1297713626,0.1622405081,0.1947201825,0.227210389,0.2597111312,0.2922224124,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.7237626013,1.124367969,1.526566652,1.930364987,2.335769336,2.742786086,3.151421651,3.561682469,3.973575005,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.094429387,3.802573622,3.511536151,3.221314678,2.931906917,2.643310585,2.355523409,2.068543118,1.782367451,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.366166553,1.235507588,1.10501704,0.9746946912,0.8445403255,0.7145537263,0.5847346772,0.4550829622,0.3255983657,0.1962806723,0.1962806723,0.1962806723,0.1962806723,0.1962806723,0.1962806723,0.1962806723,0.1962806723,0.340428374,0.4847834542,0.6293462114,0.7741169442,0.9190959519,1.064283534,1.209679991,1.355285623,1.501100731,1.647125616,1.647125616,2.021794721,2.397844848,2.775281088,3.15410855,4.655033182,6.177796737,,,,
Andorra,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.1659476992,0.2662910402,0.3667349022,0.467279386,0.5679245923,0.6686706221,0.7695175764,0.8704655562,0.9715146627,1.072664997,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.433887458,1.69452626,1.955834786,2.217814755,2.480467893,2.743795929,3.007800599,3.27248364,3.537846796,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.3545102,3.250127634,3.133305951,2.838013209,2.080459812,1.645919018,1.202777697,0.6303661965,-0.1182623004,-0.7019767515,-1.14678261,-1.82213586,-2.422440932,-2.784893234,-2.563187427,-2.451823977,-2.032111401,-1.499590502,-0.8599235412,-0.5684868898,-0.2088408878,-0.1766451148,-0.4040441288,-0.2855379305,-0.1590057451,0.08457773232,0.5439377208,0.5198444081,0.6400027333,0.5990533621,1.713449794,2.461646308,3.481351809,4.079435597,4.521228626,4.447160037,3.412472839,2.485324186,1.420148277,0.884565338,-0.5108671925
Angola,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.4253028122,0.6758050179,0.9269320796,1.178685556,1.43106701,1.684078007,1.937720118,2.191994918,2.446903983,2.702448898,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.894163093,2.829810531,2.75590829,2.027424042,2.364564788,1.719254532,2.193289224,2.258495755,1.835008498,1.765451351,2.636894329,1.946808748,2.061847034,3.411988825,3.343841891,4.107777011,3.733547054,3.031062177,3.276338264,3.501342807,2.778230429,3.032029395,3.258701829,2.412265509,1.068304583,-0.126856879,-0.7098072808,-1.200544004,-1.572949499,-2.05221499,-3.192947949,-3.347165343,-3.829570743,-3.665910633,-2.895091613,-2.088655451,-1.488404761,-0.3816280296,-0.3346187311,-0.6077799019,-0.02351447187,-0.5876326876,-3.645039179,-4.057893065,-3.033206743,-1.560899949,-1.714113932,-2.267395952,-2.018080023,-1.707889703,-1.523183913,0.4037371009,3.510313898,4.45355256,4.917545822,4.764989185,6.370498322,7.732929412,7.641239611,7.711061726,7.840212882
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0.06588259211,0.1318085894,0.1977780204,0.2637909138,0.3298472982,0.3959472022,0.4620906546,0.528277684,0.5945083192,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.8383724119,1.016275546,1.194492544,1.37302396,1.551870348,1.731032265,1.910510266,2.090304909,2.270416753,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,1.811737858,2.552979529,2.610634239,2.254039631,2.284998961,2.158158496,1.907546749,2.380729273,3.06027196,3.293199876,4.059941146,2.928971418,2.578660233,3.000410129,3.572775049,4.481222136,5.193677332,5.401092447,4.993653027,4.600836198,3.688009128,4.243189663,4.767442153,5.013101831,3.684063141,2.716684133,2.887256494,2.801238975,2.47922928,2.344354763,2.96221628,2.210806464,1.823385131,3.094181607,4.216762159,5.774295541,5.912981412,4.668920508,2.148490615,1.596353055,1.723601896
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0.06588259211,0.1318085894,0.1977780204,0.2637909138,0.3298472982,0.3959472022,0.4620906546,0.528277684,0.5945083192,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.6607825888,0.8383724119,1.016275546,1.194492544,1.37302396,1.551870348,1.731032265,1.910510266,2.090304909,2.270416753,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.683328026,2.908378387,3.268564568,3.19289833,2.27691851,1.08230007,1.636785593,1.885679822,2.851106012,3.428547941,3.57863511,3.260571538,3.447849745,4.152721525,5.790554258,7.868620705,8.170709073,8.680212204,8.183415284,7.660957561,7.165636477,6.933452283,6.432680433,5.914101959,4.236334676,3.581620681,2.717307957,1.923384998,1.354733817,0.9638635031,0.83513762,0.9806270141,1.037890323,1.240053397,2.267785915,2.972059611,3.313814787,3.166219934,1.725507622,0.8918279502,0.5634309336
