Tsunami killed,1979,1980,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,,,,,,,,,,,,2,,,
France,11,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,
India,,,,,,,,,,,,16389,,,
Indonesia,539,0,,,,,,,,,0,165708,0,802,
Kenya,,,,,,,,,,,,1,,,
Malaysia,,,,,,,,,,,,80,,,
Maldives,,,,,,,,,,,,102,,,
Myanmar,,,,,,,,,,,,71,,,
Papua New Guinea,,,,,,2182,,,,,,,,,
Peru,,,,7,,,,,,,,,,,
Seychelles,,,,,,,,,,,,3,,,
Solomon Islands,,,,,,,,,,,,,,,52
Somalia,,,,,,,,,,,,298,,,
Sri Lanka,,,,,,,,,,,,35399,,,
Tanzania,,,,,,,,,,,,10,,,
Thailand,,,,,,,,,,,,8345,,,
Vanuatu,,,,,100,,,,,,,,,,
