"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Central African Republic,,136359,133286,130929,,,,156914,161610,,,158052,156956,155681,,,159033,208202,224609,230938,196396,222177,,,,,,,,,,,,,,317951,321219,272244,214164,213116,198386,214350
Chad,,,,,,469802,,489331,,,,,,,,,,,609765,,,,,,,,730391,683189,633430,622812,612984,607476,570138,561533,,,,,,,,556731
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75506,66767,94211,84726,
China,,,,,,,,,,,,,,,,,,3923902,161721,3106369,2759533,2577886,3735637,5427580,6459915,6630295,5603101,4298503,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,986415,,1095042,1171536,1275114,1267879,1285581,1287324,,1174355,858938,841042,823922,709503,517376,,254015,182063,139311,218394,172103,,,161644,205542,255372,277780,301497,374168,435106
Comoros,,,,,,,,,,,,,,12807,,,17489,23080,,,,,,,33333,,,,,28282,22092,,,,,,,22761,,,,
"Congo, Dem. Rep.",,1047950,1139067,,,1158069,,,,1205349,,,,1300224,1324590,,,,2173733,,,2650178,2892084,3117742,3210109,2834594,,,,5598022,,,,,,,,,,,,
"Congo, Rep.",,,35616,,22791,,16636,,8010,7499,31408,35210,34436,33956,30682,,,,,,,,,,,,,,,,,,,,,253418,239250,,,,56232,46617
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,47100,,42678,37838,,32029,24069,,28003,33209,33578,32501,38939,,,50037,47791,48602,,50906,53100,53066,47072,47370,53898,50715,43351,,,,,,,,,,,,,,,
Cote d'Ivoire,,,,,,,,589841,,,,,,,,,,,,,,1156205,1184381,,,,1133393,1122843,,1097454,1129244,1019449,1024134,1125145,,,,,,1160732,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34536,16318,16247,15042,13933,13515,,1984,1994,2123,2835,12687,7446,
Cuba,,,96202,77736,65759,,,,,20785,30989,61108,74689,70731,85369,99414,88461,66968,65401,62858,66823,72106,54956,49918,29909,31815,11711,13151,15299,13254,19478,25130,30812,49132,47874,43329,34187,10155,4056,1702,1370,13422
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,1508,1986,2460,2516,2411,,1325,1276,1620,973,879,783,205,280,371,571,453,497,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,32648,38929,68923,72545,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,20547,16700,9009,4765,5532,5855,5093,4570,8845,8991,6745,9336,10692,4963,6305,6821,,1605,8231,7343,82,277,,7688,16555,15136,13379,16008,16522,16999,
Djibouti,,,,,,,,,,,,,,,,46781,47144,49829,53882,58491,62588,66473,68344,72547,72974,72959,74190,77457,,83825,86834,86396,86649,85163,83202,80645,75865,71065,55498,56443,,49526
Dominica,,,,,,224,1106,1186,,2051,2120,2286,1708,,,,,,,,,,,,,,,,,,155,275,194,204,130,375,481,456,256,124,275,
Dominican Republic,,,209704,,,,,,,,,,,,,,,,,,,,,,,,,,,190812,181222,,113112,129531,210552,189062,205601,128831,170507,56136,84674,96002
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,184022,,194098,190928,204431,205072,175143,158856,125684,149542,,,,,,,,,,,,,,160039,139444,103930,47934,24966,13523,8291,10931,10293,11487,10407,11079,10056,11820,16325,24354,,
Egypt,,2409903,2429949,2483104,,,,,2608729,,,,,,,,,,,,,,,,1008343,,,703678,,673543,605868,506241,399252,302987,206526,267087,496964,225768,,193102,644717,
El Salvador,233028,,,,,,,,,,,,,,,,,,,,,,,,,,,,216597,,,128078,108308,91321,62117,45409,45602,47569,47563,46489,38366,32852
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,9651,,,,,,18796,16725,18578,20025,,,,,41802,42609,42930,41025
Eritrea,,,,,,,,,,,,,,,,,,,,,,,361344,,339426,339090,342232,347286,,337649,320841,320582,303128,288309,283673,283944,295073,329585,358173,389035,417646,422148
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,17445,13529,,2988,2171,865,123,205,2190,2443,2200,2366,3072,2656,2769,1972,
Ethiopia,,,,,,,,,,,,,,,,,,4609306,4708371,4951618,,,,,6757452,6774018,6636380,,6480557,6509164,6342774,6108148,6083679,6167228,5940477,4613002,3947291,3159859,2261003,2208604,2389945,1702685
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5840,6405,5990,2662,847,1340,852,,1123,821,415,909,,
Finland,,,86775,,,,,,,11843,,,,,,,,,,,,,,4363,4808,6045,5790,4384,1393,654,1073,1029,1525,4321,7982,9528,11572,9550,8436,8449,7860,
France,,114333,105602,94254,76637,,104354,97244,,26135,27469,64715,125003,214732,,227493,120949,2433,4131,4161,3362,761,36991,86069,85956,44146,5453,13765,,10002,12283,13224,14959,13443,17011,25559,28732,28407,31493,29542,30743,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,1182,1168,1514,,,,295,132,,,395,,982,1222,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,14522,,,,,,,,,,,,,,
