Per capita total expenditure on health at average exchange rate (US$),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,14.81829282,18.31276373,20.66559434,21.85966567,23.82013187,28.80876746,31.80972721,33.71030774,37.6667862
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,
Albania,27.91080533,43.04581793,36.13518413,47.10214156,65.02402417,75.2366226,79.86222152,90.26431823,113.0053239,160.9098806,177.6333151,191.7797291,232.1804388,275.1425204,259.5825848,240.8247849
Algeria,62.05553769,61.76988298,66.89374205,65.98319467,62.52147047,62.6073894,67.81401286,69.92465684,79.62343553,88.98532327,96.14913528,109.8458064,140.8509706,185.8482335,180.5442706,178.2450655
American Samoa,,,,,,,,,,,,,,,,
Andorra,1392.178253,1506.72015,1460.073541,1857.622689,1424.631803,1330.411302,1293.948961,1485.790128,1891.384128,2193.360689,2355.66024,2631.377069,3011.773219,3391.470029,3364.327079,3099.413225
Angola,15.5683875,11.34438065,13.51675768,9.10151241,8.82515841,15.79229531,21.42584746,18.14977445,23.88995291,25.86101427,36.40979425,64.12393236,85.29308127,148.8788168,201.2570163,123.2010963
Anguilla,,,,,,,,,,,,,,,,
Antigua and Barbuda,350.7192983,353.8101622,372.3061575,387.8929475,401.1512994,407.7813262,405.5640938,409.5641097,433.9714059,458.7266713,482.5372109,534.0946347,597.5381396,601.8928464,600.8479133,689.6866917
Argentina,615.2604091,618.9228871,685.65165,706.1921551,725.7047961,708.7055924,677.7286682,225.3570651,283.2773623,332.449662,400.3354406,464.2193011,562.4089344,698.4512684,734.0934181,741.8329792
Armenia,25.7381196,29.26079518,30.28429645,35.1630764,34.0302969,38.97543894,41.13969292,41.9923427,51.03744295,64.12591148,77.68618869,86.86695474,116.2641049,142.7182745,128.774361,133.4767613
Aruba,,,,,,,,,,,,,,,,
Australia,1564.944284,1760.462837,1761.073558,1587.242931,1744.914063,1713.138146,1631.917708,1846.880949,2322.959518,2871.998165,3136.474992,3330.212891,3956.468724,4229.033066,3945.381307,4774.534907
Austria,2856.184705,2789.12322,2549.575579,2655.283377,2670.431166,2373.755401,2385.362581,2577.451078,3194.822203,3682.783908,3831.206789,4001.023966,4604.068222,5153.358661,5034.508859,4958.432962
Azerbaijan,18.24266198,25.11595475,27.47675755,30.60080824,30.75942262,30.39534628,31.20467428,33.63898826,56.92475905,80.89105277,120.2774242,146.7761,187.4280861,233.8604458,282.7002957,331.5067978
Bahamas,839.6062536,879.8801445,947.7055915,1019.035066,1062.28103,1097.846135,1102.752239,1180.504297,1247.599434,1341.855905,1434.087225,1704.028273,1789.869492,1833.425569,1740.673139,1735.050078
Bahrain,481.8813962,485.8071854,504.1904506,479.3492221,495.9626768,496.7217566,528.2567765,580.1613452,639.4530441,660.504926,688.2161276,692.6283451,725.2666466,793.4660518,770.6236279,864.1475701
Bangladesh,,,,,,,,,,,,,,,,
