Male 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.599999905,6.099999905,6.099999905,5.5,5.800000191,8.600000381,10.19999981,11.39999962,9.699999809,7.800000191,7.5,6.800000191,6.099999905,5.5,4.400000095,4.900000095,4.400000095,3.700000048,3.599999905,3.200000048
Canada,4.300000191,6.699999809,7.699999809,7.599999905,7.900000095,6.900000095,6.199999809,5.800000191,5.900000095,5.599999905,7.599999905,8.899999619,9.5,8.800000191,7.699999809,7.300000191,6.900000095,6.300000191,5.800000191,5,5.5,6,6.300000191,5.599999905,5.099999905
Czech Rep.,,,,,,,,,,,,,3.099999905,3.5,2.5,3.5,3.099999905,3.400000095,4.699999809,5,4.400000095,3.5,4.099999905,5,4.5
Estonia,,,,,,,,,,,,,,,,,,,,10,8.300000191,8,7.699999809,6,6
Finland,4.199999809,4.099999905,4.400000095,5.800000191,5.199999809,5.199999809,3.900000095,4.099999905,1.600000024,2.299999952,4.900000095,11.10000038,14.69999981,18.60000038,19.79999924,19,13.69999981,12.10000038,10.10000038,8.5,8.800000191,8.100000381,7.300000191,7,6.599999905
France,4.400000095,4.900000095,5.099999905,5.800000191,6.699999809,6.900000095,7.199999809,7,6.300000191,5.699999809,6.099999905,7.300000191,7.800000191,8,7.800000191,8.5,8.699999809,8.399999619,8,6.599999905,5.599999905,6.300000191,7,6.800000191,6.699999809
Germany,,,,,,,,,,,6.099999905,7.5,9.199999809,9.899999619,10,12,13.19999981,12.69999981,12.69999981,11.10000038,11.19999981,10.39999962,11.69999981,12.30000019,11.30000019
"Hong Kong, China",,,,,3,2.299999952,1.200000048,0.6999999881,0.6000000238,0.8000000119,1.100000024,1.399999976,1.600000024,1.600000024,2.599999905,2,1.5,3.599999905,5.699999809,5.199999809,4.800000191,8,8.899999619,9,6.5
Ireland,,,5.900000095,7.300000191,8.100000381,6.900000095,9,8.399999619,7.900000095,7,6.900000095,6.800000191,7,7.400000095,6.099999905,6,5.300000191,4.400000095,3.400000095,2.099999905,2.200000048,2.099999905,2.099999905,2.5,2.5
Japan,3.700000048,3.799999952,4.300000191,4.300000191,4.199999809,4.400000095,4.300000191,3.599999905,3.299999952,2.900000095,2.599999905,2.599999905,3.200000048,3.700000048,3.799999952,4.199999809,4.099999905,5.099999905,5.5,5.599999905,5.800000191,5.800000191,5.699999809,4.599999905,4.300000191
"Korea, Rep.",,,,,,,,,,,,0.8999999762,0.8000000119,0.6999999881,0.8999999762,0.6999999881,1.399999976,4.599999905,4.800000191,3,2.400000095,1.799999952,2,2.200000048,2.400000095
Latvia,,,,,,,,,,,,,,,,20.70000076,13.80000019,11.80000019,8.300000191,10.10000038,10.5,11,7.699999809,7.099999905,9.100000381
Lithuania,,,,,,,,,,,,,,,,,,5.900000095,6.800000191,12,14.80000019,12.39999962,10,8.899999619,6.699999809
Netherlands,,,,,,,5.099999905,5.099999905,3.900000095,3.900000095,4.400000095,1.700000048,2.400000095,2.700000048,3,3.200000048,2.599999905,2.299999952,2.299999952,2.5,1.700000048,1.899999976,3,4.300000191,4.800000191
