"Suicide among men, per 100 000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.884803772
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.330574036
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.145025253
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.048293114
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47297668
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.430495262
Argentina,,,,,,,,,,,,,,,,,12.20396,15.55211,16.78204,16.7764,16.04499,,,,,,,11.71793,11.94934,10.19954,11.59206,12.98644,11.06296,9.592617,10.37836,10.73983,12.03627,11.58906,11.82209,11.35565,10.51878,9.852893,11.32803,11.57395,11.19603,10.77449,10.63765,10.30783,10.91713,11.39431,12.92308,14.0125,13.75238,14.32759,13.3532
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.392276287
Australia,13.89218,14.318,15.99589,15.86971,16.23365,15.49302,16.03185,17.84965,19.05134,16.91927,15.61751,17.6378,19.69866,22.00281,20.24845,19.79254,18.46308,20.10027,17.81481,17.69678,18.06028,18.94889,17.58323,16.49461,16.73973,15.81281,16.26861,16.4062,16.04263,16.75487,16.48452,16.8945,17.21728,16.63548,16.99337,17.79891,19.13559,20.54657,19.85528,18.75663,19.78778,19.98861,19.48194,17.68173,19.90309,18.06133,20.42005,21.60116,21.56089,20.07539,18.68202,18.95002,17.50702,15.9637,15.45678
Austria,,,,,,29.9986,29.41163,31.28951,30.85925,32.8964,30.00605,29.02644,30.66251,28.86131,31.15179,30.12741,31.14718,30.58935,30.88516,29.9316,34.50694,30.41938,32.07743,30.33344,32.44387,33.85298,31.4998,32.55373,34.55973,34.22878,35.08724,36.64823,38.58706,36.33307,36.24397,36.632,37.60686,35.30519,32.06349,31.599,30.09333,29.86096,29.15996,27.89434,28.66391,29.59781,29.11086,25.71262,25.55881,24.21744,25.11893,23.35394,25.14929,22.30559,22.4088
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.927753,7.157553,,,6.943275,6.119931,6.665195,5.681418,5.886524,3.321677,3.370187,3.772966,2.789392,1.096277,1.481606,1.912715,2.83542,1.279725,1.271021,1.318945,,,,2.332625866
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.236285686
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.004878,,3.165804,3.908124,,,,,,,,,,,2.682337,5.668147,4.347687,,,6.751053333
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.80530262
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.563058376
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05365,46.55949,,,39.40578,29.19821,30.94182,29.90354,36.13258,33.62659,34.95369,39.10175,46.87016,51.30384,53.61209,,58.47642,59.41307,56.92015,58.47842,55.03092,54.27013,56.4411,57.22063446
Belgium,,,,,17.54742,16.99986,17.72301,17.9598,18.53559,16.2762,18.6682,18.87755,17.22317,17.01497,17.72499,18.43109,17.82164,18.60177,18.88451,18.76591,19.36163,19.15955,18.9058,18.43134,19.23102,18.66548,19.73664,22.41677,24.58786,25.14716,25.43906,26.31382,26.74868,26.91315,28.83404,27.58702,26.65812,27.84456,24.33073,23.77078,22.98705,22.46683,23.03405,27.39968,27.13221,27.09059,0,0,25.35307,23.3854,,,,,24.10343
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92072868
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.956352234
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.21920967
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.969733477
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3323,18.28368,17.01955,15.55702,16.46358,17.07744,19.39172,,,,,,,,,,,,,18.32401085
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51235485
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.755142,6.410013,6.256275,5.968798,5.911354,6.251299,5.751139,5.703507,5.882924,6.350536,6.344799,6.478353,6.76115,7.532055,7.540172,7.696878,7.559261,7.024154,7.046959,7.816219,7.419659,7.534978,7.456256
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.314272642
Bulgaria,,,,,,,,,,,,,,,12.42583,11.98519,13.80761,14.45061,12.91787,14.96132,15.68739,16.56146,15.01032,15.31942,16.5959,16.90427,18.26727,18.83344,17.51578,17.9175,17.07483,17.22673,19.59806,17.09483,21.47015,20.39728,19.65689,21.20062,20.13602,20.532,18.2777,19.76532,22.5407,21.06948,21.0789,20.62824,22.6841,20.29183,21.72878,19.59204,20.47067,19.37578,19.95738,16.42971,15.23398
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11455154
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38735199
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.975902557
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.264327049
Canada,12.51228,11.79205,11.81356,11.74572,11.7628,11.60801,12.81928,12.84387,13.10699,12.77226,13.38076,13.31418,12.55741,12.78528,13.86395,14.53212,14.28775,14.71367,15.73342,16.94827,17.57492,18.49803,18.37494,18.82068,19.31564,18.13231,18.59252,21.10947,22.04765,20.92013,20.71511,20.54513,21.6451,22.32728,20.37497,19.35044,21.53621,20.88439,20.1366,19.67531,19.16189,20.17595,19.44672,19.56115,19.14119,20.02859,19.53172,18.1415,18.03863,19.48591,16.7276,16.87974,16.43473,16.5229,15.45435
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.932240009
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.05239296
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47701836
Chile,,,,,,10.14658,15.55472,16.05564,13.85695,11.89201,15.52745,14.98439,13.58447,8.365624,5.9983,3.899587,13.75362,4.736737,17.60976,14.13075,12.57828,12.44193,11.66373,10.65717,11.86406,14.49703,11.0874,12.69665,10.73624,11.62537,9.521648,11.19215,11.66377,11.23366,12.28858,11.34721,10.16231,10.46597,10.52443,10.99345,11.00416,11.09824,9.234569,10.30432,11.1224,12.47464,11.97944,11.48508,13.05255,12.82792,17.53683,18.80452,17.88378,18.17283,18.62864
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.98352337
Colombia,,,,1.927473,3.257846,2.832612,2.222309,1.509441,4.607212,5.305804,5.658239,6.966426,8.855237,8.351048,8.53073,11.05097,10.16444,11.5099,8.16477,6.431482,,,7.24022,,7.248097,6.700744,6.727814,5.989031,,,,,,,7.092669,6.762831,6.019554,5.360235,5.296733,4.640345,4.58136,5.343418,5.882868,5.963886,6.272415,5.592937,5.911886,5.70885,9.129813,9.395199,9.830948,9.949824,9.256611,,8.890985
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18409729
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.83854675
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14991283
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35080862
Costa Rica,,,,,,,,,,,,,5.527928,8.564259,7.331346,6.126972,8.63411,8.684781,7.344354,8.362664,6.112966,8.017241,7.379571,6.336791,8.985533,9.019467,13.07302,8.485324,8.334862,7.694184,10.61525,8.247713,8.343644,11.52164,9.22881,10.31565,11.83093,8.937768,11.4233,11.01365,11.13284,8.739034,9.651018,10.33389,9.501804,10.86659,11.41977,9.966523,11.70698,12.00752,11.74255,9.661507,12.34662,13.56202,14.01306
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09916687
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.38738,30.17093,32.17424,30.85986,28.04429,31.37354,30.06224,33.47615,30.59909,31.04424,26.88384,31.70749,28.80243,31.55601,30.4769,30.41285,25.77935,24.98528,25.6826,23.86886
Cuba,,,,,,,,,,,,,,,15.97404,,,,17.15462,13.42893,16.96527,19.81159,20.59531,25.1382,25.86386,25.26874,24.99421,23.97922,,,,,,,,,,,,,,,24.30702,25.27676,25.43201,24.45931,23.17361,23.30941,22.9506,23.68713,21.13802,19.1257,17.93988,17.50294,17.69127
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265023,2.262353,,,,0.980029
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8535,25.93634,25.40523,25.30838,26.55952,25.75252,27.11848,25.81005,24.32088,23.28092,21.61188,22.94675,22.166,22.2891,22.37462,22.12178,20.64323,23.33724,21.73415
Czechoslovakia,,,,28.34556,29.97081,28.36906,29.13223,29.94037,29.41469,31.55763,31.55822,30.05474,29.82165,31.09758,29.80415,31.31145,33.71492,34.85952,35.11474,33.70097,36.7509,35.94737,35.32833,32.85426,33.47021,32.13456,30.23492,31.93786,31.17116,29.62473,29.17159,29.75902,29.4701,28.7247,27.22851,28.21199,27.94246,26.48314,25.4025,25.91082,26.09548,25.53351,,,,,,,,,,,,,
Denmark,,31.32044,30.45185,31.37524,30.40771,30.97018,29.09921,28.34923,27.46453,27.81066,25.86381,21.17315,23.74335,24.21169,25.21853,22.6092,21.96172,22.24749,24.91305,24.86479,25.70774,29.20166,28.12346,27.28619,31.18245,27.59382,28.01597,28.48381,25.56833,29.62135,37.48591,34.94788,33.90575,32.74146,32.48964,30.75394,31.02541,31.27021,28.76131,28.80078,27.12779,25.38968,24.24527,24.28328,21.77519,20.36607,20.20683,17.90091,17.51659,18.22346,16.83931,15.95645,15.77691,14.6668,14.70355
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.834711552
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12273216
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59158802
East Germany,,,,,,,,,,,,,,,,,,,,,,,,40.18268,42.25063,,,,,,,,,,,,,,,32.29626,30.04755,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.40048885
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.1149809,0.0971511,0.1955052,0.1452098,0.4956282,0.3217689,0.265837,0.0607529,,,,,,,0.0837336,,,,,,,,,,,,,0.1180779,,,,2.018912554
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.28527927
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45966053
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03790283
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.72746,51.00139,,,50.66416,42.33127,40.87221,36.93274,38.19986,40.95587,41.98287,50.07764,61.75784,67.70052,64.82578,62.50669,61.46761,56.36118,54.03889,41.37693,45.37378,43.11066,39.07565,37.54561
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33747578
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.590774059
Finland,,,32.92299,31.18618,34.31158,35.88195,40.35818,38.2692,36.83294,35.11429,35.65968,36.19727,37.73875,33.52105,33.53411,34.50203,32.03278,34.32255,36.92916,39.26056,34.89272,35.09113,38.69162,36.93771,39.43605,39.36298,40.58097,40.01245,40.43987,38.42537,38.73922,36.34341,35.65261,36.87139,38.43419,37.23244,39.49035,40.41832,41.89508,42.59584,45.09116,44.28377,42.55037,40.26448,39.88553,38.98032,34.7587,37.41434,34.01262,34.14604,30.99912,32.66965,28.76064,28.25034,28.11936
France,22.18211,,22.37906,22.27051,23.49871,22.88805,24.46199,22.904,23.08794,23.39717,22.44482,22.93389,21.7581,22.53988,21.36987,22.06558,22.50273,22.51647,21.4911,21.80194,21.40489,21.02992,21.90327,21.17506,21.22584,21.19529,21.18872,21.52999,22.80707,24.76836,25.44677,25.73259,27.47831,28.45543,28.73677,29.38595,29.63441,27.96375,26.52334,26.60711,25.78439,25.72661,26.14759,27.34009,27.0349,25.85716,24.45665,23.92196,23.11529,22.09909,23.39069,22.41779,22.44498,23.04079,22.19961
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.426732063
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.353575706
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49851,8.221825,,,6.979319,6.713596,6.365824,6.671018,6.791742,5.492355,5.381773,6.691033,,4.890241,6.330423,7.206788,7.287419,5.439614,6.903577,4.303044,2.974255,,,2.613620758
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.81387,20.90132,19.98319,19.0396,19.34351,19.36314,18.24104,18.34781,17.7443,16.64838,16.49776,16.53927,16.14433,16.07198,15.41693
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.063313007
Greece,,,,,,,,,,,,5.927289,4.428364,5.01931,4.708868,4.482484,4.096068,4.684091,5.258846,4.823516,4.284171,4.533696,3.665449,3.755845,4.304948,3.294004,3.50562,4.309299,3.957107,3.583891,4.301425,4.24139,4.544026,5.077846,5.209984,5.071703,5.24479,5.286321,5.156341,5.02707,4.734638,4.979847,4.566751,5.123562,4.603834,4.981235,4.707526,5.209034,4.837743,4.628674,4.643847,4.372579,3.75316,4.567214,4.16287
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.362030983
Guatemala,,,,,,,,,,,,,,7.147273,6.164508,6.440361,5.178927,8.520576,7.323934,5.571596,7.060984,7.08713,,,0,,,0,,3.080571,2.639829,1.346651,,,1.537492,,5.346683,5.905004,4.59584,3.981843,3.93206,3.784978,4.111893,4.049012,3.246903,4.400336,3.673022,3.540285,3.993678,4.876319,3.327062,3.707146,4.648741,4.535077,3.874187
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.628465652
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65297794
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07269669
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.085222006
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.465991974
Hungary,,,,,,29.80989,28.8267,31.86793,33.81632,37.93184,35.64537,36.41035,35.4479,37.48655,40.13111,41.3657,40.384,43.31554,46.6862,45.46218,47.39413,48.45286,49.40269,49.3895,53.98055,51.09961,52.82116,50.7207,55.56526,58.49247,59.33003,58.30769,56.75191,61.19543,61.69685,61.04953,59.7834,59.69981,52.35113,55.20204,53.53568,51.6224,52.8314,48.6875,48.54348,43.73508,44.25144,41.93054,43.28421,45.66346,43.9828,39.56583,38.08537,36.93882,35.98394
