Adult (15+) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,18.15768113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,98.71297808,,,,,,,95.93863978,,,96.84529915
Algeria,,,,,,,,,,,,,49.63088483,,,,,,,,,,,,,,,69.87350044,,,,72.64867917,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40541604,,,,,,,,,,70.36242
Anguilla,,,,,,,,,,95.40709812,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,98.95
Argentina,,,,,,93.91285971,,,,,,,,,,,96.12819586,,,,,,,,,,97.19331158,,,,,,,,,,97.85877
Armenia,,,,,,,,,,,,,,,98.75196493,,,,,,,,,,,,99.40015652,,,,,,,,,,99.56817
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,97.29125212,,,,,,,,,,96.82264009,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,98.7918027,,,,,,,,99.6019062,,99.75984067,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,69.75351409,,,,,,,,,,84.01382963,,,,,,,,,,86.54874423,,,,,,,,,94.5567918,
Bangladesh,,,,,,,29.22723268,,,,,,,,,,35.31929562,,,,,,,,,,47.4855001,,,,,,,,,,57.73479
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,97.88337215,,,,,,,,,,99.59073243,,,,,,,,,,99.6170606,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,70.29842264,,,,,,,,,,,,,,,,,,,,
Benin,,,,,16.4827945,,,,,,,,,,,,,27.24525033,,,,,,,,,,34.65784677,,,,28.70211145,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81469107,,,,,,
Bolivia,,63.20814916,,,,,,,,,,,,,,,,79.99177478,,,,,,,,,86.72366662,,,,,,90.74346987,90.69810562,91.16782546,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,96.66309845,,,,,,,,,,,98.00262
Botswana,,,,,,,,,,,,,,,,,68.58090873,,,,,,,,,,,,81.18870975,,,,,,,,85.09085
Brazil,,,,,,74.58672844,,,,,,,,,,,,,,,,,,,,86.36787962,,,,88.61624253,,89.615227,90.00936956,90.03661994,90.29820984,90.37917744,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,77.83421219,,,,,,,,,,87.80417761,,,,,,,,,,92.67112774,,,,,,,,,,95.447
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.20355577,,,,,,,,,,98.35244811
Burkina Faso,8.685145441,,,,,,,,,,,,,,,,13.56923196,,,,,12.84816893,,,,,,,21.82291624,,23.55371812,,28.7292136,,,,
Burundi,,,,,22.50855076,,,,,,,,,,,37.38472344,,,,,,,,,,59.30362117,,,,,,,,86.94787038,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,67.33502956,,,,,,73.60995477,,,,77.58654273,73.90002557,,
Cameroon,,41.21621117,,,,,,,,,,,,,,,,,,,,,,,,68.40915939,,,,,,,70.6799378,,,71.29050773,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,62.79685904,,,,,,,,,,,,,,79.99211,,,,,,,84.93627
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86782324,,,,
Central African Rep.,18.2361715,,,,,,,,,,,,,33.62442222,,,,,,,,,,,,50.64516882,,,,,,,,,,,56.613
Chad,,,,,,,,,,,,,,,,,,,10.89465314,,,,,,,25.65421488,,,,28.3814337,,,,,,,35.39147
Chile,,,,,,,,91.12840373,,,,,,,,,,94.2911368,,,,,,,,,,95.71662423,,,,,,98.64900802,98.55367609,,
China,,,,,,,,65.50508573,,,,,,,,77.78505864,,,,,,,,,,90.92021038,,,,,,,,,,95.12447711,
Colombia,,,,,,,,,,,,,,,,,,,81.37555447,,,91.20716186,,,,,,,,92.80377655,92.84866221,92.29967872,92.65179431,93.37817637,93.24468643,93.37232869,93.58053364
Comoros,,,,,,47.91923316,,,,,,,,,,,,,,,,,,,,68.48923434,,,,,,,,,,,75.53978
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,67.17298971,,,,,,61.20554525,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,92.62904202,,,,,,,,,,,,,,,,94.86818706,,,,,,,,,,,96.25802
Cote d'Ivoire,,,,,,,,,,,,,,34.13927836,,,,,,,,,,36.35024201,,48.740762,,,,,,,,,,,56.86751
Croatia,,,,,,,,,,,,,,,,,96.70154796,,,,,,,,,,98.14667839,,,,,,,,,,98.8807
Cuba,,,,,,,97.84665042,,,,,,,,,,,,,,,,,,,,,99.79907436,,,,,,,,,99.83425
Cyprus,,,,,,,,,,,,,,,,,,94.3624702,,,,,,,,,96.80363091,,,,,,,,,,98.67842555
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,73.06456854,,,,,,,,,,,,,,,,,,,,,86.99646746,,,,,88.2444613,,,89.53873319,90.10626788
Ecuador,,,,,,,,83.55268606,,,,,,,,88.29876298,,,,,,,,,,,90.9840256,,,,,,84.19272288,,84.20696478,91.85404065,91.58689849
Egypt,,38.19676456,,,,,,,,,,44.42399332,,,,,,,,,,55.58699669,,,,,,,,,71.40886361,66.36990704,,,,72.04785265,72.95671945
El Salvador,,,,,,,,,,,,,,,,,,74.14316182,,,,,,,,,,,,79.82584,,83.55945767,82.02863414,83.95130498,84.10288775,84.4927239,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,88.30830111,,,,,,,,,,,94.22589
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51395125,,,,,,,,,68.93744
Estonia,,,,,,,,,,,,,,,99.72644075,,,,,,,,,,,99.76719592,,,,,,,,,,,99.79689
Ethiopia,,,,,,,,,,,,,,,,,,,,27.01135531,,,,,,,,,,35.9,29.82033796,,38.99598154,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,72.23367189,,,,,,,,,,,83.80069,,,,,,,88.98886
