RTI 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,29.51274,31.44337,29.82133,32.82447,33.10159,,,,,,,26.64665,25.34631,26.1225,26.08494,23.8859,19.2687,20.02414,20.63239,15.71815,17.33174,17.8093,17.00986,16.35916,17.00023,17.18774,15.36527,17.00837,17.11927,14.9574,14.25309,13.74941,15.29651,14.37186,11.86605,12.40812,10.75549,12.44775,11.73555,12.11447,13.06363,12.4777,
Australia,32.23383,43.59406,38.55132,35.73978,39.60485,38.82487,42.51681,41.49345,42.85262,41.05835,45.92852,47.5645,46.35877,46.23582,44.7799,48.30676,43.90237,46.07552,41.88128,46.38836,46.64626,40.47789,39.15707,41.57172,39.91838,35.5016,34.62925,34.79417,33.21144,31.47095,30.0792,25.61851,25.4402,21.49584,22.74153,21.87982,20.62845,20.70061,22.07447,19.62675,17.80695,16.30858,14.6403,12.7203,14.901,13.55616,13.3364,10.99248,11.48253,12.09667,10.55453,11.04526,8.938332,8.94252,8.389083,,6.919682,,
Austria,,,,,,11.14692,26.94144,37.11474,35.791,40.62934,42.82394,33.99046,31.2047,37.15521,43.81523,41.1708,47.64266,49.79761,48.36057,48.26657,54.13325,54.44801,58.3476,50.93055,49.2485,50.59436,41.02743,40.81136,38.17227,37.31136,33.72354,28.88727,30.84262,32.30185,29.10366,25.28279,22.72363,22.29669,26.11053,25.49399,23.90779,23.06151,18.47128,17.74591,18.07846,14.30672,14.00372,13.77232,13.21179,14.55805,12.0662,13.15382,13.53773,13.73765,11.2355,8.90951,9.286494,9.247993,9.427981
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.87247,18.52604,,,17.66917,20.08333,19.52501,18.34998,23.24096,20.30528,17.6431,22.03155,16.56238,4.006636,5.946358,9.185648,8.98054,7.822622,7.409736,8.142936,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.13923,,45.38213,39.49057,,,,,,,,,17.80682,31.93299,0,24.66249,17.67344,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17011,14.87543,,,11.68832,13.14925,12.70473,15.16915,21.3323,23.31028,24.73351,19.68582,17.40919,14.84267,17.59747,,15.88439,17.27539,16.77879,14.62965,15.2154,21.59019,23.71133,,,,18.10354,
Belgium,,,,,17.26444,17.64912,20.67548,22.60297,24.0002,25.56276,29.0097,25.53253,26.91009,24.96214,31.99794,36.93216,39.72882,41.10931,39.86281,40.09122,48.91917,43.99379,43.48104,42.85184,35.40521,35.37795,34.66894,34.70617,32.94327,30.11817,32.6881,27.55301,27.97366,28.52759,24.5181,21.75092,24.9008,24.7897,21.37411,20.19351,19.95081,20.48128,16.38273,18.81015,19.68278,17.05758,16.83804,16.57983,16.34969,16.68333,,,,,10.38197,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.40065,29.01044,30.96448,33.80875,39.01185,33.87426,32.42967,34.35056,33.94524,31.0172,28.14946,28.10221,27.97581,34.70756,30.25275,31.53431,28.50546,25.94006,23.63237,25.75229,25.20993,25.76082,27.08807,27.242,,,
Bulgaria,,,,,,,,,,,,,,,7.99556,10.64512,17.52345,15.40678,17.28274,19.19372,17.5596,18.31916,21.56554,18.03146,15.74557,18.67187,17.64197,19.42186,21.2538,19.8191,18.16871,20.69138,20.99454,16.338,21.53456,16.63381,20.89026,18.56272,19.30662,19.61861,20.25658,16.10574,16.62472,14.72282,15.16853,17.54962,13.84773,14.48382,16.2912,14.16588,15.24943,14.29016,11.70313,11.8817,12.88133,14.12436,13.37004,13.91124,13.32494
Canada,31.14447,31.63168,33.64125,38.16259,31.2795,33.67222,36.49496,39.15549,33.79052,33.49774,33.90139,32.7062,35.01804,36.45856,37.90104,39.14221,37.3688,37.00931,34.6259,35.51456,33.26221,31.54647,35.95079,35.59063,31.9529,29.36666,25.67737,24.70646,23.95559,25.76313,23.75929,21.78441,18.95684,16.54697,17.11804,17.68822,17.32575,18.41517,17.36407,19.30918,16.45708,15.5294,14.58136,13.55993,13.16926,13.08487,13.25423,12.43436,12.64855,12.38886,11.71332,11.15728,11.2604,10.16964,10.71738,,,,
