Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.24332,50.48982,53.80307,51.83302,50.92156,55.66861,51.50918,50.49719,47.54712,53.00477,40.03834,49.22066,48.66378,52.75153,49.71387,49.05808,39.23604,39.6436,37.53102,40.09758,36.88203,31.85728,34.57716,33.94386
Cuba,,,,,,,,,,,,,,,29.3308,,,,29.9431,22.46719,36.23278,41.06831,46.64961,46.93763,48.80743,49.72858,49.28818,52.67998,,,,,,,,,,,,,,,53.73867,60.98062,57.45264,50.81379,45.83271,43.88269,45.62101,42.45316,36.16356,33.74923,32.11716,29.67468,30.82851,28.49361,28.78507,28.04354,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0.9331409,2.46443,4.123849,3.477642,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.53548,40.8692,42.10417,39.88564,42.41968,35.52602,37.70558,34.12684,34.84036,28.23651,27.32341,27.02875,24.83795,26.45709,24.98488,23.50932,22.15389,23.53816,20.55622,19.50566,18.31284,17.94198,17.52678
Denmark,,37.49889,39.69825,43.737,45.43996,42.81829,40.13135,43.70814,41.8409,38.78971,36.61754,32.56009,35.78733,35.19041,39.42234,30.81492,33.88035,30.74893,34.64479,35.24351,36.53907,43.96326,40.7716,42.07682,48.84925,40.68248,41.72006,41.9765,40.99466,39.25928,50.38175,49.84787,43.76313,49.20153,45.52762,46.51391,45.24474,43.88414,44.48616,46.46737,40.83664,37.86677,36.40348,41.61457,33.37793,31.87229,27.83371,28.33361,21.92695,22.84076,22.66853,22.31528,21.44092,19.92254,17.99195,22.49481,22.72182,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.2010298,0.1039442,0.0974403,0.2845285,0.8728642,0.4078569,0.3911295,0.0366519,,,,,,,0.1454739,,,,,,,,,,,,,0.0576531,,,,,,,,0.1747967
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.950224,7.06988,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.55307,45.94226,,,34.52811,42.72332,41.97352,38.99235,38.43137,42.3547,43.30212,46.54049,45.5896,49.33807,48.002,45.26156,44.92185,44.28173,47.7843,34.81573,34.98047,32.59931,31.1909,28.30714,23.78312,29.23081,26.89171,20.55297
Finland,,,27.87164,23.34135,29.20098,30.87487,30.60318,38.20349,32.46593,30.51936,32.35518,33.47544,30.17705,27.92332,35.00142,31.47196,31.07343,31.68584,30.67533,34.7399,29.38297,29.24229,35.63676,31.68568,30.03125,33.22866,30.38877,30.1657,30.31077,30.71749,32.46875,27.62628,29.18541,26.01375,31.60065,27.77085,30.15172,32.2206,33.2359,34.48734,33.34844,32.25136,26.97637,27.77368,25.95425,26.95951,24.99499,25.47282,27.65607,23.39131,21.66237,24.85003,24.36326,21.81801,23.31719,21.28368,23.17031,20.39542,20.33992
France,36.94918,,36.82215,36.48669,38.51415,37.69,41.26466,39.71461,40.76324,40.31342,38.67434,37.78543,36.00904,37.42166,35.1115,34.67268,35.56546,35.7356,34.4021,36.45179,34.49633,34.14964,35.80979,35.1553,34.11133,33.86032,32.8275,33.05383,35.21533,36.99483,37.64547,38.48575,40.7669,42.63763,42.81478,43.03155,44.06517,40.56297,37.86049,37.60645,35.53157,34.86666,33.99821,33.98858,33.00869,32.78955,30.00752,29.10836,28.57615,28.27413,29.51044,27.19509,27.0483,26.53007,25.44315,26.4578,25.10774,23.29822,
