Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
United Kingdom,22.95765,23.36117,22.41392,24.68177,25.51807,25.67074,26.84792,26.77202,25.17381,24.63972,22.39316,22.98542,24.40253,24.1891,23.75251,20.69809,19.96945,18.87748,18.52951,17.59479,15.34106,15.26574,13.91101,14.0041,13.8338,13.14458,13.5556,12.67962,13.86918,14.02305,14.50228,14.32209,13.78678,14.15925,13.39498,14.16403,13.34904,11.71486,11.82529,9.679926,9.724654,8.658211,8.841093,8.169229,7.98969,7.767005,7.028172,6.979696,7.123399,7.483859,6.80549,6.776453,6.255666,6.333701,6.788108,6.420722,6.442941,6.268727,
United States,29.51397,26.75078,26.04834,25.70469,25.4611,25.73754,25.6554,24.08274,25.57975,25.48084,24.39168,23.08988,23.8299,23.10122,22.53787,22.83876,22.61778,20.9196,20.53814,21.42294,21.13074,20.69888,21.15549,20.08028,19.19776,19.40622,19.38768,19.65992,19.06672,18.17618,16.92856,16.53634,17.74728,18.29229,18.72447,18.95678,20.01756,19.97027,19.09257,18.53908,18.90717,18.10546,17.54262,17.29598,16.29198,16.36124,15.68319,15.04991,14.96508,14.14504,13.50721,13.9005,14.16067,13.62858,13.60609,13.84882,,,
Uruguay,,,,,,18.97078,25.12861,18.36361,16.36432,25.18032,24.46625,,,23.35562,20.42273,28.60354,28.72494,28.03398,27.60151,26.16931,20.3237,27.60626,29.29297,28.27796,29.56058,25.87019,21.87583,27.2359,21.81373,,25.25904,22.96385,31.0813,26.89523,24.84572,23.92203,27.57742,21.8941,20.71877,27.21816,22.69461,,,24.36538,23.42776,27.80005,23.99417,31.22672,30.78847,28.24043,34.5262,28.82828,,,28.81522,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.70588,13.38604,,,13.33359,14.18046,15.54026,13.0204,14.89034,13.25433,11.72394,11.14855,10.68711,11.75065,11.26025,11.60198,10.10918,10.01462,8.779934,11.2174,9.802236,7.306885,6.673188,5.089002,7.068583,,,
Venezuela,,,,,,13.13469,17.58146,11.50714,13.77745,12.69862,12.65767,15.47546,13.6726,15.54398,14.21392,15.15856,15.77132,13.90855,13.04397,20.64962,19.96933,13.46235,15.11651,14.59388,12.66303,16.34073,11.50003,8.667003,13.79577,11.38156,14.10588,11.90627,11.27786,12.47213,,13.31959,12.93523,11.16127,12.18052,12.06494,11.8586,,11.98356,11.02695,11.8106,,10.67824,9.696992,9.081253,9.856506,11.11901,9.833217,10.30328,9.594233,7.692658,7.057354,,5.862955,
Czechoslovakia,,,,49.14848,49.3979,45.06647,50.03032,47.38437,50.8684,49.40448,50.05898,49.59338,47.48726,49.18933,46.7227,47.45115,48.49771,49.03472,48.49707,47.55754,48.25593,45.69936,47.91789,44.04801,48.4217,46.14532,42.07951,44.48139,46.33044,41.61106,42.39299,40.47421,43.39887,39.24677,39.42077,39.17165,39.25337,36.5847,36.89394,34.60012,36.83632,32.09234,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,75.6858,82.78692,,,,,,,,,,,,,,,56.12344,47.82265,,,,,,,,,,,,,,,,,,
West Germany,,,36.63354,36.82217,35.33622,35.08818,34.93389,32.13468,33.05315,33.74205,32.363,32.36922,33.14,35.45077,36.70814,37.60643,37.36937,36.92685,37.35973,37.41489,39.3069,37.5849,35.05378,36.99879,37.23632,35.01592,36.18186,37.17815,35.72363,35.61443,35.93539,35.43474,33.34406,34.47778,33.54987,33.56789,30.85623,31.63074,29.81275,28.43295,26.68196,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.30769,38.31167,38.97382,34.16305,31.85093,33.74725,34.00848,34.53888,34.07234,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,31.97221,35.48895,,,,,,,,,37.65044,38.81535,38.43823,41.73471,42.40541,40.52551,41.77404,40.03196,42.89782,44.49375,42.15425,42.74095,40.29625,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.34554,37.57812,42.49664,41.85467,41.24605,43.33865,,,,,,
