Prostate Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Finland,,,9.13,8.51,10.73,9.9,9.24,10.91,11.06,13.11,12.13,10.39,13.06,11.28,11.4,11.32,11.7,11.52,12.86,12.19,12.89,15.4,14.01,14.93,14.42,15.47,15.13,16.05,16.31,16.59,16.74,14.82,15.68,16.74,17.34,16.6,17.22,16.48,16.98,17.53,18.46,17.06,18.75,19.03,17.16,18.02,19.79,17.72,18.84,18.32,17.32,17.18,17.61
France,9.14,,10.06,10.33,10.87,11.74,12.9,13.3,14.41,13.84,15.16,14.78,15.06,15.84,15.01,15.44,15.81,16.14,16.37,15.7,15.27,15.22,15.42,15.59,16.1,15.75,15.99,15.12,14.99,15.23,15.57,15.95,16.02,16.49,16.28,17.25,17.7,17.68,18.03,18.03,17.92,17.51,16.87,16.49,16.21,15.58,15.57,15.25,15.12,15.16,14.44,14.07,14.28
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8
Germany,,,,,,,,,,,,,,,,,,,,,,,,13.73,13.93,14.7,14.67,14.21,14.34,,13.9,14.58,14.51,15.17,14.93,14.91,15.2,15.41,16.06,15.82,15.82,16.42,16.73,16.73,16.99,16.97,16.8,15.92,15.65,14.97,14.73,14.5,14.55
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Greece,,,,,,,,,,,,4.44,5,4.67,5.36,4.61,5.88,5.9,5.4,5.57,5.4,5.87,5.99,6.83,6.41,6.89,6.16,6.63,6.82,7.28,7.28,6.81,7.73,8.19,7.56,8.85,8.23,8.48,8.31,7.93,8.25,9.17,8.76,9.28,9.58,9.75,9.91,9.84,10.06,10.01,9.96,10.55,10.15
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
Guatemala,,,,,,,,,,,,,,3.18,1.75,1.57,1.62,1.81,1.8,2.29,1.81,2.04,,,2.08,2.34,1.57,1.63,2.95,2.57,2.95,3.63,,,2.67,,3.21,4.15,3.96,3.78,3.13,3.96,3.73,4.43,5.43,7.49,5.74,6.22,8.17,8.88,9.65,9.33,9.27
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
"Hong Kong, China",,,,,,,,,,,0.92,0.71,2.63,1.56,1.92,3.25,2.18,1.72,2.8,3.21,1.37,2.36,2.17,1.97,1.16,2.65,2.25,2.31,2.85,2.57,2.08,2,2.6,2.97,2.62,2.22,2.7,3.04,2.38,2.82,2.96,3.19,2.69,3.38,3.69,3.54,3.74,3.45,3.18,5.2,3.94,4.39,3.91
Hungary,,,,,,7.61,8.46,8.19,8.94,9.91,10.6,11.42,11.67,10.86,12.09,13.86,12.8,13.65,12.64,15.09,14.6,15.07,14.82,14.86,16.68,15.87,16.06,15.72,16.19,15.42,15.09,14.52,15.88,14.7,15.53,15.7,16.94,15.69,15.61,16.66,15.8,15.44,16.09,15.84,15.79,17.5,18.58,18.29,16.87,17.05,17.29,16.73,15.72
Iceland,,1.48,10.98,4.02,11.08,8.33,5.32,11.11,9.08,6.43,8.08,5.44,5.84,10.2,7.74,4.9,21.16,11.16,13.38,11.09,13.22,16.08,7.28,6.17,16.39,14.71,10.02,15.96,7.79,10.21,7.07,16.72,19.06,16.08,19.09,19.23,20.68,18.47,20.51,15.13,20.99,20.62,25.44,21.49,13.78,15.17,27.92,20.31,21.26,20.26,19.17,17.17,25.48
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Ireland,7.46,7.8,7.96,7.67,8.09,8.69,7.34,8.08,9.39,9.59,9.48,9.68,10.35,9.94,11.55,10.95,12.45,11.14,11.33,12.27,11.97,13.25,13.75,12.69,13.5,12.49,14.55,14.54,15.51,13.66,14.1,12.31,13.96,16.02,14.31,13.99,15.75,18.22,17.17,16.87,18.51,17.8,19,18.52,17.93,19.25,19.15,19.08,18.32,17.65,18.77,18.63,18.04
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,7.86,7.35,8.49,9.45,7.15,8.8,9.22,8.98,7.94,7.55,9.11,9.83,9.13,8.62,9.1,9.25,10.56,11.31,12.41,11.88,12,11.27,11.97,10.37,9.25,10.45,9.01
Italy,,5.02,5.53,5.67,6.21,6.81,7.4,7.59,7.72,7.91,8.07,8.35,9.02,9.08,9.36,9.43,9.22,9.11,9.67,9.89,9.93,10.01,10.2,10.35,10.64,10.47,10.9,10.53,10.91,11.06,10.93,11.21,11.2,11.46,11.51,11.72,11.92,11.97,11.42,10.81,11.29,10.98,11,11.31,11.62,10.86,11.03,11.03,10.92,10.68,10.2,10.23,9.99
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4
