Prostate Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Panama,,,,,,3.42,5.96,4.04,5.67,7.12,5.48,6.75,5.32,7.18,8.6,4.37,7.97,7.75,8.98,7.75,8.36,6.31,8.44,6.73,7.81,6.15,10.11,10.49,8.42,9.62,8.26,10.61,9.7,9.15,14.04,9.8,13.02,11.95,10.39,12.3,,,,,,,16.63,16.83,17.5,18.98,19.75,18.01,16.23
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
Poland,,,,,,,,,,2.88,3.53,3.67,4.52,6.28,7.18,7.55,7.66,8.2,8.25,8.18,8.3,8.59,8.24,7.91,7.83,8.25,8.37,7.77,8.51,8.26,8.58,8.13,8.35,9.04,8.87,9.19,9.07,9.65,9.79,9.63,9.45,10.07,9.58,10.31,10.71,11.08,11.47,,,11.82,12.51,13.15,13.2
Portugal,,,,,,8.86,8.35,7.94,8.33,9.88,9.67,9.43,10.38,11.12,11.8,11.67,13.03,12.48,13.55,13.65,13.99,15.34,13.39,14.01,13.82,13.53,13.52,13.8,14.1,13.88,14.41,13.2,13.67,12.58,13.53,13.1,12.36,12.84,14.03,13.68,13.88,15.33,14.64,15.08,15.16,16.14,17.42,17.53,17,17.1,17.86,15.87,16.3
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Romania,,,,,,,,,,6.56,6.77,8.27,8.7,7.84,7.21,7.27,6.65,7.11,7.09,8.26,8.32,8.04,8.74,8.04,8.37,8.23,8.27,8.23,8.54,,7.9,7.41,6.77,7.2,6.38,7.73,7.66,6.97,7.02,6.79,7.01,7.45,7.91,7.84,7.77,8.01,9.05,8.43,8.6,8.4,8.83,9.21,9.01
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,5.19,5.44,5.57,5.71,5.79,6.07,6.29,6.47,6.55,6.54,6.53,7.2,7.4,7.32,7.23,7.52,7.91,8.18,8.27,8.35,8.57,9.17
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Singapore,,,,,,,,,,,,,,1.96,0.89,1.64,1.92,3.62,2.32,3.06,3.03,1.08,1.79,0.92,0.75,1.19,2.07,3.13,1.93,3.54,1.94,4.3,2.34,3.46,4.13,3,5.09,3.43,3.69,3.15,4.58,3.58,3.82,4.41,5.04,6.65,4.13,4.82,4.84,5.01,5.4,5.02,4.3
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39,12.11,11.66,12.69,13.65,14.1,15.66,15.99,16.06,14.54,13.85
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.87,13.79,15.17,16.46,13.79,13.08,14.55,13.16,16.69,13.1,14.71,15.57,19.11,18.4,17.21,18.06,17.61,18.97
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33,17.44,18.7,21.45,21.35,20.63,21.47,21.91,21.57,20.91
Spain,,7.43,5.94,5.7,6.3,6.64,6.94,7.87,7.68,7.83,9.55,10.36,10.93,11.65,11.53,10.42,11.89,11.33,12.18,10.27,12.3,12.31,11.84,11.3,11.33,11.95,12.28,12.08,12.37,12.05,12.65,12.82,12.05,12.36,12.5,12.75,12.82,12.98,12.87,12.74,13.06,13,12.97,13.57,13.76,13.76,13.94,13.67,14.06,13.39,12.68,12.78,12.38
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Suriname,,,,,,,,,,,,,,8.8,14.37,7.63,5.27,,,,,10.11,6.26,,,10.93,8.03,9.56,8.96,5.11,9.15,7.91,13.17,,11.63,14.66,11.27,11.58,12.93,8.71,7.84,10.4,10.18,,,2.62,14.9,5.81,17.49,15.39,13.77,,10.9
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2
Sweden,,10.96,11.99,12.31,11.93,12.82,13.78,14.63,15.81,16.4,16.4,16.82,17.62,18.89,18.23,17.16,17.04,17.4,17.34,18.87,17.77,19.2,22,20.37,21.59,22.37,21.98,21.48,21.18,20.52,20.25,17.88,17.28,17.17,17.48,18.41,19.43,18.43,20.13,20.08,21.07,21.54,21.02,21.65,20.65,21.75,21.78,22.49,22.19,22.03,21.93,21.3,19.94
Switzerland,,14.66,14.2,13.37,13.85,14.44,15.63,14.76,15.78,15.14,15.82,15.29,16.81,16.67,16.16,16.73,15.55,16.52,17.71,17.8,18.49,18.99,18.09,20.62,19.69,18.65,19.35,18.14,18.96,17.21,18.15,21.8,20.94,20.11,20.57,22.99,21.83,20.87,22.29,21.93,22.9,22.1,22.51,22.97,23.34,19.87,19.15,18.56,17.98,18.92,17.85,17.59,16.34
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.63,,,2.01,1.58,1.25,2.72,2.97,2.69,3.58,2.49,2.41,1.63,1.38,1.24,1.08,1.34,1.6,1.94,2.54,1.65
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4
Thailand,,,,,,,,,0.02,0.03,0.06,0.01,0.04,0.03,0.01,,0.05,0.07,0.1,0.1,0.13,0.07,0.17,0.11,0.15,0.23,0.13,0.08,0.11,0.09,0.12,0.28,0.21,0.12,0.14,0.11,0.17,0.19,,,0.23,0.25,0.33,,0.28,0.33,0.43,0.25,0.33,0.51,0.83,,1.08
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Trinidad and Tobago,,3.88,2.2,4.41,7.64,7.44,7.81,9.97,4.96,,11.68,9.12,5.34,10.49,,,13.78,15.96,12.37,,14.29,13.14,17.33,10.62,13.39,20.7,10.96,16.68,13.69,19.15,17.2,22.43,17.93,18.35,27.74,23.3,28.28,31.99,28.12,34.34,32.81,32.44,35.72,34.22,44.73,51.11,46.82,49.18,41.15,47.44,39.72,42.91,51.42
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.56,,,1.84,1.59,1.2,1.84,1.64,1.5,1.25,2.17,1.61,1.4,1.65,0.8,1.08,1.32,,,,1.5
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.94,,,5.52,5.63,5.93,6.39,6.41,6.8,7.05,6.92,6.93,7.48,7.15,7.06,7.32,7.44,7.75,7.84,7.63,8.34
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
United Kingdom,10.73,10.56,10.3,10.79,11.32,11.25,12.04,11.65,11.9,11.75,12.01,11.82,12.32,12.36,11.96,12.77,12.18,11.9,11.77,11.77,11.23,11.51,11.7,11.84,11.89,11.76,12.07,12,11.93,12.15,12.45,12.49,12.57,13.01,14.37,14.9,15.17,15.43,15.88,16.4,16.68,17.35,17.5,17.09,17.04,17.23,16.69,16.03,15.84,15.66,15.01,15.74,15.59
United States,13.24,13.04,13.51,13.55,13.86,13.83,14.02,14.04,13.56,13.26,13.34,13.6,13.58,13.61,13.44,13.54,13.35,13.47,13.7,13.43,13.49,13.69,13.79,14.04,14.04,13.93,14.34,14.37,14.63,14.66,14.83,14.85,14.93,15.22,15.16,15.13,15.6,15.59,15.85,16.36,17.04,17.23,17.3,17.2,16.83,16.35,15.76,14.78,14.07,13.5,12.87,12.39,12.03
Uruguay,,,,,,11.88,15.21,14.42,12.55,14.81,13.34,,,16.09,14.13,15.72,14.97,18.13,15.46,16.39,17.09,15.45,17.23,16.56,17.25,15.54,17.53,15.64,18.12,,16.75,15.84,16.1,15.62,17.43,18.03,18.47,19.18,19.4,18.61,20.72,,,19.45,21.25,22.12,23.2,19.92,21.34,20.56,21.04,21.78,22.09666667
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,2.4,,,2.22,2.1,2.02,1.62,1.49,2.55,1.94,1.77,1.03,1.14,1.49,1.1,1.49,1.39,1.42,1.92,,2.02
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
Venezuela,,,,,,8.48,7.36,8.48,8.91,7.85,9.27,9.18,9.89,8.94,8.82,9.56,11.27,9.87,10.52,10.32,9.21,8.77,8.48,9.38,10,9.15,10.69,9.51,10.27,9.66,10.94,10.49,11.51,12.9,,12.65,11.07,13.57,13.71,13.2,15.61,,17.01,16.36,19.47,,20.44,19.2,19.39,18.78,19.82,20.18,19.94
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5
