Net barter terms of trade (2000 = 100),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,98.79,102.56,110.87,114.85,121.34,125.82,130.19,117.25,107.64
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,168.3544304,194.4444444,165.7142857,168.2539683,139.7260274,136.1111111,67.04545455,63.10679612,57.40740741,59.09090909,73.94957983,81.18811881,70.58823529,58.55855856,57.40740741,57.89,67.54,70.75,50.93,59.43,100,97.22,85.62,106.92,122.21,164.12,191.44,182.66,237.08,160.99
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,109.73,107.08,127.11,131.9,120.59,180.22,187.96,177.22,164.19
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,118.8679245,85.29411765,84.93150685,106.6666667,121.3114754,94.25287356,63.57615894,66.66666667,61.70212766,68.57142857,80.77,86.54,68.32,44.33,60,100,91.41,92.47,101.91,125.71,172.53,198.45,203.79,251.87,170.76
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.57,99.64,94.19,90.45,89.42,91.61,92.56,97.05,101.78
Argentina,,,,,,,,,,,,,,,,,,,,,106.25,86.81318681,79.06976744,83.90804598,83.72093023,94.11764706,91.30434783,82.17821782,75,69.09090909,63.55932203,92.07920792,93.26923077,96.07843137,97.24770642,91.6,100,100,95.19,91,100,99.32,98.73,107.22,109.21,106.89,113.35,117.55,133.21,125.95
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,93.2,89.25,97.27,105.54,119.73,123.59,123.85,136.07,104.01
Australia,,,,,,,,,,,,,,,,,,,,,120.5596,120.3923,117.8385,116.7016,114.2385,108.1589,100.1925,98.29712,112.5068,119.8666,116.3521,105.185,102.7179,96.26987,95.88813,99.41489,100.7098,102.6236,99.29701,94.2857,100,104.0751,105.8495,105.9237,116.1755,131.0849,145.5161,152.3911,174.6305,162.9642
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
