,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.076,0.0841,0.0918,0.101489225,0.102590907,0.106915925,0.110923221,0.115704517,0.119729137,0.12344207,0.150598741,0.159157388,0.165387288,0.173328058,0.173791847,0.192837577,0.191516797,0.196895464,0.203709115,0.213009091,0.228909473,0.248277237,0.299577315,0.363541533,0.425548316,0.552448415,0.763104588,1.15971728,1.426174709,2.399888297,6.569628406,12.99114242,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.01293244,11.7562532,12.68518556,13.15908668,13.61843379,13.86863366,13.94764348,15.11158594,16.43281938,17.87953735,18.64908731,19.70097148,20.79162291,22.28027596,24.56079738,26.59409364,28.71641157,29.40742356,30.37267193,31.73262739,33.84668146,36.54618474,41.19521659,44.02329487,47.43639634,53.17015609,63.30563282,79.72548938,94.53687283,115.4585237,116.8309167,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.23326572,5.748592073,6.174574659,6.628871391,7.052378965,7.49662968,7.79299691,8.21603928,8.740221477,9.809283552,10.05413534,11.10100568,12.14040154,13.2889645,14.39653884,15.44958288,16.41612713,17.0761159,17.72324446,18.49735015,19.36758878,21.00905512,22.93927053,24.84860463,26.52640757,27.99858071,30.09655699,34.55710831,42.42814896,55.11924106,75.53273891,95.8433085,..
Belgium,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.88677897,19.78391601,20.87151293,22.15666328,23.55392904,24.79936021,26.25971376,27.61878044,28.59257305,29.68604486,30.760986,32.76169134,34.18860182,35.79371844,37.65779835,39.68446134,41.45625469,43.06423096,44.26065744,46.1815315,48.50982559,50.22995963,56.40633533,64.81220229,80.14122824,104.0325985,124.7078254,126.1335237,129.9222232,133.6968021,135.7713637,136.4067679,..
Belize,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.564640601,2.545431873,2.612181105,2.593649843,2.708878643,2.650684932,2.600524537,3.398799847,3.846839846,3.752876707,4.21179302,4.694835681,5.707762557,6.813125695,8.326419214,9.164021164,10.96701031,12.48241206,14.15804878,13.75545024,14.08498845,14.31711712,14.43956522,15.10356394,17.56766763,21.04323459,28.91255344,31.30806938,34.22762148,44.36624204,52.73577793,51.14670865,..
Benin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.165398703,0.177586795,0.187794064,0.201475481,0.213941522,0.229565069,0.245491837,0.244110088,0.242377767,0.24903297,0.247633464,0.265019711,0.281228849,0.280871545,0.284530844,0.285329896,0.279511705,0.2826954,0.352647961,0.399063779,0.471219165,0.552049194,0.616767266,0.656090442,0.72656346,1.48217454,2.470460386,3.652370065,3.801826619,5.586862606,9.731892898,12.93508706,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.01886792,33.64661654,36.29775281,38.24626866,39.96282528,41.42777778,43.19669118,48.27189781,49.7826087,51.65467626,53.25535714,55.10720562,..,..,62.15268456,63.52231405,66.27704918,68.39672131,74.53770492,80.49265905,85.4554295,91.45119678,100.4153087,107.0107868,109.1683142,111.1731664,111.2455972,137.0517928,..,162.4289324,165.4727073,184.5673981,..
Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.159320679,0.180681141,0.174461902,0.168671848,0.268214835,0.281610147,0.276398982,0.29220969,0.307330941,0.310368225,0.312209255,0.32249547,0.321280449,0.32068211,0.339010561,0.34182444,0.459157061,0.553116162,0.729113827,0.893174599,1.034057022,1.193324925,1.244433434,1.973408057,2.206502096,2.532382086,3.056437795,3.319608112,5.463599325,7.932021788,11.07528418,17.51078201,..
Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.522816457,2.593856032,2.647660244,2.625207982,2.702097051,2.661642923,2.620974026,2.635553333,2.593831334,2.607038353,2.739448715,2.994421122,3.000417311,3.278543151,3.374778242,3.396423323,4.994953331,6.437195547,8.667809838,11.32809892,13.1468231,15.36605758,18.63420378,21.38146465,26.93090111,33.40980166,35.97201622,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.13231698,16.07271295,7.067563361,6.951981541,8.047605371,9.007275964,10.02415668,11.3837279,23.06116985,33.58392074,42.55892186,51.65518879,60.40388977,65.46789748,73.26853107,..
