Water resources: total renewable per capita (actual) (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Falkland Islands (Malvinas),,,,,,,,,,
Fiji,67661.724,58522.326,52628.668,47795.945,42859.566,39762.566,38653.478,36455.061,35131.629,34260.137
Finland,24475.62,23999.31,23684.6,23211.45,22792.26,22280.07,21848.84,21401.28,21143.62,20907.6
France,4341.67,4101.8,3949.03,3827.57,3743.77,3646.7,3551.41,3476.99,3403.58,3321.38
French Guiana,3815924.36,3102857.4,2625854.87,2227578.75,1785357.4,1351419.49,1066191.38,900386.35,760939.93,679599.34
French Polynesia,,,,,,,,,,
Gabon,333798.75,321784.41,296950.82,260764.48,227396.88,195870.94,168483.34,147938.73,133598.24,125112.52
Gambia,20961.55,18144.37,15548.77,13145.72,11166.93,9333.56,7708.88,6416.65,5415.22,4810.49
Georgia,,,,,,,11877.718,12960.079,13726.691,14286.097
Germany,2079.14,1999.3,1960.53,1959.2,1976.46,1970.71,1915.22,1876.44,1867,1863.48
Ghana,7033.65,6239.23,5570.95,4967.65,4382.3,3715.24,3226.33,2831.28,2522.07,2312.19
Gibraltar,,,,,,,,,,
Greece,8806.68,8587.774,8370.242,8005.945,7580.15,7418.729,7177.929,6866.785,6726.518,6675.65
Greenland,17122898.68,14264424.1,12508037.91,12097987.68,11781946.07,11095164.49,10819636.83,10813815.86,10640550.55,10433428.49
Grenada,,,,,,,,,,
Guadeloupe,,,,,,,,,,
Guam,,,,,,,,,,
Guatemala,25469.411,22265.502,19434.84,17063.011,15095.821,13382.198,11924.667,10626.07,9435.595,8540.46
Guinea,69807.51,62745.15,58135.22,53843.06,46977.98,41274.49,34558.04,29268.18,26545.76,24615.15
Guinea-Bissau,55743.46,54940.18,51433.07,43981.67,37070.25,33105.86,28630.4,24590.52,21292.94,18838.92
Guyana,401506.73,357527.51,333856.05,323136.43,316224.41,324189.22,329240.81,326581.27,327368.25,326087.69
Haiti,3483.3046,3151.7569,2873.5961,2624.3438,2354.3694,2100.7865,1895.468,1724.9295,1582.7522,1484.7637
Holy See,,,,,,,,,,
Honduras,44822.97,38580.9401,33728.1747,29023.5191,24822.5619,21368.0791,18571.2584,16468.6505,14882.0761,13765.7208
Hungary,10352.94,10171.51,9987.75,9791.72,9730.83,9918.93,10058.85,10104.24,10231.99,10339.58
Iceland,929708.56,862970.44,810596.88,764945.68,729203.75,688716.39,654143.03,623267.68,592373.71,569649.73
India,4085.51,3682.303,3304.851,2951.758,2631.511,2353.18,2113.036,1912.893,1753.083,1646.761
Indonesia,28319.95,25272.39,22465.18,20044.61,18006.4,16341.23,15035.23,13971.93,13050.31,12400.35
Iran,6005.8246,5213.6621,4505.7671,3880.8425,3216.4299,2645.5171,2323.3486,2151.5072,2040.8075,1956.9468
Iraq,9683.539,8253.853,6990.093,5907.425,5049.392,4414.74,3844.654,3285.522,2874.747,2652.438
Ireland,18318.07,17948.48,17157.18,15890.18,14968.55,14709.21,14707.73,14161.67,13246.63,12318.71
Israel,776.34,659.436,579.285,504.051,455.971,420.602,368.553,313.245,280.981,261.38
Italy,3754.8,3621.89,3509.81,3419.84,3382.01,3379.5,3360.26,3330.37,3295.15,3254.57
Jamaica,5601.3032,5212.7013,4885.0273,4565.0463,4273.3955,4034.2248,3900.22,3718.7554,3578.0516,3484.766
Japan,4483.01,4261.97,4012.08,3775.82,3626.56,3523.07,3457.35,3408.63,3373,3360.6
Jordan,973.6329,721.1952,528.636,459.196,390.1162,324.4714,255.4027,206.3335,185.3624,163.5548
Kazakhstan,,,,,,,6671.906,7083.645,7339.914,7157.341
Kenya,3552.16,3017.19,2535.85,2110.06,1746.95,1451.53,1227,1061.78,932.76,839.86
Kiribati,,,,,,,,,,
Kuwait,58.634,34.692,23.677,17.436,13.294,10.305,10.044,10.872,8.199,7.197
Kyrgyzstan,,,,,,,4595.628,4356.433,4069.341,3913.569
Laos,159695.078,141117.03,123509.681,111635.606,103016.621,89561.8,77125.863,67812.178,61740.826,57913.998
Latvia,,,,,,,13572.1018,14559.1452,15116.7089,15486.0326
Lebanon,2241.2574,1969.1254,1750.508,1623.5317,1594.4473,1553.1495,1425.7277,1240.12,1163.801,1110.3984
Lesotho,3426.805,3111.9733,2806.8415,2511.0742,2210.6544,1976.3711,1835.4407,1690.4534,1564.3862,1514.872
Liberia,209115.26,182327.44,157913.58,136325.76,115582.11,105870.71,111992.78,93681.2,71450.54,64823.93
Libya,413.45,341.07,276.5,223.7,177.53,146.92,131.89,119.27,107.75,99.36
Liechtenstein,,,,,,,,,,
Lithuania,,,,,,,6741.92,6959.36,7180.9,7306.02
Luxembourg,9657.56,9263.21,8938.74,8547.59,8503.68,8354.87,7918.74,7376.38,6965.18,6719.3
Madagascar,59691.85,52563.15,46151.81,40395.01,35159.74,30509.45,26415.26,22756.07,19655.92,17589.63
Malawi,4673.888,4140.186,3603.887,3062.34,2639.357,2121.65,1764.245,1629.058,1409.478,1273.33
Malaysia,66886.72,57746.47,50843.85,45197.37,40092.53,34921.54,30386.57,26767.56,23909.34,22210.53
Maldives,292.8,264.117,235.745,206.843,179.014,153.158,130.994,115.965,106.468,99.902
Mali,23996.57,21837.55,19655.49,17577.19,15764.43,14038.44,12387.23,10856.06,9427.98,8355.35
Malta,163.26609,166.3603,167.2357,162.55922,151.77562,143.92754,137.45798,131.99094,128.04941,124.76899
Marshall Islands,,,,,,,,,,
Martinique,,,,,,,,,,
Mauritania,12155.17,10711.78,9397.23,8218.65,7190.86,6321,5560.01,4842.59,4189.79,3745.51
Mauritius,3939.1613,3506.0798,3227.9222,2983.016,2782.0645,2668.5938,2542.8522,2391.3795,2276.063,2198.1165
Mayotte,,,,,,,,,,
Mexico,11324.859,9663.8443,8249.5913,7117.1829,6311.6303,5738.9439,5253.1418,4802.5729,4494.289,4340.3532
