GDP per capita,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Equatorial Guinea,374.2724413,374.7402819,375.2081224,375.675963,376.1438035,376.6116441,377.0794846,377.5473252,378.0151657,378.4830063,378.9508468,379.4186874,379.8865279,380.3543685,380.822209,381.2900496,381.7578901,382.2257307,382.6935713,383.1614118,383.6292524,384.0970929,384.5649335,385.032774,385.5006146,385.9684551,386.4362957,386.9041362,387.3719768,387.8398173,388.3076579,388.7754984,389.243339,389.7111795,390.1790201,390.6468606,391.1147012,391.5825417,392.0503823,392.5182228,392.9860634,393.4539039,393.9217445,394.389585,394.8574256,395.3252661,395.7931067,396.2609472,396.7287878,397.1966284,397.6644689,398.1323095,398.60015,399.0679906,399.5358311,400.0036717,400.4715122,400.9393528,401.4071933,401.8750339,402.3428744,402.810715,403.2785555,403.7463961,404.2142366,404.6820772,405.1499177,405.6177583,406.0855988,406.5534394,407.0212799,407.4891205,407.956961,408.4248016,408.8926421,409.3604827,409.8283232,410.2961638,410.7640043,411.2318449,411.6996855,412.167526,412.6353666,413.1032071,413.5710477,414.0388882,414.5067288,414.9745693,415.4424099,415.9102504,416.378091,416.8459315,417.3137721,417.7816126,418.2494532,418.7172937,419.1851343,419.6529748,420.1208154,420.5886559,421.0564965,422.5927416,424.1289867,425.6652318,427.2014769,428.737722,430.2739672,431.8102123,433.3464574,434.8827025,436.4189476,437.9551927,439.4914378,441.0276829,442.5639281,444.1001732,445.6364183,447.1726634,448.7089085,450.2451536,451.7813987,453.3176438,454.853889,456.3901341,457.9263792,459.4626243,460.9988694,462.5351145,464.0713596,465.6076047,467.1438498,468.680095,470.2163401,471.7525852,473.2888303,474.8250754,476.3613205,477.8975656,479.4338107,480.9700559,482.506301,484.0425461,485.5787912,487.1150363,488.6512814,490.1875265,491.7237716,493.2600168,494.7962619,496.332507,497.8687521,517.0705068,527.1645081,541.0939625,562.8335357,571.6443091,587.0887853,597.9688954,608.3869676,633.7091843,688.3835908,743.7747685,817.9401731,928.2082431,1055.733515,1185.664345,1219.776403,1284.91562,1313.304941,1257.964025,1207.403753,1094.073604,943.6400001,982.5589259,1040.649906,1193.566642,1339.045538,1345.219361,1450.432234,1421.304348,1361.910988,1313.435722,1302.077851,1259.227713,1178.920182,1250.45332,1163.673183,1169.99568,1163.943655,1115.905155,1056.958005,1011.746895,1317.81423,1414.154812,1595.077217,1812.945244,2921.776123,7068.632095,8470.567124,10308.79941,11805.71086,18681.69845,21622.95857,23884.81169,31971.11138,34060.25082,33490.63747,36817.81191,40179.79634,35912.65919,34462.21841,35182.54517,35313.22694,32667.01962
Eritrea,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,561.5053763,563.0107527,564.516129,566.0215054,567.5268817,569.0322581,570.5376344,572.0430108,573.5483871,575.0537634,576.5591398,578.0645161,579.5698925,581.0752688,582.5806452,584.0860215,585.5913978,587.0967742,588.6021505,590.1075269,591.6129032,593.1182796,594.6236559,596.1290323,597.6344086,599.1397849,600.6451613,602.1505376,603.655914,605.1612903,606.6666667,608.172043,609.6774194,611.1827957,612.688172,614.1935484,615.6989247,617.2043011,618.7096774,620.2150538,621.7204301,623.2258065,624.7311828,626.2365591,627.7419355,629.2473118,630.7526882,632.2580645,633.7634409,635.2688172,636.7741935,638.2795699,639.7849462,641.2903226,642.7956989,644.3010753,645.8064516,647.311828,648.8172043,650.3225806,651.827957,653.3333333,654.8387097,656.344086,657.8494624,659.3548387,660.8602151,662.3655914,663.8709677,665.3763441,666.8817204,668.3870968,669.8924731,671.3978495,672.9032258,674.4086022,675.9139785,677.4193548,678.9247312,680.4301075,681.9354839,683.4408602,684.9462366,686.4516129,687.9569892,689.4623656,690.9677419,692.4731183,693.9784946,695.483871,696.9892473,698.4946237,700,703.4896331,706.9792662,710.4688993,713.9585324,717.4481655,720.9377986,724.4274316,727.9170647,731.4066978,734.8963309,738.385964,741.8755971,745.3652302,748.8548633,752.3444964,755.8341295,759.3237626,762.8133957,766.3030288,769.7926618,773.2822949,776.771928,780.2615611,783.7511942,787.2408273,790.7304604,794.2200935,797.7097266,801.1993597,804.6889928,808.1786259,811.6682589,815.157892,818.6475251,822.1371582,825.6267913,829.1164244,838.5502729,847.9768118,881.8127139,866.671405,897.198755,910.368452,887.2159191,899.6329146,906.7914588,935.3157346,951.1941242,965.0059367,981.4831245,992.7797352,1032.579674,1059.520804,1103.208673,1134.825376,1148.263444,1103.555509,1122.428908,1138.198983,1131.507509,1104.072296,1030.950874,1012.992452,995.9123464,925.1104444,1007.157165,1010.15911,1011.592769,992.9745837,1038.063695,981.857351,842.1033773,894.5455053,986.458698,960.6296799,925.4273463,918.3986377,1013.821725,1123.101341,1269.257986,1531.84217,1554.054923,1668.881663,1760.153196,1744.380721,1691.047083,1428.911937,1493.775555,1474.741465,1374.989892,1337.943749,1319.916249,1262.574838,1238.707071,1082.938164,1090.871601,1081.078862,1139.221991,1180.275458,1157.807957
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,986.8994462,987.9283332,988.9582929,989.9893264,991.0214347,992.0546191,993.0888806,994.1242204,995.1606395,996.1981392,997.2367205,998.2763846,999.3171326,1000.358966,1001.401885,1002.445891,1003.490986,1004.537171,1005.584446,1006.632813,1007.682273,1014.063373,1020.484882,1026.947055,1033.450149,1039.994424,1046.58014,1053.20756,1059.876947,1066.588568,1073.342691,1080.139583,1086.979516,1093.862763,1100.789598,1107.760297,1114.775137,1121.834398,1128.938362,1136.087311,1143.281531,1150.521308,1157.80693,1165.138689,1172.516875,1179.941783,1187.413709,1194.932951,1202.499808,1210.114582,1217.777576,1225.489095,1233.249447,1241.058942,1248.91789,1256.826604,1264.785399,1272.794594,1280.854506,1288.965457,1297.127771,1305.341771,1313.607787,1321.926147,1330.297182,1338.721227,1347.198617,1355.729689,1364.314784,1372.954243,1381.648412,1390.397636,1399.202263,1408.062646,1416.979137,1425.952091,1434.981866,1444.068822,1453.21332,1462.415725,1471.676404,1480.995726,1490.374062,1499.811786,1509.309274,1518.866905,1460.207217,1707.4159,1642.471246,1527.24686,1520.961894,1393.167575,1525.151871,1728.365788,1965.099526,1818.450308,2002.809325,1969.289504,2021.664225,2145.268566,2099.178812,2151.553533,2338.007539,2176.693399,2407.142171,2130.603644,2036.329147,1956.719571,2136.888611,2218.593175,2367.337383,2187.168343,2363.147405,2482.561769,2370.643,2439.829148,2169.189217,1904.548133,1523.638506,1401.747426,1822.271654,2095.612402,2409.954262,2578.65106,2622.569323,2745.383354,2820.396336,3015.326588,3192.343826,3203.643388,3143.287803,3043.013561,3006.654891,3185.751405,3523.859924,3646.834927,3866.29861,4057.803303,4232.634817,4018.321957,3797.48047,3726.215734,3656.288374,3587.673294,3520.345866,3454.281927,3389.457764,3766.000467,4254.792832,4647.135045,5033.649975,4970.575181,5202.267116,5336.804772,5502.527389,5868.645518,6317.757473,6334.52131,6691.139455,6499.802687,6989.175174,7259.318644,7334.400421,7059.777952,7863.510534,8208.526,8509.779779,8791.901599,9215.178477,9256.628783,9876.144728,10039.53859,9996.400862,10733.97825,11001.04309,10988.39427,11460.74383,11689.56777,11943.81046,11852.16461,11834.78587,11910.33637,12168.70171,12519.29337,12629.61632,12698.5435,13176.38432,13305.75138,13553.78689,13762.77349,13415.44092,12149.57415,10646.97319,9985.55186,9985.743632,10586.78346,11207.94189,12511.62468,13278.53073,13372.30917,14518.99551,15559.30441,16800.50265,17780.20989,19386.5104,21503.81494,23724.88369,25545.61923,24512.0462,21070.82723,21777.24104,23579.74852,25373.92365,25743.92885
Ethiopia,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.0735913,550.1831241,550.2926569,550.4021896,550.5117224,550.6212552,550.730788,550.8403207,550.9498535,551.0593863,551.1689191,551.2784518,551.3879846,551.4975174,551.6070502,551.7165829,551.8261157,551.9356485,552.0451812,552.154714,552.2642468,552.3737796,552.4833123,552.5928451,552.7023779,552.8119107,552.9214434,553.0309762,553.140509,553.2500418,553.3595745,553.4691073,553.5786401,553.6881729,553.7977056,553.9072384,554.0167712,554.126304,554.2358367,554.3453695,554.4549023,554.564435,554.6739678,554.7835006,554.8930334,555.0025661,555.1120989,555.2216317,555.3311645,555.4406972,555.55023,555.6597628,555.7692956,555.8788283,555.9883611,556.0978939,556.2074267,556.3169594,556.4264922,556.536025,556.6455578,556.7550905,556.8646233,556.9741561,557.0836889,557.1932216,557.3027544,557.4122872,557.5218199,557.6313527,557.7408855,557.8504183,557.959951,558.0694838,558.1790166,558.2885494,558.3980821,558.5076149,558.6171477,558.7266805,558.8362132,558.945746,559.0552788,559.1648116,559.2743443,559.3838771,559.4934099,559.6029427,559.7124754,559.8220082,559.931541,560.0410738,560.1506065,560.2601393,561.0398733,561.8196072,562.5993412,563.3790752,564.1588092,564.9385431,565.7182771,566.4980111,567.2777451,568.057479,568.837213,569.616947,570.396681,571.1764149,571.9561489,572.7358829,573.5156169,574.2953508,575.0750848,575.8548188,576.6345528,577.4142867,578.1940207,578.9737547,579.7534887,580.5332226,581.3129566,582.0926906,582.8724245,583.6521585,584.4318925,585.2116265,585.9913604,586.7710944,587.5508284,588.3305624,589.1102963,595.8133083,602.5111265,626.5524767,615.7941553,637.4846872,646.8421235,630.3916044,639.2142253,644.3005702,664.5678621,675.8498999,685.663577,697.3710776,705.3976339,733.6765979,752.8190207,783.8604677,806.325015,815.8731365,784.1069044,797.5169799,808.7220569,803.9675781,784.4740958,732.5192905,719.7593321,707.6234414,657.3167193,715.6131979,717.7461634,718.7648182,705.5360792,737.5731474,697.6369759,598.3378879,635.5994794,700.906361,682.5541247,657.541887,652.5477939,585.2506274,516.0101918,563.780993,562.3525191,577.7251913,629.7277035,630.4983949,591.4191556,604.453632,623.0471986,655.5788668,646.5615187,614.6512524,678.5030934,737.7655396,795.5219286,862.9580679,930.8271214,986.2992379,1081.315073,1171.286251,1241.599642,1330.522942
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,826.2054154,828.8884699,831.5802374,834.2807463,836.990025,839.7081018,842.4350055,845.1707646,847.9154079,850.6689644,853.4314628,856.2029323,858.9834019,861.772901,864.5714589,867.3791048,870.1958685,873.0217794,875.8568673,878.701162,881.5546934,884.4174914,887.2895863,890.1710081,893.0617871,895.9619538,898.8715386,901.7905721,904.719085,907.6571081,910.6046722,913.5618084,916.5285477,919.5049213,922.4909606,925.4866968,928.4921615,931.5073863,934.5324028,937.5672429,940.6119385,943.6665216,946.7310242,949.8054786,952.8899172,955.9843723,959.0888764,962.2034623,965.3281625,968.4630101,971.6080379,974.763279,977.9287666,981.1045339,984.2906143,987.4870413,990.6938486,993.9110697,997.1387387,1000.376889,1003.625556,1006.884772,1010.154572,1013.434991,1016.726062,1020.027822,1023.340303,1026.663542,1029.997573,1033.34243,1036.69815,1040.064768,1043.442318,1046.830837,1050.23036,1053.640922,1057.06256,1060.49531,1063.939208,1067.394289,1070.86059,1074.338148,1077.827,1081.327181,1084.838728,1088.36168,1091.896071,1095.441941,1098.999325,1102.568262,1106.148789,1109.740944,1113.344763,1116.960286,1144.876007,1173.489413,1202.817942,1232.879467,1263.692306,1295.275238,1327.64751,1360.828847,1394.839472,1429.70011,1465.432006,1502.056934,1539.597213,1578.075721,1617.515906,1657.941803,1699.378048,1741.849891,1785.383215,1830.00455,1875.741086,1922.620697,1970.67195,2019.924128,2070.407245,2122.152066,2175.190123,2229.553738,2285.27604,2342.390986,2400.933382,2460.938904,2522.444118,2585.486507,2650.104487,2716.337438,2784.225721,2853.810708,2925.134802,2998.24147,3073.175263,3149.981844,3228.70802,3309.401766,3392.112257,3476.889897,3563.786349,3565.623457,3568.93651,3669.566714,3727.727672,3522.759612,3431.305465,3797.626414,4008.535764,4026.081771,4443.169329,4650.764679,4896.07673,5353.801933,5384.242051,5308.555098,5353.583124,5569.494108,5571.752817,6132.204889,5905.471475,6129.689645,5616.197854,5260.101743,5581.593426,5241.68516,5596.424626,5205.985382,5250.140819,5630.863314,5741.070396,5853.434448,5967.997685,6040.864113,6264.388641,6344.466385,6580.330399,6376.348031,6405.877084,6916.099382,6748.550926,6835.365799,7007.840063,7033.493001,7360.420055,7365.74644,7436.52061,7310.197791,7325.491667,7173.438604,7130.582011,7227.698704,7313.628823,7498.413934
Finland,1315.975028,1318.203465,1320.435675,1322.671665,1324.911442,1327.155011,1329.40238,1331.653554,1333.908541,1336.167346,1338.429976,1340.696437,1342.966736,1345.24088,1347.518875,1349.800727,1352.086444,1354.37603,1356.669494,1358.966842,1361.26808,1368.268547,1375.305015,1382.377669,1389.486694,1396.632278,1403.81461,1411.033877,1418.29027,1425.58398,1432.915198,1440.284118,1447.690934,1455.13584,1462.619032,1470.140707,1477.701063,1485.3003,1492.938616,1500.616213,1508.333293,1516.090058,1523.886714,1531.723465,1539.600517,1547.518078,1555.476356,1563.47556,1571.5159,1579.597589,1587.720839,1595.930787,1604.183188,1612.478261,1620.816227,1629.197308,1637.621726,1646.089707,1654.601474,1663.157255,1671.757277,1669.425671,1562.179389,1669.122131,1688.16193,1658.331729,1670.020814,1544.009259,1748.848275,1919.869321,1986.417807,1964.03572,1995.745615,2080.043811,2098.733094,2111.046593,2194.809593,2111.073561,2044.085004,2034.738653,2012.816409,1934.786429,2096.582201,2143.505174,2125.264941,2145.98225,2223.148483,2223.210545,2269.83481,2312.189214,2407.09766,2353.675862,2230.788842,2337.137077,2439.137367,2601.186892,2736.34447,2830.906028,2907.601795,2800.917955,2908.094334,2851.792817,2773.578053,2938.263243,3017.040639,3035.928819,3127.44208,3197.438614,3187.765211,3284.264925,3322.862295,3379.830497,3524.965467,3678.814265,3486.99537,3279.688572,3299.487638,2755.425996,2387.509255,2890.227321,3216.684505,3284.525451,3587.036444,3811.503412,3876.418985,4057.950369,4168.827036,4456.953388,4718.602518,4735.304397,4646.092825,4497.877496,4444.135755,4708.858262,5208.616369,5390.385688,5714.774896,5997.83793,6256.256341,5939.480562,5613.054822,5790.480484,5799.129821,6443.244958,6422.075036,6012.367991,6419.306645,6478.311842,6897.232259,7221.531896,7413.30769,7967.410631,8147.448034,8107.622556,8717.505361,9057.843492,9229.541943,9568.946574,9541.544074,10028.15687,10859.26658,11604.48453,11885.1854,12190.2526,12735.34392,13367.80563,13637.7861,13850.60312,14105.76931,15473.25791,16692.09909,17019.47777,18209.64245,19320.89428,19802.28344,19941.73186,19797.24234,19790.48862,20146.70065,21493.39237,22569.51524,22892.13435,23503.38396,23995.10648,24587.44137,25311.37288,25829.72265,26810.61362,28040.5867,29535.66272,29397.40993,27369.54841,26184.32632,25737.47466,26638.81364,27456.28625,28410.40275,30086.24448,31709.98714,32865.22578,34458.95007,35287.78572,35768.50399,36333.39819,37603.32479,38640.18324,40181.27924,42137.14528,42055.90332,38284.42688,39381.304,40280.34322,39687.60599,38962.08191
France,1923.070796,1926.676859,1930.282923,1933.888986,1937.49505,1941.101113,1944.707176,1948.31324,1951.919303,1955.525367,1959.13143,1962.737494,1966.343557,1969.94962,1973.555684,1977.161747,1980.767811,1984.373874,1987.979938,1991.586001,1995.192065,2118.620318,1960.671878,1950.333314,1901.637074,1911.042645,1966.64577,1975.845529,1850.224923,1950.624389,1911.105993,1893.781919,2027.906994,2022.517324,1994.361832,2094.754584,2130.595812,2152.439942,2194.541011,2156.186838,2316.310116,2246.644478,2198.942291,2277.389425,2340.792512,2420.38349,2568.35444,2794.666183,2176.926183,2167.933852,2272.826771,2230.104855,2518.897617,2795.735635,3130.478828,3295.265578,3415.041975,3292.068954,3067.56273,3068.949171,3262.919665,3326.763272,3441.053053,3532.251675,3588.607407,3521.804333,3664.29503,3604.712786,3848.774136,3608.588262,3481.321812,3641.074117,3832.898605,3779.217115,3935.496812,3853.852029,3804.668438,3787.391877,3573.78548,3536.043792,3747.610451,3986.569674,4120.638352,3940.157492,3732.607814,3621.510765,3573.886709,3602.187374,3685.096444,3695.372437,3830.257084,3871.027653,3951.778471,3801.603242,4170.472561,4084.123035,4211.82596,4088.271082,4328.321083,4479.462403,4534.946511,4308.832255,4253.75919,4392.485373,4476.338767,4586.808017,4519.720299,4880.779558,4860.177162,5011.568474,4766.904984,5250.42691,5683.91345,5633.38224,4722.415539,4156.652536,4762.535552,4716.563107,4040.428154,4454.239985,4757.508355,4518.583502,5414.1212,5664.827939,6282.152521,6320.532564,6532.307061,6393.607864,6766.4382,7336.218205,7077.785751,6760.074135,6163.22113,6341.7121,6117.570818,5964.097596,6046.077732,6183.680976,6026.916682,6274.195069,4950.102793,4787.267031,4818.37139,4804.83589,3678.222852,4523.769698,6038.93421,6360.291149,7131.315244,7512.269875,8065.11814,8453.742192,8595.644842,8768.583381,9153.272079,9600.69943,10056.09776,10592.41419,10827.69152,11054.36876,11788.38469,12313.88147,12912.75179,13378.47418,14112.31026,14655.73221,15297.84618,15895.54851,16454.80569,17472.23252,18315.92324,19019.2167,19694.94376,20607.47819,21113.06585,20958.09586,21763.99879,22367.17777,23019.29032,23732.29973,24039.13529,24254.13912,24814.20575,25241.35294,25541.05828,25953.20811,26479.98525,26981.57101,28110.97085,28941.79887,29466.27711,29697.28049,30022.55743,29709.45444,30293.13005,30813.14146,31130.34802,31745.47631,32753.46309,33695.68386,34762.63666,35185.19293,35321.10619,35359.2701,36078.10048,36383.02118,36988.47479,37628.5622,37492.06013,36202.67219,36732.5,37312.37063,37136.0793,37071.94461
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,410.8006394,412.6041544,414.4076694,416.2111844,418.0146994,419.8182144,421.6217294,423.4252444,425.2287594,427.0322744,428.8357894,430.6393044,432.4428194,434.2463344,436.0498494,437.8533644,439.6568794,441.4603944,443.2639094,445.0674244,446.8709394,448.6744545,450.4779695,452.2814845,454.0849995,455.8885145,457.6920295,459.4955445,461.2990595,463.1025745,464.9060895,466.7096045,468.5131195,470.3166345,472.1201495,473.9236645,475.7271795,477.5306945,479.3342095,481.1377245,482.9412395,484.7447545,486.5482695,488.3517845,490.1552995,491.9588145,493.7623295,495.5658445,497.3693595,499.1728745,500.9763895,551.0740285,601.1716674,651.2693064,701.3669453,751.4645843,801.5622232,851.6598622,901.7575011,951.8551401,1001.952779,1179.532363,1357.111947,1534.691532,1712.271116,1889.8507,1789.726331,2134.49537,2252.44639,2505.54016,3018.340372,3728.00082,3948.120037,5295.103421,11514.78158,11359.12416,13516.89938,12759.43744,13863.82522,14894.51904,16744.89387,16567.6922,14769.48038,15818.35332,15105.31242,13508.49737,10555.28293,9437.969214,8628.756688,11299.31075,10937.50473,11413.80266,10546.3768,10150.98274,10602.48086,10584.85241,11464.9571,9352.137249,7908.919299,8568.731014,10369.79732,9583.058225,9271.41472,9956.231549,11109.59643,14888.2856,14771.36804,14723.88542,17360.72901,15669.13357,19238.4256,17488.45125,18191.38391,18985.34319
Gambia,855.6521033,856.0547631,856.4574229,856.8600828,857.2627426,857.6654024,858.0680622,858.470722,858.8733818,859.2760416,859.6787015,860.0813613,860.4840211,860.8866809,861.2893407,861.6920005,862.0946603,862.4973201,862.89998,863.3026398,863.7052996,864.1079594,864.5106192,864.913279,865.3159388,865.7185987,866.1212585,866.5239183,866.9265781,867.3292379,867.7318977,868.1345575,868.5372173,868.9398772,869.342537,869.7451968,870.1478566,870.5505164,870.9531762,871.355836,871.7584959,872.1611557,872.5638155,872.9664753,873.3691351,873.7717949,874.1744547,874.5771145,874.9797744,875.3824342,875.785094,876.1877538,876.5904136,876.9930734,877.3957332,877.798393,878.2010529,878.6037127,879.0063725,879.4090323,879.8116921,880.2143519,880.6170117,881.0196716,881.4223314,881.8249912,882.227651,882.6303108,883.0329706,883.4356304,883.8382902,884.2409501,884.6436099,885.0462697,885.4489295,885.8515893,886.2542491,886.6569089,887.0595688,887.4622286,887.8648884,888.2675482,888.670208,889.0728678,889.4755276,889.8781874,890.2808473,890.6835071,891.0861669,891.4888267,891.8914865,892.2941463,892.6968061,893.099466,893.5021258,893.9047856,894.3074454,894.7101052,895.112765,895.5154248,895.9180846,897.4982004,899.0783161,900.6584319,902.2385476,903.8186634,905.3987791,906.9788949,908.5590106,910.1391264,911.7192421,913.2993579,914.8794736,916.4595894,918.0397051,919.6198209,921.1999366,922.7800524,924.3601681,925.9402839,927.5203996,929.1005154,930.6806311,932.2607469,933.8408626,935.4209784,937.0010941,938.5812099,940.1613256,941.7414414,943.3215571,944.9016729,946.4817886,948.0619044,949.6420201,951.2221359,952.8022516,954.3823674,955.9624831,957.5425989,959.1227146,960.7028304,962.2829461,963.8630619,965.4431776,967.0232934,968.6034091,970.1835249,971.7636406,973.3437564,974.9238721,1007.066612,1014.261701,1028.096544,1059.496678,1065.544304,1077.443539,1088.875985,1088.583919,1119.191242,1158.37428,1308.694125,1253.429266,1222.625592,1263.831812,1357.671112,1533.124764,1535.892575,1507.783294,1616.954607,1410.775675,1522.664329,1580.423467,1600.249096,1856.442248,1684.796572,1820.114998,1849.374825,1698.066824,1911.182847,1667.426703,1600.772981,1747.065362,1486.856182,1398.232303,1236.646976,1257.417113,1278.530417,1362.542621,1404.234323,1408.585726,1385.207071,1391.332835,1420.084045,1418.606252,1319.27578,1350.038767,1366.470692,1366.278751,1405.696276,1436.326996,1471.473256,1380.80037,1428.784035,1486.042551,1517.533942,1491.368373,1502.692494,1545.408539,1600.450134,1658.874533,1544.97767,1582.767021,1638.01855
