"Internet users, total number",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0,,,,,,,,,,,1118.180665,1123.920517,22569.27753,28244.11862,338045.0412,598865.0634,553770.979,549055.8896,1085510.338,1256469.72,
Albania,0,,,,,350.8201173,1002.157509,1502.476346,2002.216783,2502.336429,3504.906186,10026.04758,12052.64537,30194.03992,75633.75434,189886.9632,303349.6586,476594.4875,759081.3242,1315401.876,1441927.8,
Algeria,0,,,,100.090832,500.4652349,500.4690389,3002.798156,6005.526744,60054.70146,150136.5614,200180.4273,500441.4258,700615.2935,1501386.774,1921981.915,2462985.504,3204577.873,3504773.25,3924903.866,4433526,
American Samoa,0,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,,,,995.7560492,1979.716334,4424.113974,4885.693778,6811.671008,,7774.565416,9780.916489,20206.83262,29290.37919,39087.81717,57681.093,57836.9308,65711.5481,68739.84,
Angola,0,,,,,,96.62424536,725.7990336,2424.499171,9723.481594,14629.03685,19570.00712,40260.379,57158.96317,74172.60674,188529.9961,324497.823,560811.744,829746.344,1113306.9,1908191.2,
Antigua and Barbuda,0,,,,,1510.651721,2013.777727,2517.193852,3020.806471,4027.722562,5033.837218,7045.119378,10063.375,14078.56264,20101.91948,29132.61666,53212.97216,60206.061,65186.8143,65149.084,70968,
Argentina,0,,1003.810677,10033.89766,15043.74223,30072.01462,50091.71693,100123.1898,300194.5656,1200183.504,2599435.568,3648448.079,4097918.576,4527353.73,6148589.451,6854529.687,8166599.958,10214687.58,11164731.06,13621239.8,14548455.36,
Armenia,0,,,,299.9989971,1700.00211,3000.027426,3500.07369,4000.153105,30001.85411,40003.73235,50006.2634,60009.31192,140026.9938,150037.6244,161054.0532,172887.0992,185104.2279,191211.3027,472001.787,1360511.68,
Aruba,0,,,,,,2299.667794,,,3985.354918,13940.3907,15794.073,17784.048,20150,22780.58,25652.984,28759.08,32205.525,36089.892,40192.724,45144.96,
Australia,100028.6872,190042.6593,310055.097,350047.4499,400033.1244,500005.6849,600013.8871,3032448.684,5772822.817,7727668.143,8960506.11,10212332.68,,,,12854217.6,13691234.7,14667831.67,15418952.64,16262457.75,16923971.84,
Austria,10000,20000,49999.99357,60000,110000,150000,550001.3818,760005.8157,1230014.496,1840018.205,2700000,3149914.576,2955166.37,3473318.345,4443118.168,4774673.68,5261760.288,5764496.467,6078674.032,6147499.846,6102179.188,
