Suicide 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15377,20.1873,19.90824,21.41586,18.21527,22.11493,20.75372,22.51078,20.09636,18.52355,19.29261,18.37678,18.97207,19.56967,20.47765,18.7583,18.90502,16.01864,16.59833,16.82688,17.05864,13.8431,13.9792,14.07958
Cuba,,,,,,,,,,,,,,,10.8271,,,,12.77085,12.80596,14.93761,17.44295,17.62665,19.79755,24.27394,21.93136,22.49333,21.59659,,,,,,,,,,,,,,,22.57532,23.77614,21.93692,20.32321,20.82639,19.11884,17.26097,19.76258,16.77648,13.97626,15.07354,13.38744,13.10984,11.31167,10.79623,10.44429,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.364788,,,,1.288597,2.358606,4.277507,1.487835,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.08448,21.42427,21.06241,21.84052,21.77034,20.58087,23.04115,20.66839,19.77989,20.1198,17.51491,18.53511,18.54217,16.8368,19.22158,17.4098,17.21179,18.95095,16.53498,18.08689,14.33021,14.40686,14.77357
Denmark,,34.02087,30.3797,30.40059,26.73625,28.97363,27.64138,26.66723,24.00872,27.83441,25.23438,19.12847,23.94746,25.2209,23.93004,24.86799,20.55997,23.06699,25.4473,29.68482,27.23439,29.38682,29.15858,30.6621,28.99341,29.17127,28.20615,31.33639,28.45745,33.87825,42.73907,35.80876,35.32605,35.12481,36.89557,31.30565,34.54278,33.34166,29.53808,29.84315,27.40769,24.27484,22.86593,22.66135,20.45366,18.54666,19.6107,15.65858,15.98962,15.51484,14.61139,14.18568,13.58842,13.77324,14.43976,10.52201,11.71572,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.0982723,0.0617989,0.1407005,0.1114692,0.5979151,0.21251,0.1910603,0.0853708,,,,,,,0.1045432,,,,,,,,,,,,,0.0592327,,,,,,,,0.0796728
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.016799,7.45486,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35567,39.13514,,,47.51432,41.34648,35.40416,30.45354,36.62429,33.83818,37.60145,40.16305,55.26742,58.71775,56.71668,49.58276,49.61904,41.96237,38.94141,31.40274,38.67282,34.42313,28.99909,27.42734,19.96138,18.14645,19.54881,19.28882
Finland,,,24.38349,23.8538,28.83015,31.29481,32.78425,27.99619,33.14762,27.3214,32.62851,30.69465,34.75373,28.98467,27.24199,33.05863,27.6006,27.26845,33.56942,34.93893,31.32436,31.71239,32.99214,31.38169,35.75208,33.81905,35.81716,35.21745,35.36928,33.58462,33.67317,33.14886,33.02372,32.99324,34.26006,33.47632,34.57878,40.23549,37.91424,36.91214,42.28667,41.3602,41.4877,39.37805,37.08651,41.1335,34.50191,35.86994,31.40006,31.55897,32.75969,33.14293,27.8761,26.63721,24.15735,22.61738,23.76557,21.94388,25.59106
France,13.94948,,13.76594,12.97538,13.87017,13.82003,15.77203,13.84193,13.44315,14.51976,14.8584,15.16265,14.24487,14.5502,14.33183,15.04332,16.06623,15.48449,15.33774,15.65638,15.62726,15.63586,16.80037,15.21717,15.85799,16.12288,16.56994,17.71358,18.47706,20.31691,21.78128,22.03395,23.41019,24.34281,24.93625,25.185,25.48361,25.4987,24.77375,24.20912,23.96519,24.6596,25.29943,26.93901,26.63144,25.35336,24.51937,23.29626,22.64492,21.62222,23.3648,22.59031,22.95504,22.65824,22.15507,21.09418,20.36096,19.14858,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.659468,5.790644,,,6.269224,5.94666,4.792505,4.278586,5.048321,2.980427,4.184937,5.042274,,2.665012,4.440281,5.280253,5.09859,4.262924,5.294312,3.179151,2.566908,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54901,16.96628,16.86501,15.52806,15.87623,16.56903,15.21532,15.61104,14.52233,13.85296,13.21733,13.44908,13.39802,12.83063,12.04174,11.54322,10.23371,,
Greece,,,,,,,,,,,,3.741482,3.536825,4.090837,3.262104,4.119008,3.188625,3.256904,3.390067,3.864767,2.726586,2.704566,2.119683,2.382384,4.08307,2.314717,2.31689,2.999894,2.737214,2.554203,3.54059,3.336226,3.835335,3.251944,3.990219,4.317108,3.383764,4.32644,3.815288,4.516718,3.470546,3.778744,3.464267,4.435765,2.992705,3.906643,3.883399,3.515422,3.776296,3.886094,3.893431,3.679098,2.543931,4.03943,3.76936,4.22165,3.669591,3.227571,3.713179
Guatemala,,,,,,,,,,,,,,5.361746,5.365229,4.997655,4.524087,5.95971,7.093633,4.347697,6.052015,6.735549,,,0,,,0,,3.395493,1.759101,0.904731,,,1.29307,,3.944285,6.33482,4.362295,3.061376,3.836827,4.356488,4.189529,3.342249,3.149283,4.885473,3.528456,3.239839,2.684396,4.050487,2.43318,2.540301,3.705769,3.666029,3.269555,2.824078,3.647894,,
Hungary,,,,,,19.64569,18.51479,22.41668,26.61562,29.38954,25.72447,27.85698,28.10012,30.18851,31.91352,34.14098,31.8038,35.68921,37.91053,36.90743,37.34145,37.90921,41.19778,38.64938,41.90995,40.94986,42.87301,41.91508,44.62989,49.34855,50.99552,51.49911,49.74488,54.85024,57.99392,55.87069,57.22525,54.47147,49.65364,50.53141,45.65919,47.48101,47.62001,44.31886,42.60079,39.06459,37.95515,36.39642,39.08656,39.26248,38.06229,34.17247,33.71186,28.77474,29.40677,27.93963,25.05461,24.37347,23.63156
