ODA aid per person (constant 2007 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Japan,14.50222694,13.82288684,10.36079008,15.75509567,12.41660665,24.28071767,27.08743059,34.25528731,29.46464846,33.70004871,32.49316901,33.07492687,32.66328147,41.72753197,40.84961381,38.84080758,34.23335397,37.09093298,42.83094556,52.19891501,63.43123185,55.50475059,58.10818098,66.8824071,73.98394877,63.41404378,65.03410865,72.1624407,78.59651409,80.91457083,83.63004611,90.82142857,85.42764162,75.11662392,81.49956011,82.19096918,62.11957731,67.91511453,83.30128864,83.80408872,89.47364689,74.26365852,73.14344005,65.7276289,62.22103038,94.46414858,85.46970409,60.10919765
Luxembourg,,,,,,,,,,,,,,,,,,,,,31.83783784,37.7027027,33.51351351,35.08108108,70.24324324,79.56756757,79.83783784,84.54054054,102.7631579,103.5526316,120.2368421,192.7179487,154.075,206.1,225.4634146,213.8536585,267.8095238,360.7857143,421.3255814,445.6511628,515.4772727,592.9545455,586.5681818,596.9333333,641.8,670.9111111,701.2391304,816.3695652
Netherlands,45.17754569,66.40378007,72.98052498,39.96324144,47.23495466,62.18617886,78.69341894,90.04285714,93.55538099,100.1630435,127.6219325,124.191812,146.3525881,121.765625,144.0856089,170.1616679,194.0508351,209.02886,205.7977044,249.5826211,257.5349823,282.1073684,278.0104822,235.3319415,275.8300971,250.1394065,280.7487989,279.4253579,285.0880759,281.4989899,286.5324415,280.6788321,279.6785244,264.795291,251.8517555,277.5931436,288.5173969,293.5246637,300.4850414,315.0474383,347.2592593,342.8136335,327.0731103,315.5809231,300.7734807,356.0428397,368.9309291,379.5280488
New Zealand,,35.30864198,27.14457831,27.64566929,29.40926641,28.88257576,29.19402985,28.25641026,32.93818182,37.91007194,39.43262411,41.23076923,42.61168385,42.58585859,60.21122112,101.7378641,82.36538462,71.04153355,60.43450479,66.2275641,63.27388535,56.69620253,56.41194969,54.43034056,53.64417178,52.62385321,59.75304878,53.42424242,53.18373494,46.42042042,48.80952381,50.73563218,51.84330484,49.90985915,49.88055556,48.58196721,44.08355795,56.92553191,58.44591029,60.3648294,57.77023499,58.72727273,56.25126904,58.95511222,62.9679803,74.56234719,73.25899281,75.78199052
Norway,20.39554318,25.79834254,26.27197802,34.23433243,31.56639566,35.26344086,41.656,41.31134565,71.86910995,76.10649351,83.40721649,88.5025641,116.5826972,127.0606061,165.235589,199.8279302,228.7419355,278.799505,309.2044335,341.2162162,331.0855746,326.7268293,396.3009709,436.1307506,424.3695652,450.7180723,539.5395683,509.3341289,517.2304038,480.8888889,550.115566,542.5892019,562.2494172,497.6334107,552.0921659,524.3509174,537.9315068,566.9818594,613.9774266,612.6950673,547.674833,583.631929,659.0395604,680.1466083,656.3275488,726.8836207,702.2649573,786.5021097
Portugal,,,,,,,,,,,,,,,,,,,,,1.461303462,2.280364372,1.615694165,5.411233701,3.807192807,4.538461538,7.228771229,11.37675351,22.04317269,28.67842742,29.73076923,39.53698075,47.26950355,42.07381193,52.13118063,38.62298387,32.73413897,41.03714859,41.94684052,44.27156863,48.4288499,47.31914894,51.98259188,41.64603482,119.2572534,42.52611219,43.03675048,45.50676983
Spain,,,,,,,,,,,,,,,,,,,,,12.34745537,20.65474298,21.3455456,7.256558237,14.28840125,17.33524206,15.44213804,14.61144188,13.92045455,28.81670534,41.15186615,51.2024666,56.75596001,57.80941417,58.53869732,53.57995409,48.77132671,54.23194303,60.09575819,60.26747414,58.58502379,83.40551279,73.24453618,64.79138375,69.58217593,82.58805832,95.97987028,113.7123894
Sweden,7.759358289,9.401595745,19.76190476,23.79342105,32.15274151,34.98318241,48.80153649,48.25540025,55.99115044,90.77038896,83.31343284,102.9185185,111.4753695,132.4717445,179.5392157,206.3284493,205.5547445,244.5733333,225.7922705,250.6863691,214.7496992,223.9555288,275.7539016,233.3433373,229.8944844,253.8802395,255.4778973,272.6809524,275.1078199,312.4923439,291.7675234,286.3515081,315.550173,294.2580275,289.8826879,241.3080408,263.6199095,256.0870056,240.6474576,255.9604966,308.7034949,314.7730337,350.2035794,339.5389755,346.1687014,429.1171271,487.4665203,472.6514161
Switzerland,10.4014733,22.56169429,12.90664273,15.23725835,21.08635579,25.79522184,26.81925676,25.37395659,45.1416804,53.66612378,50.63795853,41.17350158,78.78125,60.48291925,55.01857585,68.6875,71.00157978,72.26898734,75.46603476,84.13543307,97.46635368,100.8553655,102.568779,131.2839506,125.7987711,135.8866769,133.6712329,139.5528701,149.2488756,146.2,158.147541,175.8338235,220.5232558,156.2694524,174.8076923,165.0525568,162.4823197,168.819464,165.4472574,186.0182073,185.9526462,186.769018,175.1693989,207.3948087,225.3627717,255.6228188,233.352,221.9499341
United Kingdom,92.83788428,100.4474531,88.36723588,85.34775312,97.669198,87.74369825,86.17404832,85.20724163,79.69009237,86.28200505,80.57307208,92.87783938,90.60502853,82.56288917,91.2997154,87.24973319,91.29158513,104.1676753,111.615097,129.6896674,84.84555299,104.1320319,91.67169744,89.46363959,86.30437091,90.18627624,86.43940193,79.01017365,96.34272218,95.14626918,82.65566366,94.44386784,92.35959317,94.21017357,99.23989726,93.54512882,90.90221088,90.10862566,97.70307225,87.94174923,121.7814524,126.8588195,127.0961343,143.4106419,155.2696667,208.6581667,231.533887,162.5708155
United States,86.9884873,92.76874081,98.78685537,103.9927605,101.6202512,110.0764797,100.4632682,83.17910523,91.95635494,76.32381093,66.91426481,62.11316575,74.90333492,47.14001227,59.27032967,60.74514979,59.60782425,59.58281874,66.62599398,50.32880121,69.49185439,50.95577684,67.47512813,63.37177244,65.27268881,67.76978236,66.83237066,61.45226524,65.51452943,47.34038166,67.07997915,63.37857454,63.68760784,53.24403492,50.62756925,36.47083,45.1420491,32.25935609,40.33887841,41.01949075,43.31474017,46.92091783,53.03001284,63.1393575,73.3856963,99.89865389,80.71369405,72.23294211
