Male 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.27948839,10.4098181,10.52737117,10.82652134,10.25390625,10.30644695,10.36341025,10.46110414,10.49647564,10.48421502,10.59110986,10.76886718,11.04257859,11.20762592,11.08399629,10.76400825,10.85206243,10.954354,10.91902294,10.66167078,10.24077467
Albania,10.01642036,10.64748201,9.641532756,8.975712777,9.907407407,11.27572016,11.75616836,10.60903733,9.958506224,8.560558022,9.370904325,10.38286827,10.10230179,8.97755611,6.707317073,6.662665066,7.070101857,7.271634615,6.917475728,6.12745098,5.652173913
Algeria,9.879032258,9.88431094,9.696412144,9.918183336,10.57720916,10.59359575,11.07108804,11.11211085,11.06573471,11.54439613,12.33757796,11.50506512,10.14484649,7.848746489,7.720821343,8.002773925,8.078970719,7.763361402,7.085460785,6.395087001,6.029482842
Angola,10.13779528,9.941520468,9.768009768,9.484994442,10.12064343,10.37059175,10.53040103,10.47245809,10.33891851,10.56976368,10.79852231,11.03515625,11.27602776,10.95211373,11.20860927,10.72167998,10.86129829,10.77484047,10.48666146,10.05831656,9.617418052
Argentina,9.016764839,8.354875401,8.360405121,8.790523691,8.960453863,8.854489164,8.481404216,8.298615777,8.725588383,9.769811984,9.013680494,8.860226375,8.708512985,8.273846596,7.746090156,7.664282223,7.485107485,7.201316234,6.863312924,6.530678718,6.233651254
Armenia,11.83800623,12.86863271,6.117908788,7.476635514,10.73170732,12.5453227,12.19350563,9.442060086,8.372093023,8.311518325,10.1659751,11.18881119,9.437890354,6.830601093,7.34006734,7.970529136,8.193418402,7.557354926,6.648575305,6.177076184,6.136680614
Aruba,12.5,10.52631579,8.695652174,11.11111111,11.11111111,13.33333333,12.90322581,10,6.25,7.5,6.818181818,6.12244898,8,7.692307692,5.660377358,5.882352941,5.660377358,5.882352941,5.660377358,5.660377358,6
Australia,6.877413127,6.762559038,7.600538772,9.111264209,8.983156581,9.168007019,9.08967021,8.497146481,8.393003874,7.223701731,7.129337539,7.066719305,6.956521739,6.492928934,6.180490704,6.216436127,6.144682185,6.085438956,6.029335889,5.921194287,5.82510677
Austria,7.238272756,7.744733581,8.541793777,7.556601,7.165197612,8.293772689,9.304932735,8.837468637,7.135076253,6.140580089,6.42912471,6.298425394,6.306526522,5.526061776,5.22673031,4.987000709,4.916490238,5.032925682,5.096743747,5.077105575,5.010737294
Azerbaijan,12.83932502,12.81725888,6.065485776,6.65158371,9.629924393,12.64864865,13.67578386,11.2888342,10.39954661,9.121976866,10.31084155,11.53752733,10.26989936,7.665730944,7.288870535,8.294930876,8.506876228,7.826423867,6.808592252,6.148558335,6.084959816
Bahamas,8.333333333,9.756097561,9.615384615,8.695652174,8.333333333,10.86956522,12.5,11.20689655,11.29032258,9.352517986,9.933774834,8.75,9.580838323,8.474576271,7.567567568,7.179487179,6.930693069,6.730769231,6.542056075,6.481481481,6.422018349
Bahrain,9.677419355,9.85915493,9.638554217,8.421052632,10.08403361,13.60544218,8.457711443,6.172839506,6.271777003,6.865671642,7.2,7.655502392,7.974137931,6.972111554,6.67903525,6.228373702,5.911330049,5.494505495,5.263157895,5.294117647,5.187319885
Bangladesh,9.81028884,9.822535648,9.049015501,9.206170758,10.35094037,10.384822,10.45109712,10.57982285,11.01460585,11.55542578,11.59160086,10.9315712,10.25585508,9.771361439,9.147500374,8.141261672,7.787726535,7.52097057,7.178375976,6.758232756,6.352379666
