"TB incidence, all forms (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,"21,301","22,757","24,719","26,926","29,012","30,718","31,941","32,772","33,379","34,023","34,894","36,033","37,378","38,894","40,512","42,180","43,896","45,676"
Albania,819,803,815,847,839,861,840,862,860,839,781,724,699,696,660,629,584,538
Algeria,"9,490","9,963","10,453","10,955","11,462","11,970","12,477","12,985","13,498","14,026","14,577","15,152","15,753","16,380","17,033","17,712","18,420","19,156"
American Samoa,10,3,1,4,4,6,0,7,3,4,3,3,2,3,6,7,4,3
Andorra,19,18,18,18,18,18,17,17,16,15,15,14,15,14,14,14,14,14
Angola,"21,634","22,741","23,955","25,249","26,574","27,898","29,205","30,510","31,845","33,261","34,798","36,475","38,285","40,216","42,241","44,344","46,518","48,777"
Anguilla,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Antigua and Barbuda,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5
Argentina,"19,442","18,962","18,491","18,025","17,566","17,111","16,662","16,218","15,779","15,346","14,919","14,496","14,081","13,674","13,279","12,897","12,528","12,172"
Armenia,"1,173","1,114","1,152","1,232","1,338","1,501","1,678","1,815","1,956","2,067","2,178","2,209","2,190","2,169","2,157","2,167","2,168","2,171"
Australia,"1,120","1,142","1,133","1,174","1,197","1,243","1,277","1,211","1,196","1,156","1,188","1,165","1,129","1,159","1,172","1,252","1,274","1,295"
Austria,"1,801","1,712","1,643","1,554","1,501","1,438","1,395","1,353","1,299","1,223","1,172","1,133","1,126","1,086","1,069","1,058","1,047","1,035"
Azerbaijan,"2,546","2,480","2,653","2,951","3,332","3,865","4,438","4,903","5,371","5,753","6,137","6,295","6,303","6,295","6,313","6,395","6,460","6,530"
Bahamas,113,115,117,119,122,124,126,128,130,132,134,136,138,139,141,143,145,146
Bahrain,376,367,361,349,345,338,335,332,326,314,307,303,307,301,301,303,304,305
Bangladesh,"298,205","302,065","305,909","309,695","313,372","316,904","320,270","323,486","326,605","329,697","332,806","335,951","339,104","342,211","345,197","348,013","350,641","353,103"
Barbados,19,18,17,16,15,15,14,14,13,13,12,12,12,11,11,11,11,11
Belarus,"3,948","3,461","3,873","4,100","5,018","5,570","6,186","6,673","7,329","7,633","7,385","6,558","5,924","5,902","5,965","5,978","5,944","5,910"
Belgium,"1,997","1,864","1,832","1,857","1,877","1,811","1,701","1,625","1,530","1,536","1,586","1,623","1,518","1,436","1,378","1,384","1,310","1,235"
Belize,74,76,79,81,83,86,88,90,93,95,98,100,103,105,108,110,113,115
Benin,"3,963","4,151","4,353","4,565","4,781","4,997","5,211","5,426","5,644","5,874","6,118","6,379","6,656","6,947","7,249","7,559","7,878","8,206"
Bermuda,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2
Bhutan,"2,955","2,807","2,633","2,455","2,297","2,172","2,082","2,018","1,973","1,935","1,899","1,864","1,832","1,798","1,761","1,719","1,671","1,620"
Bolivia,"16,972","16,867","16,765","16,664","16,558","16,445","16,324","16,196","16,062","15,925","15,787","15,647","15,505","15,359","15,209","15,053","14,892","14,725"
Bosnia and Herzegovina,"4,029","3,850","3,674","3,417","3,143","2,886","2,810","2,815","2,821","2,624","2,380","2,234","2,187","2,129","2,081","2,043","2,028","2,012"
Botswana,"4,201","4,793","5,267","5,801","6,347","6,948","7,506","8,235","9,059","9,998","11,071","12,141","13,134","13,852","14,149","14,142","13,952","13,761"
Brazil,"125,064","123,059","121,003","118,926","116,859","114,824","112,826","110,862","108,926","107,009","105,104","103,213","101,337","99,473","97,619","95,773","93,933","92,102"
British Virgin Islands,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
Brunei Darussalam,148,153,157,162,166,170,175,179,184,302,341,240,256,229,196,181,224,230
Bulgaria,"2,353","2,616","2,929","3,130","3,178","3,143","3,213","3,501","3,637","3,606","3,525","3,460","3,367","3,093","3,059","3,081","3,021","2,962"
Burkina Faso,"8,429","9,618","10,579","11,674","12,813","14,091","15,309","16,911","18,765","20,947","23,529","26,256","28,976","31,214","32,560","33,190","33,338","33,437"
Burundi,"8,776","9,954","10,855","11,847","12,831","13,896","14,840","16,093","17,539","19,283","21,427","23,763","26,172","28,240","29,595","30,377","30,793","31,225"
Cambodia,"56,742","58,170","59,596","60,984","62,286","63,473","64,536","65,485","66,329","67,087","67,773","68,391","68,946","69,458","69,956","70,460","70,976","71,504"
Cameroon,"9,856","11,246","12,357","13,614","14,908","16,346","17,697","19,469","21,500","23,861","26,620","29,473","32,244","34,417","35,569","35,927","35,766","35,556"
Canada,"2,647","2,529","2,433","2,306","2,233","2,147","2,096","2,048","1,983","1,884","1,818","1,770","1,770","1,716","1,698","1,689","1,679","1,669"
Cape Verde,623,633,642,652,663,673,683,692,702,712,722,733,744,755,766,777,788,798
Cayman Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Central African Republic,"4,360","4,963","5,450","6,007","6,583","7,221","7,818","8,600","9,488","10,505","11,673","12,849","13,954","14,778","15,165","15,233","15,108","14,985"
Chad,"7,671","8,772","9,664","10,681","11,748","12,958","14,130","15,676","17,478","19,609","22,141","24,839","27,557","29,829","31,235","31,920","32,102","32,203"
Chile,"4,962","4,730","4,509","4,298","4,094","3,896","3,703","3,516","3,336","3,163","2,998","2,840","2,689","2,545","2,408","2,278","2,155","2,038"
China,"1,338,563","1,341,945","1,343,909","1,344,766","1,344,997","1,344,933","1,344,658","1,344,043","1,342,951","1,341,180","1,338,609","1,335,229","1,331,154","1,326,540","1,321,589","1,316,456","1,311,184","1,305,770"
Colombia,"18,440","18,356","18,267","18,174","18,077","17,976","17,871","17,762","17,648","17,528","17,402","17,270","17,132","16,986","16,834","16,674","16,507","16,333"
Comoros,450,444,438,432,427,421,415,410,404,399,393,388,382,376,370,364,358,352
"Congo, Rep.","4,102","4,678","5,141","5,668","6,216","6,830","7,416","8,188","9,077","10,107","11,305","12,538","13,732","14,667","15,165","15,327","15,268","15,190"
Cook Islands,0,1,7,6,4,2,1,2,0,3,1,2,1,0,1,1,1,2
Costa Rica,557,554,552,549,546,543,541,539,537,534,531,527,522,517,511,505,498,491
Croatia,"3,326","3,305","3,347","3,336","3,260","3,101","3,026","2,956","2,840","2,534","2,229","2,057","1,999","1,945","1,904","1,870","1,853","1,834"
Cuba,"2,695","2,505","2,326","2,157","2,000","1,853","1,717","1,590","1,472","1,363","1,261","1,166","1,078",997,921,850,785,724
Cyprus,63,60,58,55,54,52,51,50,49,47,45,44,44,43,43,43,42,42
