"Electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Haiti,,,,,,,,,,,,59000000,83000000,99000000,115000000,151000000,140000000,162000000,187000000,199000000,233000000,278000000,287000000,300000000,309000000,323000000,351000000,350000000,367000000,391000000,414000000,323000000,295000000,213000000,142000000,234000000,267000000,338000000,302000000,326000000,303000000,303000000,268000000,256000000,256000000,343000000,351000000,243000000,229000000,352000000,244000000,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,354000000,366000000,426000000,454000000,491000000,528000000,608000000,628000000,734000000,775000000,851000000,865000000,933000000,990000000,1210000000,1232000000,1482000000,1580000000,1596000000,1823000000,1793000000,1723000000,1844000000,1690000000,2020000000,2358000000,2503000000,2757000000,2845000000,3211000000,3345000000,3591000000,3839000000,4128000000,4274000000,4462000000,4959000000,5179000000,5032000000,5098000000,
"Hong Kong, China",,,,,,,,,,,,5198556411,5337463020,5874716622,5792089133,6268860000,7222022617,8362386375,9337071673,9875953506,10898413250,11486811637,12347388250,13888153973,14908401014,15801684962,17540164439,21358919416,22984736598,22525883542,24206327265,25778430718,26660159102,28068848866,29245042982,29798849677,30813011064,31868414525,34957366780,35257776938,36946432668,37899851722,38613368269,38981437414,39366238660,40031360126,40197159626,40543636561,40631873159,41400841861,41779451976,
Hungary,,,,,,11509982295,12407084142,13333836995,14134593103,15081148622,16387271959,17719304696,18997329080,20404319724,21688317218,22601433104,24136830988,25670792832,27826241981,28198392718,28862040640,29276739951,30219337260,31357120600,32852060079,33673758374,34326205139,35836945253,35733596911,36236199500,35554990717,33402478564,32259130850,31003320080,31293192140,31681476181,32616712343,32812729255,33008893501,34002641288,33789590245,34900017956,36016357539,36862044538,37207949507,38041513494,39074449846,39934478137,39974975109,37740016343,38701510829,
Iceland,460108455.7,515283356.3,529375165.9,554307638.4,581507267.8,571149225.6,567196195.7,574872679.9,596371094.1,765307554.2,1320819138,1448062102,1604475535,2104522827,2146749625,2090498580,2203060221,2362667118,2462141730,2676433982,2893278980,2978261286,3272766069,3453658667,3636741736,3565896597,3747491126,3768932998,4080500456,4141946225,4114467107,4100022161,4184066480,4391588981,4521022250,4653173965,4688882372,5172379983,5876282331,6827061717,7368131008,7653696415,8000356295,8015616277,8267240371,8305251892,9430157712,11266596875,15554147177,16174477841,16467766609,
India,,,,,,,,,,,,55522000196,58285999899,59853000303,63311000000,71382000344,79145000373,82370999621,90726000272,92710000407,97898000140,107448000300,114585000000,123219999671,137885999461,149105000570,164100000000,177608999350,198000999764,216699998987,234292999464,255646000000,272354000599,292770000000,317293998324,339783001409,347175999293,368957001844,386560000759,397798998464,407477000000,415035000000,435755998799,461692000417,492809000439,519703001368,572950997524,633338998921,662246998888,712497000590,754612003081,
Indonesia,,,,,,,,,,,,1691999986,1924000000,1965000000,2445000000,2803000000,2456000000,2983000000,4466000031,5571000000,6808000000,7891000000,9489000000,10444000000,11539999930,13158999922,15500000000,17917999897,20916000000,24506000135,29483999840,32848999825,36484000000,40623000000,46549000000,51916000260,59411000294,67196000000,68118000000,74479999646,82579999613,88230000408,90746000000,94481000000,105921000000,113133000498,118372000000,126996000546,134343000572,141751000597,153831999359,
Iran,,,,,,,,,,,,8027000000,9489000000,11855000000,13391000000,15006000000,16551000000,17903000000,18409000000,20692000000,20800000000,22409000000,25662000000,29759000000,32603000000,35486000000,37373000000,41347000000,42576000000,47164000000,53034000000,57366000000,62611000000,66501000000,70137000000,72753000000,79649000000,83906000000,88295000000,95018000000,101487000000,109241000000,117430000000,128663000000,138559000000,145075000000,156716000000,164594000000,174718000000,182739000000,196201000000,
Iraq,,,,,,,,,,,,2660000000,2755000000,3343000000,3662000000,4268000000,4982563118,6058731375,7460327589,9642866169,10789937717,10291855286,12934564607,15280755063,18308876009,19658017992,20726778909,20715462645,21447908623,21716877916,21771861613,18734738418,23093582522,24157309164,25926343772,27763850750,27846572907,28477412245,28559108256,28608273239,28612887526,29570429191,31111906182,26348268925,31254386166,22325989736,26673319160,21580588288,21531130135,32381110330,37470000098,
Ireland,1966184882,2127068986,2376309375,2523080740,2980193730,3261063047,3575353154,3896178969,4368805193,4722815090,5188102988,5650038460,6142604233,6612422559,7039208433,6925403252,7689149332,8327769838,8976545838,9913590366,9803335860,9761837940,9729586041,10001061274,10436261279,11008605556,11576169105,12078394634,12109213399,12702008170,13303971043,13789217688,14569530471,14923855833,15605896711,16340580008,17420534132,18263545736,19280743520,20382128525,22046920299,22796505595,23755140823,24434204298,25202079702,25953315508,26925945312,26941687011,27997640942,26690133694,26932151599,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,6720942665,7575983813,7834911546,8158131215,8759220809,9317783018,9952037414,10828843072,11198268826,11320459216,11706778059,12329321666,13091282231,13495037107,14231939933,14137496320,15839045022,17278577079,18537979517,18792598174,18482058956,21963135001,23030552481,25482154251,27342170295,29301031145,30904673464,33549860328,35203159027,38033172364,39241736301,40587454755,41906788975,42230778625,43406565030,45335315434,48463730545,50589866930,47977591568,50861132693,
Italy,48282604182,52180067887,57461043549,64137824124,69093149266,74439834427,81553730730,88413435025,95882063008,102454174170,110537600668,115604212337,124126565141,133794094948,138995979689,136436454000,150097660661,154468253289,161462936032,170433883790,174558560173,174593148874,177033540876,177475788487,187387003027,192552346280,198282601911,208125170763,217406630246,227707142545,235564747583,240202072700,245248721527,245038891006,252886695767,261932924839,265258662793,272568072457,281740335123,288889410444,302020365730,309230186314,317979342325,325424385855,328612990067,332591723267,339989091183,339880264825,339056708237,317542918315,326016232454,
Jamaica,,,,,,,,,,,,1552081905,1870716798,1968067038,2088763925,1410408403,1512297716,1573776794,1593486988,1461473793,1429591045,1420510021,1718216302,1681042779,1363096829,1347863179,1420648466,1514544809,1458008368,1379731630,2077953515,1721490232,3523571103,3755367670,4221239405,5158265585,5330823477,5523516048,5784957878,5922293777,6024935445,6090906347,6336444756,6577122860,6551882772,6645448575,6614528190,6912825613,5412826680,5200991882,3350366264,
Japan,102700000000,116324165843,124233281953,143414555857,161364120704,172864809308,195432271951,224718673100,253823820346,292978004600,334154952220,359145662030,398466553090,442192695454,434390295424,446408911374,482773730306,502575403363,532661475247,559198375692,546849292883,555425193285,552844575091,588139484272,618665619109,639285476126,642282584027,682566800115,717046250289,759862553911,792939999478,820840121180,827360613368,839517813817,893823649789,916831727667,938535529265,959811517702,963943447725,981106170330,1002431945198,984842419005,997756712317,986168476090,1016802169352,1038026036527,1043707698967,1074072247469,1021874600989,991912983265,1062158245920,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,263931278.8,322925741.7,377550855.2,421725365.4,488529169.1,592590610.5,525339032,614627104.4,795433813.6,916946891.3,1090047557,1338747401,1751379283,2070557246,2290238850,2485061452,2833173373,2951299111,3126064555,3587961549,3438936229,4046662900,4415528387,4817901762,5314813216,5695678978,5810152744,6157280382,6386431533,6646752720,6897542826,7394376045,7735000625,8529639989,8983131886,9982911668,11174732189,12243684902,12725561330,13770084499,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97609710668,93166322743,87979135086,74003682679,69973162717,64358440077,57140670970,49145188668,45013736301,42808952038,47405590731,52321131868,53025015300,56377639374,58094328183,60870403143,65249101630,69445657470,73410528277,70447607992,75766280492,
Kenya,,,,,,,,,,,,909000000,996000000,1067000000,1137000000,1220000000,1351000000,1426000000,1526000000,1640000000,1707000000,1838000000,1884000000,1946000000,2051000000,2229000000,2368000000,2645000000,2595000000,2753000000,2930000000,3061000000,3159000000,3323000000,3356000000,3490000000,3655000000,3689000000,3813000000,3625000000,3525000000,3934000000,4013000000,4310000000,4679000000,4879000000,5305000000,5582000000,5716000000,5813000000,6321000000,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,,,,,,,,,,,13463000000,14242000000,15021000000,15801000000,16580000000,17105000000,17631000000,18156000000,18683000000,19201000000,19723000000,20236000000,20758000000,21299000000,22731000000,22770000000,23500000000,25268000000,26471000000,25111000000,23842000000,21450000000,19192000000,19978000000,19806000000,18257000000,16461000000,14368000000,15748000000,16334000000,17007000000,16651000000,17680000000,18501000000,19292000000,18890000000,18121000000,19538000000,17759000000,18247000000,
South Korea,,,,,,,,,,,,9570485124,11339295333,13345693933,15689222997,17420294079,20400340567,23627496087,28347025374,32491131875,34223924285,36981451992,39752051039,44834245491,49910612215,54288232893,60823452397,69717401220,80942913854,89300042393,102002294767,112356827007,123827692786,136625873272,155737970802,173334833788,192415011763,210380906341,201822572415,223200221480,271647666231,291632828365,309957885997,325542855720,346429605992,367125565279,380543751202,402657698641,419640222726,426892763013,469523232601,
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4070642238,5059946469,4906107415,4710257699,5138752928,5254107153,5382843459,5801845488,6409548556,,,
Kuwait,,,,,,,,,,,,2413000000,3019000000,3359000000,3749000000,4264000000,4767000000,5513000000,6424000000,7927000000,8301000000,9214000000,10763000000,11499000000,12782000000,14184000000,15665000000,16744000000,18168000000,19599000000,17230000000,10090000000,,,,21114000000,22673000000,23784000000,26686000000,28103000000,28767000000,30526000000,32362000000,35424000000,36718000000,38767000000,42170000000,42802000000,45235000000,46601000000,50136000000,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10241695543,10314866702,10422202734,8626595456,8614427103,9525830432,9157786464,8544276429,8123401126,8794962575,9467866242,8491941626,8000175701,9779749589,8266781533,9254360201,10193946025,9048542212,7484195667,7304231464,7333712122,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9048561133,8691435429,6894735523,5266016526,4990083786,4977057855,4907751700,5015632680,5153872616,4979811461,4954903617,5199998321,5356702146,5727797395,5917354678,6231557629,6595761565,6990134567,7011757327,6500817870,6814493963,
Lebanon,,,,,,,,,,,,1237000000,1390000000,1612000000,1777000000,1665000000,1800000000,1935000000,2115000000,2383000000,2537000000,2741000000,2997000000,3276000000,3447000000,3511000000,3780000000,4176000000,3600000000,2250000000,1400000000,2800000000,3371000000,3964000000,4406000000,4737000000,6501000000,7755000000,9548000000,9568000000,9769000000,10014000000,10724000000,11092000000,11133000000,11301000000,11007000000,11462000000,12239000000,13137000000,15088000000,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,398000000,445000000,900000000,1083000000,1428000000,1785000000,2223000000,2639000000,3255000000,3606000000,3633000000,3672000000,3724000000,3789000000,3868000000,4190000000,5874000000,6476000000,6481000000,6996000000,7533000000,8153000000,8600000000,8838000000,8762000000,9003000000,9227000000,10898000000,11484000000,11904000000,12278000000,13151000000,13593000000,14449000000,19692000000,22273000000,23883000000,24606000000,26116000000,27135000000,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14870162354,14875707925,11685789161,9163532719,9127239967,9213005077,9858649857,9757430906,10031370554,9522632571,8809238317,9352511382,9790145837,10523523546,10784904187,10593478370,10977318366,11528685482,11946988075,11462629940,10870330061,
Luxembourg,1428145543,1468662179,1635232823,2280132293,2856414789,3019045535,3181896974,3177790466,3090448977,3457069292,3612138443,4066650118,4044390681,4145312615,4661668188,3820063853,4149835795,3787692001,3927431569,3995872495,3927086272,4040906975,4007711106,4063925541,4290741479,4424120642,4480361860,4551687407,5016798846,5106597428,5210457706,5434460620,5051939721,5004628616,5490681452,6080542390,6047593989,6346562260,6573977528,6455623323,6823324492,6864512913,7076384329,7256990501,7349525090,7151474063,7660979403,7778037330,7757216099,7177894102,8542332784,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5325000000,5398000000,5900000000,5186000000,5368000000,5548000000,5811000000,5989000000,6180000000,5782000000,5892000000,5722000000,5646000000,6384000000,6466000000,6952000000,7121000000,7480000000,7600000000,7079000000,7399000000,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,3464000000,3933000000,4347000000,4752000000,5229000000,5819000000,6790000000,7356000000,8322000000,9090000000,9736000000,10544000000,11384000000,12400000000,13146000000,14183000000,15269000000,16974000000,18864000000,20867000000,23451000000,26968000000,29884000000,35662000000,41069000000,45984000000,53301000000,55847000000,60010000000,63716000000,65398000000,68281000000,71989000000,75178000000,73828000000,80324000000,87453000000,89500000000,109334000000,116937000000,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,305642847.7,324720952.2,366259745.2,306100849,339862087.6,385765356.1,424676538.4,469281486.4,514723289.6,543749760.8,579733489.7,615589730.5,633696131,662565269.1,736764382.4,794640288.1,887477689.9,969810293,1037323008,1037705057,1359233703,1424127249,1436266452,1458493617,1544496522,1504100975,1528494161,1574691454,1695530770,1752819335,1715835773,1810239711,1972232449,1953375986,2010814462,2007838773,1999239839,1989593591,1834429686,1729158776,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,26937000000,30147000000,32802000000,36367000000,39096000000,42552000000,46362000000,51252000000,55575000000,60108000000,64318000000,69705000000,72702000000,77210000000,81867000000,85020000000,90407000000,95016000000,101518000000,99476000000,110774000000,114733000000,116327000000,126321000000,130153000000,139014000000,148322000000,156607000000,163135000000,176568000000,181861000000,185158000000,183778000000,196784000000,205201001927,209128000000,215567000000,219353000000,217663000000,225763998010,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14119078490,15035909906,12973813685,10509104390,8637120270,7601757463,7383932326,6733230321,6144540386,5112038947,4126382863,4538117483,4700495435,5320144627,5495546157,5779425914,6002133323,4930075456,4828272592,3591128783,3748354533,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,2927000000,3187000000,3279000000,3458000000,3544000000,3376000000,3063000000,2800000000,2584000000,2503000000,2546000000,2557000000,2513000000,2562000000,2531000000,2580000000,2652000000,2746000000,2885000000,3073000000,3256000000,3428000000,3589000000,3891000000,3825000000,4217000000,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3993000000,4080000000,4148000000,4020000000,3179000000,3503000000,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,2047000000,2319000000,2594000000,2747000000,2905000000,3254000000,3584000000,3928000000,4344000000,4735000000,5094000000,5502000000,6029000000,6226000000,6627000000,7060000000,7297000000,8149000000,8174000000,8910000000,9385000000,10339000000,10517000000,11202000000,11638000000,11879000000,12522000000,13489000000,12900000000,14110000000,15289000000,15788000000,17323000000,18439000000,19323000000,21199000000,22353000000,23247000000,23865000000,24957000000,
Mozambique,,,,,,,,,,,,476000000,479000000,559000000,678000000,570000000,647000000,617000000,672000000,420000000,432000000,437000000,591000000,471000000,373000000,402000000,475000000,541000000,441000000,508000000,548000000,743000000,747000000,728000000,662000000,715000000,732000000,893000000,825000000,1194000000,2225000000,5054000000,4987000000,7239000000,8938000000,9243000000,9676000000,10319000000,10327000000,10363000000,10379000000,
Myanmar,,,,,,,,,,,,553000000,605000000,666000000,672000000,774000000,859000000,952000000,1020000000,1100000000,1162000000,1065000000,1152000000,1192000000,1313000000,1595000000,1626000000,1665000000,1503000000,1638000000,1823000000,1712000000,1875000000,2173000000,2342000000,2510000000,2562000000,2903000000,2959000000,3145000000,3516000000,3229000000,3484000000,3849000000,3910000000,3664000000,4355000000,4439000000,4701000000,4993000000,6290000000,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539000000,1525000000,1674000000,1520000000,1552000000,1721000000,1682000000,1881000000,2040000000,2236000000,2352000000,2082000000,2193000000,2772000000,2945000000,3163000000,3219000000,3828000000,3534000000,3376000000,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,74000000,95000000,74000000,94000000,89000000,123000000,138000000,151000000,170000000,186000000,217000000,274000000,299000000,330000000,374000000,443000000,493000000,544000000,603000000,665000000,722000000,738000000,788000000,868000000,946000000,1020000000,1050000000,1134000000,1292000000,1408000000,1570000000,1670000000,1769000000,1892000000,1984000000,2185000000,2312000000,2226000000,2606000000,2777000000,
Netherlands,15453737407,16449142366,17936800516,19597783284,21443403826,23378385091,25828452650,28093478738,31514846822,34744176286,38206813914,41210019034,45181204913,48262436651,50364992594,51316304773,54977084039,56329511317,59144364343,61659815425,61483490653,60811312705,60339997616,61528917357,63441374442,65285229287,66361081130,69022759785,72394448611,74750485260,77707002481,79882874180,82183739070,83579799798,86452034551,88631274553,92229496742,95570402591,98954915962,100967033192,104052795712,106133070955,107407583233,108947648934,113855207224,113938299674,115543752845,118556480392,119253727435,114187146774,116449135086,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,5828491441,6342650593,6817140778,7791890374,8391573106,9232608787,9814134831,10039171128,10625967227,11346908127,12044003836,13480646309,15551565677,16523313180,16618080199,17868046364,18948918688,19205328054,19247680277,19380827490,19964477722,20565167818,21917016181,23477221347,24367853176,24697270366,25914269419,26160571092,27105755556,28450713246,30485718104,30469897434,30255208186,31758672005,32349542348,33468117325,33727009678,34106853921,34523295982,34886938015,36205115604,36790951859,37745403679,37824501779,39430093072,39992099187,40595939272,40761072862,40792955743,40526014675,41785214147,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,558000000,624000000,585000000,711000000,757000000,882000000,1002000000,998000000,790000000,844000000,895000000,952000000,1035000000,1071000000,1070000000,1077000000,1155000000,1164000000,1311000000,1278000000,1277000000,1318000000,1301000000,1271000000,1354000000,1475000000,1689000000,1677000000,1641000000,1748000000,1768000000,1839000000,1944000000,2106000000,2243000000,2342000000,2563000000,2674000000,2735000000,2739000000,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,1637000000,1920000000,2122000000,2026000000,2901000000,3364000000,3977000000,4204000000,4269000000,4997000000,3840000000,6341000000,6491000000,5055000000,6723000000,7795000000,7863000000,7877000000,9007000000,8291000000,8751000000,9020000000,10361000000,10062000000,9876000000,9507000000,9304000000,8953000000,9036000000,9109000000,9476000000,13459000000,13444000000,16730000000,17959000000,15929000000,20328000000,19121000000,18617000000,21624000000,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,27506148845,30338537746,34161843518,35403858360,38981784021,42503093469,43749242774,46387465765,51497817968,50899715647,52166795683,55020605298,57005094835,61561356592,64909329009,65374983686,68103340424,66778881110,70270428898,76812114667,76506018726,79642510538,79590648701,84543208108,90790239303,93677992600,92436393276,95408670484,96569394318,96495942199,99055280247,101494570356,101943422102,103283158215,105085968838,106921841497,105238267604,107328701047,112863901223,111896989518,112243300678,115515169319,111667971940,105767267363,111071222584,115967175583,112517811950,117365709871,118834236345,115337883828,122933398967,
Oman,,,,,,,,,,,,11000000,23000000,41000000,80000000,135000000,234000000,356000000,412000000,528000000,720000000,921000000,1160000000,1422000000,1775000000,2199000000,2800000000,2987000000,3322000000,3458000000,3963000000,4080000000,4453000000,5067000000,5367000000,5690000000,5862000000,6265000000,6900000000,6951000000,7262000000,7885000000,8223000000,8470000000,9365000000,10301000000,11082000000,11818000000,13476000000,15185000000,16507000000,
Pakistan,,,,,,,,,,,,5584000000,5584000000,6389000000,6965000000,7430000000,7428000000,7820000000,8913000000,10566000000,10619000000,11919000000,13290000000,14757000000,16384000000,18336000000,20398000000,22454000000,25919000000,27652000255,29865000000,32922000000,37978000000,39100999677,41363000000,43963000000,45271000000,46857000349,45530000000,48226000000,51579000000,53551000363,55663000000,60531000000,64630000000,71067000000,76335000000,77088000000,72439000000,76607000449,79268999543,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,821000000,918000000,1042000000,1049000000,1108000000,1211000000,1314000000,1311000000,1538000000,1530000000,1596000000,1735000000,1918000000,1863000000,1981000000,2082000000,2233000000,2061000000,2011000000,2058000000,2215000000,2346000000,2520000000,2716000000,2912000000,3033000000,3350000000,3438000000,3622000000,3838000000,3933000000,4099000000,4371000000,4656000000,4846000000,4951000000,5380000000,5657000000,6057000000,6444000000,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,207000000,231000000,278000000,307000000,325000000,373000000,462000000,565000000,664000000,769000000,867000000,881000000,925000000,1044000000,1080000000,1269000000,1497000000,1726000000,1837000000,2130000000,2273000000,2481000000,2852000000,3269000000,3742000000,3881000000,4153000000,4280000000,4468000000,4706000000,4725000000,4874000000,4708000000,4724000000,5006000000,5417000000,5871000000,6250000000,6697000000,7319000000,
Peru,,,,,,,,,,,,5405000000,5811000000,6021000000,6428000000,6729000000,7033000000,7672000000,7764000000,8137000000,8729000000,9419000000,10093000000,9671000000,10589000000,10693000000,11390000000,12150000000,11638000000,11832000000,11925000000,12901000000,10821000000,12111000000,12600000000,13134000000,14389000000,15064000000,16182000000,16746000000,17627000000,18542000000,19707000000,20607000000,21896000000,23118000000,24809000000,27391000000,29772000000,30180000000,32145000000,
Philippines,,,,,,,,,,,,8688000000,9878000000,12562000000,12422000000,12986000000,13979000000,14326000000,14740000000,15927000000,17703000000,16433000000,16930000000,18650000000,18047000000,19020000000,17376000000,18304000000,20191000000,21776000000,22347000000,22473000000,21799000000,22341000000,25737000000,27831000000,30599000000,33760000000,35729000000,35678000000,38945000000,41337000000,42497000000,46130000000,48730000000,49750000000,49898000000,52003000000,53141000000,54422000000,59942000000,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,26262236589,29081321329,31729286328,33127128932,35875475705,38933511642,42825066835,47111365175,50981944527,54912566109,58774574977,64155272472,69865674567,75582012457,81251680291,88094747103,93968894615,99348824601,104324494356,106072509006,109450426149,103603937948,105185142115,111464689230,116671742660,121293735905,126703688930,132472933181,134882252641,134214025825,124531306115,117849021279,113266623203,114094877398,114831879163,117512966163,121303863521,123084633984,123025446642,121592640134,124086797714,124751073463,122658426716,126988660218,130410786551,131185607884,136839189756,139837393234,142392388089,137346554982,144803739606,
Portugal,2844080522,3119409178,3384219841,3661443890,4101648177,4332758146,4806738234,5029631723,5360888956,5914115978,6633907412,7293846714,8040388974,8892325829,9805162798,9901200030,10612148753,11819876977,12880509501,14217728155,15251565709,15447203292,16292016603,17291371112,17662852231,18661065614,19663909964,20465266662,21863700489,23803746687,25229230129,26602375930,28059057422,28060540650,28894646778,31139846264,32518540689,34293548495,36455523142,39243035073,41489031764,43050831288,44739443965,45873408928,47548383669,49160139168,50763778415,51559546733,51274817520,51310888897,52621421422,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,315000000,396000000,420000000,460000000,625000000,719000000,908000000,1213000000,1787000000,2173000000,2464000000,2777000000,2945000000,3263000000,3734000000,4088000000,4151000000,4271000000,4394000000,4568000000,4381000000,4873000000,5199000000,5455000000,5514000000,6183000000,6457000000,7596000000,7988000000,8501000000,9257000000,10176000000,11175000000,12317000000,13377000000,15866000000,18074000000,20086000000,23041000000,26377000000,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,33414389160,36940415347,39785891498,42502538702,47049644524,51875400334,55218029993,58236042984,59377169318,63764485895,65801079850,65571069518,66942152533,69628272760,71126256643,75747687951,75260629564,78357813658,79089903716,67870283728,58410534525,53530172073,52142949374,50974743051,52819277718,54845550265,50569732494,47148939533,43129501560,44109524846,45675939385,45625435106,48689036869,49608191714,50750229904,52128215392,53072323634,53706866087,48818790353,51402717514,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989255357511,972500835351,909389856921,852577938455,772724716341,759796047725,746848902720,734193705132,720055511455,740818739450,764437509690,771052223959,771932769833,793944000056,814233865520,832127901815,878576637903,905226153297,921312792030,877408941866,922348110078,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
