50+ yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
New Caledonia,105.337,105.344,108.262,110.964,111.52,109.561,106.588,103.683,101.778,102.818,102.848,100.433,97.165,95.237,92.613,91.018,88.992,87.979,87.605,87.558,87.435
New Zealand,94.547,92.622,91.481,88.668,87.007,86.396,87.407,87.395,86.845,87.378,88.539,90.226,91.338,91.46,90.64,89.68,89.321,89.459,89.83,90.532,91.189
Nicaragua,89.963,88.065,86.667,86.049,85.641,85.493,85.735,88.266,90.112,91.386,91.507,91.086,89.68,89.071,88.301,87.026,85.639,85.294,85.058,85.122,85.268
Niger,67.876,75.312,81.569,84.833,86.395,90.732,97.841,98.086,94.79,93.459,95.337,100.26,106.999,112.653,106.24,101.299,98.045,94.267,92.858,92.218,92.233
Nigeria,81.315,82.224,83.128,84.06,85.198,86.291,87.374,87.983,88.665,89.679,90.365,90.285,90.072,90.089,90.751,92.15,93.668,94.88,95.837,96.572,97.07
Northern Africa,92.62,92.709,93.415,95.986,93.563,94.407,94.915,94.186,92.819,92.82,93.591,94.785,95.029,94.024,92.888,91.901,91.224,90.939,90.886,90.646,90.445
NORTHERN AMERICA,94.965,91.731,88.636,86.057,83.646,82.033,80.999,81.169,81.682,82.441,84.147,85.421,86.738,88.145,89.113,89.837,90.352,90.753,91.128,91.726,92.365
Northern Europe,79.436,78.994,79.289,78.971,78.908,78.524,78.392,78.587,79.282,80.747,82.779,84.461,85.692,86.537,87.068,87.098,86.89,86.967,87.435,88.147,88.817
Norway,87.185,88.15,89.098,88.928,87.336,86.363,85.061,83.437,82.349,83.18,85.141,87.688,90.104,92.186,93.463,93.496,92.906,92.239,91.839,91.778,91.721
West Bank and Gaza,119.562,113.573,107.74,102.794,97.699,93.341,96.093,96.895,90.955,81.17,83.744,86.348,91.222,95.112,97.249,98.377,98.562,98.423,98.175,97.74,97.49
OCEANIA,94.931,93.164,92.07,90.394,88.866,88.46,92.558,91.824,91.547,91.425,92.04,92.461,92.503,92.177,91.563,90.855,90.4,90.253,90.351,90.701,91.145
Oman,100.905,98.42,95.617,92.571,88.341,81.819,76.677,78.29,95.392,133.992,131.776,144.515,147.981,156.496,158.746,145.932,135.631,133.146,128.375,121.792,117.176
Pakistan,135.426,137.119,138.519,138.779,138.007,135.764,132.187,126.48,120.655,114.848,109.858,107.452,105.804,104.72,103.942,103.549,103.189,102.69,102.214,101.558,100.941
Panama,102.96,104.593,105.056,106.511,107.602,105.933,103.862,102.157,100.45,99.04,98.415,97.232,95.948,94.986,94.28,93.531,92.832,92.198,91.624,91.092,90.682
Papua New Guinea,111.585,102.878,98.197,95.29,95.301,95.765,210.944,172.718,144.068,126.351,111.766,103.968,97.432,92.702,89.009,85.854,84.995,85.32,86.039,87.102,88.382
Paraguay,77.989,80.436,82.674,85.255,87.011,88.499,89.939,91.504,93.172,94.686,96.606,98.167,98.275,97.565,96.17,94.577,93.419,92.606,91.988,91.564,91.251
Peru,92.464,92.817,92.908,92.752,92.464,92.217,91.975,92.03,92.188,92.524,92.5,92.183,91.816,91.621,91.472,91.297,91.123,90.768,90.409,90.057,89.693
Philippines,74.219,81.274,86.576,88.137,87.728,86.453,86.049,87.927,88.801,90.162,91.804,91.964,91.893,91.958,91.74,91.578,91.618,91.676,91.83,92.261,92.649
Poland,73.4,75.071,76.371,76.947,74.72,73.922,74.33,75.001,75.372,74.422,75.218,76.556,77.341,77.305,77.176,77.295,77.774,78.661,79.483,80.22,80.721
Polynesia,104.582,102.078,101.619,99.467,98.673,98.259,95.818,95.679,101.043,100.257,98.336,96.838,96.35,94.714,93.614,92.743,92.05,91.694,92.406,93.153,93.89
Portugal,73.348,73.07,75.777,76.472,77.619,76.329,78.672,78.408,79.688,79.641,80.274,80.969,81.086,81.421,82.072,83.004,83.911,84.509,84.693,84.682,84.704
Puerto Rico,103.197,102.854,103.245,101.48,98.451,93.313,90.999,90.593,86.195,84.171,82.513,80.75,78.562,77.03,76.205,75.99,76.196,77.083,78.118,79.472,80.772
Qatar,96.481,105.656,111.875,131.298,174.946,197.444,230.103,246.657,280.244,275.454,276.273,310.323,359.533,369.965,379.272,392.682,400.201,414.814,420.474,414.191,394.757
"Korea, Rep.",83.915,85.839,85.503,82.971,82.002,80.405,76.376,75.617,78.172,79.684,81.087,82.033,83.758,85.488,86.388,86.283,85.602,85.819,85.521,85.375,84.999
Moldova,66.943,67.88,69.313,69.56,69.332,67.878,69.192,70.056,70.917,70.695,72.106,74.865,75.072,75.144,75.081,73.308,72.813,73.465,74.848,76.132,76.61
Reunion,60.225,68.841,74.657,78.019,76.467,78.826,79.992,77.94,81.205,81.517,81.1,80.861,81.723,83.056,81.748,80.114,79.046,78.971,79.309,79.651,80.101
Romania,76.46,81.573,83.294,83.389,80.78,80.58,83.071,83.958,83.846,82.004,80.682,80.115,79.411,78.527,79.287,80.056,81.257,81.743,82.39,82.482,82.584
Russia,47.57,46.226,46.982,47.419,47.07,46.437,52.391,56.003,60.581,60.862,62.295,62.711,63.835,64.378,64.132,64.036,64.303,65.542,67.262,67.922,68.298
Rwanda,87.821,87.8,87.865,88.006,88.176,88.333,75.149,76.671,76.892,71.66,71.956,72.467,74.065,76.82,78.275,79.346,81.994,85.066,86.948,87.626,87.72
Saint Lucia,66.655,78.251,70.44,74.396,78.66,79.956,81.794,82.673,89.545,89.388,88.578,89.958,89.356,88.164,86.814,85.281,84.498,84.096,83.936,84.339,84.283
Saint Vincent and the Grenadines,61.721,66.187,62.846,67.071,68.794,70.864,75.492,81.046,81.72,87.061,89.62,92.347,95.177,97.238,98.125,97.452,96.048,94.28,92.653,91.456,90.707
Samoa,105.692,99.024,95.098,92.02,87.908,81.554,75.849,77.566,99.231,95.323,93.986,90.746,91.876,91.375,91.077,93.088,95.953,100.562,103.092,104.063,104.799
Sao Tome and Principe,95.14,95.206,95.09,96.031,88.682,88.051,87.517,89.636,94.349,90.63,85.932,82.677,78.2,75.558,76.797,80.407,83.699,86.942,88.77,90.156,90.897
Saudi Arabia,97.041,96.78,96.392,96.646,97.082,99.197,102.222,109.034,117.645,130.889,118.56,128.498,140.625,147.329,149.513,145.193,135.887,126.282,116.637,109.163,103.71
Senegal,90.171,92.993,95.645,98.163,100.867,103.053,103.554,103.301,102.259,99.85,96.771,92.382,88.157,84.908,83.048,82.351,82.41,82.816,83.338,83.88,84.326
Serbia,78.182,83.215,86.597,85.706,85.072,83.321,83.752,84.391,84.346,84.363,85.211,85.994,86.166,86.266,86.299,86.694,86.963,87.294,87.8,88.381,88.92
Sierra Leone,83.386,90.167,95.847,100.107,103.18,105.331,105.172,104.601,103.481,100.314,96.59,91.394,87.361,84.758,83.494,83.316,83.739,84.369,84.709,84.79,85.313
Singapore,77.12,91.171,102.878,99.907,99.999,100.473,96.794,96.053,92.768,93.37,94.195,94.834,94.381,93.559,92.146,91.349,90.502,89.654,89.047,89.129,89.462
Slovak Republic,81.688,79.651,78.786,78.278,85.382,84.451,81.569,80.414,76.794,74.582,74.602,76.113,77.361,78.144,78.598,79.478,80.56,81.514,82.261,82.821,82.926
Slovenia,81.026,78.983,77.526,75.198,72.414,68.278,69.257,69.912,71.639,73.46,76.523,80.257,81.895,83.106,84.237,85.364,86.453,86.973,87.06,87.006,87.041
Solomon Islands,259.133,215.404,195.347,167.685,147.69,140.906,136.686,132.507,121.222,114.129,107.394,103.231,99.175,96.121,95.775,97.905,99.356,100.061,100.682,100.825,100.6
Somalia,85.274,86.328,87.095,88.069,88.848,89.408,90.004,90.425,89.717,89.066,89.15,88.861,88.899,89.093,89.411,89.799,90.231,90.43,90.758,90.952,91.271
South Africa,83.566,82.06,81.383,82.133,81.893,82.187,83.329,83.566,82.101,82.925,81.674,80.021,76.971,73.803,72.625,74.515,78.408,82.451,85.411,87.031,87.69
South America,91.338,92.246,92.371,92.033,91.479,91.219,90.676,88.596,87.204,86.383,86.046,85.919,85.807,85.719,85.526,85.228,85.102,85.179,85.187,85.145,85.16
South-Central Asia,111.139,111.119,110.615,109.838,109.588,109.39,108.399,106.342,104.245,101.513,99.42,98.588,97.683,96.973,96.304,95.804,95.398,95.107,95.002,95.028,94.914
South-Eastern Asia,90.81,91.303,91.915,92.207,91.944,91.756,88.934,88.588,87.394,86.491,86.424,87.346,88.124,88.848,88.973,88.867,88.729,88.567,88.657,89.011,89.284
Southern Africa,81.881,80.907,80.644,81.371,81.168,81.51,82.438,82.755,81.732,82.559,81.439,79.641,76.599,73.609,72.731,74.989,79.323,83.769,87.051,88.8,89.371
Southern Europe,80.412,81.548,82.509,82.126,80.975,80.054,80.263,80.746,81.152,81.252,82.187,82.92,83.645,84.675,85.926,87.278,88.328,88.923,89.207,89.334,89.384
Spain,77.363,79.839,81.07,80.451,79.43,79.903,80.986,81.827,81.848,82.308,82.99,83.634,84.589,86.445,88.595,90.915,92.563,93.294,93.569,93.652,93.577
Sri Lanka,153.225,137.181,126.489,120.341,117.849,114.412,110.84,105.607,100.528,96.172,93.108,90.827,88.649,86.69,84.427,81.6,79.649,79.344,79.338,79.463,79.73
Sub- Saharan Africa,84.214,84.805,85.745,86.77,87.57,88.226,88.608,88.677,88.451,88.7,88.364,87.505,86.611,86.511,87.32,89,90.902,92.418,93.47,94.055,94.303
Sudan,93.631,92.071,91.154,90.749,90.529,90.429,90.508,90.656,90.788,91.039,91.348,91.627,91.732,91.992,92.629,93.487,94.213,94.812,95.246,95.537,95.613
Suriname,99.994,94.096,100,96.81,96.044,98.648,97.182,94.669,91.866,89.381,87.657,86.65,86.96,88.72,89.98,89.46,88.25,87.475,86.38,85.775,85.712
Swaziland,81.963,80.98,80.583,79.459,79.814,79.259,78.33,80.616,84.639,88.09,87.071,79.206,75.06,71.646,72.121,76.485,84.257,95.176,105.041,108.566,106.84
Sweden,90.77,91.165,91.653,91.144,90.276,88.651,86.517,85.017,84.205,85.29,86.553,88.275,89.734,91.196,92.23,92.523,92.398,92.242,92.441,92.808,92.864
Switzerland,80.928,80.944,80.871,80.492,80.299,79.929,79.065,79.288,79.803,81.074,83.015,84.856,86.274,86.972,86.561,85.519,83.971,82.491,81.192,80.258,79.449
Syria,119.495,111.848,104.834,99.166,95.397,96.235,95.638,93.165,92.31,92.064,92.094,91.953,92.477,94.618,96.927,97.469,97.954,98.13,97.765,97.029,96.181
Tajikistan,102.941,94.648,86.902,79.047,73.558,69.127,76.858,79.799,83.583,91.208,95.866,86.824,84.871,83.907,81.213,79.359,77.956,78.391,80.223,81.963,83.183
"Macedonia, FYR",91.666,96.107,99.564,100.81,100.288,96.805,94.721,92.46,90.729,89.654,87.786,87.381,87.721,87.786,88.032,88.429,88.666,89.063,89.406,89.841,90.203
Thailand,89.486,91.614,92.293,93.302,92.985,92.853,93.459,91.753,90.353,89.172,88.833,87.914,87.802,86.383,84.406,83.02,82.516,82.435,82.594,82.946,83.462
Timor-Leste,81.782,83.083,90.943,95.327,99.333,99.16,99.282,99.125,107.192,104.769,93.307,94.807,94.232,92.091,89.115,92.791,95.018,97.284,98.047,97.904,97.435
Togo,97.486,92.677,89.149,86.758,86.07,85.869,86.016,86.211,86.424,86.942,86.696,86.23,85.721,85.675,86.484,87.943,89.452,90.606,91.42,91.9,92.181
Tonga,86.243,87.291,88.777,90.69,92.433,102.662,100.605,98.134,92.826,93.902,88.222,88.788,88.303,85.886,85.376,83.849,81.741,81.434,83.208,86.402,90.228
Trinidad and Tobago,92.498,93.474,93.764,95.656,94.533,94.082,93.266,87.824,83.002,80.213,78.999,77.847,77.605,77.591,76.829,76.752,77.141,78.369,78.982,78.557,77.705
Tunisia,82.438,86.308,100.766,115.972,93.855,119.037,112.237,109.323,101.608,100.567,99.757,98.298,95.658,91.656,88.776,87.979,88.421,88.958,89.632,90.188,90.47
Turkey,71.086,79.564,89.666,90.456,98.964,97.188,91.762,94.311,93.316,91.905,91.515,91.594,91.566,91.628,91.352,91.217,90.997,90.682,89.806,89.241,88.931
Turkmenistan,100.002,91.454,83.089,74.062,68.388,65.592,70.016,73.718,77.435,78.634,79.144,79.331,79.396,78.836,79.949,80.25,80.488,80.981,81.947,82.632,82.801
Uganda,92.451,91.441,90.885,90.914,91.166,91.078,90.883,90.588,90.278,89.209,86.114,82.708,82.48,86.12,91.682,95.501,97.507,97.974,97.314,96.162,94.931
Ukraine,58.011,57.224,57.029,55.079,53.258,52.195,56.04,58.71,62.874,63.409,63.657,63.842,64.149,64.226,64.055,64.606,65.876,67.975,70.055,71.317,71.912
United Arab Emirates,96.399,96.098,95.652,105.316,134.191,166.348,191.669,190.721,215.101,257.276,262.557,297.438,273.326,208.816,206.066,217.336,197.285,187.453,180.126,172.747,169.141
United Kingdom,78.565,77.527,77.445,77.455,77.797,78.198,78.57,79.17,80.241,81.855,84,85.639,86.745,87.271,87.441,87.141,86.667,86.702,87.269,88.152,89.034
Tanzania,84.532,84.771,85.077,85.411,85.745,86.094,86.302,86.581,86.763,86.672,85.996,85.147,84.784,85.969,88.658,91.579,93.901,95.726,96.944,97.451,97.631
United States,94.138,90.877,87.763,85.237,82.975,81.475,80.513,80.78,81.305,82.079,83.824,85.091,86.404,87.767,88.702,89.38,89.814,90.151,90.47,91.029,91.642
Virgin Islands (U.S.),76.19,82.346,86.601,88.235,91.775,90.613,85.801,87.271,88.434,89.806,89.566,86.975,84.103,80.98,78.088,74.034,70.216,68.017,67.313,68.707,70.897
Uruguay,98.173,96.137,94.302,91.919,90.02,88.057,85.881,83.74,80.671,78.551,77.095,76.653,76.551,77.127,77.788,79.112,80.261,81.058,82.002,83.054,83.873
Uzbekistan,105.073,95.114,85.324,75.337,68.667,65.177,69.459,73.021,78.536,81.481,83.262,83.922,84.626,84.419,83.907,84.145,84.431,84.913,85.922,86.721,86.972
Vanuatu,100.844,99.745,99.216,99.16,145.761,142.022,137.276,128.877,122.303,119.89,117.366,109.894,104.837,99.691,95.94,92.384,90.893,91.269,92.111,93.119,93.763
Venezuela,96.444,96.29,96.302,96.175,95.134,94.405,94.155,93.35,92.541,92.585,93.28,93.543,93.255,92.814,92.144,91.349,90.575,89.89,89.335,88.862,88.468
Vietnam,87.712,88.903,89.429,89.877,90.111,90.054,77.163,79.384,76.676,74.554,73.882,76.957,78.897,82.784,85.277,86.991,87.939,88.345,89.787,91.504,92.227
Western Africa,86.552,87.294,88.183,89.056,89.899,90.771,91.483,91.63,91.662,91.989,92.075,91.724,91.368,91.337,91.453,92.16,92.983,93.544,94.015,94.357,94.588
Western Asia,84.608,85.866,88.777,87.898,90.524,89.535,88.475,90.111,89.535,90.813,91.349,93.096,94.435,95.878,97.225,98.287,98.324,97.952,96.995,95.993,95.216
Western Europe,77.209,77.727,76.579,74.391,71.871,70.38,71.132,72.809,75.949,78.361,81.034,83.188,84.935,86.515,87.544,87.799,87.671,87.5,87.391,87.269,87.3
Western Sahara,87.156,102.909,114.035,127.83,142.356,156.969,141.733,140.555,122.766,107.474,109.916,133.721,132.335,130.445,125.432,119.431,114.779,110.333,106.064,102.133,98.562
WORLD,87.849,87.423,84.786,84.888,84.817,85.102,86.255,87.514,88.349,88.764,89.339,89.914,90.212,90.489,90.724,90.801,90.698,90.693,90.97,91.352,91.696
"Yemen, Rep.",91.951,91.457,90.857,89.946,87.196,83.057,81.108,78.799,76.54,95.846,93.615,92.36,91.309,89.365,88.768,90.032,91.65,92.815,93.4,93.37,92.909
Zambia,93.384,90.507,90.064,90.009,89.93,88.944,88.614,88.591,89.357,89.968,89.68,85.69,82.081,81.375,84.522,89.75,94.192,98.264,101.378,102.972,103.479
Zimbabwe,85.64,86.754,87.929,89.228,90.173,90.453,89.911,90.683,91.485,89.902,84.75,73.522,62.261,58.581,60.839,69.747,82.626,92.097,97.61,100.133,100.577
