50+ yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Caribbean,101.958,103,102.133,100.569,98.955,96.926,95.209,95.611,93.729,93.031,91.486,90.675,89.392,88.405,87.779,87.227,86.78,86.795,87.034,87.173,87.182
Central African Rep.,88.623,88.155,87.827,87.864,88.21,87.743,87.413,87.4,86.888,86.76,86.169,84.585,83.25,82.916,84.127,86.525,89.109,91.382,93.02,93.989,94.445
Central America,94.543,94.116,92.961,91.836,90.652,89.294,87.947,87.111,87.795,88.753,90.019,90.582,90.226,89.439,88.506,88.153,87.642,87.035,86.439,86.196,86.123
Chad,87.472,86.525,85.257,84.994,85.325,85.032,84.957,85.13,86.184,87.398,88.141,87.465,86.705,86.23,86.464,87.477,88.895,90.264,91.334,92.031,92.386
Channel Islands,76.569,77.403,78.217,78.044,77.875,77.708,77.902,79.644,81.808,83.459,87.521,88.62,89.337,88.8,87.889,86.688,85.36,84.98,84.769,85.264,85.72
Chile,90.09,88.411,86.666,84.916,83.37,82.119,81.219,80.455,80.744,81.942,83.328,84.876,86.282,87.237,87.535,87.448,87.019,86.694,86.478,86.284,85.953
China,92.293,92.112,80.704,85.084,87.479,91.156,95.409,98.838,100.603,101.324,101.244,100.403,99.657,98.597,97.727,96.671,95.362,94.35,94.403,94.964,95.799
"Hong Kong, China",53.311,59.706,68.491,72.597,75.947,85.548,91.771,94.012,97.834,98.157,96.975,94.724,91.79,87.219,82.457,78.487,75.694,74.426,74.084,74.434,74.87
"Macao, China",71.346,72.713,72.549,81.227,91.808,85.465,77.599,78.266,82.365,89.189,99.062,104.142,101.788,94.036,87.302,85.264,83.166,81.077,79.206,77.538,76.675
Colombia,83.692,86.181,87.601,88.509,88.885,88.574,87.851,86.122,84.976,84.338,84.473,84.679,84.697,84.679,84.527,84.185,84.064,84.151,84.406,84.7,84.952
Comoros,89.859,88.517,88.024,87.459,87.145,86.656,86.486,86.515,87.358,88.06,89.316,90.45,91.3,91.848,92.031,91.844,91.715,91.597,91.02,90.368,89.797
"Congo, Rep.",86.44,87.046,87.623,88.096,88.547,88.954,89.373,89.738,90.025,89.834,88.399,87.283,86.426,87.834,90.535,92.812,94.587,95.851,96.46,96.635,96.577
Costa Rica,95.894,98.051,100.968,103.713,105.179,103.692,101.606,98.461,96.25,94.745,94.529,95.063,95.938,96.392,96.304,95.629,95.065,94.567,94.163,93.71,93.157
Cote d'Ivoire,89.532,92.406,95.416,99.489,103.77,108.493,113.141,117.106,119.814,121.692,121.295,117.335,112.589,108.412,105.528,103.439,101.211,99.099,97.47,96.218,95.244
Croatia,78.801,78.166,77.442,75.057,73.477,70.01,71.504,73.275,74.669,75.163,76.179,77.872,79.104,80.092,80.759,81.445,82.281,82.982,83.363,83.798,84.368
Cuba,125.105,123.101,116.871,110.079,105.034,100.739,97.708,99.867,97.722,96.664,94.099,93.901,92.257,91.398,91.357,91.243,91.052,90.991,91.195,91,90.634
Cyprus,95.317,93.698,92.923,90.96,90.278,90.001,87.395,86.938,87.4,88.085,88.342,88.463,87.829,86.742,85.127,83.869,83.923,85.104,86.34,87.396,88.125
Czech Rep.,80.062,80.358,80.21,79.665,77.299,76.049,75.308,75.069,74.813,76.066,78.456,80.379,81.732,82.841,83.892,85.481,86.923,87.843,88.794,89.286,89.182
"Korea, Dem. Rep.",76.502,68.82,62.36,59.493,58.205,57.826,58.511,62.457,69.071,73.067,75.602,76.745,79.804,82.217,85.021,86.441,85.855,85.192,84.341,84.082,83.98
"Congo, Dem. Rep.",70.881,70.436,71.296,72.452,73.821,75.355,77.018,78.642,80.268,81.763,82.948,84.046,85.05,86.178,87.391,88.514,89.508,90.342,90.954,91.317,91.414
Denmark,91.329,91.276,90.62,89.152,87.574,85.653,83.72,82.319,82.279,84.1,86.57,88.386,89.57,90.396,90.565,89.862,88.8,87.727,87.447,87.857,88.49
Djibouti,87.256,86.267,85.545,85.209,85.121,85.483,86.229,87.15,88.011,88.713,89.273,89.311,88.97,88.925,89.519,90.656,91.897,92.918,93.777,94.179,94.13
Dominican Rep.,114.005,116.061,117.202,117.619,117.042,115.688,113.806,111.219,108.273,105.319,102.815,100.581,98.602,96.644,94.943,93.527,92.177,91.008,90.076,89.413,88.832
Eastern Africa,83.31,84.871,86.795,88.492,89.642,90.155,89.811,89.349,88.553,88.423,87.394,85.742,84.406,84.65,86.238,88.566,91.003,92.951,94.257,94.931,95.188
Eastern Asia,91.565,91.513,81.841,85.054,86.273,88.605,91.96,94.735,96.27,96.935,97.17,96.845,96.456,95.87,95.399,94.647,93.55,92.734,92.832,93.343,94.07
Eastern Europe,59.556,59.153,59.655,59.209,58.004,57.345,60.856,63.349,66.139,66.219,67.11,67.662,68.375,68.617,68.663,69.011,69.785,71.01,72.469,73.273,73.739
Ecuador,87.738,88.136,89.203,90.782,91.975,92.981,93.45,93.469,93.223,92.977,93.075,93.104,92.827,92.337,91.7,90.982,90.231,89.559,89.031,88.671,88.494
Egypt,87.804,88.84,89.467,89.863,89.787,90.42,91.208,91.175,91.771,92.951,94.931,95.967,95.618,94.375,92.69,91.546,90.721,90.389,90.427,89.853,89.482
El Salvador,94.851,94.952,93.705,92.312,92.035,90.408,88.517,87.636,86.008,84.315,81.537,80.063,78.208,75.711,73.165,70.711,68.262,66.242,65.7,67.107,68.882
Equatorial Guinea,93.592,91.135,89.243,88.268,87.785,83.1,80.461,84.115,84.879,85.458,87.494,90.201,90.892,90.426,90.357,90.415,90.232,90.585,91.577,92.586,93.469
Eritrea,81.905,81.531,81.593,83.479,84.862,86.382,95.579,89.349,84.773,77.965,74.177,71.048,68.533,69.587,73.155,79.172,83.779,84.946,85.443,85.508,85.467
Estonia,48.57,50.556,54.88,54.275,54.952,54.06,56.75,59.95,62.963,63.233,63.23,63.356,63.887,64.384,65.143,66.497,68.234,70.44,72.855,74.193,75.181
Ethiopia,76.613,80.471,84.121,86.841,88.537,89.586,90.194,90.316,90.273,90.445,90.728,89.974,89.299,89.215,89.848,90.814,91.59,92.273,92.917,93.35,93.586
EUROPE,71.837,71.752,71.611,70.404,68.991,68.001,69.469,71.101,73.195,74.243,75.858,77.039,78.126,79.13,79.987,80.588,81.056,81.57,82.179,82.666,83.095
Fiji,177.823,136.374,138.478,117.208,111.599,107.33,105.046,103.935,99.102,95.449,92.166,90.631,90.325,89.164,88.151,87.985,88.409,89.495,90.551,91.63,92.516
Finland,71.745,72.655,73.712,72.903,71.022,69.719,70.209,71.264,73.274,76.267,80.561,83.515,84.856,85.896,86.385,86.311,86.119,85.949,85.95,86.305,86.812
France,72.761,74.734,76.247,76.464,75.664,76.664,77.23,77.921,78.481,79.362,81.356,82.699,82.883,83.375,83.953,84.623,84.913,85.173,85.469,85.932,86.757
French Guiana,111.036,114.721,110.45,107.625,104.174,101.517,103.851,105.706,106.391,109.512,111.674,102.366,99.673,96.972,92.849,89.361,87.526,85.81,85.606,85.992,86.667
French Polynesia,122.593,122.649,122.628,114.398,114.598,110.402,109.096,106.866,107.706,107.524,106.973,103.739,102.87,100.877,99.393,97.677,95.906,93.699,93.315,92.919,92.495
Gabon,85.496,85.408,85.459,85.592,85.951,86.431,86.173,84.804,85.334,88.399,91.047,92.931,93.545,93.771,93.544,93.369,94.496,96.28,98.175,99.516,100.082
Gambia,82.969,86.388,89.801,92.303,93.766,94.846,95.144,94.908,94.482,93.711,92.616,91.298,89.955,88.792,87.853,87.175,86.774,86.563,86.631,86.965,87.419
Georgia,81.251,77.472,72.958,66.619,62.295,60.404,65.087,68.67,71.921,72.225,73.112,74.016,73.83,72.722,71.605,70.968,69.79,69.782,71.065,72.044,73.574
Germany,77.095,77.026,74.332,70.631,66.881,63.812,64.953,67.737,73.355,76.912,79.969,82.631,85.372,87.748,89.253,89.466,89.323,89.11,88.924,88.451,87.957
Ghana,91.6,91.968,92.573,93.099,93.548,93.959,94.37,94.745,95.228,95.815,96.557,96.172,95.449,94.84,94.873,95.524,96.249,96.874,97.443,97.88,98.148
Greece,83.4,84.022,85.657,86.697,85.676,85.569,85.961,85.898,87.451,86.368,86.723,86.888,87.174,87.063,87.816,89.148,90.649,91.768,92.196,92.239,92.166
Grenada,61.114,63.849,64.786,65.284,66.373,69.664,73.767,73.26,77.521,73.851,75.602,80.143,83.618,86.165,88.518,92.1,93.372,94.86,95.363,95.335,95.296
