Total water withdrawal per capita (m3/inhab/yr),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Netherlands Antilles,,,,,,,,,,
New Caledonia,,,,,,,,,,
New Zealand,,,,,380.48,574.9,,,534.429,
Nicaragua,,,,,,,,,247.33,
Niger,,,,,,,59.79,,182.567,
Nigeria,,,,,,41.981,,,60.988,
Niue,,,,,,,,,,
Norfolk Island,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,
Norway,,,,,486.43,,,,481.59,
West Bank and Gaza,,,,,,,,,82.3738,107.4752
Oman,,,,,,,618.3344,,556.442,518.7868
Pakistan,,,,2123.68,,,1306.86,,1128.993,
Palau,,,,,,,,,,
Panama,,,,,,,,,267.725,
Papua New Guinea,,,,,,,,,12.5455,
Paraguay,,,,,,109.75,,,87.958,
Peru,,,,,,,838.4608,,764.787,
Philippines,,,,,,,,386.4677,358.787,
Poland,,,,,463.29,,,,422.55,
Portugal,,,,,,,,,1088.304,
Puerto Rico,,,,,,,,,,
Qatar,,,,788.249,,,,515.48163,422.116,540.5977
"Korea, Rep.",,,,,,,,,393.176,
Moldova,,,,,,,671.7547,,572.807,
Reunion,,,,,,,,,,
Romania,,,,,1131.91,,851.367,,1057.088,
Russia,,,,,,,553.16,518.6,524.633,
Rwanda,,,,,,,,,17.12,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,,,101.79615
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,87.138528,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,52.72632,,
Saudi Arabia,,,,,,,992.9052,,,978.9476
Senegal,,,,,,188.333,,,203.9317,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,161.81669,,,142.82064
Sierra Leone,,,,,,97.336,,,77.169,
Singapore,,,,81.97,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,123.33,,,439.013,390.5085
South Africa,,,,,,,345.813,,268.2649,
Spain,,,,,,1187.395,,,860.871,
Sri Lanka,,,,,,,557.2832,,667.649,
Sudan,,,,,,582.14,568.33,573.37,1073.884,
Suriname,,,,,,1172.043,,,1510.761,
Swaziland,,,,,1008.3987,,,,956.5776,
Sweden,,,,,,,345.69,,331.839,
Switzerland,,,,,,481.19,,,350.91,
Syria,,,,414.024,,,,940.2992,939.5591,859.974
Tajikistan,,,,,,,2177.0325,1999.9494,1893.06,
Thailand,,,,,,,,,1411.602,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,25.2567,,,29.4243,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,231.3057,236.618,
Tunisia,,,,179.568,279.37,299.04,359.9822,,269.931,
Turkey,,,,,,,531.36,,598.83,542.46
Turkmenistan,,,,,,,6366.4854,5486.1668,5324.076,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,19.98,,,,,,11.41,
Ukraine,,,,,,,,,781.429,
United Arab Emirates,,,,,762.42,,,771.0204,,941.0433
United Kingdom,,,,,,,252.07,,160.637,
Tanzania,,,,,,,,,145.5561,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,2113.14,780.1886,,1647.995,
Uruguay,,236.462,,,,,,,946.971,
Uzbekistan,,,,,,,2905.1631,2450.6533,2292.198,
Vanuatu,,,,,,,,,,
Venezuela,,,357.31,,,,,,330.424,
Vietnam,,,,,684.572,731.832,785.974,,876.592,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,216.3388,,176.21,
Zambia,,,,,,,203.7637,175.1148,160.078,
Zimbabwe,,,,,,128.125,,,327.0001,
