,1700,1900,2030
Abkhazia,,,
Afghanistan,34.565,34.565,34.565
Akrotiri and Dhekelia,34.61666667,34.61666667,34.61666667
Albania,41.312,41.312,41.312
Algeria,36.72,36.72,36.72
American Samoa,-14.307,-14.307,-14.307
Andorra,42.546,42.546,42.546
Angola,-8.843,-8.843,-8.843
Anguilla,18.25,18.25,18.25
Antigua and Barbuda,17.072,17.072,17.072
Argentina,-36.676,-36.676,-36.676
Armenia,40.254,40.254,40.254
Aruba,12.513,12.513,12.513
Australia,-32.219,-32.219,-32.219
Austria,48.231,48.231,48.231
Azerbaijan,40.352,40.352,40.352
Bahamas,24.7,24.7,24.7
Bahrain,26.024,26.024,26.024
Bangladesh,23.88,23.88,23.88
Barbados,13.179,13.179,13.179
Belarus,53.54709,53.54709,53.54709
Belgium,50.837,50.837,50.837
Belize,17.843,17.843,17.843
Benin,6.364,6.364,6.364
Bermuda,32.217,32.217,32.217
Bhutan,27.479,27.479,27.479
Bolivia,-15.19,-15.19,-15.19
Bosnia and Herzegovina,44.17501,44.17501,44.17501
Botswana,-21.536,-21.536,-21.536
Brazil,-19.557,-19.557,-19.557
British Virgin Islands,18.5,18.5,18.5
Brunei,4.501,4.501,4.501
Bulgaria,42.073,42.073,42.073
Burkina Faso,12.049,12.049,12.049
Burundi,-3.365,-3.365,-3.365
Cambodia,12.026,12.026,12.026
Cameroon,10.73,10.73,10.73
Canada,43.727,43.727,43.727
Cape Verde,15.091,15.091,15.091
Cayman Islands,19.319,19.319,19.319
Central African Rep.,4.331,4.331,4.331
Chad,10.377,10.377,10.377
Channel Islands,49.217,49.217,49.217
Chile,-33.554,-33.554,-33.554
China,29.561,29.561,29.561
Christmas Island,-10.5,-10.5,-10.5
Cocos Island,-12.5,-12.5,-12.5
Colombia,4.788,4.788,4.788
Comoros,-11.671,-11.671,-11.671
"Congo, Dem. Rep.",-2.920276,-2.920276,-2.920276
"Congo, Rep.",-3.684,-3.684,-3.684
Cook Islands,-21.23333333,-21.23333333,-21.23333333
Costa Rica,9.941,9.941,9.941
Cote d'Ivoire,5.496,5.496,5.496
Croatia,45.11008,45.11008,45.11008
Cuba,23.084,23.084,23.084
Cyprus,35.081,35.081,35.081
Czech Rep.,49.77929,49.77929,49.77929
Czechoslovakia,,,
Denmark,55.718,55.718,55.718
Djibouti,11.505,11.505,11.505
Dominica,15.433,15.433,15.433
Dominican Rep.,18.561,18.561,18.561
East Germany,,,
Ecuador,-2.062,-2.062,-2.062
Egypt,29.996,29.996,29.996
El Salvador,13.775,13.775,13.775
Equatorial Guinea,2.326,2.326,2.326
Eritrea,15.312,15.312,15.312
Eritrea and Ethiopia,,,
Estonia,58.685,58.685,58.685
Ethiopia,9.007,9.007,9.007
Faeroe Islands,62,62,62
Falkland Islands (Malvinas),-51.75,-51.75,-51.75
Fiji,-17.827,-17.827,-17.827
Finland,60.212,60.212,60.212
France,48.857,48.857,48.857
French Guiana,3.988,3.988,3.988
French Polynesia,-17.666,-17.666,-17.666
Gabon,0.372,0.372,0.372
Gambia,13.257,13.257,13.257
Georgia,42.034,42.034,42.034
Germany,48.161,48.161,48.161
Ghana,6.694,6.694,6.694
Gibraltar,36.13333333,36.13333333,36.13333333
Greece,38.058,38.058,38.058
Greenland,64.217,64.217,64.217
Grenada,12.115,12.115,12.115
Guadeloupe,16.163,16.163,16.163
Guam,13.44,13.44,13.44
Guatemala,14.622,14.622,14.622
Guernsey,49.46666667,49.46666667,49.46666667
Guinea,11.671,11.671,11.671
Guinea-Bissau,12.262,12.262,12.262
Guyana,5.761,5.761,5.761
Haiti,18.932,18.932,18.932
Holy See,41.9,41.9,41.9
Honduras,14.194,14.194,14.194
"Hong Kong, China",22.704,22.704,22.704
Hungary,47.419,47.419,47.419
Iceland,63.892,63.892,63.892
India,25.274,25.274,25.274
Indonesia,-6.562,-6.562,-6.562
Iran,35.38,35.38,35.38
Iraq,33.314,33.314,33.314
Ireland,54.611,54.611,54.611
Isle of Man,54.225,54.225,54.225
Israel,32.084,32.084,32.084
Italy,45.415,45.415,45.415
Jamaica,18.055,18.055,18.055
Japan,35.712,35.712,35.712
Jersey,49.25,49.25,49.25
Jordan,31.602,31.602,31.602
Kazakhstan,44.308,44.308,44.308
Kenya,-0.513,-0.513,-0.513
Kiribati,1.847,1.847,1.847
"Korea, Dem. Rep.",39.527,39.527,39.527
"Korea, Rep.",37.553,37.553,37.553
"Korea, United",,,
Kosovo,42.58333333,42.58333333,42.58333333
Kuwait,29.326,29.326,29.326
Kyrgyzstan,41.4894,41.4894,41.4894
Laos,16.547,16.547,16.547
Latvia,56.858,56.858,56.858
Lebanon,34.111,34.111,34.111
Lesotho,-29.595,-29.595,-29.595
Liberia,6.385,6.385,6.385
Libya,32.607,32.607,32.607
Liechtenstein,47.141,47.141,47.141
Lithuania,55.318,55.318,55.318
Luxembourg,49.78,49.78,49.78
