Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Canada,7.85,8.74,8.66,8.13,7.99,7.75,8.17,7.79,7.5,7.83,6.9,6.93,7.07,6.58,6.44,6.66,6.6,6.15,5.85,5.67,5.69,5.36,4.93,4.41,4.32,3.59,3.4,3.74,3.6,3.24,2.76,3.01,3,2.84,2.64,2.51,2.52,2.33,2.33,2.17,2.24,2.13,1.84,1.99,2.08,1.84,1.97,1.86,1.71,1.82,1.66,1.65,1.47
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Chile,,,,,,7.85,7.15,8.15,9.14,8.72,10.49,9.01,9.52,10.99,11.56,10.6,13.63,12.23,13.73,13.3,15.38,14.9,15.07,16.2,16.11,15.38,14.83,14.19,14.56,14.77,14.79,13.36,13.65,13.11,12.8,13.79,12.94,13.31,12.59,12.36,12.62,11.65,11.21,12.13,10.53,10.14,9.59,9.37,9.08,8.57,7.98,7.59,6.94
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Colombia,,,,4.56,2.44,2.77,2.21,2.75,4.77,4.31,4.83,5.19,6.23,6.83,7.29,6.91,7.78,7.09,8.49,7.61,,,8.21,,8.33,8.13,7.67,9.24,,,,,,,9.58,10.13,9.93,10.01,9.2,9.37,8.68,8.34,8.92,8.69,9.18,9.5,10.06,9.37,9.35,9.53,,8.8,8.386666667
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
Costa Rica,,,,,,,,,,,,12.1,13.8,9.94,12.88,15.75,12.39,15.51,11.39,13.12,8.46,8.74,6.38,11.09,9.96,7.77,12.55,10.57,10.73,10.04,9.68,9.98,9.4,9.9,10.62,10.54,13.19,11.66,9.51,9.73,9.6,10.54,10.04,10.64,11.54,11.24,10.39,10.13,9.73,8.1,7.87,8.68,5.25
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.8,4.84,3.3,3.44,3.55,3.32,3.31,2.94,2.66,2.93,2.6,2.38,2.89,2.45,2.28,2.16,2.49
Cuba,,,,,,,,,,,,,,,3.09,,,,4.23,4.95,5.27,5.29,4.71,4.52,4.4,5.39,5.21,4.6,4.73,5.04,4.11,3.86,4.95,4.79,4.58,4.86,6.27,6.07,6.85,5.94,5.2,5.21,5.4,5.19,5.26,5.33,5.79,5.67,5.33,5.43,5.63,5.04,5.49
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,6.36,6.45,6.17,5,5.92,5.64,5.78,5.01,5.28,4.77,4.84,4.59,4.51,4.28,4.71,4.4
Czechoslovakia,,,,3.87,5.17,5.69,6.46,6.21,5.91,8.09,6.9,7.91,6.62,6.62,7.12,7.49,6.57,6.95,5.29,5.11,5.52,5.57,5.36,5.42,4.97,5.05,4.93,5.42,5.17,5.04,5.19,5.14,5.08,5.82,5.65,5.97,5.79,5.92,6.05,5.7,5.14,5.58,,,,,,,,,,,
Denmark,,7.94,8.43,7.43,7.67,9.04,12.78,10.84,10.28,10.41,11.34,12.12,10.43,11.6,11.08,10.46,11.19,11.63,11.81,10.32,9.04,10.4,8.48,8.42,8.62,8.15,8.8,8.69,8.22,7.67,7.18,8.53,6.97,6.85,6.18,6.24,6.09,4.74,5.7,5.33,4.99,5.34,5.23,4.25,4.26,3.68,3.6,4.17,3.61,4.3,3.01,2.92,2.83
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
Dominican Rep.,,,,,,,,,,,,,,,,1.63,1.42,2.85,3.43,3.23,4.01,3.12,3.04,3.78,3.02,4.51,3.8,3.35,3.03,3.93,4.92,3.59,3.53,2.76,5.81,6.53,4.35,4.7,5.18,3.77,3.57,3.46,4.32,,4.16,3.78,4.78,4.35,3.97,4.88,3.32,4.13,3.78
