Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
New Zealand,7.22,7.48,7.43,7.05,6.69,7.76,7.23,6.11,6.71,8.71,6.76,6.46,5.86,5.51,6.46,7.16,6.17,6.36,5.07,5.71,5.64,5.78,5.29,5.19,5.5,5.17,5.39,5.24,5.91,4.29,5.22,4.99,5.8,4.7,5.32,4.92,4.17,5.69,4.73,4.06,4.93,4.6,3.58,3.24,3.29,4.03,3.39,2.8,2.88,2.66,2.46,2.13,2.22
Nicaragua,,,,,,,,,,,,,,1.04,,,,,,,,,,0.97,,,,,,,,,,,,,,,12.04,13.67,11.25,15.3,14.56,14.68,15.13,,15.48,13.81,13.39,11.69,11.77,13.6,13.52
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3
Norway,,5.88,6.19,7.74,7.97,6.61,7.86,7.22,6.69,6.91,6.53,5.94,6.38,5.44,6,5.79,6.32,5.63,5.82,5.57,6.3,6.11,5.34,5.75,4.69,5.72,5.79,4.69,5.93,5.28,4.98,5.2,5.4,4.79,3.73,4.43,4.2,4.42,5.21,3.98,3.68,4.45,4.16,3.47,3.31,2.98,3.47,3.16,3.46,3.07,2.71,2.66,2.5
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Panama,,,,,,9.83,5.99,10.01,11.58,9.42,9.26,9.58,9.07,10.12,8.07,10.24,8.44,8.41,9.41,10.41,10.62,7.4,14.66,9.31,7.51,9.9,10.41,9.02,8.47,12.14,11.06,9.52,11.73,8.11,10.86,9.09,10.33,9.24,9.8,10.41,,,,,,,10.1,10.07,10.4,10.87,8.71,9.53,8.79
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
Poland,,,,,,,,,,3.25,3.62,3.89,4.79,6.15,7.37,7.73,7.89,8.33,8.42,8.69,8.73,9.36,9.39,9.21,8.72,8.65,8.47,9.29,8.54,8.46,8.73,8.31,8.13,8.09,8.48,8.32,8,8.27,8.16,7.97,7.66,7.94,7.62,7.52,7.52,7.18,7.17,,,6.39,6.79,6.05,6.14
Portugal,,,,,,8.9,10.17,8.89,9.63,9.42,9.31,9.2,9.45,9.25,8.86,8.21,9.04,9.6,9.21,9.35,9.63,8.2,7.03,6.36,6.79,5.3,5.35,4.62,4.94,5.4,2.66,2.92,2.41,2.4,2.39,2.38,2.3,2.34,2.1,2.35,2.37,2.24,2.41,2.44,2.48,2.63,2.63,2.43,2.54,2.38,2.66,3.24,2.42
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Romania,,,,,,,,,,7.06,7.51,7.14,7.23,7.47,8.53,9.29,9.57,8.84,9,8.96,9.48,9.84,9.7,9.78,10.09,9.46,9.39,9.07,9.61,,8.52,9.63,9.63,9.9,10.03,10.42,9.74,10.02,10.79,10.39,10.1,10.14,9.98,10.44,10.44,10.14,11.02,11.12,11.24,11.09,11.13,10.88,11.44
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,6.31,5.96,6.01,5.74,5.6,5.32,5.18,5.1,5.1,4.95,4.89,4.95,5.02,5.02,4.97,4.81,4.85,4.82,5.07,5.03,5.02,4.93
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Singapore,,,,,,,,,,,,,,11.17,10.86,8.36,9.91,10.13,9.09,8.3,9.17,9.89,9.47,9.14,9.63,6.54,8.25,7.96,8.5,7.45,9.43,8.97,7.67,8.69,8.76,6.04,8.16,6.28,6.75,6.02,5.55,5.29,5.36,5.34,5.69,5.2,4.49,6.21,3.42,4.44,4.07,3.45,3.3
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.88,5.88,5.02,5.16,4.8,5.44,5.6,5.61,5.01,4.81
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,4.39,4.56,3.58,3.67,3.71,4.02,3.34,3.44,3.39,4.72,4,3.88,3.52,3.25,3.78,2.72,2.73
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,11.48,11.69,12.84,12.63,12.69,12.76,12.91,12.83,12.76
Spain,,0.36,0.29,0.29,0.15,0.32,0.24,0.3,0.32,0.4,0.48,0.55,0.69,0.58,0.8,0.73,0.46,0.56,1.18,1.05,0.85,0.7,0.85,0.65,0.81,0.8,0.99,1.04,1.09,1.1,1.21,1.22,1.15,1.28,1.37,1.43,1.43,1.52,1.68,1.67,1.78,1.67,1.63,1.71,1.73,1.9,1.62,1.83,1.74,1.58,1.77,1.58,1.49
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7
Suriname,,,,,,,,,,,,,,8.39,10.54,1.18,,,,,,6.45,1.57,5.94,,18.18,11.93,13.64,15.74,12.12,12.26,15.82,21.22,,18.78,17.05,25.19,19.09,16.64,12.37,15.65,4.5,4.95,,,5.04,4.65,5.6,9.72,9.66,13.09,,14
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6
Sweden,,2.53,2.9,3.68,3.17,4.24,4.2,3.84,4.82,5.78,6.44,5.93,5.64,5.89,5.49,6.01,5.53,5.14,5.77,5.89,5.96,5.05,5.1,4.95,4.46,4.33,4.29,3.82,4.21,3.5,3.37,3.34,3.39,3.24,2.65,2.76,2.95,3.15,2.31,2.11,2.38,2.2,2.13,2.06,1.97,1.76,1.76,1.96,1.74,2.02,1.95,1.66,1.88
Switzerland,,2.27,3.13,4.53,7,7.38,7.92,7.42,8.07,7.18,7.05,6.75,6.79,6.79,6.92,5.65,5.67,6.14,5.09,5.47,5.94,6.3,5.34,5.4,4.91,4.96,3.89,4.17,4.39,4.52,4.3,4.1,3.94,3.34,3.5,3.2,3.54,2.75,2.47,3.1,2.3,2.36,2.46,2.73,2.19,1.97,1.76,1.38,1.61,1.26,1.26,1.09,1.14
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,2.78,,,2.53,3.02,3.9,4.21,4.73,4.68,3.53,3.15,3.28,3.76,2.97,1.84,1.88,1.82,2.31,2.1,2.27,2.5
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6
Thailand,,,,,,,,0.37,0.57,0.63,0.4,0.71,0.64,0.51,0.5,0.71,0.55,0.65,0.42,0.58,0.64,0.51,0.49,0.76,0.71,0.64,0.46,0.59,0.91,0.53,1.19,1.16,0.95,1.13,0.54,1.07,0.48,0.58,,,0.54,0.54,0.66,,0.79,0.76,1.23,1.01,1.3,2.07,2.58,,3.54
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
Trinidad and Tobago,,22.62,15.94,5.21,18.67,23.89,18.16,18.96,20.22,,20.95,21.05,20.07,21.58,,,23.02,19.41,22.25,,14.58,17.23,15.04,15.4,17.85,11.69,15.53,14.1,10.68,11.89,11.43,13.21,15.37,13.81,10.83,14.05,12.11,9.35,11.81,10.49,10.8,7.74,10.91,12.59,8.22,11,9.61,11.54,10.93,13.57,10.31,8.66,8.76
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,6.38,,,6.92,6.59,5.22,5.33,6.22,4.71,3.76,3.95,3.14,3.29,2.11,4.16,5.1,3.08,,,,5.2
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,6.24,,,5.8,6.09,5.96,5.67,5.41,5.75,5.5,5.66,5.71,5.89,5.77,5.65,5.68,5.85,5.74,5.74,5.62,5.71
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
United Kingdom,7.86,7.51,7.49,7.3,6.94,7.08,7.16,6.92,7.42,6.94,7.24,6.82,6.87,6.7,7,6.67,6.58,6.53,6.56,6.31,6.1,6.03,5.72,5.82,5.14,5.5,5.57,5.41,5.36,5.25,5.14,5.06,4.96,4.94,4.88,4.89,5.12,4.77,4.77,4.5,4.26,4.05,3.88,3.54,3.14,3.08,3.03,2.77,2.62,2.44,2.44,2.29,2.09
United States,9.36,8.88,8.91,8.89,8.74,8.82,8.36,8.24,8.03,7.67,7.64,7.54,7.29,7.08,6.84,6.74,6.26,5.98,5.67,5.45,5.03,5,4.76,4.44,4.31,3.93,3.81,3.5,3.45,3.25,3.19,3.09,2.92,2.89,2.82,2.71,2.74,2.61,2.58,2.56,2.62,2.5,2.53,2.46,2.46,2.33,2.35,2.31,2.17,2.07,2.03,1.93,1.86
Uruguay,,,,,,9.75,7.68,10.31,8,8.03,7.13,,,9.79,9.53,7.98,7.89,8.61,8.05,8.2,5.96,5.61,7.34,6.16,5.08,5.14,5,6.02,5.46,,5.37,4.42,4.4,5.15,4.42,3.67,4.74,4.18,4.49,4.55,4.96,,,5.02,4.85,4.44,4.95,3.91,4.93,3.71,4.02,4.39,3.936666667
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,3.7,,,3.88,5.04,4.89,4.2,3.75,3.35,3.26,3.33,3.87,4.24,3.98,4.36,3.49,3.69,3.99,3.07,,3.78
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1
Venezuela,,,,,,10.94,9.24,10.97,10.34,10.49,11.62,10.75,11.79,12.12,12.57,13.66,13.63,12.47,11.89,12.13,11.68,13.12,11.41,11.24,11.77,10.39,10.77,10.07,9.69,10.1,10.39,8.89,8.92,10.58,,9.23,8.87,9.74,11.03,8.46,10.15,,10.01,10.45,10.64,,11.2,10.3,9.9,11.4,9.14,10.75,10.18
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1
