Female 15+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,8.699999809,8.600000381,7.900000095,6.800000191,7.199999809,9.100000381,9.5,9.699999809,9,7.699999809,7.800000191,7.900000095,7.300000191,6.699999809,6,6.5,6.199999809,6.099999905,5.699999809,5.300000191
Canada,8.199999809,10.69999981,11.5,11.30000019,10.69999981,9.800000191,9.199999809,8.199999809,7.800000191,8.100000381,9.699999809,10.19999981,10.69999981,9.800000191,9.100000381,9.300000191,8.899999619,8,7.300000191,6.699999809,6.800000191,7.099999905,7.199999809,6.900000095,6.5
Czech Rep.,,,,,,,,,,,,,5.5,5.199999809,4.800000191,4.599999905,5.900000095,8.300000191,10.5,10.60000038,9.899999619,9,9.899999619,10,9.600000381
Estonia,,,,,,,,,,,,,,,,,,,,12.69999981,12.30000019,9.699999809,9.899999619,8.899999619,7
Finland,4.599999905,5.199999809,5.199999809,5,4.599999905,4.400000095,4.300000191,3.900000095,3.099999905,2.700000048,5.099999905,9.699999809,14.39999962,14.89999962,15.10000038,14.80000019,13,12,10.69999981,10.60000038,9.699999809,9.100000381,8.899999619,8.899999619,8.600000381
France,10.60000038,11,11.19999981,12.39999962,12.69999981,12.89999962,13.30000019,12.89999962,12.39999962,11.69999981,12,12.69999981,13.60000038,14.10000038,13.5,14,13.89999962,13.39999962,12.60000038,11.30000019,10.39999962,10.19999981,10.89999962,11,10.80000019
Germany,,,,,,,,,,,7,8.399999619,9.600000381,10.10000038,9.399999619,9.600000381,10.60000038,9.800000191,9,8.5,8.300000191,8.5,9.5,10.30000019,10.89999962
"Hong Kong, China",,,,,2.5,2.5,1.700000048,1.299999952,1,1.299999952,1.5,1.899999976,1.899999976,1.600000024,2.799999952,2.299999952,2,3.900000095,4.800000191,4,3.900000095,6,6.199999809,5.599999905,4.400000095
Ireland,,,14.5,16.29999924,18.10000038,18.60000038,17.70000076,17.20000076,15.39999962,13.80000019,15.5,15.10000038,15.80000019,14.80000019,12.19999981,11.89999962,10.30000019,7.400000095,5.5,4.199999809,3.5,3.700000048,3.900000095,3.700000048,3.799999952
Japan,2.200000048,2.299999952,2.599999905,2.799999952,2.700000048,2.799999952,2.799999952,2.599999905,2.299999952,2.200000048,2.299999952,2.200000048,2.700000048,2.900000095,3.299999952,3.5,3.400000095,4,4.5,4.5,4.800000191,5.099999905,4.900000095,4.400000095,4.199999809
"Korea, Rep.",,,,,,,,,,,,2.099999905,2.299999952,1.899999976,1.700000048,1.600000024,2.299999952,5.599999905,5,3.599999905,3.299999952,2.700000048,3.200000048,3.299999952,3.299999952
Latvia,,,,,,,,,,,,,,,,20.5,14.80000019,13.19999981,13.5,13.5,11.69999981,11,10.39999962,10.5,8.399999619
Lithuania,,,,,,,,,,,,,,,,,,11.60000038,13,13.89999962,14.69999981,12.89999962,12.19999981,11.80000019,8.300000191
Netherlands,,,,,,,13.60000038,12.5,11.60000038,10.69999981,9.5,7.300000191,7.599999905,8.100000381,8.800000191,8.100000381,6.699999809,5.400000095,4.300000191,3.599999905,3.400000095,3.599999905,4.5,5.199999809,5.599999905
New Zealand,,,,,,4.599999905,4.300000191,5.5,6.900000095,7.199999809,9.399999619,9.5,8.699999809,7.599999905,6.300000191,6.099999905,6.599999905,7.400000095,6.5,5.800000191,5.300000191,5.300000191,5,4.400000095,4
Norway,2.700000048,3,3.799999952,3.200000048,3.099999905,2.5,2.599999905,3.400000095,4.599999905,4.900000095,5,5.099999905,5.199999809,4.699999809,4.5,4.900000095,4.199999809,3.299999952,3,3.299999952,3.400000095,3.599999905,3.900000095,4,4.400000095
Philippines,,,,,,10.80000019,12,11,11.10000038,10,12.89999962,8.5,7.699999809,7.800000191,8.100000381,7.400000095,9.899999619,8.399999619,7.800000191,9.600000381,9.199999809,9.600000381,9.600000381,10,7.699999809
Poland,,,,,,,,,,,,,15.60000038,16,14.69999981,13.89999962,13.19999981,12.30000019,15.80000019,18.10000038,19.89999962,20.89999962,20.39999962,19.89999962,19.10000038
Portugal,,,,,,,,,,,,4.900000095,6.5,7.800000191,8,8.199999809,7.5,6.199999809,5,4.900000095,5,6,7.199999809,7.599999905,8.699999809
Romania,,,,,,,,,,,,,,9.5,9.399999619,8,7,6.800000191,6.900000095,7.099999905,6.599999905,8.199999809,6.800000191,7.300000191,6.800000191
Singapore,2.799999952,2.5,2.799999952,2.5,3.700000048,4.800000191,3.5,2.299999952,1.600000024,1.399999976,1.799999952,2.200000048,2.200000048,2.200000048,2.200000048,2.299999952,2.099999905,3.200000048,3.900000095,,3.5,4.699999809,5,4.599999905,
Slovak Republic,,,,,,,,,,,,,,,,,12.80000019,13.10000038,16.39999962,18.60000038,18.70000076,18.70000076,17.70000076,19.10000038,
Slovenia,,,,,,,,,,,,,8.399999619,8.399999619,6.900000095,6.800000191,7.300000191,7.699999809,7.599999905,7.199999809,6.5,6.199999809,6.800000191,6.300000191,7.099999905
Spain,15.80000019,18.5,20.29999924,22.79999924,24.79999924,25.10000038,27.20000076,27.39999962,25.10000038,23.89999962,23.5,25.79999924,29.39999962,31.60000038,30.79999924,29.60000038,28.20000076,26.5,22.89999962,20.39999962,15.19999981,16.39999962,16,15,12.19999981
Sweden,2.599999905,3.400000095,3.599999905,3.200000048,2.900000095,2.700000048,2.299999952,1.899999976,1.700000048,1.799999952,2.900000095,4.699999809,7.699999809,8.300000191,8.199999809,9.399999619,9.699999809,8,6.800000191,5.400000095,4.599999905,4.699999809,5.300000191,6.199999809,7.599999905
Switzerland,,,,,,,,,,,2.5,3.5,4.599999905,4.400000095,3.900000095,4.099999905,4,4.099999905,3.5,3.099999905,3.5,3.099999905,4.5,4.699999809,5.099999905
Turkey,,,,,,,,,,,7,7.800000191,9.300000191,8.100000381,7.300000191,6,7.800000191,6.800000191,7.599999905,6.300000191,7.5,9.5,10.10000038,9.699999809,10.30000019
United Kingdom,,,,,,,,,,,,,,,,,,,,,4.199999809,4.400000095,4.099999905,4.199999809,4.099999905
