Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Georgia,13.88206388,12.75997752,11.09391125,10.30042918,9.941256213,9.722222222,9.068010076,9.491389668,11.87355436,13.33610303,15.74733096,15.45756283,16.37279597,17.73604591,19.72207376,21.79137084,22.46498599,23.06358382,23.41696535,24.33600988,26.87620269
Germany,13.86701384,14.34009763,15.19177961,16.19226037,16.64275078,16.37191854,14.74164542,14.80881837,15.69825111,16.69520979,19.69549482,21.81831716,23.19711837,25.22887588,27.77131587,31.23075344,34.28138234,35.18988695,35.6203059,36.22011728,36.8798444
Ghana,3.814064362,3.932968536,4.025670945,4.085750315,4.171389708,4.21865716,4.290843806,4.383561644,4.493787999,4.676753783,4.924165824,5.195857722,5.490673155,5.648765477,5.983989326,6.522670256,7.216786381,8.082667228,9.075712881,10.17936391,11.34823108
Greece,9.113100081,9.670781893,10.85137795,12.16931217,15.09082441,16.0496614,15.95519865,16.22672396,18.33433194,19.61305008,20.48726467,20.92386343,22.10203714,23.29453894,24.83928571,26.54045365,28.9756447,31.35669362,33.72449901,35.16802906,35.33296643
Grenada,2.941176471,5.263157895,4.761904762,4.651162791,4.545454545,6.818181818,6.976744186,8.163265306,8.163265306,8.333333333,8,7.692307692,7.692307692,9.090909091,9.433962264,11.11111111,12.5,16.36363636,16.98113208,21.15384615,26.53061224
Guadeloupe,4.95049505,5.217391304,5.970149254,5.369127517,6.918238994,7.407407407,9.375,8.771929825,10.9947644,11.28205128,12.68292683,16.43835616,17.33333333,17.69911504,20.52401747,21.83406114,24.34782609,25.65217391,25.76419214,27.55555556,29.14798206
Guam,0,0,0,0,2.127659574,4,3.636363636,4.838709677,5.633802817,6.578947368,7.594936709,8.333333333,10,11.45833333,13.86138614,15.23809524,16.66666667,19.29824561,18.96551724,19.49152542,19.49152542
Guatemala,4.090623033,4.043715847,4.24011434,4.373177843,4.300291545,4.365838113,4.540327129,4.815369261,5.190465583,5.525416918,5.801305294,5.999032414,6.251784185,6.403132104,6.452343219,6.604354971,6.905660377,7.49890495,8.445029192,9.817671809,11.46050671
Guinea,8.429118774,7.052186178,6.041131105,5.516840883,5.208333333,5.09396637,5.079638399,4.945262363,4.743465634,4.425013249,4.326241135,4.469273743,4.6021093,4.831160147,5.141010576,5.467118998,5.852744937,6.36787455,7.04824519,7.920263416,8.979018668
Guinea-Bissau,5.058365759,4.316546763,4.436860068,4.421768707,5.050505051,4.927536232,5.569007264,5.298013245,5.325443787,5.034722222,4.813664596,5.061559508,5.140758874,5.664488017,5.46875,5.443371378,5.166931638,5.937726285,6.502986065,6.902871106,7.413695529
Guyana,5.797101449,4.641350211,4.316546763,4.672897196,4.815864023,5.21978022,5.235602094,5.82010582,6.336088154,6.52173913,6.539509537,7.989690722,9.230769231,11.08247423,13.15789474,15.3638814,18.15642458,19.94219653,21.23076923,22.44224422,23.10469314
Haiti,5.085823268,4.880883207,5.060622035,5.418250951,5.775862069,6.007905138,6,5.72519084,5.563480742,5.561277034,5.733676574,5.963401507,5.958291956,6.297322253,6.69311713,7.211148922,7.794793262,8.471857684,9.831029186,12.07221773,14.38651509
Honduras,5.882352941,5.19630485,4.861111111,4.480135249,4.447739066,4.618345093,4.438356164,4.521902967,4.759967453,5.07505361,5.398457584,5.615362235,5.883898082,6.504646176,7.192829034,8.013795902,8.962892483,10.11722272,11.73020528,13.75124709,16.12435567
"Hong Kong, China",2.066929134,2.423768569,3.041825095,3.786666667,4.438902743,7.111111111,8.419047619,9.762158324,11.36208077,13.17578504,14.56069544,15.61835308,18.39904421,21.69433314,25.81446715,29.43699732,31.07152214,32.15209519,32.86445013,33.82390256,34.65321564
Hungary,10.24498886,10.95890411,12.45847176,13.99714344,15.24037502,16.00782779,14.64919044,15.20078355,15.85292345,16.18063994,16.42651297,17.2795654,18.25095057,20.07672634,21.11493758,21.23585727,22.19039224,24.13947251,26.82539683,28.13504823,29.14537854
Iceland,9.85915493,10,11.23595506,10.30927835,11.42857143,11.71171171,11.96581197,13.1147541,12.5,14.59854015,13.98601399,14.09395973,15.38461538,17.93478261,19.07216495,21.5,24.01960784,26.69902913,29.18660287,31.42857143,33.33333333
India,5.205814273,4.927380007,5.064575804,5.167369185,5.387435445,5.552327298,5.731213785,5.859049208,6.005455041,6.105765636,6.303239319,6.53434243,6.973681483,8.026735299,9.143027727,10.30520798,11.54049866,12.91154337,14.50567941,16.27955374,18.20102519
Indonesia,6.083093807,5.492396988,4.960852404,4.750987381,4.843675173,4.996121732,5.057709059,5.267103339,5.751251617,6.340451266,7.016313611,7.559764048,8.067239923,9.160029559,10.79818505,12.71429443,14.84029084,16.98281036,19.04548494,21.07662177,22.77092196
Iran,8.478919171,7.269540111,6.303776832,5.839646465,5.504899292,5.235049005,5.273884084,5.642532298,5.924835706,6.676994088,6.928453947,7.077289997,7.010876687,7.721902303,9.049068895,10.84036097,12.81507968,14.95103842,17.85955151,22.26030955,26.40102456
Iraq,4.207573633,4.45917445,5.116648993,5.855443733,6.260836062,6.266318538,5.807444724,4.908200734,4.070660522,3.777166176,4.061771093,4.214210711,3.878307876,4.731514085,5.107843137,5.668284076,6.718012823,7.898459019,9.192132922,10.46192993,11.87929009
Ireland,14.2384106,14.44067797,15.02808989,14.53287197,14.81481481,14.28571429,13.52459016,13.12676056,13.55353075,13.5678392,13.60508205,13.7667304,14.84545059,16.08819927,17.48062016,19.08652061,20.85274095,23.17284378,25.61955794,27.3318167,28.0216285
Israel,5.7187017,6.538895152,7.742537313,9.259259259,10.54794521,11.45400593,11.11111111,11.52906693,11.20497999,11.62702907,11.62171162,11.64755582,12.94964029,14.31140802,15.46441496,16.4042893,17.35644637,18.82109617,20.24637393,21.58218126,22.76635514
Italy,11.18642566,11.67948718,12.46719707,13.34134134,14.68795803,15.63841302,14.99981676,16.3115942,18.0722019,19.77013156,21.45857474,22.26165794,23.69752496,24.78938999,26.37090761,28.87707822,31.78964701,34.48192438,35.99442217,36.36908328,36.09621846
Jamaica,4.985337243,5.592543276,5.874840358,7.491082045,7.79363337,7.934893184,8.918406072,8.787346221,9.059534081,9.135802469,9.478672986,9.509202454,10.18726592,11.07038123,12.48196248,14.36740529,16.16809117,17.32566499,17.55280408,18.3172003,19.87767584
Japan,6.936956896,7.382688396,8.156353784,8.961548848,9.711654766,10.45444614,11.14186249,12.45877364,15.12659275,17.94187956,20.78096006,23.76511448,27.60689566,30.012437,31.29600267,32.63561775,34.40127164,37.19124525,38.98626243,40.16340191,40.66807299
Jordan,7.723577236,6.936416185,5.818965517,5.429071804,4.56182473,4.036326942,4.423243712,5.233380481,4.604486423,4.042647712,4.737261146,5.380852551,5.394816154,5.591458275,6.170268159,7.322987391,9.103353867,11.25541126,13.58459308,16.13160518,18.09560674
Kazakhstan,10.20345253,8.793774319,7.395097632,6.433054393,6.081723155,6.045487894,5.580295018,5.518328735,6.819885086,7.51039501,8.712015612,7.699724518,7.352548706,8.109156751,9.281210593,10.56023798,11.34638923,12.37611796,13.52253756,15.27221306,17.79730521
Kenya,5.415986949,5.302166477,5.265748031,5.139005897,5.043664231,4.79523455,4.494382022,4.230533415,4.069568197,4.046158341,3.952241093,3.768942571,3.822809594,4.055739538,4.318643808,4.638514567,5.077151242,5.7870839,6.75354501,7.911164167,9.114054142
"Korea, Dem. Rep.",3.660453627,2.964293735,2.255492903,1.789976134,1.720618256,2.385226981,3.217349857,4.29696042,5.420466059,6.794294294,8.869890462,10.69610972,11.78059072,11.17734724,12.7510775,14.343013,17.51754946,19.96,19.8418462,20.74346405,21.52748984
"Korea, Rep.",4.50506951,4.906232241,5.109024351,4.402074863,4.441342554,4.539982803,4.862444018,5.396731348,6.015421776,7.368656383,9.272955322,11.26862188,13.46241932,16.14388489,20.24125946,24.4122225,28.27560552,31.65158847,33.76859218,36.0899561,37.04689836
Kuwait,3.260869565,3.278688525,2.89017341,2.422145329,2.364066194,2.367941712,2.027883397,1.946721311,2.054231717,2.025072324,2.581120944,3.00982801,4.143646409,5.684104628,8.217270195,11.27917027,15.53477023,19.82259931,23.60499266,25.87486744,26.72621092
Kyrgyzstan,12.65060241,11.35857461,9.611650485,8.163265306,7.05716302,6.340238544,5.406943654,5.381855459,6.328524895,6.335844041,6.756756757,6.055900621,6.024096386,6.891798759,8.220979941,9.841269841,11.06633602,12.53414264,14.02092676,15.99172332,18.5840708
Laos,4.263093788,4.310344828,4.310344828,4.506802721,4.593373494,4.701986755,5.093167702,5.04662644,4.992867332,4.870940883,4.81303221,4.882212359,4.978220286,5.45919818,6.051121544,6.774349084,7.548445246,8.582961547,9.654615229,11.12183819,13.11536318
Latvia,12.69276394,11.89127973,11.50537634,12.20703125,13.33333333,13.38652482,12.19723183,11.73512154,12.36863379,14.36031332,15.96330275,16.88804554,17.03775411,17.81496063,19.08091908,20.6122449,21.66666667,23.34754797,24.80874317,26.94877506,29.83050847
Lebanon,10.04126547,8.888888889,7.991587802,7.259528131,6.829268293,6.748911466,6.801736614,6.835799859,7.532826538,9.254947614,10.17866811,9.854927464,9.985597696,10.57736721,11.76470588,13.09420916,14.76651241,16.70111616,18.79852881,21.11246447,23.1672742
Lesotho,5.49132948,5.135135135,5.289672544,5.568445476,5.882352941,5.671077505,5.527638191,5.604719764,5.929919137,6.44361834,6.455266138,6.203208556,6.091370558,5.984555985,5.746061168,5.296229803,4.97382199,4.965753425,5.887300252,7.302904564,9.038619556
Liberia,4.668304668,4.856512141,4.597701149,4.440789474,4.532577904,4.59057072,4.453870626,4.387568556,4.303086997,4.270833333,4.294917681,4.358353511,4.462972045,4.476969436,5.00381971,5.511811024,6.097183535,6.478076379,7.213541667,8.103531688,9.173272933
Libya,8.286252354,7.665505226,6.502890173,5.833333333,4.484732824,3.596021423,3.543066585,3.76344086,3.998261625,4.696132597,5.240488155,5.958971019,6.682436428,7.606628634,8.996452103,10.37713188,12.01568266,14.28571429,16.9062433,19.97090607,21.51257097
Lithuania,11.03448276,10.91666667,9.87460815,11.54401154,13.10251188,12.49195106,11.44990666,11.3241462,12.34991424,13.56725146,15.05179768,15.69365976,16.48063033,17.28813559,19.2494788,21.23579545,22.72396213,24.21524664,25.13492675,26.62957075,29.06122449
Luxembourg,13.60544218,13.81578947,14.83870968,15.95092025,16.16766467,16.20111732,15.25423729,15.08379888,15.50802139,15.5,15.56603774,16.08695652,16.80327869,17.50972763,20.14652015,21.37931034,22.80130293,23.52941176,24.41176471,24.5014245,24.86338798
"Macao, China",3,4.301075269,5.882352941,5.714285714,6.106870229,7.751937984,8.661417323,7.947019868,8.241758242,8.040201005,9.004739336,9.482758621,12.2605364,17.10037175,22.85714286,27.20848057,30.87719298,34.15492958,36.39575972,38.1294964,40.37037037
"Macedonia, FYR",10.38961039,8.345534407,7.244318182,7.323568575,8.816120907,9.176470588,9.02090209,9.673913043,10.56485356,12.3343527,13.0952381,13.79310345,14.90196078,16.84622919,18.84200196,20.591133,22.3880597,24.08906883,26.05997932,28.37552743,30.3030303
