Births attended by skilled health staff (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,34.7,,,,,,38.8,,,,44,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,95,94,,85.6,93.8,,94,,94,83.3,83.3,,91.9,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,20.6,,,,,23.8,,,,,,26.1,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,,46.9,,,,54.9,,,,,55.7,,,,,66.9,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,99.4,99.4,99.5,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.7,99.6,99.5,99.6,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,,,42.3,42.5,,,,,,46.6,,52.7,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,40.7,31.7,,,36.5,49.7,,43.2,56,,66.9,,68.4,66.3,71.5,,,79.4,74.86,,82.2,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,89.6,,,,,97.3,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,72.1,,,,,,88.5,79.7,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,90,94.6,,,95.9,98.5,96.9,97.4,,96.7,94.5,,98,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,99.8,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,,,,,,,96.7,,,,,99.5,,,,,99.1,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,98.1,98.9,98.6,98.3,99.6,98.1,97.6,98,99.1,98.3,98.5,98.9,99.4,99.4,99.4,99.8,99.5,99.8,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,45.4,,,,,44.3,,,,,41.6,,,,,,43.8,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,84.98,,,,88.9,,,63,,,65,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,,,,97.1,,,,,100,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,98.1,,,,,,100,,,,,100,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,98.9,98.9,98.7,98.3,98.2,98,98.1,98.1,98.5,98.5,98.6,98.7,98.8,98.9,98.2,97.9,97.6,98.4,98.5,98.5,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,20.3,,,,37,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,99,100,99,100,100,100,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,98,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,,59.8,,,,55.4,,,,,61.5,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,,,,,,,,,,,,,,50.9,,,,,,,46.3,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,,,,99,,,,,,,,,99.8,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,99.9,99.9,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,88.9,89.3,90.9,93.3,93.4,94.1,95,95.6,96.6,97,97.7,97.6,98.2,98.9,99,98.1,99,99.6,99.7,99.8,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,47.3,,,46.2,,,,51.3,,,,,43.9,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,,,,,,,,55.6,,60.5,,56.1,,53.6,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,,,,96.1,,,96.2,,96.6,96.8,97,97.4,,98,,98.6,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,70.3,,,84,,,,,94.8,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,,,,,,40,,,,,40.6,,,,,49,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,100,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,,,,95,,,,,86.2,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,56.9,,,,,,60.9,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1,94.4,96.1,96.2,97,,,,98.6,98.5,,,,98.4,,99.2,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,83.8,,,,,,,85.7,,,,,,95,,,93.4,93.7,,95.3,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,87.7,,,,,,,92,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,98,98,98,99,99.6,99.4,99.3,99.5,99.6,99.6,99.5,99.7,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,96.6,,,97.3,99.7,99.2,,,99.4,,99.8,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,99.5,99.7,99.7,99.6,,98.8,100,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,24,,,26,,,,,31,,,39.6,,,,,,,,,62.6,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,47.7,,,,,55.3,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,56.4,,,,57,,67.5,,,,63.9,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,75.5,,,,,,,81.4,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,9,,,,11.9,10.9,,,19.8,,18.7,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,100,,,,,,96.6,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,64.6,,,66.9,,,,,,73.7,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,17.6,,15.7,,,,,,17.7,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,,,,,,,,,41.6,,,,35.2,,,,,38.9,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,91.1,,,,,94.7,,,,,98,98.1,98.6,,99,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,,,,,,18,,18,,23,23,,,31,,38.8,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,100,,,,100,,,,,100,100,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8,86.9,88,88.3,89.9,89.5,90,,,,,92.5,91.3,91.1,91,91.5,,88.5,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,53.2,,,,41,39,,,42,,53,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,60.8,,60.8,,,,,,77.1,,,,81.9,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,49.29999924,,,,,,52.5,,,,56.4,,,,59.3,,,,73.4,,71,,,82.5,83.8,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,,,,,56.4,46.1,58,,,59.8,,,,,62.2,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.9,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,99.7,,99.7,99.9,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,99,,,,100,,,,,,,100,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99.8,99.9,99.7,98.9,99,99.1,99,98.3,99,99,99,96.5,98.5,,98.9,98.1,98.2,98.8,98.7,98.5,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,99.2,99.2,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.3,99.3,99.4,99.3,99.4,99.5,99.6,99.6,99.7,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,31.3,,,,,38.6,,,52.1,,69,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,99.4,,99.4,,99.5,,100,100,,100,100,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,99.7,,,100,,98,99,100,100,97.9,100,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,98,99.3,100,100,100,,,100,,100,99.2,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,100,,,,,,100,,,,,80.8,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,76.4,,,80.7,,,81.7,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,96,,,,97,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,,,,,,47.2,,,,46.6,,48.3,57.8,,58,,,51.9,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98.2,98.1,98.5,98.7,,99,99.2,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,43.2,,,42.4,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,99.7,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,99.4,99.4,,99.5,99.5,99.5,99.2,99.5,99.5,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,99.6,99.6,99.5,99.7,99.7,99.7,99.8,99.7,99.8,99.8,99.9,99.9,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.9,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,85,,,,,,,,70.1,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,24.8,,,,33,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,84.4,,,,,91.2,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09999847,,,,,,94.1,,,,,,,96,,,,,,,98.6,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,49.2,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,84.5,,90,,90,,89.8,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,70,,74,,,,74.3,69,,,82,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,,,,,,,,,,,89.7,,93,,,96.2,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,90.3,,,82.6,80.9,79,72.6,74.1,66.6,71.1,,,,,83.4,,88.4,,83,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,,,,38.2,,,35.8,,,,,,43.4,,,,,48.9,
