Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,11926.46097,12558.29581,13186.10406,13858.51689,14584.42775,15374.33583,16045.5276,16866.147,17592.5456,18516.80315,16944.17706,16773.32431,15825.01611,16681.08272,13616.13388,11368.41198,11708.97569,12508.23765,13971.07784,17236.66283,17954.41744,15939.86648,16632.42252,16855.9741,18841.51612,19359.4995,19341.59051,19571.05278,19685.36145,20653.8658,19970.50833,18789.34949,17736.28159,17466.21081,17707.13476,18195.24765,18702.81496,18853.24266,19514.56795,20665.69366,21258.29243,21530.3738,21809.34718,21228.07569,21106.72008,21507.71526,21728.70888,21721.61841,20911.59943,19619.12136,19395.15231,19466.99052
Bahrain,,,,,,,,,,,,,,,,,,,,,11127.86976,10136.47546,9084.604128,9409.406767,9619.930978,8896.286407,8710.785821,9286.893169,9592.071454,9308.548015,9427.856079,10201.11682,10611.09237,11691.78916,11385.24365,11541.87605,11685.07226,11679.35936,11873.3611,12077.10624,12489.46775,12976.20687,13668.11547,14536.88826,14788.89008,14775.63326,14082.9146,13373.21994,12505.21254,11600.70738,11236.40498,
Bangladesh,254.8250791,262.7656347,269.5320729,260.9298963,281.2643859,277.2733108,275.3870641,261.3677868,277.1832628,272.977664,282.2545184,262.981578,224.2091077,230.0809801,249.85177,236.1923411,244.4665113,244.6789824,254.5800293,259.0515444,253.7822815,256.250629,255.3386127,258.5983764,264.8234246,266.086821,269.9559196,272.5475672,271.1057719,271.0917122,280.1736837,282.7790405,290.4082118,297.1685013,302.8187236,311.1665705,318.9204692,329.396045,339.8583201,349.6507414,363.6399273,375.9934601,385.8060432,399.3959566,417.9536838,436.6881834,459.8625139,483.970868,508.5557725,532.0769985,558.062385,588.3691778
Barbados,3396.945712,3646.65478,3961.399895,3744.022688,3915.325593,4347.904449,4509.680501,4978.131286,5310.781767,5693.657733,6210.630341,6420.053918,6461.314858,6504.710856,6164.532404,6379.771482,6351.829196,6613.628189,7006.11526,7527.672079,7861.834751,7581.700303,7170.539535,7148.997748,7353.519251,7356.833536,8015.601273,8063.653393,8533.743123,8930.256449,8471.088627,8197.554783,7765.99957,7820.329607,8107.891614,8204.375226,8328.885744,8833.047602,9166.797714,9375.65822,9565.401228,9058.900241,8717.534639,8873.568078,9181.616033,9454.342464,9757.443433,9783.984173,9781.356913,9243.587053,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.778358,1392.177841,1255.818546,1157.769768,1023.510248,920.0339044,948.9599152,1061.634484,1156.297823,1199.662852,1273.049124,1337.849959,1411.756736,1518.99982,1701.450906,1871.393671,2067.609425,2253.464111,2510.27848,2539.508991,2739.950643,2890.345675
Belgium,7454.716536,7799.889081,8173.818456,8465.979625,8969.632551,9205.035593,9431.614088,9742.06281,10110.80421,10750.64458,11360.19747,11791.48609,12367.39264,13115.30933,13670.97581,13363.53885,14093.74132,14164.4889,14553.44433,14880.76986,15524.95964,15482.00925,15578.35832,15628.17983,16013.87103,16273.53897,16564.26086,16931.90098,17675.34605,18222.22107,18737.95878,19010.66574,19223.50264,18964.36992,19516.10388,19939.71072,20184.3295,20887.6142,21245.09101,21946.74568,22697.0123,22801.77672,23008.44994,23097.21262,23750.45981,24033.7833,24512.41314,25034.66692,25082.37413,24190.59495,24550.39655,24733.62696
Belize,950.4240054,963.1137622,974.7707239,987.4708188,1003.121064,1021.893592,1042.512127,1067.775051,1122.141798,1157.371743,1193.028907,1222.444067,1331.030169,1385.884945,1552.024006,1579.640919,1546.192084,1606.723937,1688.098831,1765.484261,1979.799676,1953.271048,1897.662051,1820.56843,1798.958544,1772.012303,1807.394307,1955.036382,2080.996636,2309.739636,2476.81753,2666.273839,2912.125313,3004.324132,2923.503151,2867.582161,2836.493237,2834.8938,2836.13232,3026.777086,3329.663731,3392.853836,3459.62445,3664.651612,3713.233789,3705.052686,3754.122862,3680.916429,3684.074728,3561.345948,3542.364501,3490.234069
Benin,256.9787667,261.6472216,249.2125313,257.2048648,270.1229417,279.8908938,285.0989908,283.2182902,288.8375829,291.5970238,291.9012234,281.6793946,293.4453711,297.6620209,300.6556092,279.2924444,275.0389848,281.6863844,278.0933754,288.7172336,300.2998987,321.458628,319.7920397,297.564224,312.4100267,326.807709,324.9290704,311.4928319,313.3009231,295.6137468,295.7832851,299.6481808,301.0323793,300.8931358,303.5689319,307.5482248,315.0836292,325.1775008,330.7403465,336.7146807,345.9503552,352.2484617,356.6052314,358.774753,358.2463984,357.2500703,360.6554107,366.0449665,373.5066867,376.6216226,377.0443007,378.0517915
Bermuda,19588.6127,20009.6258,20410.61269,20153.28493,21842.81022,22334.44348,25091.73205,27876.07966,27925.90781,28350.6432,29592.21471,30833.69212,31624.2908,32332.10726,32860.03476,34355.58417,37285.77335,39336.79524,39759.36263,40462.40324,43514.94072,44223.42978,41580.30169,42108.26068,42006.57456,40870.94386,42906.11095,43821.94857,44900.32535,44418.57836,43766.213,41873.28701,41848.2731,43107.30662,43153.55311,44759.87078,45849.53008,47881.1309,49668.2555,51348.35811,56042.17391,59314.22778,58134.33624,59963.42534,61227.96747,62143.33633,65430.60131,67138.52171,67554.23287,64094.35952,63036.36061,
Bhutan,,,,,,,,,,,,,,,,,,,,,244.5579778,271.0090709,273.378046,297.0730854,302.5674215,306.572351,331.7231043,412.490149,419.6240553,440.8385742,484.1100235,484.5238057,515.5275949,538.0391788,575.9842314,622.4777146,654.6642921,679.7980266,703.6368221,739.4712447,768.7509995,808.0703715,868.2213187,907.2096718,933.830005,974.7109253,1017.718731,1175.926387,1208.403311,1267.476339,1392.68625,1445.760002
Bolivia,894.7569722,893.3265411,922.3160646,959.8083684,983.4093689,1015.387112,1056.898378,1104.197533,947.5543564,954.1823888,927.0982228,950.8161381,1001.882651,1033.808585,1038.564964,1087.833428,1110.981636,1138.685796,1134.997316,1110.593247,1071.001324,1050.716165,987.9825055,928.2277924,906.9457718,872.8099104,832.053422,834.0204578,839.410684,851.8226269,871.2260773,896.1970646,890.0104186,906.681968,927.4283664,949.1547026,968.9310379,995.2108349,1023.377496,1006.586485,1010.907367,1007.37931,1012.126212,1019.610271,1042.414432,1069.018333,1101.038461,1132.21388,1182.464638,1202.780485,1232.688733,1276.128614
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.8698649,486.8176206,927.2328458,1223.910284,1368.223853,1449.127435,1490.642834,1533.532648,1603.043554,1664.153332,1766.301257,1854.791431,1969.482738,2105.578028,2222.564552,2161.599826,2183.25835,2225.290153
Botswana,237.5222245,246.6840088,256.7120525,265.0096909,275.6701492,283.7750518,293.3059905,301.6646926,323.5715454,361.0907543,409.659702,499.0292165,610.1757486,715.5730996,751.6763231,785.8981006,837.1544895,901.860147,991.4533824,1069.781058,1153.968083,1213.88156,1314.693598,1437.677432,1509.20752,1564.307997,1638.161391,1775.485706,2055.763766,2254.251209,2335.83437,2437.414831,2437.701909,2416.589463,2438.874824,2483.293334,2559.717672,2757.478268,2986.009108,3078.101681,3204.115483,3268.358809,3516.207918,3691.882799,3865.861638,3880.266895,4025.39536,4160.662597,4223.234151,3965.188966,4189.686702,4377.555741
Brazil,1447.843809,1549.414547,1581.625423,1548.134715,1555.615761,1558.148565,1578.920249,1613.136923,1751.715524,1874.410695,1988.921524,2160.353035,2363.511202,2630.91785,2802.016266,2879.313472,3087.582868,3154.720552,3181.061433,3317.535959,3536.04587,3302.639357,3245.573152,3064.153633,3154.965632,3333.999635,3527.761242,3584.074016,3513.999487,3564.636189,3352.965403,3347.811473,3279.686396,3380.128392,3506.544107,3606.005917,3627.626996,3693.27582,3639.181673,3594.86982,3696.146772,3692.840177,3739.919389,3733.992419,3899.255355,3976.619168,4090.555803,4297.823854,4478.809189,4424.758692,4716.614125,4803.398244
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,23642.85481,22733.5473,26208.78718,27930.6728,28704.04441,33931.08658,30504.46158,23693.67508,23908.37276,23352.96949,22844.52382,21882.63169,20698.96047,20530.50365,20180.5187,19409.33142,19075.01748,19126.47888,19478.09789,18997.87973,19065.31927,19395.52004,19445.25163,18685.23843,18135.12818,18253.77631,18350.13062,18441.34689,18749.57707,18896.52592,18609.15264,18311.88135,18745.80477,18416.90501,17722.65838,17092.46,17225.31562,17301.33869
Bulgaria,,,,,,,,,,,,,,,,,,,,,1294.032345,1352.925621,1380.421049,1424.215199,1469.146444,1508.59234,1572.484867,1665.239656,1845.420097,1805.712365,1670.9483,1545.057904,1448.163248,1438.153348,1469.280142,1518.050678,1388.110343,1373.605637,1450.025425,1486.818473,1579.34824,1676.43678,1789.094653,1898.329992,2036.554227,2178.445294,2332.363131,2494.352654,2661.640139,2527.938377,2555.177101,2618.876037
Burkina Faso,122.207837,125.2266781,130.8849269,127.2294692,128.0496273,130.6400026,129.0297617,137.8409563,139.3893316,139.4757816,136.9204136,136.1258478,136.4992068,134.3381165,142.465397,143.6351636,152.5233087,149.7079159,153.0765216,155.037476,152.6101667,155.3058983,166.0239938,162.4890534,155.6079769,164.5876723,173.1336221,168.2577106,173.3623974,172.4278113,166.8412774,177.1102681,172.745855,173.8908427,171.3942466,176.2585051,190.3320226,196.8145029,205.3897943,214.4962792,212.3753864,220.1479407,223.9952322,235.1460232,239.0119506,252.2147193,261.4805054,263.0149271,270.1248597,269.9706467,282.6969373,285.8030263
