Income per person (fixed 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,,,,,3846.251393,4663.382473,5425.751162,5826.082044,6353.595732,6646.53721,6701.625415,7021.595483,7352.666801,7893.657975,8179.032376,8385.2591,8880.599082,9546.713846,10159.56615,10681.7648,10485.78175,11170.27639,10980.08812,11389.88722,11867.54711,11895.83673,12003.84645,12455.57132,12913.9544,13421.65542,13812.27004,13926.5451,13952.06534,14206.95908,14411.32418,14719.25766,15248.86529,15620.66611,15227.17046,15328.33481,15378.16704
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5401.379315,4785.471991,4756.379743,4754.384963,4890.937397,5198.401456,5440.709116,5400.15979,5392.510049,5488.682281,5724.837473,5922.821761,6068.859779,6295.884991,6588.895792,7020.190408,7488.669018,7868.316268,8041.974534,7633.493478,7799.509506,7926.938194
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,11390.66975,12032.9604,12616.25178,12596.99811,13655.16097,14166.36717,14438.2478,14815.00155,15310.39116,16188.61838,16392.96976,16768.1407,17368.57872,17912.89592,17684.20628,17417.91937,18432.89087,18739.19748,19105.99455,19811.98194,19691.43009,19522.33061,20262.27005,20813.88373,21692.26082,22556.1085,23640.82914,23679.3603,23634.09096,23755.23628,24097.90792,24348.01403,24747.03263,24642.62019,25916.55271,26572.14846,27171.14342,27923.91653,28423.78832,29055.2665,29980.15547,30083.47866,30127.21553,30160.70124,30773.70579,31439.4391,32400.06061,32767.40349,32320.10054,30326.03845,30667.82486,30860.12808
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.826537,1086.232453,1062.658979,977.3447392,952.8924647,900.1044564,839.0920436,806.1617515,779.8060611,771.4543296,753.1196451,750.4212505,754.2943932,764.0967613,779.2439036,789.3938915,811.9017619,837.2779296,869.0854807,895.3183396,,
Dominica,,,,,,,,,,,,,,,,,,2202.690711,2434.543656,1967.438669,2236.367657,2504.55691,2615.322868,2700.774615,2867.856057,2927.376796,3160.968401,3429.487909,3755.453726,3772.615377,3988.442162,4017.446672,4092.765593,4148.759173,4198.17366,4280.235919,4404.419735,4491.408137,4743.584511,4679.638346,4657.019077,4669.032161,4579.138038,4924.820001,5082.322325,5052.62409,5290.613602,5596.624041,6071.023247,6451.44155,6529.529633,6518.659877
Dominican Republic,912.469538,862.0671954,976.1887011,1006.282338,1040.433898,882.376353,970.8211926,973.3613109,947.3642212,1020.714367,1173.235604,1265.428417,1359.811412,1495.254444,1544.7331,1584.624295,1650.246381,1691.38331,1687.350003,1723.218943,1818.071861,1852.916846,1842.044397,1884.421522,1866.136176,1787.020966,1810.591866,1952.025796,1952.993597,1997.492156,1850.695013,1831.221317,1984.325734,2087.090711,2095.655843,2171.301126,2286.158872,2428.195275,2556.581423,2685.208326,2792.917696,2799.689955,2916.783354,2865.84728,2860.651967,3080.315496,3360.408656,3594.073251,3730.909852,3807.809787,4049.039107,4176.344375
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,820.3111139,809.1023901,821.4686779,828.3676654,866.8567408,868.0489096,841.74306,874.104975,868.1510179,888.625552,928.38972,959.7221622,974.8998795,1099.971893,1157.883922,1218.663667,1274.635287,1267.456077,1315.911457,1346.169969,1367.517295,1375.31471,1331.018709,1263.228995,1277.740533,1281.525853,1300.342865,1241.260481,1312.864388,1294.739605,1299.211204,1336.352827,1327.249289,1303.469895,1337.833423,1336.079949,1344.586764,1376.516189,1383.787635,1276.486467,1291.341613,1337.822903,1382.484605,1403.492992,1501.796897,1562.326863,1610.967343,1618.868002,1710.53306,1692.067197,1728.052156,1837.008584
Egypt,430.3645317,437.6067814,455.5296802,484.0453141,510.1450158,543.1555139,535.1545222,525.1453069,526.2595801,548.6990767,565.9760672,572.2625856,571.0375231,562.6074104,564.1245673,601.1673142,673.9667707,743.659362,769.0496151,796.9975534,856.6007895,868.0588617,931.6261342,976.887535,1011.738562,1052.846372,1054.88802,1055.697719,1085.777682,1114.513204,1153.684513,1143.81312,1173.21007,1186.805731,1213.50565,1248.732698,1289.080933,1337.008939,1367.342647,1425.764651,1475.84441,1500.522743,1507.929351,1527.274258,1560.38394,1600.321838,1678.954796,1765.869427,1858.858447,1911.964501,1975.550031,1976.61483
El Salvador,1448.829523,1454.729423,1577.796759,1593.710424,1687.875405,1724.391115,1793.604789,1837.394948,1844.499171,1857.145497,1861.494075,1882.638983,1946.632419,1990.629,2047.066605,2059.498059,2117.436716,2215.468043,2289.138261,2154.459307,1869.277719,1648.011288,1521.744682,1523.92489,1523.853512,1513.302416,1496.867323,1515.347176,1524.364234,1518.811516,1570.04653,1602.018937,1696.185962,1793.288017,1875.000075,1970.700359,1984.250943,2051.604252,2114.407971,2175.120985,2211.022459,2239.118645,2283.020652,2327.644216,2362.747667,2438.143651,2523.523599,2609.089915,2629.937905,2534.805972,2555.887676,2579.115607
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,621.4767347,578.3469067,581.489195,578.4813335,554.6061434,554.9828593,530.7192011,567.9302882,583.4253709,592.8171351,655.139626,818.6899996,1356.516143,1601.039009,2192.891309,2388.348625,3779.940087,4375.25886,4832.688038,6467.832441,6888.767026,6774.478148,7994.386395,8603.111686,8750.177368,8465.569062,8875.138212
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.9203565,153.2409588,185.4388967,189.1695919,203.4849296,214.8283381,212.6984812,206.0193609,172.7571562,201.4993284,199.1203198,185.8124989,180.973696,178.6738179,170.8777406,167.7992226,146.8084041,147.9979997,146.7766347,154.8096612
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2857.309844,3070.57377,3470.31618,3742.410235,3760.748393,4143.927189,4421.712604,4730.724591,5117.241624,5459.038691,5956.419264,6570.330139,7072.435864,6783.903384,5831.010546,6025.713393,6525.541272
Ethiopia,,,,,,,,,,,,,,,,,,,,,,140.6684857,138.0133541,144.7947735,136.1884244,117.1536725,124.4127561,137.1780919,133.4868899,128.716647,127.8881274,114.8041785,101.3381627,110.8595871,110.7151708,113.8715341,124.2481159,124.5247598,116.9460052,119.7201104,123.6809168,130.5134412,129.157133,123.2536677,136.6187298,149.1918697,161.5928951,176.1074039,190.8632151,203.2099043,218.6586392,229.6769525
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23224.09863,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,1111.127298,1111.307361,1111.981625,1143.006627,1160.836672,1096.771451,1068.107304,1181.964972,1247.457107,1252.78439,1382.425191,1446.874725,1523.047912,1665.25019,1674.483756,1650.642614,1664.258252,1730.898079,1731.06766,1904.582607,1833.577106,1902.596845,1742.666086,1631.653204,1730.791377,1624.800944,1734.075224,1612.404878,1625.302029,1742.222474,1833.184364,1767.017449,1851.800992,1864.729274,1932.331798,1955.293857,2025.48405,1959.814597,1966.646406,2123.15951,2074.747318,2108.289279,2171.607378,2190.631908,2301.770481,2308.158256,2335.321253,2295.4383,2296.09836,2243.819037,2218.146955,2242.689259
Finland,7306.041153,7806.356307,7984.657276,8188.86268,8570.042186,8994.464023,9173.440093,9321.777268,9493.764637,10410.56839,11007.46695,11252.69389,12051.20233,12819.82547,13165.63493,13343.90089,13349.55224,13344.14487,13694.37881,14632.23762,15372.87969,15504.38506,15887.87324,16271.03092,16687.27239,17166.60394,17562.96619,18124.43227,19015.40367,19908.95772,19921.02316,18623.78039,17874.02535,17643.54519,18209.5322,18858.96271,19468.15567,20614.91289,21594.65366,22386.62957,23529.53846,24012.15877,24393.37625,24825.00902,25774.06477,26435.02344,27495.24136,28839.22241,28789.54385,26205.68832,26953.22055,27570.4852
France,7499.89477,7809.490515,8215.264936,8534.028484,8970.918377,9289.066363,9674.399361,10039.63302,10386.01969,11029.2372,11572.96622,12093.53183,12540.90377,13265.17128,13787.34561,13546.39505,14065.37599,14502.01334,15005.48142,15459.34685,15641.97106,15716.90473,16011.14006,16117.64077,16265.1401,16432.99036,16708.21534,17009.83132,17704.04983,18346.29154,18731.66202,18836.73334,19029.93463,18822.69755,19166.19677,19478.17581,19606.05309,19952.90591,20539.07007,21146.39522,21774.99299,22014.02474,22057.63515,22098.99175,22495.24481,22734.23332,23133.35113,23516.22317,23366.40262,22508.76261,22758.15413,23016.84778
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,8675.781816,9178.656818,8434.022011,9348.35593,8779.498507,8621.101347,9342.465124,8624.453079,9012.611336,10312.11243,9508.80002,9976.660122,9876.988468,10528.88795,10616.85167,10354.35076,10907.3037,11649.57828,11933.70736,12236.91491,12563.194,13280.73025,13886.10086,13895.81956,13998.87896,14003.26486,14388.88115,14231.76756,13970.47762,13810.09188,13608.05196,13377.72367,13359.16224,13908.59784,14194.82261,14507.54146,,,,,,,,,,,
Gabon,1826.706515,2085.026645,2226.70799,2346.713944,2436.360342,2619.837439,2716.908529,2805.372572,2847.887683,3040.434834,3253.236424,3519.175744,3832.348113,4120.788926,5602.709201,6506.099549,8594.751908,7315.264764,5406.896618,5283.284365,5265.343122,5373.963444,5054.612033,5179.043572,5400.012659,5113.415634,4917.137281,3949.078687,4318.828219,4541.664387,4626.781529,4753.106746,4459.123397,4489.095839,4513.865843,4600.584294,4635.670938,4772.778502,4814.998402,4279.795895,4102.624602,4097.561424,3999.953933,4015.10733,3988.362889,4029.265266,3999.642216,4143.33458,4161.431603,4027.567353,4213.881563,4333.811037
Gambia,,,,,,,495.2517729,485.1899096,519.8855338,519.6168997,536.9515279,520.9586923,505.7759209,534.5068126,547.5578856,596.0636532,620.5091004,622.7936555,642.2772092,613.8496131,630.4766662,628.4387031,600.7492097,640.4174054,635.8501573,603.2702571,599.0815788,584.642583,582.1885759,589.4634565,586.2970526,583.3210365,584.0733272,584.2727859,568.9004705,558.0128043,554.6001903,565.7326917,569.3354283,588.8347706,603.5953462,620.1534733,582.399702,604.0681646,627.7599801,603.9892861,593.5751773,598.0822683,615.0835921,636.9905143,660.243831,614.9120868
Georgia,,,,,,859.8166417,914.0967652,961.7478022,995.5354024,1033.389111,1190.765568,1207.528413,1183.937088,1249.634668,1347.9503,1436.798826,1513.455728,1606.841923,1716.167564,1829.137314,1896.787901,1980.387495,2002.995027,2070.881617,2164.703664,2251.8476,2049.468533,2058.677306,2151.63853,1991.585726,1697.52496,1329.958271,727.1532628,510.1613521,461.7587586,486.5342976,554.8445214,624.6432407,650.3959551,674.2867265,691.9977052,730.5256957,775.7127408,867.0840037,920.1250498,998.5338479,1083.08988,1219.448319,1249.004619,1194.460879,1257.179877,1334.646773
Germany,,,,,,,,,,,11895.36571,12245.52367,12711.15676,13276.5512,13389.50283,13323.03275,14042.50478,14545.42826,14996.07205,15611.56053,15798.69536,15858.13677,15810.55319,16101.31467,16613.1734,17037.9529,17419.69421,17636.83063,18219.35112,18783.45503,19600.84319,20452.54296,20685.68998,20344.21755,20774.89183,21061.29653,21166.48499,21502.72144,21899.7529,22295.09966,22945.70885,23254.03991,23217.33203,23117.36188,23390.86265,23564.38517,24463.84647,25297.38539,25620.07539,24368.19561,25420.27572,26206.54827
Ghana,282.1084448,282.7155827,285.2639975,288.9737213,287.166739,283.7498731,265.5851393,268.2539825,264.0484527,274.1859812,293.9963513,301.3660271,285.6461311,285.5432776,297.0348396,254.067206,240.3416727,241.7066401,257.9161617,246.6444817,241.9462395,226.7589089,204.1828801,188.1486653,197.4867748,200.9364455,205.1677706,209.0656817,214.965181,219.9076008,221.0716696,226.2823318,228.4587968,232.8512761,234.0064503,237.2935875,242.0582959,246.197848,251.7652913,256.7399526,259.9906944,263.9615458,269.2285553,276.4051992,284.8491549,294.4080169,305.7511071,317.7363633,336.3518402,341.5522907,360.3240584,402.6953275
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,3385.660177,3733.425554,3768.161489,4134.740524,4459.999589,4856.142572,5114.437182,5351.024542,5670.613211,6209.257195,6687.942869,7181.133651,7859.491655,8457.018022,7883.455788,8307.03835,8739.426525,8880.15771,9401.003119,9589.254221,9559.824869,9327.285855,9164.967532,9013.52541,9149.059235,9342.314356,9359.666587,9117.707644,9474.189704,9783.022671,9718.099838,9922.266946,9882.290356,9635.28819,9746.499079,9875.024813,10037.32849,10337.45326,10627.60307,10942.8272,11396.23262,11839.32069,12204.5999,12887.77317,13404.22954,13657.70934,14352.83954,14801.55423,14711.61049,14192.63181,13452.02377,12509.01415
Greenland,,,,,,,,,,,9242.246336,10272.25482,10658.40503,11221.19102,11741.68746,11793.74113,12471.41091,13654.09712,14534.46952,15118.02102,16233.29089,16084.95391,15224.79077,15569.74967,14595.2134,14986.68235,15960.33365,16653.91254,17362.47976,18351.30287,16113.20256,16123.91966,15355.04674,14609.42377,15391.29173,15879.34929,16093.40442,16300.64434,17533.93458,17775.53203,19004.00345,19193.94163,18920.57019,18796.94306,19248.84588,19621.61859,20556.63474,21773.92503,21937.29475,20751.89342,,
Grenada,,,,,,,,,,,,,,,,,,2012.464493,2148.198798,2290.28826,2269.108219,2248.799843,2295.865509,2291.884601,2341.579312,2493.671521,2692.968414,3016.319586,3161.691897,3395.009715,3593.243143,3669.368601,3630.425569,3495.042111,3551.461426,3609.494877,3735.657858,3894.988275,4142.415163,5036.583122,5154.117875,5035.7731,5208.035297,5696.619859,5623.718766,6366.454996,6102.639132,6443.53633,6487.66739,6036.875769,6011.845618,6047.200797
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,959.1565444,973.5530309,980.9607828,1045.780232,1064.99125,1081.822053,1111.158861,1126.266809,1192.632451,1216.018158,1251.193519,1285.644381,1342.824296,1395.616548,1445.682878,1436.25422,1504.15297,1582.460712,1621.992155,1658.01772,1679.022441,1648.771399,1551.586192,1474.67823,1446.19155,1403.337838,1372.783244,1389.066041,1410.617694,1433.244704,1444.309237,1463.048748,1498.704836,1521.825661,1547.027574,1586.721932,1596.86309,1629.173165,1671.980828,1696.565649,1716.685342,1714.683402,1737.560382,1737.621098,1748.149672,1760.799855,1810.295335,1877.751467,1892.332607,1855.822851,1862.66726,1886.423623
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,339.6020561,342.3719285,354.0356997,355.4204854,354.5049157,344.3714559,334.5915453,330.7490435,325.9482525,326.7392477,330.8007569,340.2514058,346.9780635,355.2354859,358.9629091,366.4798648,379.4682217,378.0978646,380.6180765,385.4301951,388.163132,387.7516347,398.9990312,389.6428983,388.4181539,394.1156638
Guinea-Bissau,,,,,,,,,,,172.5589253,162.8575584,169.0956258,166.0063893,167.8847971,174.6768389,176.4221459,157.3506362,171.1494948,168.4145375,137.2418724,158.0966179,161.3211743,153.0585535,164.1558701,167.9703585,163.5357623,165.0597631,169.2740587,176.046061,183.0783661,188.5693961,186.7891552,186.8423211,188.9340929,193.3230782,211.5166878,220.8949355,155.7675496,164.699961,173.6626946,170.680751,155.5288275,151.579804,151.9337031,154.1061313,154.2631682,155.9948009,157.7455097,159.1472285,161.2932891,166.3466549
Guyana,688.8561746,701.5252493,690.4629857,589.8598491,639.7331052,688.6691973,705.4998918,716.5029351,705.8345262,738.8810798,757.0044764,770.8807193,739.2007646,744.2074858,797.2820497,859.2628178,865.1153194,834.2158945,811.6026826,791.3793797,802.9163825,816.2606099,712.3309465,669.226611,641.3840391,662.7719723,662.6400873,674.4169178,654.6327457,626.2465195,609.9144221,647.7405117,698.3067679,754.3156546,816.757138,855.8023537,921.988811,978.3899643,960.7321921,987.8610185,972.1278856,990.9916926,997.7651037,983.8503328,1012.40708,989.2804709,1037.127543,1107.351968,1126.971645,1162.152681,1210.569558,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.4382408,476.3930015,441.6021099,381.2005048,410.800483,419.5746005,422.7552785,424.0260576,427.6110467,423.8688942,412.4570771,404.7800182,399.9735878,380.1802308,381.4180505,384.5855208,392.0942297,390.2099781,396.2336071,369.9354744,385.5793827
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,751.1958003,740.4833939,757.5058707,759.0883892,775.0718447,819.9772274,839.8600817,866.3601398,899.6228019,882.0558597,889.8391723,900.2990729,925.8773323,970.5612798,930.9701246,922.7347217,988.8465716,1057.960724,1127.670013,1143.610715,1115.742058,1109.06402,1060.542573,1019.204931,1031.765481,1043.066727,1019.630039,1049.573531,1066.315103,1080.878053,1051.785919,1056.27818,1085.763354,1123.305263,1080.770615,1097.567524,1110.825551,1140.514876,1148.533494,1103.304536,1142.709658,1149.949244,1169.130507,1197.914769,1247.323449,1296.624177,1354.497039,1409.979046,1440.680055,1382.131613,1392.315832,1414.072488
"Hong Kong, China",,,,,,5488.825769,5538.075288,5486.45405,5553.639911,6085.690328,6486.338454,6810.928135,7390.650148,8067.342821,8085.662346,7893.431483,9054.88509,9971.623308,10601.539,11197.68583,12004.70252,12812.02973,12986.75898,13555.44286,14761.60321,14714.44717,16138.98215,18085.62401,19495.63699,19734.06034,20424.27245,21410.58959,22555.35372,23546.10108,24411.37474,24500.83898,24435.19094,25468.41275,23770.93183,24135.1651,25756.66378,25710.93403,26021.38854,26869.67462,28980.43778,30985.89814,32952.71213,34734.54725,35210.31049,34216.93042,36207.70622,37958.23146
Hungary,1050.369965,1094.764186,1157.802986,1220.617782,1273.959831,1809.227744,1937.246514,2074.804117,2168.148235,2308.093923,2407.414043,2549.367584,2696.8277,2873.632814,3029.624936,3198.595902,3295.563753,3529.59064,3672.204454,3764.543507,3769.618011,3877.420533,3989.93294,4024.821175,4140.078767,4137.117969,4207.792111,4385.612264,4389.472796,4470.213772,4358.704324,3840.58311,3724.358018,3707.126709,3821.609021,3883.936315,3896.872814,4026.839407,4200.633731,4347.253839,4542.72072,4722.17501,4949.033726,5154.335096,5413.572662,5639.394595,5868.3017,5884.140962,5947.158309,5551.426337,5633.99099,5745.981529
Iceland,10109.90857,9906.407934,10532.9637,11411.19546,12321.77975,13002.84732,13901.35006,13505.51266,12592.68463,12772.47105,13653.09117,15311.96879,16021.59528,16855.72945,17578.13238,17466.89433,18324.9638,19793.74323,20821.52042,21620.97236,22622.9028,23320.26153,23506.41371,22698.21981,23385.39562,23965.92239,25282.8164,27144.43317,26698.62716,26438.18194,26540.14492,26175.6408,24976.65735,25048.7155,25728.69306,25619.3342,26700.68499,27783.99974,29224.42406,30055.27261,30928.67564,31717.14596,31478.9822,32022.78398,34230.18336,36128.59244,36952.19207,38185.33368,37927.11904,35310.97441,33943.11853,34706.19047
India,180.9617325,183.9582104,185.538685,192.6580747,202.7516446,193.2870608,189.098343,199.538561,201.8329124,210.3124294,216.2357161,214.8322477,208.773044,210.6915649,208.2487865,222.0089305,220.4232043,230.8738185,238.3482577,220.5985478,230.0085355,238.2305665,240.9096787,252.6516943,256.45344,263.9605205,270.5132774,275.1513877,295.1969968,306.1717288,316.4285779,313.2745132,323.8575014,332.6056849,347.951035,367.2771625,387.7415214,396.1844388,413.2870519,440.5693093,450.4151061,464.9742607,475.4570581,505.2489363,536.60488,577.6567293,621.8994139,673.004691,689.2731963,735.6318542,794.801256,837.7464011
Indonesia,200.6481494,207.7479244,206.5496525,196.9290848,198.6687944,195.5284399,196.032651,193.2230674,210.9932763,221.034814,233.0297053,243.0840361,255.712018,273.7744487,289.129702,299.5848317,309.9524087,328.8088491,350.7537988,367.0258703,390.0096519,412.341375,407.6896902,432.5769957,453.8597054,460.1105832,478.0198529,493.8647534,515.6944955,552.6368974,592.0960703,634.2710005,669.1430377,706.5088043,748.3235143,799.3099303,848.2471059,875.959217,750.8111959,746.7927777,773.3109699,791.0764547,816.0164079,844.1834857,875.7291576,914.5999046,953.9355312,1003.364434,1052.433389,1089.724014,1145.385435,1206.991065
Iran,,,,,,965.0594898,1037.552962,1117.218268,1223.336951,1344.657121,1438.306404,1583.05701,1793.574657,1843.467974,1962.05068,2016.289608,2303.844563,2204.420456,1974.666605,1772.981578,1485.014069,1357.303007,1477.011852,1601.644393,1518.006965,1492.492742,1306.176116,1241.647502,1123.954753,1157.056915,1281.082811,1411.532496,1445.852456,1401.63214,1376.09847,1390.18136,1462.978412,1484.666023,1496.909816,1498.670515,1550.090608,1583.437971,1679.664398,1776.728493,1844.520572,1906.590054,1994.647193,2125.030252,2148.230421,2161.54651,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.2384415,945.9076309,1145.356427,1063.481473,968.4337599,870.5504153,498.2245661,711.632637,688.9666732,710.2087191,699.7055596,743.6913386,752.1833548,736.2721224,786.3271857
Ireland,,,,,,,,,,,7377.495448,7544.702546,7915.815676,8157.661609,8365.453951,8694.42071,8683.648429,9270.290792,9796.536796,9963.951081,10153.25351,10368.73585,10505.70907,10406.00913,10792.0388,11107.24557,11054.6457,11568.93441,12224.70535,12986.79835,14074.44359,14263.78695,14640.43757,14959.68558,15758.49856,17188.38855,18664.80744,20495.91046,21865.41711,23764.16285,25629.6501,26433.75372,27518.57409,28200.07667,28937.33143,29825.53296,30669.37259,31543.60253,30130.64042,27814.12448,27599.29658,27715.52837
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,8217.082111,8220.905347,9674.76228,10436.36643,11421.01685,11963.03467,12278.15208,12360.94567,12398.50938,12685.09339,13148.81622,13624.51345,14529.84389,15579.28241,17438.75745,19559.68807,20359.46252,21239.97037,22294.27994,23526.41327,24572.13434,25831.91622,27612.48388,29462.26492,,,,
Israel,5824.524407,6266.688146,6578.003328,7018.341616,7281.567132,7671.003555,7472.469875,7371.037776,8390.943579,9284.130405,9637.613753,10387.552,11510.28914,11423.28869,11846.87948,11963.66968,11853.48997,11590.1034,11895.4078,12322.42677,12856.71785,13252.0195,13240.70242,13458.49244,13403.80135,13623.54055,14057.12776,14826.0989,14877.61551,14754.48205,15282.68784,15498.20512,15814.39991,16255.31103,16937.80936,17568.40398,18054.29086,18202.49628,18523.47738,18663.73882,19859.30215,19353.34454,18858.29173,18800.92652,19366.33583,19967.98088,20715.56805,21469.53451,21941.10572,21602.21001,22239.05126,22859.67589
Italy,5847.458177,6285.223388,6630.123624,6951.15769,7087.089853,7257.325021,7632.105135,8120.993184,8597.987401,9070.806162,9502.123866,9629.859059,9928.720744,10564.33818,11072.69559,10776.70208,11487.13673,11731.33344,12068.36719,12750.61902,13160.82813,13256.0115,13300.9792,13451.61161,13882.43755,14266.75637,14673.98195,15140.82445,15768.26659,16290.33214,16599.92009,16843.63607,16972.62591,16817.59766,17175.84873,17671.40672,17866.89937,18190.67114,18448.79289,18713.35397,19388.27875,19737.24069,19763.83911,19601.25524,19744.88756,19781.95853,20102.23023,20291.22664,19903.45694,18697.21979,18944.41381,18937.24998
Jamaica,,,,,,,2761.258532,2778.83718,2906.531183,3033.249688,3355.427587,3389.612267,3938.668958,3663.773976,3456.217813,3400.875174,3134.723764,3021.14993,2989.179984,2923.993915,2719.611392,2753.569651,2762.259266,2763.863805,2674.566619,2560.793155,2581.413357,2766.534264,2869.404564,3051.28021,3159.362567,3290.136252,3330.939118,3617.771633,3639.523045,3695.012631,3646.808236,3570.86642,3456.523829,3468.980691,3479.056754,3505.002051,,,,,,,,,,
Japan,7774.710215,8486.966472,9157.323309,9832.730383,10867.04914,11376.55711,12472.45608,13726.06266,15442.80396,17014.33887,16650.83844,17210.26629,18398.72118,19712.75463,19103.05411,19380.83543,20002.7279,20680.65741,21574.81726,22567.07906,23021.72563,23806.76747,24444.20174,25021.26962,25972.89455,27449.51885,28055.1738,29064.22236,31008.77531,32540.50169,34236.71426,35265.24153,35465.92544,35439.01601,35623.48851,36177.03484,37026.22945,37518.58086,36674.24535,36531.78124,37291.70616,37342.14473,37363.28744,37911.68993,38793.6216,39295.3062,39965.85551,40837.26664,40433.00131,38242.02429,39971.78745,39578.07441
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,1118.724641,1341.560226,1377.250707,1605.119331,1686.25907,1931.681341,1945.674956,2007.454797,1967.261136,2057.323839,2053.809713,2117.769951,2100.99395,1990.73395,1662.048979,1617.880332,1473.123449,1660.043442,1660.018529,1676.305198,1723.089546,1706.167718,1709.60361,1708.133111,1734.700478,1764.229892,1811.871989,1870.859069,1901.469356,2015.048627,2129.780417,2250.274213,2380.50934,2497.539317,2577.480413,2579.382449,2588.668961
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.712548,1425.486538,1350.872287,1234.754798,1094.947091,1022.929651,1043.733143,1078.38076,1076.31023,1115.949686,1229.000958,1397.290433,1534.161602,1671.207074,1818.958816,1977.739368,2166.323302,2332.29493,2380.085304,2345.86415,2481.675284,2629.911409
Kenya,261.1191796,233.445243,247.6010858,260.8877882,265.1565152,261.817474,290.6612808,290.609508,303.417313,316.5516113,291.4949966,343.7579535,388.3013099,396.5401823,397.8140903,386.7765217,380.7139978,401.4629116,413.4326729,428.4491671,435.5557894,435.0780555,425.0937584,414.5926945,406.2731223,408.2825798,421.8652297,431.1219088,441.979377,446.9613736,450.1718213,441.7092364,424.1409301,412.3969705,410.6019064,416.4573819,421.9441966,412.9163069,415.7071678,414.6000627,406.5230596,411.0713321,402.6288259,403.6788859,413.3182833,426.5174886,442.0213127,461.0193747,456.2504868,456.7715432,470.5770914,478.2194906
Kiribati,,,,,,,,,,,1217.664029,1169.535165,1289.63145,1534.598822,2194.078676,2272.756177,1641.069431,1539.297057,1526.750056,1323.248844,720.269957,680.6106816,710.6261229,756.8216992,730.5850252,681.4662383,676.9842413,642.1526022,743.2378595,665.4672616,670.2638547,629.7709496,640.1912383,653.954267,677.3191611,661.54344,691.4175765,718.1945537,783.5762528,771.0643573,812.2820768,773.1388605,805.9539156,826.7867616,819.3379681,785.373675,769.2194408,773.0187997,743.1437139,714.6150579,713.5624963,715.2906089
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,1153.709962,1180.010131,1176.478292,1255.237129,1316.348846,1351.030613,1486.771804,1541.54643,1683.820958,1879.800029,1993.648299,2113.436576,2163.408605,2375.961549,2497.228577,2595.125258,2824.027308,3058.249262,3292.159773,3462.549239,3358.22902,3510.047742,3709.397546,4048.953231,4323.28207,4572.112989,5011.198076,5515.285718,6044.028726,6390.012581,6895.467056,7473.611029,7841.154399,8247.876792,8872.010068,9548.014842,10119.29924,10491.08182,9701.67292,10546.81217,11346.66499,11710.57982,12478.06366,12764.27199,13303.82,13801.82945,14446.3586,15113.35278,15349.84987,15325.94024,16219.38807,16684.21278
