Municipal water withdrawal as % of total withdrawal (%),1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Rwanda,,,,,,,,,24,
Saint Helena,,,,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,
Saint Lucia,,,,,,,,,,
Saint-Pierre-et-Miquelon,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,
Samoa,,,,,,,,,,
San Marino,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Saudi Arabia,,,,,,,8.9,,,9
Senegal,,,,,,5,,,4.4,
Serbia,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,
Seychelles,,,,,,,83.19,,,65.04
Sierra Leone,,,,,,7,,,5,
Singapore,,,,45,,,,,,
Slovak Republic,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,,,,,,,,,,
Somalia,,,,,,2.9,,,,0.4
South Africa,,,,,,,17.1,,31.2,
Spain,,,,,,12,,,13,
Sri Lanka,,,,,,,1.9,,,
Sudan,,,,,,,4,,2,
Suriname,,,,,,6,,,4,
Swaziland,,,,,1.6,,,,2.3,
Sweden,,,,,,,36,,36,
Switzerland,,,,,,,,,24,
Syria,,,,,,,,8.1,8,8.5
Tajikistan,,,,,,4.2,4,3.4,3,
Thailand,,,,,,,,,2,
"Macedonia, FYR",,,,,,,,,,
Timor-Leste,,,,,,,,,,
Togo,,,,,,61.5,,,52.6,
Tokelau,,,,,,,,,,
Tonga,,,,,,,,,,
Trinidad and Tobago,,,,,,,,68.3,67,
Tunisia,,,,,,,8.4,,13.8,
Turkey,,,,,,,10,,10,10
Turkmenistan,,,,,,,0.7,1.4,1,
Turks and Caicos Islands,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,,,32,,,,,,43,
Ukraine,,,,,,,,,12,
United Arab Emirates,,,,,11,,,20,,15.4
United Kingdom,,,,,,,20,,21,
Tanzania,,,,,,,,,10.1,
Virgin Islands (U.S.),,,,,,,,,,
United States,,,,,,,26.4,,12,
Uruguay,,6,,,,,,,2,
Uzbekistan,,,,3.4,3,3,3.2,4.4,4,
Vanuatu,,,,,,,,,,
Venezuela,,,43,,,,,,45,
Vietnam,,,,,3,3,,,7,
Wallis et Futuna,,,,,,,,,,
Western Sahara,,,,,,,,,,
"Yemen, Rep.",,,,,,,6.8,,8,
Zambia,,,,,,,17.2,15,16,
Zimbabwe,,,,,,14,,,14,
