Under five mortality,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.58,468.58,468.58,468.58,468.58,468.58,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,469.98,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,471.38,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,472.81,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,474.24,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,475.67,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,477.1,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,478.53,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,479.96,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,481.39,482.81,482.77,482.69,482.57,482.38,482.11,481.77,481.36,480.87,480.3,481.08,480.36,479.57,478.69,477.75,476.74,475.68,474.58,473.45,472.32,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,462.57,461.43,460.28,459.14,458,456.85,455.71,454.57,453.42,453.64,452.5,451.35,450.2,449.06,447.91,446.76,445.62,444.47,443.32,443.5,442.35,441.2,440.05,438.9,437.75,436.6,435.45,431.7,,,,,,376.1,370.5,364.9,359.5,353.9,348.6,343.9,338.7,333.5,328.6,323.7,318.7,313.7,309,304.1,299,294,288.8,283.6,278,272.7,267,260.9,255,248.7,242.1,235.1,227.5,219.6,211.3,203.3,195,186.9,179.1,171.5,164.6,158.4,153.3,149.1,145.7,143,140.6,138.2,135.6,132.7,129.4,125.9,122.4,119,115.8,112.9,110.2,107.7,105.2,102.6,100,97.3
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,358.91,358.03,357.15,356.27,355.39,354.51,353.63,352.75,351.87,340.97,330.3,319.85,309.61,299.59,289.77,280.14,270.71,261.46,253.31,244.39,235.64,227.07,218.67,210.44,202.37,194.46,186.7,179.09,171.6,164.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,83.1,77.3,72,66.9,62.2,57.9,53.9,50.5,47.4,44.7,42.5,40.5,38.8,37.3,35.9,34.5,33.1,31.7,30.3,28.8,27.5,26.1,24.8,23.6,22.5,21.4,20.4,19.5,18.7,17.9,17.2,16.5,15.9,15.4,14.9
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.55,443.47,442.39,441.31,440.23,439.15,438.07,433.04,429.39,425.75,420.84,417.23,412.44,408.92,405.4,400.66,397.23,392.61,388.01,382.27,377.78,373.31,368.89,364.52,360.18,359.25,358.32,357.39,,,,,,,,,,248.9,248.5,248,247.2,246.8,246.5,246.6,246.8,247.2,248.1,248.8,250,250.8,251,250.1,248,244.7,240,233.8,226.4,217.7,208.1,197.7,186.7,175,162.2,148,132.4,115.5,98.6,83.5,71.3,62.1,55.7,51.4,48.8,47.1,45.9,45.1,44.3,43.5,42.7,41.9,41.2,40.7,40.2,39.6,38.8,37.8,36.5,35.1,33.6,32.1,30.7,29.5,28.4,27.4,26.6,25.8,25.2
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.9,7.4,6.9,6.5,6,5.7,5.4,5.1,4.8,4.6,4.4,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.68,485.67,485.63,485.55,485.43,485.24,484.97,484.63,484.21,483.72,483.15,482.5,481.78,480.98,480.11,479.16,478.15,477.08,475.98,474.85,473.71,472.57,471.43,470.29,469.15,468.01,466.87,465.74,464.6,463.46,462.32,461.18,460.04,458.9,457.76,456.62,455.48,454.34,453.2,452.06,450.92,449.78,448.64,447.5,446.36,445.22,444.08,442.94,439.2,435.47,431.76,426.76,423.11,419.5,415.9,411.07,407.5,404.01,400.53,394.65,388.34,381.62,374.45,366.97,359.07,350.82,342.71,334.67,326.79,318.97,311.23,303.55,295.88,288.29,280.69,273.55,266.84,260.52,,,,,,,,,,232,231.1,230.2,229.1,228.3,227.6,227,226.6,226.2,226,225.9,225.8,225.9,225.5,225.2,224.7,223.8,222.4,220.8,218.9,216.7,214.5,212.1,209.8,207.1,204.5,200.9,196.8,192.3,187.7,182.4,177.5,172.6,167.4
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.12,137.63,133.77,129.8,125.73,121.56,117.97,113.65,109.27,105,101.42,97.33,93.88,90.52,87.2,84.46,81.24,78.05,75.54,72.68,70.43,68.32,65.87,63.99,62.14,60.31,58.48,56.67,55.31,53.55,51.8,,,,,,,,,,25.5,24.2,23,21.9,20.8,19.8,18.8,17.9,17,16.2,15.4,14.7,14.1,13.5,12.9,12.4,11.9,11.4,11,10.6,10.3,9.9,9.6,9.3
