Total 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5.800000191,5.900000095,5.199999809,4.599999905,5.099999905,7.300000191,8,8.300000191,7.300000191,6.400000095,6.400000095,6.400000095,6,5.400000095,5,5.300000191,5.099999905,4.800000191,4.199999809,3.900000095
Canada,5.900000095,8.899999619,9.899999619,9.699999809,9.199999809,8.300000191,7.699999809,6.900000095,6.800000191,7.300000191,9.199999809,10,10.19999981,9.300000191,8.5,8.600000381,7.800000191,7,6.400000095,5.699999809,6.199999809,6.5,6.400000095,6,5.699999809
Czech Rep.,,,,,,,,,,,,,3.400000095,3.400000095,3.299999952,3.200000048,4.099999905,5.5,7.5,7.699999809,7.199999809,6.5,7,7.300000191,7.400000095
Estonia,,,,,,,,,,,,,,,,,,,,12.89999962,11.80000019,10,9.399999619,8.899999619,7.5
Finland,3.799999952,4.199999809,4.199999809,3.700000048,3.799999952,4.199999809,4.300000191,3.799999952,2.099999905,2.099999905,5.199999809,9.600000381,14.10000038,14.10000038,13.10000038,12.19999981,10.69999981,9.399999619,8.5,8,7.400000095,7.300000191,7.300000191,7.199999809,6.800000191
France,5.199999809,5.699999809,6,7,7.699999809,8.199999809,8.699999809,8.5,8.199999809,7.800000191,8.300000191,9,10.39999962,11,10.5,11.10000038,11.10000038,10.69999981,10,8.800000191,8.100000381,8.300000191,8.899999619,9.100000381,9.100000381
Germany,,,,,,,,,,,5.400000095,6.5,7.599999905,8.100000381,7.699999809,8,8.899999619,8.399999619,7.800000191,7.300000191,7.599999905,8.199999809,9.5,10.39999962,10.39999962
"Hong Kong, China",,,,,2.200000048,1.799999952,1.100000024,0.8999999762,0.6999999881,0.8999999762,1.299999952,1.5,1.399999976,1.399999976,2.5,2.200000048,1.700000048,3.700000048,5,4,4.300000191,6.300000191,6.900000095,5.900000095,4.800000191
Ireland,,,12.5,14,15.60000038,15.5,15.39999962,15,14.39999962,12.39999962,13.60000038,13.89999962,14.30000019,13.39999962,11,11,9.5,7.300000191,5.300000191,4,3.299999952,3.700000048,4,3.900000095,3.700000048
Japan,1.799999952,1.899999976,2.200000048,2.200000048,2.099999905,2.200000048,2.299999952,2,1.799999952,1.600000024,1.600000024,1.700000048,2,2.299999952,2.599999905,2.700000048,2.799999952,3.400000095,4,4,4.400000095,4.900000095,4.699999809,4.400000095,4.199999809
"Korea, Rep.",,,,,,,,,,,,1.799999952,2.099999905,1.899999976,1.600000024,1.600000024,2.099999905,6.300000191,5.800000191,3.900000095,3.599999905,3,3.099999905,3.200000048,3.400000095
Latvia,,,,,,,,,,,,,,,,18,14.19999981,12.89999962,13.60000038,14.10000038,12.39999962,11.10000038,9.899999619,9.800000191,8.199999809
Lithuania,,,,,,,,,,,,,,,,,,12.80000019,14,15.60000038,16.5,13.19999981,11.19999981,10.39999962,7.800000191
Netherlands,,,,,,,8.300000191,8.199999809,7.5,6.699999809,6.300000191,5.099999905,5.5,6.300000191,6.099999905,5.400000095,4.800000191,3.599999905,2.700000048,2.400000095,2.200000048,2.700000048,3.799999952,4.400000095,4.400000095
New Zealand,,,,,,2.799999952,2.900000095,4,5.300000191,6,8.100000381,8.300000191,7.699999809,6.599999905,5.099999905,4.900000095,5.300000191,6.099999905,5.400000095,4.5,4.099999905,4,3.5,2.900000095,2.700000048
Norway,1.5,1.799999952,2.599999905,2.599999905,2,1.399999976,1.5,2.200000048,3.799999952,4.300000191,4.300000191,4.800000191,5,4.5,4,3.799999952,3.200000048,2.299999952,2.299999952,2.5,2.700000048,3,3.900000095,3.900000095,4
Philippines,,,,,,7.800000191,7.400000095,6.300000191,5.800000191,5.900000095,6.599999905,4.900000095,4.699999809,4.800000191,4.900000095,4.300000191,5.800000191,5.400000095,5.199999809,6.099999905,6,6.400000095,6.400000095,6.599999905,5.599999905
Poland,,,,,,,,,,,,,12.69999981,12.80000019,11.69999981,10.80000019,10,9.300000191,11.89999962,13.89999962,15.69999981,17.5,17.39999962,16.89999962,16
Portugal,,,5.300000191,5.800000191,6.199999809,6.199999809,5.199999809,4.199999809,3.799999952,3.599999905,3.299999952,3.099999905,4.400000095,5.800000191,6.099999905,6.099999905,5.699999809,4.5,4.099999905,3.5,3.5,4.5,5.800000191,6.099999905,7.300000191
Romania,,,,,,,,,,,,,,6.699999809,6.800000191,5.199999809,4.800000191,5.400000095,6.099999905,6.599999905,6.099999905,7.400000095,6.300000191,6.900000095,6.400000095
Singapore,1.799999952,1.600000024,2.099999905,1.899999976,3.099999905,4.800000191,3.599999905,2.400000095,1.600000024,1.399999976,1.600000024,1.799999952,1.799999952,1.799999952,2.099999905,2,1.899999976,3,3.799999952,,3.5,4.599999905,4.800000191,4.300000191,
Slovak Republic,,,,,,,,,,,,,,,,,9.899999619,10.19999981,13.10000038,15.39999962,15.89999962,15.30000019,15,16,
Slovenia,,,,,,,,,,,,,7,7.400000095,5.800000191,5.699999809,5.599999905,6.400000095,6.199999809,6.099999905,4.699999809,5.199999809,5.800000191,5.300000191,5.699999809
Spain,8.899999619,10.19999981,11.5,13.80000019,15.5,15,14.89999962,14.60000038,13.60000038,13.10000038,13.60000038,15.69999981,19.39999962,20.89999962,20,19.39999962,18.20000076,16.5,13.80000019,12.30000019,9.300000191,10.19999981,10.30000019,9.800000191,8
Sweden,1.700000048,2.200000048,2.400000095,2.200000048,1.899999976,1.899999976,1.600000024,1.399999976,1.200000048,1.299999952,2.5,4.800000191,7.900000095,8.199999809,7.800000191,8.600000381,9,7.599999905,6.199999809,4.900000095,4,4.199999809,4.900000095,5.5,6.300000191
Switzerland,,,,,,,,,,,1.600000024,2.599999905,3.299999952,3.599999905,3,3.700000048,4.099999905,3.299999952,2.700000048,2.299999952,2.099999905,2.700000048,3.700000048,4,3.799999952
Turkey,,,,,,,,,5.900000095,5.400000095,5.599999905,5.800000191,6,6.199999809,5.099999905,4.599999905,4.599999905,4.900000095,5.800000191,4.900000095,6.699999809,8.600000381,8.699999809,8.699999809,9.5
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.900000095,4.099999905,3.700000048,3.599999905,3.5
United States,5.699999809,7.800000191,7.900000095,6,5.800000191,5.599999905,5,4.400000095,4.199999809,4.5,5.599999905,6.300000191,5.800000191,4.900000095,4.400000095,4.300000191,3.900000095,3.5,3.200000048,3.099999905,3.799999952,4.800000191,5,4.599999905,4.099999905
