"Traffic mortality per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.04017,,34.5282402,,,40.7
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.556623,,12.34991932,,,14.1
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74479,,18.18716621,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83448,,12.65543461,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.58146,,68.28264618,,,45.4
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38975,,7.480210304,,,
Argentina,,,,,,,,,,,,,,,,,13.32849,16.21165,16.94954,18.60736,19.61609,,,,,,,15.89601,14.38862,14.43863,13.98144,13.6733,12.05949,12.05966,11.57486,8.90705,10.36269,10.15965,9.744612,9.935751,9.281073,9.676908,10.30673,11.04362,12.25708,10.9874,10.70993,9.97253,11.66502,11.0053,9.663261,9.723656,8.170588,8.527523,8.414783,8.83947,9.955791,9.51411
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.748852,,11.5320797,,,13.1
Australia,22.30844,25.58056,24.82943,23.01476,24.25574,24.76688,24.63632,24.93525,24.98178,25.26268,26.86483,25.73862,25.71347,25.27718,27.39592,28.54763,28.85231,28.69532,29.15185,30.33607,31.71799,30.27544,27.56611,29.11414,28.45655,27.34942,25.67285,26.72472,26.42736,24.59368,23.56338,21.76088,21.41174,17.88588,18.10062,18.58754,17.87053,16.75264,17.11175,16.67885,13.53951,12.1674,11.29172,10.79923,10.53565,10.39222,10.47647,9.341061,9.119083,9.09644,9.281634,8.770151,8.502563,7.644204,7.10229,,6.464193,7.6
Austria,,,,,,9.854749,20.89838,28.77911,26.51318,28.18374,26.50052,21.50701,19.90788,23.21327,25.42539,23.06339,26.23398,30.34579,31.22266,29.90422,31.92144,35.46097,37.21822,34.53955,30.90884,31.0912,27.33651,26.83862,27.26058,25.94413,23.64239,22.83644,23.33314,24.02217,22.1333,18.40624,17.40198,17.3912,17.87066,17.67788,17.10376,16.3612,14.34538,14.81964,15.02717,13.40503,11.56184,12.43865,10.07303,11.51886,10.62225,10.19367,10.04932,9.968774,8.954848,8.085581,7.324234,6.999411
