Income share held by second 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,12.92291764,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,13.79,,11.95,,10.71,10.64,,,,
Madagascar,,,8.79,,,,,,,,,,,,,9.24,,,,,,9.85,,8.29,,,,9.57,,
Malawi,,,,,,,,,,,,,,,,,,,,,8.43,,,,,,10.78,,,
Malaysia,,,,,,,8.43,,,8.7,,8.94,,,8.44,,,8.28,,8.14,,,,,,,10.76,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,7.82,,,,,,,10.19,,,,,10.67,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,9.51,,,,,,8.58,,,11.18,,,,10.53,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,8.68,,,,,6.97,,,7.72,,7.59,,8.36,,8.18,,7.75,,8.16,,9.2,,8.55,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,14.56,,,,11.91,,,,,11.31,,11.34,,,11.13,,11.61,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,12.03,,,13.13,,,,12.16,,,12.27,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,11.04,,,,,,10.53,,,,,,,,10.51,,10.23,,,,,,10.45
Mozambique,,,,,,,,,,,,,,,,,,,,9.62,,,,,,9.2,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,2.83,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,11.08,,,,,,,,8.85,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,13.22122651,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,11.37324412,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,6.45,,,,,7.39,,,7.96,,,,7.71,,
Niger,,,,,,,,,,,,,,,11.72,,10.09,,,,,,,,,,,9.78,,
Nigeria,,,,,,,,,10.41,,,,,,,8.8,,,9.06,,,,,,,,9.67,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,13.96422691,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,12.22,,,,12.26,,12.94,,,,13.34,,12.42,,,12.98,,,12.77,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,7.88,,,,,,,,,,,,6.09,,,,6.2,6.3,8.04,,,6.32,,6.27,,6.55,,6.58,
Papua New Guinea,,,,,,,,,,,,,,,,,,,7.74,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,10.31,,,,,5.9,,,6.24,6.37,,,6.19,,,7.16,,7.59
Peru,,,,,,,,,9.07,,,,9.78,,,,9.2,,9.03,,,,,,7.01,,,7.53,7.98,
Philippines,,,,,,,,10.12,,,10.08,,,9.31,,,9.5,,,8.78,,,8.75,,,9.03,,,9.08,
Poland,,,,,,,,14.34,,14.18,,13.83,,,,13.04,,,12.38,,,12.18,,,11.92,,,11.7,,
Portugal,,,,,,,,,,,,,,,,,,,,11.01391192,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,14.9,,,14.27,,13.59,,,,13.25,,13.02,,12.75,,,12.77,,
Russia,,,,,,,,,,,14.6,,,,,8.73,,,9.23,,,10.96,,,11.38,,,10.96,,
Rwanda,,,,,,,,13.09,,,,,,,,,,,,,,,9.05,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,9.87,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,6.97,,,,10.27,,,,,,10.18,,,,10.61,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,2.2,,,,,,,,,,,,,9.65,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,9.419417008,,,,,,,,,
Slovak Republic,,,,,,,,,,,15.52,,,,16.05,,,,14.87,,,,,,,,,,,
Slovenia,,,,,,,,,,14.6,,,,,,13.28,,,,,13.35,,,,13.22,,12.75,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,5.25,,6.07,,,,,5.6,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,12.08764128,,,,,,,
Sri Lanka,,,,,,,,12.37,,,,,,12.47,,,,,11.52,,,,,,10.36,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,7.22,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,5.77,,,,,,7.95,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,13.97798872,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,12.19743764,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,12.89,,,,12.29,12.02,,,
Tanzania,,,,,,,,,,,,,,,12.18,,,,,,,,11.83,,,,,,,
Thailand,,,,8.99,,,,,,,9.36,,,,8.74,,,,9.49,,,9.32,,,9.82,,9.75,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,10.44,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,9.6,,,,10.33,,,,,,,,,,,,,,,
Tunisia,,,,,,,,9.65,,,,,10.41,,,,,9.96,,,,,10.19,,,,,,,
Turkey,,,,,,,,,,9.81,,,,,,,10.15,,,,,,,,9.86,,,9.77,,
Turkmenistan,,,,,,,,,,,13.05,,,,,11.45,,,,,10.18,,,,,,,,,
Uganda,,,,,,,,,,,,9.28,,,10.16,,,,11.13,,,9.86,,,9.21,,,9.78,,
Ukraine,,,,,,,,,,,14.76,,,,14.12,,,,11.84,,,13.31,,,13.45,,,13.4,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,11.40950992,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,10.68155999,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,9.95,,,,9.46,,9.08,,9.19,9,,,,9,8.69,
Uzbekistan,,,,,,,,,,,12.73,,,,,,,,,,9.38,,,,12.03,11.52,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,6.47,,,,,,6.76,,9.43,,,,10,,,8.36,,8.22,,,,,8.53,,8.77,9.64,
Vietnam,,,,,,,,,,,,,,,,11.39,,,,,11.5,,,,10.86,,10.49,,10.82,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,10.79,,,,,,12.11,,,,,,,11.31,,
Zambia,,,,,,,,,,,,,,4.8,,7.04,,,8.15,,7.3,,,,,10.04,7.76,,,
Zimbabwe,,,,,,,,,,,,,,,,,,8.142922473,,,,,,,,,,,,
