Income share held by second 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,12.97,,,,,13.32,,,12.16,,
Algeria,,,,,,,,,,,10.79,,,,,,,11.53,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,5.66,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,9.37,,,,,,8.94,,,,8.2,,7.78,,,,7.16,,,7.78,,
Armenia,,,,,,,,,,,,,,,,,,,9.46,,,11.7,,,11.8,12.28,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,12.01,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,13.33096399,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,11.9,,,,,,11.39,,,,16.23,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,13.99,,,,12.88,,,,12.69,,,,,12.62,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,14.88,,,,,14.79,,,,14.2,13.1,,12.91,,13.16,,,13.57,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,12.97530701,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,,,,
Bolivia,,,,,,,,,,,,,,9.67,,,,,,6.07,,5.75,,,5.73,,,5.87,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,13.6,,,11.49,,,
Botswana,,,,,,,,,6.88,,,,,,,,5.88,5.81,,,,,,,,,,,,
Brazil,,,,6.01,5.83,5.73,5.83,5.67,5.92,5.62,5.23,4.8,5.27,,6.16,5.69,,5.67,5.62,5.62,5.68,5.82,,5.85,5.95,6.11,,6.48,,6.85
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,14.71,,,,,14.65,,,13.99,,,,12.33,,13.5,,,,
Burkina Faso,,,,,,,,,,,,,,,,,7.91,,,,9.1,,,,,10.63,,,,
Burundi,,,,,,,,,,,,,,,12.09,,,,,,10.3,,,,,,,,11.86,
Cambodia,,,,,,,,,,,,,,,,,10.96,,,,,,,,,,10.02,,,10.57129567
Cameroon,,,,,,,,,,,,,,,,,,,8.88,,,,,9.31,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,12.72536696,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,7.91,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,,,,,,4.93,,,,,,,,,,9.38,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,6.51,,,6.91,,,,6.96,,6.9,,6.76,,7,,,7.18,,,7.7,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,
Colombia,,,,,,,,,,,,,,,,,,6.75,6.87,,,6.48,6.46,,,5.99,,,5.98,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,,
Costa Rica,,,,8.32,,,,,11.96,,,,9,,,8.83,,,8.6,,8.35,,8.77,7.99,,8.08,,8.58,,
Cote d'Ivoire,,,,,,,,10.07,,10.29,11.18,,,,,11.16,,11.17,,,9.7,,,,8.71,,,,,
Croatia,,,,,,,,,,,14.81,,,,,,,,,,13.81,13.79,,12.68,,,,13.28,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,,,,,,,,,,,15.48,,,,,13.87,,,14.33,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,14.7390573,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,11.46,,,,,,10.51,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,8.58,,,7.88,,,8.07,,,,8.31,,,,7.5,,,7.69,,7.96,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,8.17,,,,,,,7.63,,,,7.17,,,,,6.01,,7.25,,7.15
Egypt,,,,,,,,,,,,,,12.49,,,,,13.01,,,,12.47,,,,,12.64,,
El Salvador,,,,,,,,,,,,8.49,,,,,,8.19,7.53,,7.25,,7.49,,7.32,8.24,,8.11,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,14.79,,,,,10.81,,12.86,,,10.96,,11.27,,11.26,,11.55,,,
Ethiopia,,,,,12.67,,,,,,,,,,,,,10.87,,,,,13.19,,,,,13.22,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,14.06606378,,,,,,,
France,,,,,,,,,,,,,,,,,,12.62,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.13,,
Gambia,,,,,,,,,,,,,,,,,,,,,7.55,,,,,8.56,,,,
Georgia,,,,,,,,,,,,,,,,,,,11.36,,,10.98,,,10.51,,,10.37,,
Germany,,,,,,,,,,,,,,,,,,,,,,,13.72131798,,,,,,,
Ghana,,,,,,,,,,,11.72,11.54,,,10.95,,,,,,10,,,,,,,,9.84,
Greece,,,,,,,,,,,,,,,,,,,,,,,11.89093226,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,6.19,,5.68,,,,,,,,,7.03,,7.21,,6.82,,,,7.24,
Guinea,,,,,,,,,,,,,,8.15,,,10.37,,,,,,,,,9.64,,,,
Guinea-Bissau,,,,,,,,,,,,,,6.47,,8.88,,,,,,,,,11.64,,,,,
Guyana,,,,,,,,,,,,,,,,8.5,,,,,9.78,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,5.92,,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,6.25,,6.77,,6.75,,,7.46,,7.66,,,,6.99,,6.4,6.7,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,9.390377971,,,,,,,,,,,
Hungary,,,,,,,,,,15.4,,14.19,,,,13.77,,,,,14.37,13.73,,,13.82,,13.07,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.74308398,,
Iran,,,,,,,,,8.63,,,,9.58,,,,9.68,,,,9.32,,,,,,,10.88,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,12.26439466,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,10.46218545,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,11.97568871,,,,,,,
Jamaica,,,,,,,,,,,9.8,,9.72,,,11.62,,,10.56,,,9.57,,,8.33,,9.04,,,
Japan,,,,,,,,,,,,,,,,14.21,,,,,,,,,,,,,,
Jordan,,,,,,,,,,11.19,,,,,9.75,,,,,11.47,,,,,,10.67,,,11.14,
Kazakhstan,,,,,,,,,,,13.92,,,,,12.32,,,11.46,,,,,12.46,11.61,11.85,,,,
Kenya,,,,,,,,,,,,,,,6.72,,10.12,,,9.86,,,,,,,,8.77,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,13.56175582,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,13.16,,,,,7.06,,,,,11.31,11.84,,,12.35,,11.98,,,
Laos,,,,,,,,,,,,,,,12.81,,,,,11.84,,,,,12.31,12.31,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,14.92,,,,,13.44,,,13.35,,12.28,,,,11.66,,11.58,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,6.4,,,,,,5.51,,4.3,,,,,,,,7.21,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,14.93,,,,,12.52,,,12.62,,12.96,,,,12.42,,11.54,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
