,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2233.67,2248.11,2163.45,2275.92,2258.32,2258.64,2265.64,2345.52,2407.55,2418.76,2366.48,2395.14,2444.74,2513.19,2521.74,2715.62,2819.06,2736.79,2660.29,2659.95,2747.51,2691.75,2840.86,2758.98,2607.83,2738.9,2552.18,2647.18,2629.8,2656.37,2388.87,2650.29,2855.45,2938.79,2825.83,2979.3,2746.72,2790.7,2891.76,2832.07,2861.18,2864.93,2838.24,2849.36,2917.08,2914.95,2879.57
Algeria,1700.44,1657.72,1624.03,1644.2,1704.08,1685.77,1767.02,1831.98,1825.67,1790.36,1832.87,1964.81,1958.93,2092.12,2163.39,2143.57,2305.94,2437.99,2537.11,2657.34,2685.14,2656.45,2637.55,2584.16,2700.86,2717.66,2724.66,2795,2862.84,2856.21,2835.47,2972.77,2971.61,2865.2,2891.3,2893.72,2844.07,2904.07,2957.91,2928.84,3003.63,3034.33,3073.26,3090.13,3059.24,3101.2,3153.38
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,1784.67,1804.29,1837.76,1845.74,1856.25,1865.96,1891.07,1821.15,1904.98,1919.79,1953.68,1910.35,1869.47,1831.65,1814.24,1842.06,1902.71,1940.29,1914.54,1915.4,1835.78,1711.24,1682.21,1627.99,1640.78,1598.53,1586.87,1559.92,1540.59,1589.55,1561.63,1576.1,1511.01,1589.52,1634.08,1674.3,1676.52,1700.9,1757.79,1763.08,1784.16,1833.9,1857.8,1893.7,1915.7,1958.96,1973.29
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1971.91,2146.65,2017.34,2090.14,2150.38,2103.68,1868.66,1916.07,1934.65,2110.74,2012.12,1795.98,1711.85,1633.02,1685.66,1649.48,1576.11,1562.15,1697.02,1916.45,2015.74,1896.1,1964.98,2182.71,2126.31,2180.11,2196.5,2364.34,2489.2,2474.33,2557.14,2510.77,2323.21,2234.21,2184.22,2170.37,2179.33,2182.8,2200.01,2178.78,2077.87,2073.33,2077.55,2161.48,2294.69,2293.67,2368.5
Argentina,3099.85,3072.99,3027.14,3074.35,3180.34,3135.54,3214.04,3265.99,3305.89,3336.25,3181.27,3070.1,3021.79,3212.23,3268.14,3195.52,3174.95,3227.86,3201.02,3221.99,3201.05,3064.79,2999.66,3046.75,3130.71,3044.29,3113.49,3028.9,2980.35,2924.8,3024.96,3087.95,3123.27,3162.52,3168.17,3162.69,3135.69,3166.62,3266.75,3271.7,3183.34,2965.9,3059.74,3029.91,3091.79,2969.12,2940.98
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.98,1868.46,1945.81,1951.48,1971.03,2169.53,2174.77,2164.38,2133.45,2149.52,2150.57,2295.14,2150.33,2269.82,2200.4,2279.87
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3086.6,3094.8,3132.78,3103.23,3053.95,3133.05,3089.43,3133.11,3156.68,3202.12,3244.26,3295.29,3161.55,3105.81,3165.2,3171.06,3113.85,3060.94,3040.05,3067.6,3079.17,3108.89,3049.26,3100.27,3134.12,3088.53,3113.5,3121.54,3141.58,3177.79,3109.4,3116.99,3044.14,3038.66,3081.55,3056.62,3091.38,3015.25,3013.15,3002.91,3080.42,3073.21,3134.09,3067.14,3138.37,3192.96,3227.05
Austria,3192.47,3196,3251.47,3272.54,3222.9,3235.5,3198.14,3224.83,3157.16,3232.57,3236.91,3216.88,3305.76,3213.35,3154.68,3253.39,3215.37,3215.69,3281.85,3351.86,3344.87,3397.7,3358.35,3361.8,3375.14,3428.75,3417,3416.11,3476.77,3508.77,3558.53,3554.55,3522.21,3584.52,3606.67,3641.66,3591.72,3726.51,3790.66,3809.1,3816.93,3743.9,3714.35,3716.19,3700.89,3760.36,3818.8
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2303.97,2217.92,2100.15,2148.47,2265.03,2083.84,2133.11,2296.13,2406.22,2479.61,2647.96,2747.47,2894.6,3001.06,3026.76,2961.19
Bahamas,2446.63,2388.69,2359.19,2427.7,2447.03,2540.02,2496.79,2551.32,2576.27,2599.65,2594.43,2517.19,2442.44,2397.74,2341.44,2360.19,2216.27,2187.75,2264.07,2639.8,2499.44,2761.7,2697.75,2667.08,2713.15,2752.62,2747.89,2799.78,2788.45,2714.49,2606.63,2501.14,2419.88,2421.11,2526.38,2527.05,2624.27,2564.69,2649.65,2709.89,2714.45,2684.17,2669.14,2660.25,2695.88,2693.53,2712.5
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,1981.55,1966.64,2018.48,2014.55,1991.77,1995.08,1875.06,1985.52,2042.91,2108.41,1936.6,1769.02,1840.43,1892.29,1779.03,1903.66,1727.11,1849.53,1899.47,1845.76,1823.12,1853.84,1874.22,1853.29,1892.02,1895.7,1965.83,1945.62,1930.87,1959.5,1968.13,1966.85,1875.57,1870.74,1910.86,1918.12,1965.75,2028.86,2136.9,2125.16,2196.2,2179.58,2213.66,2248.65,2234.17,2234.01,2281.18
Barbados,2523.05,2585.7,2659.7,2608.93,2591.79,2610.22,2805.9,2705.54,2699.71,2813.57,3017.26,2905.64,2964.95,2856.82,2794.04,2867.66,2876.8,2976.41,2880.74,3168.67,3072.42,2859.55,2981.05,2890.58,2942.18,3057.06,3131.01,3048.33,3120.67,3111.36,3046.86,2948.54,2924.87,2919.48,2942.1,2975.48,3124.13,2976.84,3100.64,3025.07,3056.44,3056.06,3113.39,2936.81,3051.15,3056.84,3055.81
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132.64,3216.88,3134.17,3181.86,3279.61,3269.1,3218.1,3059.13,2988.59,3040.1,2968.65,2777.67,2898.39,2952.87,3158.46,3145.64
Belgium,2941.76,2934.33,3040.72,3067.41,2998.89,3092.6,3104.49,3044.95,3171.65,3102.04,3203.57,3145.8,3277.86,3248.89,3174.51,3188.99,3192.34,3180.57,3184.55,3310.13,3305.51,3425.98,3377.71,3458.1,3452.63,3450.55,3462.53,3552.68,3530.18,3543.5,3573.78,3658.19,3602.23,3596.45,3577.18,3601.95,3666.24,3652.81,3666.7,3715.57,3720.26,3728.34,3721.51,3726.34,3701.6,3674.95,3693.57
Belize,2067.37,2205.03,2251,2245.55,2252.39,2235.84,2285.97,2238.01,2226.3,2260.12,2304.77,2299.54,2295.84,2361.75,2395.44,2393.84,2437.08,2518.78,2551.44,2652.01,2682.19,2635.48,2496.42,2497.99,2478.47,2475.59,2527.67,2504.06,2427.69,2460.38,2459.44,2618.01,2561.12,2499.59,2533.33,2472.48,2488.44,2498.18,2499.34,2547.82,2617.24,2651.12,2685.65,2700.39,2723.53,2715.1,2717.57
Benin,1856.9,1876.89,1815.3,1775.91,1924.51,1913.04,1940.98,2046.94,1976.16,1911.23,1961.46,1891.28,1973.28,1839.03,1674.74,1991.4,1927.54,1967.22,2070.48,1958.12,1912.53,1938.69,1817.2,2057.28,2044.37,2066.03,1896.63,2006.58,2199.99,2213.62,2299.86,2234.65,2254.02,2271.98,2298.82,2344.51,2321.78,2329.15,2335.02,2418.52,2382.51,2427.33,2472.89,2439.65,2498.7,2504.8,2532.92
