Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bulgaria,,4.295185183,3.745269013,3.021370671,2.988047809,2.609568418,2.49238965,2.380785552,2.402852725,2.430711747,2.453060673,2.698541114,2.722760934,2.927495174,2.853373358,2.753286304,2.573849804,2.420644683,2.261356064,2.45079202,2.00302964,1.983267081,1.872041881,1.477439494
Burkina Faso,1.796753785,2.109314773,2.250185051,1.831713019,1.744534853,1.556310291,1.320948397,1.279749275,1.186556772,1.084955906,1.160291118,1.14216324,1.156572503,1.081514137,1.077261877,1.031447797,1.12263866,1.166097789,1.213957567,1.408345435,1.473462171,1.316628973,1.407000686,1.366756813
Burundi,3.158642836,3.394759623,3.507360299,3.681016338,3.590425597,3.861342725,4.535321951,4.202269313,5.853287723,6.359393232,6.571714143,6.258234519,5.066438996,6.473504156,5.757466849,5.718925199,4.992162471,4.435617345,3.61490207,3.509969298,2.705929302,,,
Cambodia,,,,,,1.761288595,3.842342793,3.580869043,3.238454376,3.006309643,2.662043769,2.511947987,2.194191137,1.792942344,1.579210372,1.45669061,1.268754968,1.122143084,1.098858904,1.064431471,1.043642723,1.943946895,1.557983825,1.494609564
Cameroon,1.248460726,1.372007625,1.494273442,1.50889166,1.467780824,1.345032985,1.413304035,1.254051381,1.287923617,1.421660319,1.486740072,1.490938497,1.258244876,1.401980327,0.6857374514,1.389415183,1.40390768,1.34863308,1.427430093,1.43241928,1.458274532,1.546687035,1.57176217,1.364846871
Canada,1.986807896,1.934690328,1.958756973,1.895480815,1.86172339,1.821822262,1.696647827,1.554120919,1.403812328,1.246243202,1.256321225,1.241703064,1.144925073,1.170707406,1.156383223,1.150040184,1.142530905,1.145616864,1.158297165,1.223073649,1.287187745,1.415710422,1.465091887,1.424689735
Cape Verde,1.921458854,,,,0.9961563209,0.5577697414,0.843963058,1.2740772,0.8490273886,0.836178851,0.8647328172,0.8447996461,1.261261698,0.8244420419,0.7284411259,0.7104531462,0.6980440783,0.7124168219,0.6304911259,0.596725469,0.5494854202,0.5249107253,0.4995265507,0.5092689374
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,1.537983886,1.616671979,1.473966986,1.253206922,1.16,1.139751553,,,,,,1.025136928,1.318361398,1.189613827,1.140418919,,1.126691267,1.589076577,1.817647059,2.599084435,
Chad,,,,,,3.306479464,2.335693939,1.718097263,1.909414871,1.330984891,1.146360475,1.693305997,1.90644509,1.795664917,1.725196702,1.496336428,1.144773061,1.047695777,,5.568790947,7.318376068,6.160287081,2.647754137,2.54691689
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,
Chile,4.936005844,4.077923442,4.157002934,3.946525988,3.721348408,3.595054512,3.370053977,3.059073716,3.089256561,3.208281768,3.418651544,3.823521128,3.790481598,3.789901461,3.648971371,3.41892603,3.485228269,3.270774503,3.182221671,3.058761021,3.349034904,3.064076139,3.041548162,3.234563579
China,,2.589408144,2.624840635,2.447030737,2.559102643,2.071664888,1.802983118,1.727152649,1.756195154,1.684119889,1.777209071,1.895692318,1.854566619,2.070125813,2.177296977,2.120410515,2.070324249,2.049342445,2.089550884,2.054096428,2.031553225,2.24110794,2.042276112,1.951861141
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,2.037276535,2.22784612,2.209794859,2.210160779,2.497385801,3.006959334,2.508408425,2.831626279,4.445376084,2.801799373,3.440977855,3.762741934,3.017634551,3.305711494,3.402817724,3.454127878,3.465015174,3.352873388,3.276130639,3.266739663,3.702417901,3.833780372,3.608968525,3.297171873
Comoros,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,1.546747755,1.375000022,0.4284327212,1.157764748,0.9764388926,,,1.388115521,2.113708954,2.297341118,2.324423949,2.049333749,1.370398635,1.092270136,1.401133921,1.526555764
"Congo, Rep.",,,,,,,,,,,,,,1.385246302,1.664449618,1.906093119,1.63083313,1.306693244,1.090140009,1.263864446,1.194231236,,1.112585734,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,1.250620374,1.330037166,1.333637271,1.374980018,1.405778912,1.346017241,1.01175846,,0.8454304,0.7980242906,,,,,,1.553061657,1.62622978,1.529336887,1.541647998,1.633741684,1.573672824,1.819852941,1.691331924,1.487676056
Croatia,,,,,7.611061459,10.72733814,11.14806739,9.345610973,8.305617221,7.647231312,5.684792857,4.488750296,3.065949074,2.730790661,2.765857226,2.077913612,1.717672961,1.621217052,1.703866201,1.649660864,1.853833973,1.77989024,1.669936947,1.709229129
Cuba,6.120903218,6.53027154,6.406278291,6.510730694,,1.812495132,,,,,,,,,,3.506817264,3.410744762,3.845775041,3.213751443,3.201173991,3.295716555,3.344648081,,
Cyprus,5.68881979,5.368058525,7.374035607,7.264776162,9.129286023,4.074952576,4.023989208,3.230606415,4.792387377,6.004990188,5.067922473,2.968256625,3.025351613,3.387318133,2.304260618,2.168153846,2.141686784,2.243308546,2.105962514,1.85779961,1.793255047,2.000472088,2.066991125,2.16758531
Czech Republic,,,,,,2.098524297,2.056186248,1.843609732,1.731916041,1.662029875,1.82592697,1.939858252,1.968105847,1.836918642,1.905488933,1.978864681,1.791666724,1.875608141,1.651196579,1.50028409,1.294742168,1.385955646,1.263655765,1.15175684
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2.049295932,1.984092951,1.950757035,1.95468015,1.889377285,1.90719767,1.770109883,1.713313292,1.673324058,1.645373614,1.638944152,1.601024497,1.494555872,1.57358692,1.549386372,1.504616657,1.462371605,1.34605441,1.420210963,1.340853106,1.392349323,1.394139362,1.443480402,1.460472203
Djibouti,7.847485683,7.596903161,6.879119075,6.871325994,7.033815515,6.665732989,6.246030429,5.948720268,4.964975226,5.282305006,5.192776067,4.995135018,4.721059396,4.550253316,5.624683499,6.713679914,5.60844773,6.326581804,6.440045373,4.071191097,3.692080382,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,0.8797430348,0.7996603611,0.6765585821,0.3483868877,0.5594762858,0.7502846705,0.726863826,0.5440124042,0.6303635966,0.7830950584,0.7799981239,0.8163020702,1.043260412,1.248071998,1.090538179,0.7773602406,0.7080021403,0.8142140898,0.7245744018,0.6709376113,0.7378044958,0.690210754,0.6960945881,0.6136926794
East Germany,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2.177259824,1.98466863,1.951502355,1.842546136,1.759653064,1.833156217,1.566790443,2.351950911,1.970095848,2.111186257,2.360782725,1.775218917,1.669386205,1.807058747,2.043057291,2.601246296,2.174870493,2.582399663,2.277903836,2.878895439,3.036422833,3.746501879,3.611707562,3.444633794
Egypt,6.463729173,5.078713318,4.664143236,4.857772499,4.453630482,4.383376289,4.172571429,3.894117647,3.494333043,3.197818729,3.284272791,3.212288687,3.189356072,3.306105381,3.362628635,3.340838325,3.025757248,2.853853307,2.740327025,2.502148228,2.293020659,2.137305699,1.998508205,1.86244797
