Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cuba,,,,,,,,,,,41.40168328,32.49618236,26.14579654,32.06941432,46.53708436,58.03146559,55.39690157,61.24104488,51.93137031,50.61159967,60.67426735,59.30942571,59.92790631,61.4391357,59.81850539,60.92971666,63.86039248,51.61100599,47.6965666,47.65552086,33.86228722,22.20587977,14.03613105,11.17705332,12.09209956,14.54222156,20.86556103,22.86113017,22.18241726,20.66257011,21.32817714,20.51553973,16.66249881,17.71959389,20.80292544,24.39470838,25.43826469,25.36795243,31.79068088,,,
Cyprus,,,,,,,,,,,,,,,,93.86451484,119.7727707,127.9850968,114.284619,113.7769158,80.4897592,82.77858898,81.83425928,79.70878665,85.02143792,70.89333389,55.74726736,55.3873981,59.92344717,67.47040148,62.93897405,61.90429553,62.20929387,51.59104432,53.66494611,53.17755773,57.45347566,55.07798767,49.678239,47.20636992,51.49792976,50.61313818,46.68778107,40.45934075,40.7734394,45.77456414,44.81019246,45.82361233,48.48282511,38.62065841,42.84293849,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.62818983,84.58238416,80.91936016,84.00738618,80.57493741,86.57587207,87.62798519,91.40619771,107.664449,112.5786985,105.1440016,109.9295529,126.8697273,124.146128,131.9113194,138.1440882,133.6686597,114.6154244,134.9116055,
Denmark,52.81913998,49.18672723,48.62198264,48.53371765,49.69085543,48.1557207,46.54871182,44.5070105,44.52787724,45.51645646,46.79373378,44.76098061,42.13902858,46.89362106,52.91560968,48.19136499,49.32162441,47.75418335,45.01432752,47.85571763,51.77066372,55.77734103,54.44612444,54.58846883,56.47271477,57.73170469,51.13617876,47.66298105,49.22866351,52.32221617,51.68135603,52.68264451,51.46026672,49.11089775,51.45670026,53.21632964,52.43341507,55.25551997,55.21645145,55.21829721,60.49979716,60.4617169,62.00514329,58.29173426,59.34600347,62.36603103,64.89788524,64.60716321,65.80316455,56.7529095,58.50493344,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,63.05178717,,62.40429227,56.5950182,54.24953422,53.05882994,49.95436889,49.15718196,47.87055553,42.40483278,38.23404289,40.72836016,41.21942975,43.45983963,41.28113905,43.19424337,39.83107148,39.36327601,44.28653042,44.94108058,44.69486309,50.83904003,62.65929227,65.37664082,50.33866609,,
Dominica,,,,,,,,,,,,,,,,,,93.05101997,98.11409652,71.37204056,98.13874962,104.2004605,99.92803713,90.08341216,93.49107713,84.19115033,88.33443646,90.22688792,98.77116278,99.1041007,104.0149624,90.89043225,82.39497718,70.85173953,66.36985347,72.30947774,76.12782089,72.01519092,77.00024675,72.83165158,61.14330874,51.98610208,47.77795743,48.46452257,50.00010207,56.26273348,52.84308263,54.8331437,61.85638282,55.63572592,58.96356958,
Dominican Rep.,41.70435853,34.10257536,38.93884389,38.11001794,39.06172484,25.07024074,32.34251343,34.15722845,37.57325438,34.98171566,37.24531952,36.05286846,37.03290957,39.72806918,49.37209461,49.52087774,40.35304008,38.26687752,34.82041723,37.85171222,47.97164786,46.89693257,33.61376085,32.26629504,28.06280562,59.76711688,54.24584162,67.22096818,85.46228881,81.61107193,73.1727172,56.58973173,59.32063489,60.60999315,57.58336647,54.71163078,53.93834582,57.27934619,59.44858392,60.70281909,63.40883318,56.45732982,52.70149703,61.58544362,62.72450699,47.09441266,52.24524984,50.24172182,49.6457069,37.99842479,42.29965697,
Ecuador,25.76923062,23.74730942,25.18688271,23.92521929,25.48906113,26.62999466,24.65029468,27.66733297,30.90623032,25.00526895,27.68982657,33.28854279,33.38119313,35.82084702,45.86949257,42.15917488,38.96495284,37.90149992,39.37147121,38.62817715,39.77915666,33.61074203,34.07525694,34.27668611,37.20208558,39.45720748,38.62291136,45.93728692,42.93080916,44.17706849,44.17744301,46.27067873,45.32894013,36.28042174,40.04432671,41.86445435,44.56349548,43.20994063,42.03101588,44.76682378,54.24786259,47.25176271,46.41583425,45.49692411,48.94729835,55.18566425,59.56502731,62.00494893,69.49138866,55.65534184,65.68128702,
Egypt,29.81291394,27.34644716,28.56522056,34.56247635,31.20637717,30.1033469,31.38618726,24.34488224,21.07911857,20.15273487,20.15379891,20.67606185,19.67185845,21.17042852,42.90081407,46.6492055,39.88615019,44.57377211,56.99624121,31.27768431,34.50518319,51.57783129,47.6626504,47.94336029,45.38086128,42.71602115,40.23381941,50.79498734,82.76302898,51.26304777,36.83943209,31.80098314,27.20790455,24.30084291,26.38830841,25.2828973,24.51141383,21.841851,22.74698964,21.58620664,19.88645654,18.64190336,20.84871714,24.55000238,32.48315496,39.42773506,40.96245563,43.167491,45.82120815,35.98572804,36.25523868,
El Salvador,38.29283887,35.81667295,36.9646499,40.95100598,44.89567977,44.3512757,44.07435975,44.16717944,42.24369933,39.09281447,39.16604835,40.27248551,43.18646404,50.56298276,61.53144426,60.79655017,63.47861767,64.63877096,59.98798012,65.25505225,54.08566582,51.87361536,45.7756227,46.40155813,46.26287466,43.15370898,44.80781849,40.04501402,38.5691237,37.94415125,38.43023112,37.54474231,44.5196687,45.79137018,46.94792547,52.42886684,48.58687584,55.27756389,53.41253035,52.98983361,60.05718939,57.12840227,57.17600844,59.02955465,60.97833311,59.13255098,61.28609702,63.84065576,67.46628715,54.16775567,61.26648032,
Equatorial Guinea,,,537.1186428,424.3505133,440.5123028,81.85538881,83.92417885,94.02986815,100.7194245,105.6143483,73.31366299,86.54755286,70.0146131,56.35244034,52.16660113,44.14374225,13.66095837,22.94506108,,,,,,,,46.4874742,88.01303792,83.53154487,86.47654197,81.24514031,95.26511253,155.1356168,97.18249572,87.77340129,82.20594246,151.5306219,202.1622827,171.7757454,165.8621828,130.0435463,123.423024,146.764673,122.230692,125.6282699,108.5864202,101.9069998,106.4959365,100.0402285,107.5251629,117.0002555,115.6622135,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0066502,83.56909834,106.6414265,93.42308004,93.86679898,84.77854087,71.89553316,77.07701594,80.17676768,64.28200862,87.30872124,50.49891677,44.3001545,45.64120633,41.88205483,39.69851707,44.27014609,32.36898798,33.16000492,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.57879827,100.756869,112.1241543,145.9508008,143.4754955,124.8976288,156.4894399,148.1551224,139.2454335,138.0245474,118.5939735,129.1364027,137.6852438,123.215185,120.8699693,99.62991162,124.1446606,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,15.39384096,15.492196,15.03044017,16.91402097,14.09325647,15.93042682,13.60174555,14.39139555,12.36251208,11.41312824,4.947069078,7.149944119,11.25113911,20.43585788,20.60303894,21.43139239,19.1208316,25.74652974,25.61623283,21.35110689,27.73964517,26.62218435,37.19295863,35.33017347,40.610508,41.21658333,36.23943213,37.07770393,29.05342702,36.30813775,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.52367661,83.3270801,94.79074997,87.79982522,81.20172758,89.58464931,73.87182476,77.53217534,73.14218846,77.34368753,76.26498157,70.2951197,,
Fiji,77.81937198,71.25298373,74.66813429,87.96362494,102.1939748,92.21962166,80.48907064,82.27257259,87.61505039,88.50843666,86.63294294,87.45997496,80.39968129,80.82455838,82.7463984,68.78968232,62.78431753,73.74003544,73.14207867,76.8439977,85.81639907,83.42099981,74.20339744,70.34056689,66.38384694,65.63208507,59.75685161,64.43626126,80.4521227,90.89474935,93.56595455,79.63326151,70.04816922,71.54098751,77.4673477,76.68697174,81.48345047,75.77139894,74.48161133,77.85102345,84.02065278,85.71760673,76.84411713,80.87443694,78.42325732,76.7612598,80.51345579,75.60088723,88.74429425,71.76226229,70.234935,
Finland,39.29498167,37.28887157,36.77202536,34.23638218,35.99928115,35.76735806,35.09313569,34.04029945,36.58197445,39.83976703,44.0721309,41.79529697,41.7251037,42.50691061,50.1061294,45.08794277,43.63888007,46.13797793,45.87937412,51.37037331,56.1900021,54.44368875,50.76745225,50.40070308,49.70439817,48.83425102,43.82607363,44.05637635,40.00460592,40.86987674,38.57332751,35.82502189,41.01706276,47.54499881,52.64600357,53.48374417,56.54037546,59.42251276,59.11742541,57.05647786,66.13258952,60.87483801,58.70772787,58.25310574,59.74846308,63.4715819,70.48882507,69.77227625,69.21126167,51.63299111,58.03218982,
France,20.98707175,20.34750991,19.37994627,19.81054279,20.2373927,20.12537686,20.65282377,20.08100377,20.73292233,23.14072477,25.32853043,25.74703375,26.59708265,28.45624287,35.14873829,30.10300086,32.93380271,33.49024527,32.22756545,34.32943152,36.34469915,37.56923647,36.96658028,36.49533814,38.70677255,38.62570823,33.53227622,33.43057697,34.62427001,36.97910408,36.25118829,36.0431893,34.63365422,33.84492423,36.29891903,37.56553379,38.15350361,41.30666546,42.78124974,44.03057746,50.25508912,48.71747398,45.52118507,44.12861093,44.90248842,45.28562188,46.00721011,46.09967967,47.01539626,39.80387761,43.99868937,
French Polynesia,,,,,,,,,,,,,,,,,,,,,42.35945781,45.70409384,42.59742816,42.59315875,41.04449082,39.07828902,33.84727433,35.86034545,32.85614613,33.34014148,32.72343571,31.86051049,28.04777027,26.76879481,30.97432284,30.08255241,32.18957206,32.49172102,33.50850647,31.0506982,34.57534692,,,,,,,,,,,
Gabon,55.8959081,54.00906143,54.53876685,78.52063778,69.84057363,74.4684781,68.32127908,69.35309167,64.10841761,68.85016302,69.39003243,71.25009663,85.36297335,71.91675568,71.13643193,65.43619723,54.4336022,73.30305874,72.14299171,78.54331247,66.53075647,78.76156837,83.6959677,79.1745686,76.79511631,84.01356614,62.78468652,61.49140421,51.8187539,56.49206702,52.45021646,56.95050469,49.74601502,71.71168117,74.11375853,72.49693964,72.72481976,77.49476569,67.33796749,69.37615813,70.02201082,74.82049168,71.87160214,70.48734051,70.70064041,75.42388511,75.16095132,73.16658574,83.22770629,77.25602957,94.03405379,
Gambia,,,,,,,77.14977132,78.67418133,82.51763464,79.71180014,66.58911717,62.33147233,74.32700711,74.52379955,93.40702705,90.2070004,97.02405812,90.57030811,81.26826546,96.23124568,81.30056482,69.93121707,68.054194,76.37729779,84.01762374,60.25189558,75.014159,75.68926065,73.50479387,66.18151129,69.10207116,75.76275047,79.14898468,89.25114333,68.03796933,51.83987826,71.20395944,71.52686868,59.77590994,47.2293236,47.99301467,34.45620368,46.68554898,44.79480395,59.59817273,58.03909158,53.26598649,51.22818213,40.86552167,43.48304637,36.05472606,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.69075014,20.15790822,28.62759898,33.72699686,29.83257113,29.39260161,33.75358,33.26616092,33.62998929,40.13654905,48.62598089,52.33077221,59.5697532,63.37739701,60.93609143,51.08000028,57.24337074,
Germany,,,,,,,,,,,30.7252216,30.23298755,30.02699001,31.76399984,36.90416355,34.77414571,37.89126981,37.77768661,36.8714385,38.86200569,41.41563387,43.8905106,44.14444018,43.21444256,46.28147302,48.30424498,42.88463083,41.61630276,42.31513864,45.12728425,45.30764428,43.8322184,40.62550403,36.001192,37.63133167,39.13545519,40.36773023,44.43763804,46.60911528,47.75053153,55.60891086,56.23730333,55.12409545,55.95197657,59.62673835,63.18969235,69.40974706,71.49020612,72.61220379,62.03739365,71.19925838,
Ghana,56.49874507,55.48507613,47.44680368,43.51027219,38.18152196,37.31939725,29.15147399,35.16697695,38.39505891,34.37759173,39.22856071,37.94643005,34.45345937,44.95781189,53.84477566,57.17563093,61.28348043,64.32708562,57.31256072,45.95938564,53.69803266,51.4157459,39.12294686,59.30088476,25.74632681,32.92378708,33.32982569,42.03096382,36.84281821,43.64690055,35.71183651,25.3349519,53.34788708,59.49004239,64.93864568,56.21421246,54.53734091,57.5390158,58.30865677,67.44652523,93.30005944,91.72828763,74.19537335,72.59097952,73.53512285,76.01916051,51.40375237,49.75560641,54.46867974,53.45170073,57.56586006,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,20.35745567,18.68801601,17.85677848,18.39489101,17.86746572,19.22875852,19.26377615,18.40377732,18.76829674,19.06431336,20.56909035,19.83996508,19.9884398,23.14756806,26.53613574,28.12827145,29.01681191,27.85737909,26.52298962,25.98292937,28.97359493,26.15607557,27.50291603,29.51822466,31.12240232,32.17746091,31.6173914,31.46918487,24.41143785,31.38844456,29.86970317,30.1673232,29.53233763,29.35240578,27.80084174,28.3108748,28.94255311,28.40261114,30.4271374,31.23306663,36.35357189,33.39641217,28.7465616,30.1964633,29.86065539,29.87157891,32.19507686,33.48974997,34.8668567,27.94241215,28.09236628,
Greenland,,,,,,,,,,,,,,,,,,,,,107.9714505,110.1551546,111.8281763,107.1641167,116.7719549,113.8355219,102.8164549,108.3325309,101.2677757,87.86836803,88.02944537,73.68420935,76.01770471,71.07311894,64.4207171,66.58652247,69.97820934,64.35640199,57.74625447,60.62453306,59.73642973,54.50340664,59.01790655,56.57393189,56.37867006,58.4360995,58.38594389,53.16341531,78.1426159,84.47637597,,
Grenada,,,,,,,,,,,,,,,,,,87.54530265,77.87926445,83.12973899,80.12934231,83.05941992,78.75700201,75.0905667,67.21162336,71.75665594,79.85494759,72.35560014,67.7384405,59.60575825,59.70949687,59.60996058,50.61478707,55.14281844,54.24448313,52.84182399,58.3739766,64.27478184,68.95240287,62.69272122,55.21853653,49.09947263,43.92644146,50.26756001,44.63087725,51.01596812,46.25737077,52.4968107,47.45048205,40.82928128,40.36864804,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,22.40034633,21.44422964,19.95540399,25.5479886,28.22492703,31.17921135,31.1339606,30.63089028,29.59888292,29.47650804,30.17331933,29.21150746,31.00271308,33.75213906,40.25272936,37.19739949,36.63459368,40.37459921,39.12479697,39.77254837,39.57505664,33.85419579,28.77136735,25.24861771,25.42766597,22.95906018,27.69648996,34.35718002,32.88868286,32.83902629,36.75756655,32.45766922,36.64455312,34.55280489,33.13503885,37.16333841,32.80406662,34.8255629,37.29566999,37.01461419,38.81171646,43.16462114,56.895145,57.42558618,60.54967775,58.35690184,59.34168745,60.01652183,56.93922954,49.74387842,54.1528334,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02463025,49.57046951,46.80627366,48.68362239,52.27598978,47.16920788,38.27529456,39.37404908,36.11058072,41.16430752,35.06463387,34.48136656,34.26561222,34.42727101,41.06205405,46.05267586,45.0651915,36.24053588,41.57360354,56.95092773,70.49968862,57.50581217,71.67532144,50.65992728,52.09961601,
Guinea-Bissau,,,,,,,,,,,39.42496485,42.58708938,39.98924453,53.42025768,47.56267839,41.13477136,38.06445391,42.98690861,49.99967706,62.52982973,59.64547234,41.36185997,37.45688555,39.12518069,46.93856072,50.04996224,53.75310996,50.04703615,49.86086867,38.94088191,43.03955628,37.33224722,45.07020856,37.57162475,83.60893287,61.82064253,42.52657985,51.01457144,43.59248276,45.44516161,56.16009126,62.80329255,55.49724736,27.35563851,30.42165141,34.08771515,34.74398101,39.80446787,38.60497972,41.86510944,39.27069641,
Guyana,94.10212626,92.67109651,86.75343681,97.33144751,93.62082316,94.49388127,99.05954496,96.9375762,97.56474429,98.02045728,100.8532487,101.056556,101.4310871,102.0203273,120.9453846,143.3708481,141.4107513,127.3977469,113.2900163,115.0507154,126.1604775,138.5097089,111.8257261,85.83106267,96.65663969,95.26154269,90.16129964,142.9812951,107.7815403,127.705723,143.2237525,164.8310477,199.304128,203.0418088,177.8599747,157.9726006,162.0343388,163.6547596,142.7116645,144.3674422,150.2803707,152.5245246,145.3365827,146.793628,158.3302305,162.6168782,101.2980873,99.86502577,109.5791326,94.95072094,102.3271242,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28146203,16.62399505,24.0825705,15.67107853,28.30643949,25.41347212,26.52137614,29.72720923,33.23792313,36.94906752,36.68776008,43.86193474,54.28516806,46.36545329,46.31144055,43.60354758,36.89758979,43.62262313,41.67749385,55.59087069,
Honduras,40.16088379,40.70746771,41.58607178,43.51535836,42.9321663,48.98554999,53.07936931,53.45761721,56.77720948,52.78667412,55.29391425,52.35088919,49.54147146,57.09808419,64.89753504,61.83941281,63.49963209,65.18149271,67.40425092,69.26049399,71.66796481,60.64905125,46.87446134,47.93630209,48.74962338,45.83047202,45.39845045,38.96447953,44.88228153,51.29862526,61.38275254,63.04823576,62.90232428,74.0210771,87.78748935,93.27709831,102.9292171,108.7409656,118.4365748,117.3887511,103.1757998,100.107194,104.5013236,103.5729921,116.795318,118.8100078,115.225222,118.6877725,119.953524,85.52797239,92.79983425,
"Hong Kong, China",129.8454216,113.2136228,112.0805876,109.8973751,110.2676535,111.0912718,123.7040312,124.1892404,139.3974621,144.6172131,142.1947896,140.5497959,127.8907153,133.7193717,135.9743815,127.3692479,134.5562714,127.7372259,135.7929835,143.4429425,150.3109125,154.8234608,143.5412092,157.3449237,176.2341217,172.4459861,176.0460947,196.9666678,224.5232744,219.6260825,217.3513398,228.0021964,237.4235377,230.6580037,234.1285864,256.4952369,240.427862,227.716474,216.6590867,217.4837333,246.4064,235.9485365,250.2712907,291.3232177,324.5809687,333.1682718,346.6630061,347.4467921,354.3756256,325.712945,375.5970064,
Hungary,,,,,,,,,76.6970245,77.06738853,87.0190168,91.01390617,91.11058932,95.32795346,111.4840694,121.1676183,82.4530538,87.16043818,86.87507024,86.80667593,80.31256631,78.71341254,76.60121056,82.47427532,82.24303137,80.75809205,78.99034373,74.45788791,67.79691858,63.5465345,61.53169487,63.19893919,57.31454663,54.43401452,59.61558102,62.1798096,73.6979973,86.68003433,101.5815845,109.9313682,130.1352368,121.4928013,108.8609324,108.8151948,113.9114091,117.3736141,136.4200007,140.3102482,140.9837363,126.9577546,142.6995626,
Iceland,68.49043753,61.93268351,60.97256219,59.90693156,55.8010342,50.89050416,47.66579562,41.7493337,45.08911008,55.70721314,58.55903427,54.43285506,50.809145,57.09095875,56.87380749,56.96184994,52.78710939,51.35837265,53.18399846,56.81869383,57.54466992,55.73556318,51.56496074,57.17485594,55.98854073,58.50648513,56.43021592,54.51833347,50.21468068,49.78050584,51.34236211,48.62380031,46.04304778,44.85464225,49.16753957,50.72597886,53.73098728,52.12182082,53.22173116,51.70086466,51.62522751,54.12102963,50.56976366,47.47536906,48.91849326,49.55077912,57.59144916,56.39713028,68.7650336,63.23938727,67.78800353,
India,9.930143534,9.461601454,9.020595446,8.568821816,8.197989621,7.691473073,11.90607045,8.858151779,8.260089258,7.010035106,6.783047469,6.730452859,6.567255866,7.188741961,9.17575205,11.06771587,11.09313956,10.87869036,10.7370878,11.68900359,12.75852927,12.45076537,12.21486054,10.78639279,12.03750082,10.90194694,10.07429495,10.13500559,11.07760625,12.42022591,13.08767533,14.26977417,17.59578179,16.07028811,16.03215303,18.33768874,18.29486649,18.60237979,18.35833072,18.34636328,20.40540342,19.619802,20.85352817,21.939795,24.44990863,29.0738119,31.55737196,30.54736641,42.42282478,30.64828383,31.68233886,
Indonesia,,,,,,,,21.97350067,19.37497758,18.57833738,21.84484616,23.72598248,28.76928628,34.59342688,41.38394153,36.9286343,36.15707902,35.29888701,33.76431275,41.35017505,41.97109908,38.42382352,41.33657001,43.93153406,40.84351529,33.03454529,33.4658755,39.54451623,36.84522547,38.05029298,41.52185098,42.92100998,44.02576347,41.23302252,40.72424961,42.56970001,40.78952107,49.87372942,89.73702994,60.4022736,66.05098254,59.14416036,49.83425099,45.27958711,48.91945362,56.85433178,50.43554399,48.76951344,52.24083247,38.86305123,40.98105198,
Iran,,,,,,35.16291689,33.41322151,41.05562287,38.64736348,38.25446303,38.39091316,43.14763637,25.74404606,23.50467889,31.20705443,37.40377,34.30783297,31.12397755,30.2737858,20.94538728,27.30304814,27.32018686,26.66656458,27.05221079,21.20438383,15.12248549,8.900498942,16.80537849,17.33619007,24.4510927,34.15089402,,,65.74823012,49.46951069,35.49727975,34.96771042,30.93769772,26.72949079,29.09722167,42.09543591,36.72781751,38.701836,43.23767646,45.13541872,50.14870189,52.84624823,46.73004466,50.58410105,39.15170325,,
Iraq,50.89319276,50.72400963,46.91978286,47.77071522,46.53370581,45.60469914,45.34547066,39.06563673,38.57134323,38.22180615,37.72869218,44.3956045,33.84936276,43.94908037,69.03570752,77.73440231,65.73778816,58.07992421,55.1368729,72.44120044,84.56304702,95.96424093,86.42463772,58.54378007,51.76499816,51.53329444,48.00261635,43.53321301,49.63740004,55.42885549,,,,,,,,85.03179938,94.56734261,109.79602,131.4416201,137.2616697,116.1648649,,151.861267,150.8096379,111.4747105,110.1666822,108.9486018,121.0697548,116.006862,
Ireland,54.69105943,59.25827211,55.50822551,57.85809924,55.03632894,56.32880695,55.64757928,56.09748089,60.17227901,60.91449397,64.2974615,63.70570582,60.53914234,67.82799743,84.52367668,75.80877463,81.98899567,89.86134846,90.2120008,95.85960096,92.71919291,91.24128024,85.32064749,88.16294513,99.08709772,98.81227968,87.20584107,90.12545839,93.62769042,100.1112023,92.90111332,93.20968403,93.71161297,98.68199485,107.672151,114.9299751,111.7254709,112.2554265,122.0216833,122.3887544,131.7151079,126.1957129,113.8070928,92.15703058,89.11755071,87.67342647,81.29959319,79.00043136,79.5300169,80.0682472,85.58731819,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,24.6892892,23.6796898,35.21205532,34.25940584,35.58111189,34.58860121,33.56772681,33.8758243,49.16454136,52.14520973,53.20066671,59.58793108,50.46427045,61.55486807,57.78355827,64.34391278,64.79507756,64.37810501,83.23760801,74.9383174,70.34581542,68.56687158,60.67706312,53.5146034,60.00130448,68.12266701,60.46843996,64.27381533,56.43335702,56.99356388,55.00632668,52.00076086,50.75168427,56.803442,56.40974819,50.61582392,49.56810385,49.15957709,47.62637902,53.21749264,55.38311124,52.41136758,57.39655956,57.26231987,64.2385837,66.97503854,66.59393143,67.74672854,63.82600692,49.75286689,55.03175311,
Italy,20.77694711,20.97283918,21.30839758,21.91065186,20.9195295,21.44218278,22.576647,22.84443145,23.27709862,24.9249414,25.79219302,25.86903828,27.09959398,29.58539778,37.21391615,33.50926771,37.48962778,37.63111439,37.0892261,39.58003779,38.89371476,41.28696206,39.13877022,35.76892049,37.85886641,37.73400965,31.86045608,31.22171331,31.01207495,32.80987662,31.08081413,29.46159115,28.82220367,30.92609846,34.04163504,38.85559406,36.36865766,37.58764791,37.91225866,37.75930206,43.41216209,42.77909863,40.9281058,39.40911002,40.8570254,42.43047427,45.88563646,47.55326396,47.87682417,38.75587301,45.18992264,
Jamaica,53.73782772,51.2963543,52.00355116,51.70407062,56.30175354,51.78758867,50.62276568,50.10965298,55.72948996,57.9310011,61.73512989,57.89549876,54.85384283,55.96971197,64.83488963,65.82208239,52.01624053,50.10445155,65.70647316,74.70936276,76.80883116,82.14088729,65.21944469,61.11742736,79.75346781,79.84805438,56.6698801,59.14194471,59.32070628,63.99636004,67.20078572,71.30670098,77.01984648,65.48474643,69.58095976,73.02004746,66.61250741,60.42128483,49.72459076,46.86946719,51.39516374,50.30470631,48.02160729,51.26268019,52.70848114,56.23292017,63.37822367,70.94141456,76.54735718,50.73835987,45.83210322,
Japan,19.28761562,18.77424689,17.37808862,17.537234,17.87246188,18.27432562,18.27060737,17.85778335,17.70716921,18.00949111,18.54362145,18.78429231,17.18426061,18.01202232,25.26697488,22.4966726,23.27735933,21.80682441,18.13841208,20.7524974,25.37234171,24.86596936,24.52575795,22.77996249,23.97968684,22.55242392,16.7406675,15.61330241,15.221441,16.26980158,17.10079996,15.83418931,15.09783341,13.88198367,14.06656347,14.79752533,16.37147514,17.82588371,17.32969037,16.65482193,18.3989183,18.37597089,19.24082507,20.21110014,22.15011986,24.4015467,28.09773862,30.52963716,31.63913768,22.50553883,26.81689821,
Jordan,,,,,,30.80346704,33.42937507,29.40116424,35.37177064,33.02445231,34.15631839,36.36665369,40.74716271,42.74184225,53.68990546,64.93127491,73.55946375,79.35987003,70.64506384,72.44007468,75.11859697,87.66268522,82.71989089,71.79382425,68.61149894,68.79859667,51.19441625,55.78152495,62.00182353,78.31053531,91.13820665,86.75669882,84.16758487,85.35839782,77.03694349,81.24915826,88.17215957,81.92550463,71.13868915,68.07301764,76.7495533,79.77337484,81.86362631,86.53864499,105.705202,117.5617228,107.0765002,109.2383343,109.8505857,82.14179197,81.34764629,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.96109065,44.45304559,48.26159878,48.71439635,43.58659604,56.47029379,75.72713265,68.0955703,65.97623429,69.19508512,76.18318716,79.1300675,76.44943863,76.78428969,81.72937003,62.09944971,59.69223784,
Kenya,38.97554168,39.04360939,36.93074373,46.41538275,46.93022442,51.12236925,52.00770871,46.97866486,44.91022238,43.33303068,46.60708042,49.14666449,42.44620353,43.767749,54.83173684,47.59472614,50.62525509,55.07924077,51.53234244,43.73386775,46.3847883,44.89028235,41.43607273,36.96142964,41.18598629,39.0217469,38.85817843,34.07430095,36.45554935,37.69465402,37.87872504,37.32778196,38.68275214,54.73082042,51.45392203,53.82292007,41.64094204,40.65347666,36.93263064,35.50699564,38.12854506,39.5487017,40.77102905,41.17465455,44.95949744,49.45095915,47.70448843,47.98688114,52.84799239,47.95705536,53.54625141,
Kiribati,,,,,,,,,,,,,,,,,,,,,153.9257327,61.41865663,53.94617147,57.7594123,101.2330362,89.22373081,77.77236248,83.59624221,87.54224193,94.72659176,104.7974361,66.69834144,84.05347571,64.26402367,56.29853554,74.15679817,63.91647154,65.59464183,57.42880252,69.82709292,63.86640364,70.97862264,71.71534333,58.23094694,60.40494088,71.92899607,63.57877403,62.5133368,64.1477436,69.58531034,73.424356,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",9.661217467,15.14599309,17.40751814,16.74548974,15.54434629,21.07625173,25.40695993,28.00490827,32.23999037,32.74613089,31.68635624,35.13220123,38.62857891,54.49364677,58.83710583,56.94145059,55.7947499,54.99886143,54.16897424,53.9887747,62.35514139,66.32083482,60.48949118,59.91910887,64.23705509,63.56672511,59.56574896,63.06890932,60.0208555,53.73380849,51.12652236,49.77366824,48.01872924,45.84910532,46.8457684,50.31287534,50.22096484,54.3849074,65.30800004,59.14647776,62.38432025,57.77748994,54.62427646,57.88533262,66.24991593,64.58526379,66.70158541,69.41574954,92.04208401,82.32239782,87.8867145,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,74.52661681,76.79867651,75.9416092,79.1856157,75.49183658,59.57927759,57.81469427,59.31892693,80.67819735,75.35717385,75.3757209,89.9370646,96.23871196,96.25768463,100.3093734,103.2692186,96.9146571,95.37863595,91.45961641,91.87477269,88.73274253,90.44572009,85.34068684,76.90022632,73.16804842,61.50110635,66.71718567,73.09000815,59.76846291,53.12464684,69.65259743,72.19296081,72.26597591,75.66650605,73.86418057,74.03518742,70.04112282,65.67203253,70.50477733,68.99245107,63.89817992,66.13983493,69.36262597,75.08814345,72.13250072,73.26735485,75.47693735,66.02961109,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0242279,56.04994704,73.48553376,74.27041749,82.38334533,84.38331955,77.31665475,61.83146365,66.77708434,67.67542212,75.05193298,72.11745187,99.57769315,108.0770147,115.3316865,100.4940382,107.9445858,
