Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belgium,66.57676207,65.7572944,67.09883506,69.90173805,72.24262488,74.23671802,75.13450328,71.86860087,77.50620469,84.82233571,87.34497325,86.98979094,86.08556879,94.41804455,105.1725156,91.84067749,97.41746709,95.24943262,93.54289758,102.3616314,108.8714554,114.1693425,121.5534383,124.5336514,130.3845965,128.987882,115.910605,112.7088897,115.1242055,122.3539941,117.0450522,114.6347126,107.0089686,110.6379796,115.8455849,120.6241437,125.1831721,134.7103331,137.2872827,135.1501341,157.2522837,158.7246962,163.9427627,157.3881275,163.8109394,173.1197494,179.6847396,183.4179571,185.0315652,152.6375733,171.007705,
Belize,74.86866602,82.0236308,95.75971018,95.66018763,97.63359577,91.63254987,91.42834153,83.67238994,92.71015895,98.20846963,97.99631132,92.76505377,104.102783,97.7318384,105.3502443,130.9904666,118.4857521,129.3306417,136.6680117,143.986166,134.0179718,145.6713323,122.1757322,100.5291005,117.1171171,116.1845565,102.2602589,88.95316788,94.31565576,93.9005879,83.28289876,84.99716283,80.09361442,74.3176107,70.59712288,67.57718217,65.96271781,70.62080815,67.79193806,75.89324778,89.17492544,78.68409406,74.40951627,76.56999576,69.36310037,71.79820891,77.05618551,74.48543306,84.42776183,69.21000741,73.81257507,
Benin,21.75974504,16.93154997,15.9857037,18.18678712,16.40999476,16.69334329,14.56537861,20.86767305,21.95895259,24.72928707,28.97773316,35.65046016,31.24220072,30.78169579,32.65930858,32.50520051,34.93750512,39.83318514,36.4179578,30.86050413,28.04039241,44.68963797,38.49413303,35.14900673,43.28691289,50.68279948,43.03490048,38.97863657,49.00519569,42.5351662,29.97222565,30.40775616,56.21572978,45.35643874,55.3898133,58.01586545,53.54366293,51.23442441,48.95988542,49.04991603,44.57081595,42.03583314,41.77540845,40.26986092,36.13008976,37.23026113,41.4797625,55.60332009,53.44553841,49.03662583,51.25842567,
Bermuda,,,,,,,,,,,,,,,,,,,,,56.90526956,47.6254884,46.84913877,45.08657522,46.16009078,40.98123972,43.03365882,34.63170159,36.67585247,38.96103813,41.13288119,34.55868928,38.51419654,31.25755455,31.22388976,29.84119238,23.63294366,23.04943319,21.52840152,22.95128222,22.15377825,20.54078228,20.39505967,21.13925033,23.65819989,21.24016256,20.70470237,20.25486476,19.37829709,18.87579486,17.22587441,
Bhutan,,,,,,,,,,,,,,,,,,,,,,64.12050209,58.88721226,56.50049674,56.41682605,63.48831571,67.29182672,62.11657685,77.15536512,61.21150926,53.68181855,59.94349503,80.14575021,68.20162066,62.39293884,75.04933102,75.75575527,74.37342918,68.03240593,75.12073377,65.02904773,65.17808679,60.96213526,62.49716552,86.04788237,78.70519078,92.90156374,100.3665453,84.66831014,81.06780262,86.40715204,
Bolivia,22.10580322,22.15278556,23.41716017,23.61251643,24.4528575,26.82988579,26.74226213,27.7521586,33.55248584,34.96832978,34.34818272,32.01684647,30.74071172,38.85137103,45.06606624,41.66844008,41.09683367,38.71803781,38.2255339,37.41170439,35.41607285,31.04416333,24.70451823,24.5636075,19.67750435,24.43615794,33.14521765,30.90000717,25.90473193,30.38605747,33.13759781,34.04289093,31.89304059,33.72449848,37.46727906,37.5865702,37.47489497,38.07849313,36.32833496,33.86818516,36.43786219,36.76220767,38.82114686,39.76234042,45.48095906,53.74787404,58.41067372,60.32734634,69.61234795,53.93306927,59.29322779,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43590271,66.11046045,79.61105036,79.1978567,85.38393281,86.56069006,75.84474735,76.2916543,73.3356808,73.36899859,76.89666474,87.98197977,87.0543548,91.02198771,92.96371177,74.64880644,84.60717873,
Botswana,55.31709217,51.34946917,56.75272709,59.99291597,59.54158642,81.80041381,80.21027366,75.12486654,64.6791862,82.48589543,86.10899739,98.48990773,101.530567,102.7876057,99.63586541,100.8397576,101.9233916,104.4934742,102.1885284,120.5843846,112.5144639,111.2273806,112.6539369,116.8791075,109.3315521,117.3589192,113.0889571,128.4375224,100.6445467,108.8645839,98.37571949,96.29598573,86.90462422,85.35448341,81.06894643,84.90215727,86.87271345,98.46167111,83.01635042,82.52990124,84.44015854,71.57895195,70.0999177,65.02028306,67.11909279,73.97380481,67.6562436,74.66789604,75.42279562,71.32617469,69.65658045,
Brazil,18.00130174,18.789967,13.49473225,12.56652631,12.69570846,12.35427106,11.96110523,10.85583818,11.84618606,12.21605603,13.20178792,13.42358079,14.98829615,16.64752379,21.03846296,17.9954023,15.6237289,14.40473123,13.80123352,15.57900148,19.18650226,17.97382162,14.64202734,19.03548473,20.19625384,17.9288148,14.13679135,14.55535957,14.99678953,12.74873071,11.67611039,13.39674236,15.070671,15.12550193,14.56190758,13.08839918,12.44986135,13.34765859,13.30543658,17.02609764,17.7041222,21.1103978,21.83134975,22.43436923,24.57382186,22.23532877,21.45667117,21.03204969,23.01297852,17.97896873,18.84228499,
Brunei,,,,,,88.56522486,94.15600394,90.62763158,100.1123705,99.86893617,99.9552718,258.7038149,104.1287585,110.6000563,108.5157289,113.1554505,111.941765,110.750653,109.4972821,109.2097095,104.5482451,106.0644338,106.4430442,106.4576004,101.2551651,101.7989332,104.002691,92.32288093,91.12810815,91.844897,91.29250901,105.0877873,92.81595011,97.15746458,99.4290181,94.90876602,97.25149036,89.85377737,89.11056047,85.23913043,83.48395274,85.67974268,89.98295164,87.65758794,82.30088638,81.20525528,81.18323697,79.75989379,89.42236789,89.97958031,,
