New smear-positive cases,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,618,"1,833","1,669","2,892","4,639","6,509","6,510","8,273","9,949","12,468","13,213"
Albania,,,,,250,139,173,241,212,168,171,171,225,211,201,196,186,165
Algeria,,,,,"6,793","5,735","6,556","7,740","7,462","7,845","8,328","7,953","8,246","8,549","8,285","8,654","8,538","8,439"
American Samoa,,,,1,4,,0,6,2,3,2,2,1,2,2,3,3,0
Andorra,,,,15,24,,8,17,1,4,1,3,2,7,3,5,8,2
Angola,,,,"4,874","4,337","3,804","8,016","8,246","7,333","7,379","9,053","11,923","18,087","18,971","20,301","20,410","21,499","21,422"
Anguilla,,,,,,0,,0,,,,0,0,,0,,0,0
Antigua and Barbuda,,,,,,,2,,,1,3,1,2,1,,6,4,2
Argentina,,,,"5,937","5,696","5,698","5,787","5,307","5,186","4,830","4,749","5,595","5,498","4,961","4,760","4,709","4,834","4,985"
Armenia,,,,,319,436,327,400,475,576,621,572,511,575,602,581,580,497
Australia,,,,557,,,,226,203,285,251,228,210,113,285,241,269,281
Austria,,,,,,467,442,434,381,323,324,262,220,269,216,234,213,189
Azerbaijan,,,,499,513,669,990,981,727,763,890,927,"1,661","1,161","1,472","1,561","1,454","1,356"
Bahamas,,,,41,41,38,25,57,30,37,56,,32,29,37,,,32
Bahrain,,,,82,,17,31,22,25,21,23,23,17,16,69,101,98,109
Bangladesh,,,,"18,993","1,710","20,524","29,674","33,117","37,737","37,821","38,484","40,777","46,811","53,618","62,694","84,848","101,967","104,296"
Barbados,,,,,,3,3,5,4,2,3,6,5,,19,,4,8
Belarus,,,,"1,493","1,775","1,845","2,117","2,273","5,047","2,769","2,547","2,341",,"1,018","1,109","1,235","1,072","1,051"
Belgium,,,,484,427,400,364,434,418,403,409,472,419,362,391,380,343,322
Belize,,,,50,36,36,46,32,52,48,44,53,71,62,34,59,60,54
Benin,,,,"1,653","1,618","1,839","1,868","1,939","1,988","2,192","2,286",,"2,415","2,438","2,582","2,739","2,943",
Bermuda,,,,,,2,0,,0,0,0,0,0,,0,,2,
Bhutan,,,,,352,367,308,284,270,315,347,359,364,360,356,308,312,328
Bolivia,,,,"6,833","6,905","7,010","6,949","6,458","6,750","6,673","6,458","6,672","6,829","6,344","6,213","6,278","5,788","5,686"
Bosnia and Herzegovina,,,,,,865,927,803,640,786,759,800,526,493,889,640,562,737
Botswana,,,,"1,508","1,668","1,903","2,530","2,824","3,112","2,746","3,091","3,057","3,334","3,050","3,127","3,170","3,252","3,002"
Brazil,,,,,"39,167","45,650","44,503","43,490","43,554","41,619","41,186","38,478","41,371","39,938","42,881","42,093","41,117","38,444"
British Virgin Islands,,,,,,,,0,,,1,0,1,0,2,0,,0
Brunei Darussalam,,,,68,,,,0,,102,84,95,112,121,115,101,128,136
