"Murdered men, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.547782898
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46919537
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78124619
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.060996175
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.50010681
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.66622734
Argentina,,,,,,,,,,,,,,,,,7.855758,10.01004,11.58782,12.39404,12.48815,,,,,,,15.39101,9.442282,5.913616,5.805023,6.38934,6.928972,6.988336,8.126039,8.900693,9.941552,9.665342,10.01537,10.65312,9.087223,7.825066,8.069508,7.833696,7.682994,7.417544,8.138141,8.555502,8.450908,9.563127,10.32143,12.47571,13.75513,13.24441,10.34629
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.001464367
Australia,1.255533,1.579848,1.906272,1.467844,1.638828,1.67351,1.75549,1.626118,1.791812,1.866233,1.946068,1.598525,1.980644,1.530718,1.833447,1.573039,1.630717,1.714029,1.781062,1.679856,1.737946,2.447296,2.447788,2.414871,2.42883,2.165221,2.589245,2.417127,2.064017,2.482092,2.276105,2.600347,2.459072,2.221601,2.458567,2.533468,2.341269,2.523622,2.376121,2.264874,2.687891,2.210613,2.033657,2.350902,2.252707,1.978254,2.365024,2.245409,2.119619,2.114912,1.967963,2.093651,1.964782,1.767796,1.003637
Austria,,,,,,1.037912,1.816526,1.571354,1.273221,1.386476,1.729526,1.426274,1.122488,1.086557,1.131136,1.125674,1.073389,0.9496946,1.187758,1.418518,1.781695,1.688501,1.614832,1.825789,1.910472,2.142512,1.415069,1.422755,1.66964,1.380772,1.462603,1.17475,1.778355,1.938963,2.047148,1.587574,1.083057,1.379202,1.391891,1.317156,1.836267,1.455377,1.624585,1.518177,0.8698134,1.107822,1.207417,0.7581283,1.295076,0.7894894,0.6861782,0.7412519,0.7023963,0.7126366,0.6668164
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.939943,5.746573,,,4.291752,5.063309,3.709867,5.252428,4.327305,11.19506,9.616788,96.61368,77.43114,116.3935,16.60895,13.70533,10.78087,9.976778,8.741426,5.144214,,,,4.845721722
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43335342
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2668421,,2.0436,1.02339,,,,,,,,,0.4667852,0.5143908,0.1751739,1.331647,0.6792098,,,1.327718019
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84824753
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.49023438
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.525658,8.025784,,,6.15586,5.597336,6.052593,6.938704,9.526305,9.854306,9.440298,12.75942,15.47904,15.77144,16.15155,,16.43805,17.18355,15.59117,14.92801,14.55944,15.09705,12.84445,13.14279938
Belgium,,,,,0.562335,0.6128857,0.7098725,0.6855357,0.5768845,0.6093604,0.7185667,0.7925726,0.4866492,0.697135,0.4509259,0.6079959,0.8499968,0.616153,0.8545769,0.7690314,1.162706,1.167815,1.404729,1.162084,1.144017,1.24669,0.9846711,0.9999985,1.245441,1.796711,1.714093,1.596479,1.609506,2.183868,1.83308,2.14054,2.249293,1.757739,1.702272,1.393102,1.650752,1.818163,2.163797,2.125446,1.989475,1.862386,0,0,2.126863,3.054568,,,,,1.73672
