Whole country new smear-positive case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,4,12,11,18,29,39,37,45,52,63,64
Albania,,,,,66,36,46,62,55,45,49,52,72,67,68,69,71,68
Algeria,,,,,132,106,117,133,123,124,127,117,117,116,109,109,104,98
American Samoa,,,,90,90,,0,90,90,90,90,90,90,90,90,90,90,
Angola,,,,43,37,31,62,61,52,51,60,75,109,109,111,107,107,102
Anguilla,,,,,,0,,0,,,,0,0,,0,,0,0
Argentina,,,,60,59,61,64,60,60,58,59,71,72,67,66,67,71,76
Armenia,,,,,53,65,43,49,54,62,64,58,52,59,62,60,60,51
Australia,,,,106,,,,42,38,55,47,44,42,22,54,43,47,49
Austria,,,,,,72,71,71,65,59,62,52,44,55,45,49,46,41
Azerbaijan,,,,38,34,38,50,44,30,29,32,33,59,41,52,55,50,46
Bahamas,,,,83,81,74,48,106,55,67,100,,55,49,62,,,52
Bahrain,,,,52,,11,21,15,17,15,17,17,12,12,51,74,72,79
Bangladesh,,,,14,1,14,21,23,26,25,26,27,31,35,40,54,65,66
Belarus,,,,81,79,74,76,76,154,81,77,80,,39,42,46,40,40
Belgium,,,,58,51,49,48,60,61,59,58,65,62,56,64,62,59,58
Belize,,,,114,81,79,98,67,105,95,85,100,130,111,60,101,101,89
Benin,,,,81,76,84,82,82,81,86,86,,84,81,82,83,86,
Bermuda,,,,,,137,0,,0,0,0,0,0,,0,,186,
Bhutan,,,,,34,38,33,31,30,36,41,43,44,45,45,40,42,45
Bolivia,,,,75,76,78,78,73,77,77,75,78,80,75,75,76,71,71
Bosnia and Herzegovina,,,,,,67,73,63,50,67,71,80,53,51,95,70,62,81
Botswana,,,,64,66,70,87,89,90,72,73,66,67,58,58,59,61,57
Brazil,,,,,62,74,73,73,75,73,73,70,76,75,82,82,82,78
British Virgin Islands,,,,,,,,0,,,74,0,76,0,157,0,,0
Brunei Darussalam,,,,94,,,,0,,90,90,90,90,90,90,90,90,90
Bulgaria,,,,,216,77,62,66,81,105,159,58,67,90,96,88,96,81
Burkina Faso,,,,,10,17,21,16,17,16,16,14,13,13,14,16,19,18
Burundi,,,,38,29,20,25,30,38,36,,30,25,26,26,25,24,27
Cambodia,,,,,41,40,43,44,48,54,50,48,57,62,62,68,62,61
Cameroon,,,,40,30,43,32,45,50,60,37,39,61,77,78,89,89,91
Canada,46,48,47,47,48,45,46,52,49,54,61,58,52,43,58,58,55,62
Cape Verde,,,,,,37,38,33,33,,,42,33,49,49,39,37,44
Central African Republic,,,,,,60,62,64,68,63,,26,48,47,47,35,72,
Chad,,,,,,36,14,,,35,,,30,29,17,19,,18
Chile,,,,111,87,73,77,82,86,87,79,87,96,92,99,95,130,105
China,,,,14,17,22,34,39,34,34,34,34,33,45,65,80,80,80
Colombia,,,,70,66,77,78,63,72,87,88,85,83,86,83,76,85,81
Comoros,,,,,,54,57,54,54,62,49,53,42,28,38,48,42,
"Congo, Rep.",,,,,66,72,82,59,55,53,90,83,88,57,65,57,52,56
Cook Islands,,200,200,90,90,90,90,90,0,0,0,90,90,0,90,90,0,
Costa Rica,,,,,77,82,102,108,120,157,120,134,115,123,150,120,105,120
Croatia,,,,,,86,90,81,88,66,0,45,49,50,49,44,47,46
Cuba,,,,48,83,82,88,88,92,96,97,87,91,93,90,100,100,109
Cyprus,,,,,,26,13,84,91,43,20,0,40,72,52,47,42,42
Czech Republic,,,,58,57,52,64,53,64,57,60,62,57,63,60,64,58,67
Cote d'Ivoire,,,,54,,53,53,49,48,44,34,39,36,35,37,37,38,42
"Korea, Dem. Rep.",,,,,,,,12,1,14,46,40,52,48,51,49,50,64
"Congo, Dem. Rep.",,,,38,,44,47,43,53,50,47,49,47,53,59,60,59,61
Denmark,,,,82,42,47,37,44,53,73,76,58,63,69,72,64,62,69
Djibouti,,,,102,103,,96,100,84,75,63,57,53,49,42,42,42,42
Dominica,,,,110,147,92,130,94,94,,,,39,,,,160,61
Dominican Republic,,,,53,74,66,90,77,66,82,73,67,56,74,72,79,72,66
Ecuador,,,,58,74,66,73,83,57,51,61,54,53,57,56,40,43,47
Egypt,,,,,21,49,59,67,62,65,59,59,65,70,76,75,69,72
El Salvador,,,,116,103,,49,46,57,56,56,58,58,53,58,69,61,65
Equatorial Guinea,,,,,,86,76,75,86,,,,,,75,,,
Estonia,,,,108,109,107,65,67,72,65,64,57,62,67,75,65,63,76
Ethiopia,,,,,11,15,20,22,24,25,31,30,30,31,31,28,27,28
Fiji,51,48,50,42,44,51,54,54,63,58,58,71,75,83,69,74,90,67
Finland,,,,,,84,82,64,68,67,85,67,64,76,76,89,59,61
France,,,,79,59,66,60,50,,52,43,58,55,56,49,50,50,51
French Polynesia,,,,,90,,90,90,90,90,90,0,90,90,90,90,90,90
Gabon,,,,,57,71,35,71,94,91,,85,72,85,86,61,58,66
Gambia,,,,,,74,67,70,73,66,,,68,65,60,64,65,64
Georgia,,,,,,18,35,40,34,45,34,58,57,58,78,90,110,113
Germany,,,,72,66,65,66,63,62,62,0,53,57,54,54,52,54,54
Ghana,,,,,35,16,38,42,44,38,40,41,41,40,37,37,38,36
Greece,,,,,,,,24,28,13,23,22,22,25,19,22,23,29
Grenada,,,,0,123,82,0,41,83,124,0,,0,82,82,,41,123
Guam,,,,,90,,,,,,90,90,90,0,90,90,90,90
Guatemala,,,,56,52,61,57,56,56,56,50,40,44,42,54,54,55,51
