Road traffic total deaths,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Comoros,,,,,,,,,,,,,,,,,,149,,111,,,254,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,19019,,18920,,,20183,
"Congo, Rep.",,,,,,,,,,,,,,,,,,848,,792,,,1084,
Cook Is,,,,,,,,,,,,,,,,,,2,,1,,,6,
Costa Rica,,,,,,,,,,,,,646,699,746,773,733,742,721,666,666,804,688,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,6176,,9697,,,,
Croatia,,,,,,,,,,,903,715,759,723,714,737,681,569,761,627,638,646,619,711
Cuba,,,,,,,,,,,,,,,,1826,1566,1481,1282,1213,1294,1096,964,
Cyprus,,,,,,,,,,,,,,,,,,214,,186,,,89,
Czech Rep.,,,,,,,,,,1740,1703,1598,1675,1449,1598,1577,1504,1023,1516,1000,1315,1095,1222,1269
Denmark,,,,,,,,,,572,619,531,499,521,525,616,595,462,529,426,450,420,,
Djibouti,,,,,,,,,,,,,,,,,,230,,238,,,,
Dominica,,,,,,,,,,,,,,,,,,14,,4,,,,
Dominican Rep.,,,,,,,,,,,,1232,1532,1546,1726,1469,1494,2080,1605,4053,,,1691,
Ecuador,,,,,,,,,,,,,,,,,,1872,,1811,,,1559,
Egypt,,,,,,,,,,,,,,,,,,,,,,,31439,
El Salvador,,,,,,,,,,,,,,,,,,1910,,1958,,,865,
Equatorial Guinea,,,,,,,,,,,,,,,,,,186,,171,,,,
Eritrea,,,,,,,,,,,,,,,,,,881,,725,,,2350,
Estonia,,,,,,,,,,,,,325,329,264,246,225,206,183,190,187,234,196,157
Ethiopia,,,,,,,,,,,,,,,,,,17972,,17363,,,29114,
Fiji,,,,,,,,,,,,,,,,,,34,,30,,,59,
Finland,,,,,,,,,,,,441,479,439,470,423,476,445,437,391,416,361,380,360
France,,,,,,,,,,,,,9343,9866,9460,8921,9057,8298,6950,5651,6280,5547,4620,
French Guiana,,,,,,,,,,,,,,,,,24,33,45,43,47,23,,
Gabon,,,,,,,,,,,,,,,,,,343,,330,,,,
Gambia,,,,,,,,,,,,,,,,,,417,,348,,,625,
Georgia,,,,,,,,,,,,,,327,364,329,451,314,,334,,,737,
Germany,,,,,,,,,,,,,,7968,8081,7843,7342,7110,6922,6035,5727,5430,4949,
Ghana,,,,,,,,,,,,,,,,,,5408,,4350,,,6942,
Greece,,,,,,,,,,,,,,,,,,2152,,1922,,1657,,
Grenada,,,,,,,,,,,,,,,,,,4,4,4,,,,
Guadeloupe,,,,,,,,,,,,,,,,138,88,97,92,86,79,88,,
Guatemala,,,,,,,,,,,,,,,,,,783,,654,967,933,1968,
Guinea,,,,,,,,,,,,,,,,,,2914,,2597,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,506,,399,,,583,
Guyana,,,,,,,,,,,,,,,,,,80,,200,,,147,
Haiti,,,,,,,,,,,,,,,,,,661,,529,,,,
Honduras,,,,,,,,,,,,,,,,,,1019,,827,,,959,
"Hong Kong, China",,,,,,,,,,,,,,,,,177,226,197,198,194,172,169,
Hungary,,,,,,,,,,,,1579,1620,1615,1520,1417,1462,1584,1561,1491,1519,1531,1232,1225
Iceland,,,,,,,,,,,,10,16,31,19,32,27,21,24,23,16,30,14,15
India,,,,,,,,,,,,,,,,,,189003,,202259,,,196445,
Indonesia,,,,,,,,,,,,,,,,,,51877,,50597,,,37438,
Iran,,,,,,,,,,,,,,,,,,40523,,34380,,,25491,
Iraq,,,,,,,,,,,,,,,,,,12925,,27666,,,11059,
Ireland,,,,,,,,,,,,,,,,,,396,,311,,365,,
Israel,,,,,,,,,,,,,,,,,,491,,317,,,398,
Italy,,,,,,,,,,,,,,,,,,7630,,7078,,5669,,
Jamaica,,,,,,,,,,,,,,,,,,53,,340,,,334,
Japan,,,,,,,,,,,15057,14211,13956,13471,13151,12917,12452,11083,10931,9894,10035,9231,6639,7658
Jordan,,,,,,,,,,,,,,,,,,1526,,1145,,,2027,
Kazakhstan,,,,,,,,,,,,,,,,,,2479,,3055,,,4714,
Kenya,,,,,,,,,,,,,,,,,,7051,,8560,,,12918,
Kiribati,,,,,,,,,,,,,,,6,,7,5,,5,,,7,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,3037,,3173,,,,
"Korea, Rep.",,,,,,,,,,,18165,18279,16107,12936,12978,12603,10828,10612,9560,9150,8237,8240,6166,
Kuwait,,,,,,,,,,,324,333,379,356,400,397,388,379,,411,,482,,518
Kyrgyzstan,,,,,,,,,,,,,,,,,,636,,1005,,,1214,
Laos,,,,,,,,,,,,,,,,,,1225,,1139,,,1075,
Latvia,,,,,,,,,,,,675,641,777,735,720,628,583,558,520,494,407,482,392
Lebanon,,,,,,,,,,,,,,,,,,1481,,1630,,,1170,
Lesotho,,,,,,,,,,,,,,,,,,426,,262,,,537,
Liberia,,,,,,,,,,,,,,,,,,1558,,884,,,1235,
Libya,,,,,,,,,,,,,,,,,,960,,1142,,,2497,
Lithuania,,,,,,,,,,,,,,979,873,760,829,709,830,778,874,759,870,586
Luxembourg,,,,,,,,,,,,,,63,61,90,82,62,61,53,48,40,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,110,,189,,140,,
Madagascar,,,,,,,,,,,,,,,,,,5143,,3620,,,6641,
Malawi,,,,,,,,,,,,,,,,,,3242,,2618,,,3614,
Malaysia,,,,,,,,,,,,,,,,,,3451,,3825,,,6282,
Maldives,,,,,,,,,,,,,,,,,,26,,60,,,56,
Mali,,,,,,,,,,,,,,,,,,4896,,3231,,,3959,
Malta,,,,,,,,,,,24,16,23,15,14,17,19,17,16,14,18,11,14,19
