Female self-employed (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,31.60000038,,26.60000038,36.59999847,,,
American Samoa,,,,,,,,,,,1.200000048,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,8.800000191,,23.29999924,,,,,,
Antigua and Barbuda,,,,,,,,,,,,15.30000019,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,27.29999924,26.70000076,25.39999962,26.5,25.20000076,23,22.70000076,22.5,22.20000076,22,21.70000076,22,20.29999924,18.89999962,19.20000076,19,18.20000076,
Aruba,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Australia,12.69999981,12.19999981,12.19999981,12.10000038,11.80000019,12.10000038,11.89999962,11.39999962,11.5,11,10.89999962,11.39999962,11.5,11.69999981,11.19999981,10.80000019,10.69999981,11,10.39999962,9.899999619,9.600000381,9.600000381,9.800000191,9.5,9.300000191,9.300000191,8.899999619,8.699999809
Austria,,,,,,,,,,,,,,,8.600000381,8.699999809,8.600000381,8.5,8.5,8.399999619,8.199999809,8.399999619,8.300000191,8.300000191,8.699999809,9,9.300000191,9.300000191
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,24.89999962,48.20000076,49.40000153,66.19999695,67.30000305
Bahamas,,,,,,,,,,,,,,9.199999809,10.69999981,11.10000038,11.80000019,10.19999981,10.39999962,10.80000019,,9.100000381,9.899999619,10.5,11.5,,,
Bangladesh,,,,,,,,,,,,,,,,,7.800000191,,,,11,,,34.29999924,,26.5,,
Barbados,,,,,,,,,,,8.600000381,8.100000381,9.199999809,10,9.800000191,9.399999619,9.100000381,8,8.899999619,9.100000381,7.900000095,9.199999809,9.199999809,8.899999619,10.19999981,,,
