Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Kenya,7.235313641,6.828003457,6.485148515,6.081649832,5.58708762,5.084244753,4.630650496,4.340770791,4.235414186,4.325773495,4.34203854,4.265402844,4.463586531,4.891515335,5.327016409,5.65308255,5.907373901,6.321855808,7.112903226,8.206321796,9.474845646
"Korea, Dem. Rep.",4.143803217,3.707279398,3.11907634,2.832817337,3.073382074,4.339417382,6.002034588,8.093149541,10.08468802,12.15764259,14.32132726,15.9349866,16.77238652,15.98084571,17.39443378,18.92318623,22.2526827,25.11329895,25.49757091,26.76723797,27.74978002
"Korea, Rep.",5.901265298,6.41025641,6.846904495,6.230970757,6.397907763,6.662036233,7.244439692,8.216066756,9.364657624,11.11858931,13.2003432,15.32405865,17.68838064,20.71923325,25.24679269,29.68326153,33.88635089,37.94054427,40.82426449,43.2833915,44.34494927
Kuwait,4.838709677,5.128205128,4.761904762,3.278688525,3.384615385,2.631578947,2.393162393,2.147651007,2.162162162,2.328966521,2.745995423,3.261882572,3.880355699,5.035971223,7.022106632,9.307875895,12.13458356,15.52254098,18.64813039,21.06690778,22.63745704
Kyrgyzstan,12.41758242,11.28871129,10.52631579,10.69042316,10.61488673,10.53864169,9.94120791,9.932170543,10.16495765,9.519725557,9.557945042,8.534743202,8.505338078,9.451732257,11.25360693,13.37047354,14.8583484,16.69616519,18.53785901,20.79151133,23.59679267
Laos,3.550295858,4.158004158,4.722222222,5.284888522,5.649303008,5.779220779,6.322897483,6.226105953,6.229196386,5.982550893,5.923731951,5.928184282,6.14334471,6.605922551,7.227022781,8.072727273,9.132109676,10.38905515,11.68224299,13.40706248,15.57835821
Latvia,17.76971895,17.71479185,17.73109244,19.27419355,20.68696331,21.40165787,20.29520295,20.8183776,21.86405046,23.62146051,25.7788162,26.89822294,27.34051367,28.24427481,29.56521739,31.1827957,32.19871205,33.4914611,34.66796875,36.53653654,39.01437372
Lebanon,10.73919107,9.838107098,8.867521368,8.287292818,7.920792079,7.861866275,7.626514612,7.817811013,8.256880734,9.419063734,10.02597403,10.26871401,10.83448594,12.12389381,14.13925673,16.48760331,18.91129032,21.4597382,23.96078431,26.3753414,28.26510721
Lesotho,7.969151671,8.095238095,7.912087912,7.157057654,7.207207207,6.946688207,6.886657102,6.844106464,7.093023256,7.383279045,7.45526839,7.365439093,7.734303913,8.523725835,9.176672384,9.235936188,8.649093904,7.879772543,7.76621297,8.419380461,9.725490196
Liberia,5.275779376,5.206073753,5.223880597,5.12,5.24137931,5.314009662,5.366357069,5.253784506,5.195989061,5.08646999,5.049088359,5.178571429,5.332040717,5.425032038,6.036446469,6.74386921,7.345679012,7.75303073,8.500129971,9.488169966,10.68443641
Libya,5.823293173,5.444646098,5.327245053,5.006418485,4.425711275,3.796376186,3.854239664,3.880266075,4.219204656,4.737070839,5.349472862,6,6.597222222,7.47986191,8.56,10.31885513,12.72118604,15.85086917,19.18018413,22.80109682,24.78510029
Lithuania,15.05681818,14.4156753,13.64846871,15.50094518,16.63663664,17.41122566,16.88815061,17.70666667,19.53846154,21.06360792,22.93233083,24.2872807,26.02660497,27.4909964,29.77146387,32.10659898,33.72472277,34.92276696,35.34303534,36.26609442,38.04589193
Luxembourg,14.86486486,16.44736842,17.61006289,19.16167665,19.76744186,20.55555556,20.85561497,21.9895288,22.16494845,22.59615385,21.97309417,21.27659574,20.64777328,21.3740458,22.46376812,24.13793103,26.05863192,26.93498452,27.29970326,27.71428571,28.41530055
