"TB incidence, smear-positive (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,"9,586","10,240","11,124","12,117","13,055","13,823","14,374","14,747","15,021","15,310","15,702","16,215","16,820","17,502","18,230","18,981","19,753","20,554"
Albania,369,362,367,381,377,388,378,388,387,377,352,326,315,313,297,283,263,242
Algeria,"4,270","4,483","4,704","4,929","5,157","5,386","5,613","5,840","6,068","6,302","6,544","6,798","7,063","7,341","7,631","7,933","8,249","8,577"
American Samoa,5,2,1,1,4,3,0,7,2,3,2,2,1,2,2,3,3,0
Andorra,8,8,8,8,8,8,8,8,7,7,7,6,7,6,6,6,6,6
Angola,"9,676","10,156","10,681","11,236","11,800","12,358","12,902","13,440","13,987","14,564","15,192","15,882","16,630","17,432","18,278","19,161","20,081","21,041"
Anguilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Antigua and Barbuda,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,"10,649","10,377","10,108","9,844","9,583","9,326","9,074","8,826","8,582","8,342","8,106","7,874","7,645","7,422","7,206","6,997","6,796","6,602"
Armenia,528,501,518,554,602,675,754,816,878,927,976,989,980,970,965,969,970,971
Australia,503,513,508,527,537,557,572,542,536,518,532,521,505,518,524,560,569,579
Austria,810,770,738,698,675,646,627,607,583,549,525,508,505,486,479,473,468,462
Azerbaijan,"1,146","1,116","1,194","1,328","1,499","1,739","1,997","2,206","2,417","2,589","2,762","2,832","2,835","2,829","2,831","2,863","2,886","2,916"
Bahamas,47,48,48,49,50,52,53,54,55,55,56,57,58,59,59,60,61,62
Bahrain,169,165,162,157,155,152,151,150,147,141,138,136,138,135,135,136,137,137
Bangladesh,"134,192","135,929","137,659","139,363","141,017","142,607","144,121","145,569","146,972","148,363","149,763","151,113","152,531","153,927","155,249","156,510","157,691","158,797"
Barbados,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,5,5
Belarus,"1,776","1,557","1,742","1,843","2,255","2,500","2,774","2,989","3,279","3,413","3,301","2,930","2,646","2,636","2,664","2,669","2,654","2,639"
Belgium,896,836,821,832,840,810,761,727,684,686,708,725,678,641,615,618,585,551
Belize,41,42,43,44,45,46,47,48,49,51,52,53,54,56,57,58,60,61
Benin,"1,777","1,857","1,942","2,029","2,115","2,201","2,286","2,371","2,461","2,556","2,659","2,770","2,889","3,015","3,146","3,282","3,421","3,563"
Bermuda,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,"1,330","1,263","1,185","1,105","1,034",978,937,908,888,871,855,839,824,809,791,772,750,726
Bolivia,"9,328","9,268","9,209","9,150","9,088","9,022","8,951","8,877","8,801","8,723","8,645","8,566","8,487","8,406","8,322","8,236","8,147","8,055"
Bosnia and Herzegovina,"1,813","1,733","1,653","1,537","1,414","1,299","1,264","1,267","1,269","1,181","1,071","1,005",984,958,936,919,913,905
Botswana,"1,795","2,013","2,170","2,346","2,524","2,726","2,915","3,174","3,474","3,821","4,223","4,626","5,002","5,275","5,391","5,391","5,322","5,251"
Brazil,"67,773","66,522","65,277","64,053","62,863","61,713","60,596","59,507","58,441","57,394","56,357","55,333","54,320","53,315","52,319","51,326","50,341","49,354"
British Virgin Islands,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei Darussalam,67,69,71,73,75,77,79,81,83,113,93,106,124,134,128,112,142,151
Bulgaria,"1,059","1,177","1,318","1,409","1,430","1,414","1,446","1,575","1,636","1,623","1,586","1,557","1,514","1,391","1,374","1,383","1,355","1,328"
Burkina Faso,"3,577","4,080","4,488","4,955","5,440","5,979","6,485","7,145","7,909","8,813","9,895","11,049","12,210","13,178","13,776","14,072","14,164","14,227"
Burundi,"3,815","4,277","4,562","4,912","5,304","5,746","6,145","6,677","7,296","8,045","8,971","9,986","11,042","11,963","12,588","12,971","13,200","13,432"
Cambodia,"25,258","25,800","26,325","26,825","27,299","27,749","28,159","28,540","28,890","29,222","29,544","29,853","30,152","30,448","30,746","31,044","31,335","31,621"
Cameroon,"4,345","4,908","5,324","5,779","6,235","6,749","7,237","7,912","8,707","9,646","10,756","11,911","13,041","13,933","14,416","14,579","14,532","14,465"
Canada,"1,183","1,129","1,087","1,030",997,959,936,915,885,841,811,789,789,764,756,751,747,741
Cape Verde,280,285,289,294,298,303,307,312,316,320,325,330,335,340,345,350,354,359
Cayman Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central African Republic,"1,896","2,138","2,326","2,541","2,761","3,007","3,237","3,545","3,897","4,304","4,774","5,249","5,696","6,030","6,187","6,214","6,162","6,111"
Chad,"3,407","3,881","4,257","4,683","5,124","5,621","6,098","6,733","7,475","8,357","9,408","10,531","11,666","12,615","13,202","13,488","13,565","13,608"
Chile,"2,727","2,598","2,475","2,358","2,244","2,134","2,027","1,923","1,824","1,728","1,637","1,550","1,467","1,389","1,314","1,243","1,175","1,111"
China,"602,242","603,721","604,544","604,851","604,850","604,691","604,400","603,929","603,221","602,193","600,808","599,068","597,039","594,797","592,435","590,019","587,566","585,126"
Colombia,"10,128","10,077","10,021","9,962","9,899","9,834","9,767","9,699","9,629","9,558","9,484","9,409","9,330","9,249","9,165","9,076","8,984","8,889"
Comoros,202,200,197,195,192,189,187,184,182,179,177,174,172,169,166,164,161,158
"Congo, Rep.","1,702","1,928","2,110","2,323","2,546","2,800","3,045","3,368","3,741","4,176","4,682","5,205","5,714","6,116","6,337","6,417","6,400","6,376"
Cook Islands,0,1,3,6,4,2,1,2,0,0,0,2,1,0,1,1,0,1
Costa Rica,306,305,303,302,300,299,297,296,294,293,290,288,285,282,279,275,271,268
Croatia,"1,497","1,487","1,506","1,501","1,467","1,395","1,362","1,330","1,278","1,140","1,003",925,900,875,857,841,834,825
Cuba,"1,482","1,378","1,279","1,186","1,100","1,019",944,874,809,749,693,640,592,547,505,466,430,397
Cyprus,28,27,26,25,24,23,23,23,22,21,20,20,20,19,19,19,19,19
Czech Republic,964,977,965,946,921,938,918,913,853,785,701,628,577,534,505,479,440,401
Cote d'Ivoire,"9,671","10,957","11,943","13,057","14,208","15,510","16,754","18,428","20,363","22,606","25,200","27,835","30,346","32,270","33,258","33,555","33,432","33,306"
"Korea, Dem. Rep.","31,222","31,703","32,200","32,701","33,191","33,658","34,100","34,517","34,903","35,254","35,567","35,838","36,056","36,255","36,430","36,587","36,729","36,857"
"Congo, Dem. Rep.","27,715","31,871","35,374","39,370","43,454","47,851","51,819","56,861","62,554","69,233","77,222","85,717","94,233","101,272","105,547","107,633","108,307","108,957"
Denmark,350,331,315,297,285,273,265,257,248,234,225,217,216,208,204,201,199,196
Djibouti,"1,462","1,537","1,596","1,643","1,691","1,749","1,822","1,907","2,001","2,099","2,195","2,288","2,378","2,467","2,558","2,653","2,753","2,856"
Dominica,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dominican Republic,"4,514","4,453","4,391","4,331","4,273","4,217","4,163","4,111","4,061","4,011","3,962","3,914","3,865","3,816","3,767","3,718","3,668","3,618"
Ecuador,"9,387","9,316","9,239","9,154","9,059","8,954","8,839","8,716","8,585","8,450","8,311","8,170","8,027","7,884","7,740","7,597","7,454","7,312"
Egypt,"8,621","8,650","8,879","8,712","8,757","8,709","8,598","8,209","7,975","7,840","7,767","7,644","7,508","7,336","7,127","6,973","6,872","6,765"
El Salvador,"2,306","2,247","2,190","2,136","2,083","2,031","1,980","1,930","1,882","1,834","1,785","1,737","1,688","1,639","1,592","1,546","1,501","1,458"
Equatorial Guinea,161,181,197,215,234,254,274,300,330,365,406,449,491,524,542,549,548,547
Eritrea,"1,019","1,040","1,055","1,066","1,080","1,102","1,135","1,179","1,232","1,294","1,363","1,442","1,529","1,622","1,719","1,816","1,912","2,009"
Estonia,225,221,241,280,319,346,368,403,415,423,401,374,330,298,272,249,235,221
Ethiopia,"36,004","40,982","44,937","49,448","54,157","59,468","64,543","71,242","78,963","87,971","98,511","109,447","120,129","128,647","133,445","135,360","135,411","135,311"
Fiji,165,158,151,145,140,134,129,123,118,113,108,103,98,94,89,85,81,78
Finland,393,351,315,281,275,291,294,289,276,269,242,224,203,181,164,146,143,140
France,"6,641","6,294","6,012","5,660","5,447","5,202","5,044","4,896","4,707","4,443","4,265","4,130","4,111","3,970","3,912","3,876","3,838","3,798"
French Polynesia,30,25,42,39,42,52,41,46,38,37,32,31,31,23,33,23,27,21
Gabon,623,622,630,654,691,682,761,812,947,"1,010","1,243","1,344","1,438","1,450","1,539","1,714","1,958","2,208"
Gambia,802,849,898,949,"1,002","1,057","1,115","1,174","1,236","1,302","1,371","1,444","1,519","1,598","1,679","1,763","1,848","1,936"
Georgia,948,900,933,"1,002","1,092","1,227","1,371","1,480","1,588","1,669","1,748","1,762","1,736","1,706","1,683","1,677","1,665","1,654"
Germany,"6,971","6,765","6,684","6,606","6,299","5,922","5,629","5,346","5,050","4,712","4,155","3,668","3,262","3,110","2,887","2,646","2,422","2,198"
Ghana,"15,606","15,945","16,258","16,523","16,741","16,953","17,191","17,461","17,755","18,066","18,389","18,721","19,059","19,398","19,734","20,063","20,383","20,694"
Greece,"1,529","1,454","1,395","1,321","1,278","1,227","1,195","1,165","1,124","1,063","1,020",986,978,940,922,910,898,886
Grenada,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guam,31,31,30,35,44,30,30,30,30,30,48,52,34,29,24,30,23,6
Guatemala,"3,645","3,694","3,743","3,791","3,838","3,883","3,926","3,969","4,013","4,061","4,115","4,173","4,236","4,303","4,371","4,441","4,511","4,582"
Guinea,"3,220","3,521","3,858","4,226","4,613","5,011","5,415","5,827","6,251","6,694","7,165","7,667","8,203","8,778","9,398","10,071","10,801","11,598"
Guinea-Bissau,718,753,792,832,872,913,954,995,"1,038","1,084","1,134","1,189","1,248","1,312","1,379","1,450","1,524","1,602"
Guyana,105,119,99,131,157,211,246,252,275,279,305,349,400,445,457,476,474,471
Haiti,"11,684","11,859","12,048","12,248","12,460","12,682","12,912","13,147","13,380","13,611","13,842","14,070","14,297","14,525","14,756","14,988","15,224","15,462"
Honduras,"2,554","2,540","2,533","2,526","2,518","2,508","2,495","2,479","2,461","2,442","2,422","2,402","2,381","2,360","2,339","2,318","2,297","2,276"
Hungary,"1,914","1,947","2,055","2,143","2,208","2,242","2,254","2,195","2,043","1,840","1,653","1,512","1,414","1,297","1,139",996,873,750
Iceland,7,7,6,6,6,6,4,5,5,5,5,4,3,3,3,5,5,5
India,"649,377","663,180","676,917","690,358","703,198","715,366","727,196","739,313","751,953","765,139","778,564","792,091","805,557","818,921","832,353","845,781","859,193","872,514"
Indonesia,"282,090","279,883","277,560","275,144","272,658","270,120","267,535","264,906","262,233","259,450","256,488","253,583","250,754","247,900","245,006","242,063","239,069","236,029"
Iran,"9,138","9,667","10,813","10,496","10,946","11,100","11,020","9,946","9,388","9,171","9,163","9,002","8,752","8,332","7,747","7,347","7,124","6,902"
Iraq,"4,667","4,807","4,957","5,117","5,283","5,453","5,626","5,801","5,976","6,149","6,315","6,475","6,630","6,779","6,921","7,057","7,186","7,308"
Ireland,387,374,368,349,320,287,261,254,258,252,246,230,223,221,223,235,244,253
Israel,287,280,276,268,266,262,261,259,254,245,239,235,237,232,231,232,232,233
Italy,"3,493","3,300","3,144","2,954","2,837","2,705","2,620","2,539","2,438","2,298","2,202","2,128","2,113","2,035","2,000","1,976","1,950","1,923"
Jamaica,85,85,86,86,87,87,88,88,89,89,90,90,91,92,92,93,93,94
Japan,"26,128","25,428","24,862","23,823","22,834","21,768","21,391","21,546","21,325","20,854","19,422","18,083","16,781","15,815","14,869","13,805","12,972","12,135"
Jordan,164,166,165,173,171,177,171,156,144,132,128,120,121,118,125,131,133,135
Kazakhstan,"4,341","4,044","3,976","3,937","3,986","4,424","5,117","6,267","7,624","8,809","9,487","9,798","9,930","9,962","9,736","9,336","9,116","8,896"
Kenya,"10,783","11,154","13,421","16,271","19,950","23,879","28,269","33,968","39,745","45,312","49,448","51,317","54,301","58,296","60,835","57,798","54,313","53,226"
Kiribati,166,166,165,164,162,161,161,160,160,159,159,158,158,158,158,157,157,156
Kuwait,429,396,358,314,285,265,260,265,271,273,277,280,289,288,291,296,300,303
Kyrgyzstan,"1,085","1,156","1,174","1,206","1,331","1,589","1,972","2,333","2,691","2,852","2,999","3,034","3,027","2,938","2,889","2,887","2,885","2,884"
