Cross sectors aid (% of total aid),1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Australia,,,,33.858248,,1.560594977,1.234551171,0.6474534964,4.056222946,3.156657019,6.653274686,21.48071714,5.635905844,14.22959646,3.428016757,2.118835346,3.251909169,0.2266935132,0.2777949256,1.199680953,5.210834267,2.827385246,3.712582307,1.051036683,2.855407047,3.255657223,1.541311597,1.419981233,12.17470238,9.969967288,13.34492233,6.386934673,8.124216157,8.697161863,18.47532623,20.681458,22.05940452,19.68232289,20.12012758,16.66525076,21.55752699,
Austria,,,,,,,,1.120820082,2.621544328,,,,,,,,,,,,,3.612058137,6.248240089,10.0941929,3.406881712,0.7526088331,0.9363459755,2.132352941,5.193394176,6.81431635,2.852003271,3.975683236,12.28810234,9.188491564,8.11328976,6.165321967,6.606342088,9.776702326,8.101085602,7.980967165,5.4455996,
Belgium,,,,,,,11.49950996,10.13127854,6.476399561,8.828456006,1.478083588,0.3922108305,5.811240721,5.749051127,0.04217375587,0.3182283126,0.5708693525,0.4403659687,,3.514036235,2.605969937,3.920062475,,27.46273377,29.48580408,28.75746066,25.38615019,21.80896598,8.631608249,21.29406921,18.58452825,8.936774007,7.50840069,9.445516167,10.85429681,13.24509207,11.3145396,6.23625388,6.330946935,5.865324557,8.701356708,
Canada,,,0.3685035368,,,,0.007856539587,2.574753773,3.223623399,5.127562803,1.061686949,0.5392060343,3.724756101,18.25310605,2.554038434,7.972173524,7.299726613,5.295322908,2.373113073,7.889426159,2.703193033,9.618757044,4.99683433,1.98482195,13.67644989,17.83065286,15.62476103,9.096137637,16.15598269,14.67300723,10.84216257,14.06925556,14.43350967,19.20017426,16.38959162,20.50207088,8.755321036,5.684895282,10.34174156,11.93572115,10.96105078,
Denmark,,,,,,,,0.5681353715,5.475251862,,,1.13848656,1.307525996,2.727500906,,1.001385412,0.4204843357,,,0.07958741882,0.3710484956,10.10259918,12.18590551,9.811688516,,1.556839454,5.489041173,13.49387963,24.86188661,5.287901282,27.04130833,16.28812031,12.28715274,3.06546105,20.02473432,8.586082168,9.901113465,7.67391598,12.96293873,9.47401659,10.10167199,
Finland,,,,,,,,9.331158238,0.2793296089,,,,,2.873616236,,,,,,2.412347727,,2.850144092,2.591296093,14.1203913,22.22968535,4.779401832,24.63952661,7.118316513,51.26641106,15.71692721,30.94981995,18.97616946,15.12144033,25.54022154,29.56399184,11.9955157,21.01286841,16.85445329,22.85312821,20.72452319,15.53964816,
France,,,5.255291369,,,,,0.9313699704,0.1862296884,0.2382322668,0.2050143261,0.8118966645,1.425192872,0.606968819,4.147061415,4.4334428,0.7931433032,1.593697498,5.416788669,1.283207703,9.257773927,7.791522179,10.51535596,15.44282743,7.824294388,10.29291316,14.30605859,14.79027101,12.97325185,10.646668,10.57585363,12.03979683,11.77182966,18.17296866,15.29105222,13.53824243,14.30376459,15.23722355,11.63455327,19.93674317,15.39940013,
Germany,,,,,,0.1486198838,3.231428976,0.6995343774,2.985838404,2.943582844,2.79605796,4.578525926,1.767621299,2.806409701,8.562288984,4.557325054,3.065531648,1.10002633,,0.2321745088,5.52007031,6.623730132,3.703274827,1.915922172,6.917234823,7.540120788,7.160915957,2.088207704,3.133957509,7.44168357,13.66618182,15.40647278,13.07660419,17.04593924,16.44982444,17.59801472,17.44106925,15.1607006,32.53520607,9.484849542,10.8678994,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.555750438,5.892399658,0.9186622626,5.194127729,4.154969118,5.063822137,1.929527176,8.802135469,7.348913107,7.611930847,11.11111111,
Ireland,,,,,,,,,,,,,,,,,,,,,,3.072289157,3.14861461,5.80952381,4.044244729,18.07169345,,4.592901879,4.230960677,4.235852253,,9.930837468,5.923657279,,2.235279615,1.212210156,5.536617238,5.769066165,5.856606331,7.503684559,4.651992638,
Italy,,,,3.661557963,40.98382458,,,,3.987014305,,4.01604022,3.278164739,3.297762921,3.857858514,29.46381424,8.351263049,13.65091439,7.734995304,7.029586754,10.73908837,9.909112879,0.8100848559,0.487910305,11.06780762,6.179725917,11.01086348,7.529395449,,6.415468986,16.83757516,6.227314782,11.37313289,17.07117797,14.96254682,18.52813545,24.74940815,25.59686139,43.72724837,15.88864736,16.0620419,23.85517831,
Japan,,,,,,3.952617501,13.45598471,9.091680815,3.438693685,8.382160989,8.120810557,12.43719447,4.848243481,4.654094519,2.204220189,0.5342601758,2.842195759,,,,1.761411859,1.412975358,2.613546273,1.014014527,1.290812295,1.550279021,1.4994637,5.791492695,4.48218767,5.722236114,3.8191956,5.83355206,6.980961456,8.588180441,8.221349547,5.850112502,4.27338049,4.683514986,5.697945005,6.614465876,11.83174425,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.629448709,6.630211893,2.414755491,2.263769581,2.211196203,3.875236295,,,,15.07672725,14.45201955,13.61001131,9.544257414,
Netherlands,,,,,1.351351351,0.3759994085,1.668416754,21.02000933,10.54836457,9.49421742,2.637676066,3.573893581,4.111913532,2.239083052,2.56327103,4.073208531,4.270481702,2.669130537,3.678681561,2.592029233,3.111825464,3.092769284,1.459151203,5.642902361,0.9900492512,19.34588581,26.45176548,0.46884732,16.77517564,21.44390578,31.69815059,17.6175211,15.80904372,11.71322318,13.56259895,11.72256218,11.72302322,14.09614411,21.39545868,7.894116739,14.19872916,
New Zealand,,,,,,,,0.7509997074,5.734619457,0.5419036377,0.5769404129,0.2120408936,11.03153042,7.012406565,4.459398834,2.900902728,7.068965517,5.369463054,4.881439084,0.08797653959,0.5155555556,0.2750586522,,,6.886303813,5.909143992,11.54510888,6.625924735,6.620589305,,,,10.04508424,9.227099237,9.287110205,9.095166729,7.787769784,8.095843166,7.060238734,6.272880879,8.610626848,
Norway,,,,6.260075228,4.057413199,,,6.874014441,3.723945657,8.905757203,,,6.509127856,5.810179406,4.002449438,8.060107468,8.569497825,,3.515555291,2.79485098,7.132458289,29.25561455,10.88890509,7.856238858,4.314458771,28.11882901,22.5892488,26.91816979,11.53053189,15.0913515,19.54114554,14.62790497,13.22790289,8.220084438,8.48202336,10.17027005,13.14971378,11.90554487,14.24650047,14.7396793,14.00431987,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5580110497,0.7902672351,7.563701386,2.72948033,3.230801717,41.33327535,27.16343244,4.763991237,2.358123866,9.607933579,6.827259878,10.44405143,7.82077197,6.477317554,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,2.687205009,1.048438243,2.316031363,0.6857781964,16.57549184,5.674403572,5.642563836,22.8746276,12.83652512,11.74207103,12.59221194,8.659117959,11.19113068,11.66645474,14.25509511,12.46685018,17.26454392,
Sweden,,,,,,10.44183298,,,3.062539711,2.325709058,3.745152622,2.595123753,5.229675367,5.154087124,8.57463868,13.84622391,8.566746961,13.44784611,4.347581679,4.902415377,3.445397877,4.174295671,2.918378384,2.203131756,12.09950356,5.613794636,14.95874756,8.133534353,8.827442037,13.28331614,8.310967145,13.05781942,11.92183027,9.661157133,17.99527741,20.20576811,11.45237434,10.68810342,13.23641281,14.35194629,15.84032428,
Switzerland,,,11.20096352,2.368942533,4.94269341,3.003038093,3.586762666,8.301852851,1.087513523,5.095541401,4.409653381,9.22107229,3.58398862,10.77455919,8.014513846,1.811391223,4.641639563,,1.16836663,,5.177117616,4.74015653,10.51289988,15.56095585,20.49070132,37.04790024,24.20716994,28.11852763,30.53063523,23.21538756,,28.12763936,32.51646558,46.38803277,46.07041755,42.08337302,32.65650941,30.38252613,29.35503651,28.17301485,21.83178165,
United Kingdom,,8.9010669,19.97052035,9.603493212,,0.5018540423,3.651761013,0.03845259322,,0.003504417026,0.3492135926,5.594657089,2.051158688,3.019388056,0.4606057991,0.5145783925,0.3395342787,0.3797441768,0.7478953974,1.640967469,,,,,,,,,5.770074354,7.160161048,7.319986846,5.82620245,4.769017336,14.07137064,9.140705063,3.955155485,4.416885421,3.180713069,11.14884637,4.55507528,5.633052388,
United States,,,10.73200332,,,1.939558695,11.49546509,,10.44902482,10.65975869,,5.858953197,1.215516961,1.341625698,0.04507019265,0.2409801566,0.3671252693,42.84886673,0.6762926302,0.8181574693,0.3595118438,0.3210644842,0.3184832777,1.9103614,1.994863598,1.99477465,1.994911483,1.387347392,1.58720335,1.517552896,21.72479262,15.23111416,17.27877299,14.99844652,6.37959131,13.47437768,26.00943063,7.665709681,6.432410345,9.689748357,6.227095408,
