15-24 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,108.762,109.329,109.579,109.728,109.867,109.726,109.368,109.057,108.881,108.747,108.647,108.533,108.275,108.093,108.047,107.979,107.923,107.894,107.81,107.668,107.486
AFRICA,100.084,99.437,99.273,99.347,99.699,100.203,99.729,100.069,99.919,100.053,100.585,100.853,101.107,101.188,101.275,101.334,101.321,101.308,101.313,101.346,101.398
Albania,101.363,102.643,103.705,103.324,102.139,102.813,112.518,110.753,106.247,98.63,94.125,99.991,105.357,106.482,106.346,106.616,106.751,106.885,106.961,106.959,106.945
Algeria,102.496,99.634,97.206,98.986,97.831,101.955,104.048,103.718,103.493,103.668,103.846,104.033,104.051,104.009,104.053,104.113,104.061,104.107,104.25,104.431,104.597
Angola,98.559,98.58,98.448,98.442,97.781,97.42,97.825,98.169,98.467,98.709,98.73,98.589,98.463,98.341,98.183,98.014,98.047,98.21,98.376,98.55,98.729
Argentina,103.252,101.08,101.439,102.672,102.765,102.297,102.158,102.312,102.363,102.467,102.547,102.691,102.858,102.98,103.095,103.221,103.315,103.384,103.435,103.471,103.494
Armenia,102.745,98.809,93.383,92.301,100.603,100.57,100.819,101.713,102.93,95.007,94.15,97.898,101.821,108.085,114.214,115.157,114.549,113.387,112.12,110.821,109.566
Aruba,86.889,90.568,94.971,91.663,95.116,100.281,104.065,102.625,106.238,101.455,96.923,98.953,100.637,101.281,101.872,101.394,103.203,104.266,104.478,104.649,104.688
ASIA,108.44,108.221,107.42,107.057,106.42,106.578,106.646,106.248,106.076,105.826,105.903,106.661,108.265,109.457,109.981,110.064,109.662,109.118,108.635,108.269,107.968
Australia,105.29,106.826,105.832,105.469,105.389,104.103,103.509,104.051,103.986,103.847,103.511,104.282,104.891,105.223,105.274,105.262,105.281,105.32,105.347,105.372,105.389
Australia/New Zealand,105.285,106.473,105.535,105.336,105.307,104.164,103.683,104.101,103.475,103.398,103.253,104.275,105.01,105.369,105.348,105.334,105.372,105.411,105.44,105.463,105.478
Austria,100.064,103.899,104.036,104.198,103.832,102.757,101.949,103.152,104.007,103.169,103.296,103.818,104.177,104.716,104.96,105.047,105.067,105.093,105.117,105.133,105.142
Azerbaijan,106.004,99.399,93.048,94.388,102.765,103.585,102.473,99.95,100.996,102.119,98.821,102.708,103.761,105.24,111.233,114.903,114.171,113.126,111.892,110.556,109.233
Bahamas,80.228,81.292,88.907,95.383,95.28,96.071,101.398,103.717,103.353,101.986,100.486,99.68,99.804,100.016,99.993,100.164,100.478,100.558,100.617,100.617,100.566
Bahrain,126.581,126.707,127.397,92.751,119.17,142.107,126.845,116.886,110.919,119.067,116.371,117.428,113.91,108.565,106.795,108.111,109.331,109.395,109.417,109.359,109.265
Bangladesh,117.904,115.04,107.9,103.374,106.634,107.229,105.874,104.37,103.079,102.479,102.306,103.172,103.721,103.991,104.104,104.1,103.923,103.727,103.654,103.66,103.762
Barbados,94.737,88.776,82.234,94.578,101.15,96.523,100.2,101.871,101.614,101.909,102.72,102.734,102.852,102.963,103.052,103.291,103.495,103.53,103.54,103.481,103.543
Belarus,89.934,94.066,95.134,100,103.553,104.237,103.972,101.028,99.498,101.58,102.813,103.653,104.729,105.291,105.481,105.657,105.671,105.728,105.811,105.907,106.008
Belgium,101.985,100.934,101.42,104.43,104.052,104.571,104.308,104.21,104.31,104.039,103.723,103.182,103.241,103.301,103.447,103.748,103.831,103.884,103.905,103.913,103.918
Belize,93.254,92.524,95.182,99.727,102.371,101.568,103.365,101.564,102.325,101.923,102.59,103.133,102.662,102.356,102.344,102.388,102.423,102.541,102.7,102.76,102.784
Benin,88.312,86.969,87.224,86.832,93.712,100.821,101.175,101.452,101.49,102.935,102.276,103.525,103.705,103.426,103.419,103.48,103.465,103.408,103.364,103.338,103.325
Bhutan,106.594,105.678,105.795,105.724,104.57,107.883,107.176,103.84,102.784,101.843,101.528,113.865,102.417,103.271,101.935,101.945,101.897,101.877,101.955,102.09,102.263
Bolivia,100.764,100.081,99.894,99.357,98.143,97.438,97.899,98.506,99.322,100.341,101.501,102.458,103.116,103.461,103.526,103.54,103.679,103.865,104.042,104.217,104.385
Bosnia and Herzegovina,98.806,99.692,99.532,101.577,103.304,103.406,103.499,103.975,104.143,98.101,99.878,101.809,104.244,106.688,106.619,106.638,106.611,106.611,106.612,106.647,106.736
Botswana,99.463,99.134,96.365,96.889,98.369,99.098,99.92,99.447,100.04,100.552,101.103,101.182,101.16,101.233,101.254,101.306,101.397,101.472,101.576,101.681,101.836
Brazil,100.579,100.756,100.611,100.586,100.592,100.565,100.675,100.45,99.937,100.058,101.385,102.256,102.455,102.832,103.174,103.374,103.52,103.645,103.752,103.852,103.95
Brunei,107.956,107.843,106.897,109.091,105.66,105.229,114.854,106.341,105.886,103.671,101.884,104.294,105.953,105.2,105.328,105.453,105.518,105.542,105.557,105.569,105.585
Bulgaria,102.36,101.135,101.897,103.211,103.587,103.32,105.109,105.032,104.342,104.61,105.574,105.252,105.072,105.562,105.83,105.864,105.899,106.071,106.242,106.397,106.522
Burkina Faso,107.547,105.531,104.5,103.449,101.755,100.493,100.434,100.731,101.64,102.056,102.261,103.271,102.801,102.712,102.816,102.896,102.894,102.853,102.843,102.896,102.989
Burundi,93.618,93.726,94.153,94.749,96.739,97.394,98.487,98.976,99.295,98.665,98.226,99.201,99.19,99.28,99.384,99.376,99.295,99.204,99.153,99.186,99.296
Cambodia,101.989,102.004,101.931,101.826,101.767,101.891,86.951,91.322,96.605,99.591,100.723,102.124,102.886,103.406,103.784,103.777,103.531,103.381,103.327,103.359,103.46
Cameroon,98.265,98.351,98.405,98.539,99.161,99.766,100.067,100.298,100.502,100.584,100.726,100.812,100.86,100.861,100.822,100.661,100.465,100.313,100.208,100.175,100.209
Canada,100.366,101.423,103.196,101.084,101.943,102.692,103.068,104.783,104.519,104.668,105.122,104.498,104.378,104.83,104.808,104.913,105.141,105.286,105.293,105.278,105.287
Cape Verde,87.809,86.919,84.199,91.926,100.704,93.222,87.232,96.536,97.473,94.855,96.002,98.684,98.762,98.883,99.063,99.282,99.541,99.894,100.258,100.527,100.705
Caribbean,97.683,98.701,97.815,97.852,98.192,99.386,99.941,100.019,100.153,100.322,101.042,101.686,102.232,102.336,102.434,102.75,102.98,103.018,103.034,103.058,103.18
Central African Rep.,98.794,98.681,98.716,98.748,98.274,97.992,98.029,97.922,98.109,97.997,98.031,98.159,98.111,98.044,97.92,97.808,97.8,97.814,97.852,97.977,98.179
Central America,96.385,99.637,102.486,103.096,101.71,100.126,99.797,98.169,98.33,98.73,98.984,97.868,97.948,99.48,100.528,100.732,101.467,101.865,102.037,102.066,102.074
Chad,97.743,99.783,101.89,102.124,99.266,97.429,97.838,98.285,98.657,99.092,99.678,100.162,100.429,100.49,100.401,100.298,100.246,100.274,100.37,100.516,100.711
